algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
GP,s_as_input=False,0,0.624696159,0.486659552,0.740178571,0.613419062,0.234908593,1.470420652,1.470420652,1.130373724,0.676165803,0.612806703,0.644486253,1.103391657,1.103391657,1.063359101,1.063359101,0.630066323,0.614285714,0.622176019,1.025689363,1.025689363,1.015780608,1.015780608,0.634017207,0.598901099,0.616459153,None,None,1,None,None,1,0.481751825,0.4875,0.484625912,0.988208871,0.988208871,0.994251825,0.994251825,0.538461538,0.361313869,0.449887704,1.49028749,1.49028749,1.17714767,1.17714767,0.526243094,0.352112676,0.439177885,None,None,1,None,None,1,0.78313253,0.727898967,0.755515748,1.07588081,1.07588081,1.055233563,1.055233563,0.717579251,0.776995305,0.747287278,0.923530999,0.923530999,0.940583946,0.940583946,0.733163914,0.756756757,0.744960335,None,None,1,None,None,1,0.21686747,0.272101033,0.244484252,0.797010828,0.797010828,0.944766437,0.944766437,0.282420749,0.223004695,0.252712722,1.266434097,1.266434097,1.059416054,1.059416054,0.266836086,0.243243243,0.255039665,None,None,1,None,None,1,0.518248175,0.5125,0.515374088,1.011215952,1.011215952,1.005748175,1.005748175,0.461538462,0.638686131,0.550112296,0.722637363,0.722637363,0.82285233,0.82285233,0.473756906,0.647887324,0.560822115,None,None,1,None,None,1,0.310880829,0.375224417,0.343052623,0.828519721,0.828519721,0.935656412,0.935656412,0.407516581,0.277142857,0.342329719,1.470420652,1.470420652,1.130373724,1.130373724,0.391131701,0.285714286,0.338422993,None,None,1,None,None,1,0.55,0.622009569,0.586004785,0.884230769,0.884230769,0.927990431,0.927990431,0.64556962,0.510309278,0.577939449,1.265055619,1.265055619,1.135260342,1.135260342,0.644670051,0.480769231,0.562719641,None,None,1,None,None,1,0.266917293,0.392720307,0.3298188,0.679662571,0.679662571,0.874196987,0.874196987,0.380597015,0.345849802,0.363223409,1.100469083,1.100469083,1.034747213,1.034747213,0.372826087,0.353846154,0.36333612,None,None,1,None,None,1
GP,s_as_input=False,1,0.64171123,0.478121665,0.778571429,0.628346547,0.270183802,1.571524053,1.571524053,1.140431624,0.677922078,0.633373206,0.655647642,1.070335896,1.070335896,1.044548872,1.044548872,0.6366986,0.651428571,0.644063586,0.977388202,0.977388202,0.985270028,0.985270028,0.645502646,0.631192661,0.638347653,None,None,1,None,None,1,0.375,0.494437577,0.434718789,0.7584375,0.7584375,0.880562423,0.880562423,0.523378582,0.368613139,0.44599586,1.419858728,1.419858728,1.154765444,1.154765444,0.512640449,0.368888889,0.440764669,None,None,1,None,None,1,0.828793774,0.763615295,0.796204535,1.085355125,1.085355125,1.065178479,1.065178479,0.744956772,0.833333333,0.789145053,0.893948127,0.893948127,0.911623439,0.911623439,0.76375,0.815625,0.7896875,None,None,1,None,None,1,0.171206226,0.236384705,0.203795465,0.724269474,0.724269474,0.934821521,0.934821521,0.255043228,0.166666667,0.210854947,1.530259366,1.530259366,1.088376561,1.088376561,0.23625,0.184375,0.2103125,None,None,1,None,None,1,0.625,0.505562423,0.565281211,1.236246944,1.236246944,1.119437577,1.119437577,0.476621418,0.631386861,0.55400414,0.754880165,0.754880165,0.845234556,0.845234556,0.487359551,0.631111111,0.559235331,None,None,1,None,None,1,0.238961039,0.361244019,0.300102529,0.661494797,0.661494797,0.87771702,0.87771702,0.38614591,0.245714286,0.315930098,1.571524053,1.571524053,1.140431624,1.140431624,0.366402116,0.260550459,0.313476288,None,None,1,None,None,1,0.52173913,0.662251656,0.591995393,0.787826087,0.787826087,0.859487475,0.859487475,0.66221374,0.587209302,0.624711521,1.12773033,1.12773033,1.075004438,1.075004438,0.658844765,0.584507042,0.621675904,None,None,1,None,None,1,0.273037543,0.382958801,0.327998172,0.712968449,0.712968449,0.890078741,0.890078741,0.379351741,0.327651515,0.353501628,1.157790284,1.157790284,1.051700226,1.051700226,0.362212944,0.35235732,0.357285132,None,None,1,None,None,1
GP,s_as_input=False,2,0.632960622,0.48452508,0.757142857,0.620833969,0.251849158,1.55323125,1.55323125,1.143049795,0.683291771,0.620772947,0.652032359,1.100711257,1.100711257,1.062518824,1.062518824,0.631540162,0.635714286,0.633627224,0.993433963,0.993433963,0.995825876,0.995825876,0.63353214,0.631386861,0.632459501,None,None,1,None,None,1,0.406015038,0.497512438,0.451763738,0.816090226,0.816090226,0.9085026,0.9085026,0.533936652,0.364963504,0.449450078,1.462986425,1.462986425,1.168973148,1.168973148,0.517433752,0.377272727,0.44735324,None,None,1,None,None,1,0.820895522,0.737089202,0.778992362,1.113699021,1.113699021,1.083806321,1.083806321,0.724783862,0.809859155,0.767321508,0.894950507,0.894950507,0.914924707,0.914924707,0.738636364,0.801829268,0.770232816,None,None,1,None,None,1,0.179104478,0.262910798,0.221007638,0.681236674,0.681236674,0.916193679,0.916193679,0.275216138,0.190140845,0.232678492,1.447433024,1.447433024,1.085075293,1.085075293,0.261363636,0.198170732,0.229767184,None,None,1,None,None,1,0.593984962,0.502487562,0.548236262,1.182088886,1.182088886,1.0914974,1.0914974,0.466063348,0.635036496,0.550549922,0.733915848,0.733915848,0.831026852,0.831026852,0.482566248,0.622727273,0.55264676,None,None,1,None,None,1,0.25436409,0.376811594,0.315587842,0.675043161,0.675043161,0.877552496,0.877552496,0.401621223,0.258571429,0.330096326,1.55323125,1.55323125,1.143049795,1.143049795,0.383035123,0.270072993,0.326554058,None,None,1,None,None,1,0.529411765,0.641025641,0.585218703,0.825882353,0.825882353,0.888386124,0.888386124,0.649541284,0.552486188,0.601013736,1.175669725,1.175669725,1.097055097,1.097055097,0.641868512,0.560810811,0.601339661,None,None,1,None,None,1,0.264214047,0.391472868,0.327843458,0.674923011,0.674923011,0.872741179,0.872741179,0.380541872,0.335260116,0.357900994,1.135064549,1.135064549,1.045281756,1.045281756,0.371643394,0.3425,0.357071697,None,None,1,None,None,1
GP,s_as_input=False,3,0.663587749,0.503735326,0.797321429,0.650528377,0.316547369,1.443801865,1.443801865,1.11665649,0.683116883,0.659090909,0.671103896,1.036453202,1.036453202,1.024025974,1.024025974,0.652173913,0.685714286,0.668944099,0.951086957,0.951086957,0.966459627,0.966459627,0.65542328,0.686238532,0.670830906,None,None,1,None,None,1,0.419117647,0.518102372,0.46861001,0.808947555,0.808947555,0.901015275,0.901015275,0.532428356,0.434306569,0.483367463,1.225927475,1.225927475,1.098121787,1.098121787,0.523012552,0.440909091,0.481960822,None,None,1,None,None,1,0.827309237,0.788748565,0.808028901,1.048888421,1.048888421,1.038560672,1.038560672,0.766570605,0.84741784,0.806994223,0.904595783,0.904595783,0.919152765,0.919152765,0.774842767,0.852307692,0.81357523,None,None,1,None,None,1,0.172690763,0.211251435,0.191971099,0.817465514,0.817465514,0.961439328,0.961439328,0.233429395,0.15258216,0.193005777,1.529860341,1.529860341,1.080847235,1.080847235,0.225157233,0.147692308,0.18642477,None,None,1,None,None,1,0.580882353,0.481897628,0.53138999,1.205406126,1.205406126,1.098984725,1.098984725,0.467571644,0.565693431,0.516632537,0.826546003,0.826546003,0.901878213,0.901878213,0.476987448,0.559090909,0.518039178,None,None,1,None,None,1,0.25974026,0.358253589,0.308996924,0.725017887,0.725017887,0.901486671,0.901486671,0.379513633,0.262857143,0.321185388,1.443801865,1.443801865,1.11665649,1.11665649,0.366402116,0.266055046,0.316228581,None,None,1,None,None,1,0.57,0.692821369,0.631410684,0.822722892,0.822722892,0.877178631,0.877178631,0.685436893,0.64673913,0.666088012,1.059835196,1.059835196,1.038697763,1.038697763,0.676895307,0.668965517,0.672930412,None,None,1,None,None,1,0.277192982,0.359739049,0.318466016,0.770539042,0.770539042,0.917453933,0.917453933,0.368171021,0.300387597,0.334279309,1.225653207,1.225653207,1.067783424,1.067783424,0.356993737,0.3075,0.332246868,None,None,1,None,None,1
GP,s_as_input=False,4,0.623237725,0.494130203,0.73125,0.612690101,0.23229969,1.536784574,1.536784574,1.14723234,0.68877551,0.607807808,0.648291659,1.133212672,1.133212672,1.080967702,1.080967702,0.61311717,0.642857143,0.627987157,0.95373782,0.95373782,0.970260027,0.970260027,0.625742574,0.616236162,0.620989368,None,None,1,None,None,1,0.478571429,0.496863237,0.487717333,0.963185426,0.963185426,0.981708191,0.981708191,0.535444947,0.394160584,0.464802766,1.358443662,1.358443662,1.141284363,1.141284363,0.531944444,0.368663594,0.450304019,None,None,1,None,None,1,0.805555556,0.709677419,0.757616487,1.13510101,1.13510101,1.095878136,1.095878136,0.687319885,0.802816901,0.745068393,0.856135295,0.856135295,0.884502983,0.884502983,0.710691824,0.781538462,0.746115143,None,None,1,None,None,1,0.194444444,0.290322581,0.242383513,0.669753086,0.669753086,0.904121864,0.904121864,0.312680115,0.197183099,0.254931607,1.58573487,1.58573487,1.115497017,1.115497017,0.289308176,0.218461538,0.253884857,None,None,1,None,None,1,0.521428571,0.503136763,0.512282667,1.03635554,1.03635554,1.018291809,1.018291809,0.464555053,0.605839416,0.535197234,0.76679569,0.76679569,0.858715637,0.858715637,0.468055556,0.631336406,0.549695981,None,None,1,None,None,1,0.295918367,0.389189189,0.342553778,0.760345805,0.760345805,0.906729178,0.906729178,0.421518055,0.274285714,0.347901884,1.536784574,1.536784574,1.14723234,1.14723234,0.404620462,0.278597786,0.341609124,None,None,1,None,None,1,0.577586207,0.611111111,0.594348659,0.945141066,0.945141066,0.966475096,0.966475096,0.620629371,0.5625,0.591564685,1.103341103,1.103341103,1.058129371,1.058129371,0.624796085,0.529801325,0.577298705,None,None,1,None,None,1,0.264492754,0.394296952,0.329394853,0.670795836,0.670795836,0.870195802,0.870195802,0.392356688,0.326771654,0.359564171,1.200706009,1.200706009,1.065585034,1.065585034,0.373614191,0.350383632,0.361998911,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,0,0.609139524,0.442902882,0.748214286,0.595558584,0.201091014,0.872353562,0.872353562,0.952770818,0.655440415,0.598444045,0.62694223,1.095240933,1.095240933,1.056996369,1.056996369,0.619012528,0.59,0.604506264,1.049173776,1.049173776,1.029012528,1.029012528,0.62078094,0.576923077,0.598852008,None,None,1,None,None,1,0.437956204,0.44375,0.440853102,0.986943559,0.986943559,0.994206204,0.994206204,0.440422323,0.448905109,0.444663716,0.981103386,0.981103386,0.991517213,0.991517213,0.446132597,0.431924883,0.43902874,None,None,1,None,None,1,0.775100402,0.740528129,0.757814265,1.046685969,1.046685969,1.034572273,1.034572273,0.78962536,0.680751174,0.735188267,1.159932426,1.159932426,1.108874187,1.108874187,0.781448539,0.66966967,0.725559104,None,None,1,None,None,1,0.224899598,0.259471871,0.242185735,0.866759072,0.866759072,0.965427727,0.965427727,0.21037464,0.319248826,0.264811733,0.658967622,0.658967622,0.891125813,0.891125813,0.218551461,0.33033033,0.274440896,None,None,1,None,None,1,0.562043796,0.55625,0.559146898,1.010415812,1.010415812,1.005793796,1.005793796,0.559577677,0.551094891,0.555336284,1.015392606,1.015392606,1.008482787,1.008482787,0.553867403,0.568075117,0.56097126,None,None,1,None,None,1,0.300518135,0.34769599,0.324107063,0.864312914,0.864312914,0.952822144,0.952822144,0.322770818,0.37,0.346385409,0.872353562,0.872353562,0.952770818,0.952770818,0.327597617,0.36996337,0.348780494,None,None,1,None,None,1,0.517241379,0.611015491,0.564128435,0.846527441,0.846527441,0.906225889,0.906225889,0.666666667,0.474903475,0.570785071,1.403794038,1.403794038,1.191763192,1.191763192,0.652525253,0.455445545,0.553985399,None,None,1,None,None,1,0.285185185,0.408256881,0.346721033,0.698543487,0.698543487,0.876928304,0.876928304,0.403699674,0.342403628,0.373051651,1.179016927,1.179016927,1.061296045,1.061296045,0.394685039,0.351744186,0.373214613,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,1,0.62372387,0.441835646,0.775892857,0.608864251,0.231826807,1.029363925,1.029363925,1.009312559,0.685714286,0.609449761,0.647582023,1.125136689,1.125136689,1.076264525,1.076264525,0.619749447,0.631428571,0.625589009,0.98150365,0.98150365,0.988320876,0.988320876,0.626984127,0.614678899,0.620831513,None,None,1,None,None,1,0.390625,0.449938195,0.420281598,0.868174794,0.868174794,0.940686805,0.940686805,0.44494721,0.434306569,0.439626889,1.024500298,1.024500298,1.01064064,1.01064064,0.443820225,0.435555556,0.43968789,None,None,1,None,None,1,0.832684825,0.758980301,0.795832563,1.09710993,1.09710993,1.073704524,1.073704524,0.786743516,0.758215962,0.772479739,1.037624575,1.037624575,1.028527553,1.028527553,0.79,0.740625,0.7653125,None,None,1,None,None,1,0.167315175,0.241019699,0.204167437,0.694197097,0.694197097,0.926295476,0.926295476,0.213256484,0.241784038,0.227520261,0.882012255,0.882012255,0.971472447,0.971472447,0.21,0.259375,0.2346875,None,None,1,None,None,1,0.609375,0.550061805,0.579718402,1.107830056,1.107830056,1.059313195,1.059313195,0.55505279,0.565693431,0.560373111,0.981190094,0.981190094,0.98935936,0.98935936,0.556179775,0.564444444,0.56031211,None,None,1,None,None,1,0.241558442,0.342105263,0.291831852,0.706093906,0.706093906,0.899453178,0.899453178,0.326455416,0.317142857,0.321799137,1.029363925,1.029363925,1.009312559,1.009312559,0.32010582,0.332110092,0.326107956,None,None,1,None,None,1,0.537634409,0.636363636,0.586999022,0.844854071,0.844854071,0.901270772,0.901270772,0.665914221,0.536036036,0.600975129,1.242293757,1.242293757,1.129878185,1.129878185,0.652892562,0.541436464,0.597164513,None,None,1,None,None,1,0.267123288,0.404545455,0.335834371,0.660304756,0.660304756,0.862577833,0.862577833,0.402625821,0.324267782,0.363446801,1.241646079,1.241646079,1.078358038,1.078358038,0.385214008,0.348901099,0.367057553,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,2,0.633446767,0.47171825,0.76875,0.620234125,0.252666518,0.9783979,0.9783979,0.992531845,0.678304239,0.622584541,0.65044439,1.089497401,1.089497401,1.055719698,1.055719698,0.634487841,0.631428571,0.632958206,1.004844997,1.004844997,1.003059269,1.003059269,0.636182903,0.625912409,0.631047656,None,None,1,None,None,1,0.37593985,0.487562189,0.431751019,0.771060304,0.771060304,0.888377661,0.888377661,0.472096531,0.47080292,0.471449725,1.00274767,1.00274767,1.001293611,1.001293611,0.468619247,0.481818182,0.475218714,None,None,1,None,None,1,0.828358209,0.75,0.789179104,1.104477612,1.104477612,1.078358209,1.078358209,0.78962536,0.734741784,0.762183572,1.074697775,1.074697775,1.054883576,1.054883576,0.787878788,0.722560976,0.755219882,None,None,1,None,None,1,0.171641791,0.25,0.210820896,0.686567164,0.686567164,0.921641791,0.921641791,0.21037464,0.265258216,0.237816428,0.793093775,0.793093775,0.945116424,0.945116424,0.212121212,0.277439024,0.244780118,None,None,1,None,None,1,0.62406015,0.512437811,0.568248981,1.217826119,1.217826119,1.111622339,1.111622339,0.527903469,0.52919708,0.528550275,0.997555521,0.997555521,0.998706389,0.998706389,0.531380753,0.518181818,0.524781286,None,None,1,None,None,1,0.239401496,0.365338164,0.30236983,0.655287401,0.655287401,0.874063332,0.874063332,0.338246131,0.345714286,0.341980208,0.9783979,0.9783979,0.992531845,0.992531845,0.333996024,0.359489051,0.346742537,None,None,1,None,None,1,0.520833333,0.647933884,0.584383609,0.80383716,0.80383716,0.872899449,0.872899449,0.681917211,0.533057851,0.607487531,1.279255544,1.279255544,1.14885936,1.14885936,0.666666667,0.538071066,0.602368866,None,None,1,None,None,1,0.272131148,0.392007612,0.33206938,0.694198631,0.694198631,0.880123536,0.880123536,0.389755011,0.316593886,0.353174449,1.231088242,1.231088242,1.073161125,1.073161125,0.379104478,0.324786325,0.351945401,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,3,0.63976665,0.436499466,0.809821429,0.623160447,0.267090793,0.885269008,0.885269008,0.962466575,0.677922078,0.630980861,0.65445147,1.074394042,1.074394042,1.046941217,1.046941217,0.627118644,0.664285714,0.645702179,0.944049572,0.944049572,0.96283293,0.96283293,0.630952381,0.664220183,0.647586282,None,None,1,None,None,1,0.382352941,0.445692884,0.414022913,0.85788433,0.85788433,0.936660057,0.936660057,0.414781297,0.489051095,0.451916196,0.848134891,0.848134891,0.925730202,0.925730202,0.418410042,0.495454545,0.456932294,None,None,1,None,None,1,0.83935743,0.801377727,0.820367578,1.04739301,1.04739301,1.037979703,1.037979703,0.829971182,0.776995305,0.803483243,1.068180433,1.068180433,1.052975876,1.052975876,0.822641509,0.778461538,0.800551524,None,None,1,None,None,1,0.16064257,0.198622273,0.179632422,0.80878427,0.80878427,0.962020297,0.962020297,0.170028818,0.223004695,0.196516757,0.762445017,0.762445017,0.947024124,0.947024124,0.177358491,0.221538462,0.199448476,None,None,1,None,None,1,0.617647059,0.554307116,0.585977087,1.11426868,1.11426868,1.063339943,1.063339943,0.585218703,0.510948905,0.548083804,1.145356604,1.145356604,1.074269798,1.074269798,0.581589958,0.504545455,0.543067706,None,None,1,None,None,1,0.238961039,0.316985646,0.277973342,0.753854447,0.753854447,0.921975393,0.921975393,0.289609433,0.327142857,0.308376145,0.885269008,0.885269008,0.962466575,0.962466575,0.291666667,0.332110092,0.311888379,None,None,1,None,None,1,0.565217391,0.673584906,0.619401148,0.839118256,0.839118256,0.891632486,0.891632486,0.699745547,0.585152838,0.642449193,1.195833808,1.195833808,1.114592709,1.114592709,0.680272109,0.602209945,0.641241027,None,None,1,None,None,1,0.28668942,0.388791594,0.337740507,0.73738585,0.73738585,0.897897826,0.897897826,0.402489627,0.297239915,0.349864771,1.354090101,1.354090101,1.105249711,1.105249711,0.389355742,0.304945055,0.347150399,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,4,0.627613029,0.468516542,0.760714286,0.614615414,0.240367219,0.991187415,0.991187415,0.996953364,0.693877551,0.612012012,0.652944782,1.133764595,1.133764595,1.081865539,1.081865539,0.612380251,0.657142857,0.634761554,0.93188299,0.93188299,0.955237393,0.955237393,0.625082508,0.634686347,0.629884428,None,None,1,None,None,1,0.471428571,0.468005019,0.469716795,1.007315205,1.007315205,1.003423553,1.003423553,0.453996983,0.503649635,0.478823309,0.9014143,0.9014143,0.950347348,0.950347348,0.459722222,0.497695853,0.478709037,None,None,1,None,None,1,0.817460317,0.744239631,0.780849974,1.098383213,1.098383213,1.073220686,1.073220686,0.763688761,0.755868545,0.759778653,1.010346,1.010346,1.007820216,1.007820216,0.774842767,0.726153846,0.750498307,None,None,1,None,None,1,0.182539683,0.255760369,0.219150026,0.713713714,0.713713714,0.926779314,0.926779314,0.236311239,0.244131455,0.240221347,0.967967191,0.967967191,0.992179784,0.992179784,0.225157233,0.273846154,0.249501693,None,None,1,None,None,1,0.528571429,0.531994981,0.530283205,0.99356469,0.99356469,0.996576447,0.996576447,0.546003017,0.496350365,0.521176691,1.100035489,1.100035489,1.049652652,1.049652652,0.540277778,0.502304147,0.521290963,None,None,1,None,None,1,0.285714286,0.357357357,0.321535822,0.799519808,0.799519808,0.928356928,0.928356928,0.342667649,0.345714286,0.344190967,0.991187415,0.991187415,0.996953364,0.996953364,0.336633663,0.363468635,0.350051149,None,None,1,None,None,1,0.589285714,0.626890756,0.608088235,0.940013405,0.940013405,0.962394958,0.962394958,0.647311828,0.570247934,0.608779881,1.135141032,1.135141032,1.077063894,1.077063894,0.649019608,0.54822335,0.598621479,None,None,1,None,None,1,0.264285714,0.396261682,0.330273698,0.666947439,0.666947439,0.868024032,0.868024032,0.405829596,0.296943231,0.351386414,1.366690847,1.366690847,1.108886365,1.108886365,0.387064677,0.315942029,0.351503353,None,None,1,None,None,1
