algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
GP,s_as_input=False,0,0.810343113,0.452257291,0.929025424,0.690641357,0.443207589,0.566142764,0.566142764,0.923366108,0.858156028,0.802544824,0.830350426,1.069293581,1.069293581,1.055611205,1.055611205,0.896774194,0.768970588,0.832872391,1.166200902,1.166200902,1.127803605,1.127803605,0.879357231,0.763893511,0.821625371,None,None,1,None,None,1,0.367713004,0.460526316,0.41411966,0.798462524,0.798462524,0.907186689,0.907186689,0.295392954,0.479381443,0.387387199,0.616196054,0.616196054,0.816011511,0.816011511,0.321818182,0.488991295,0.405404739,None,None,1,None,None,1,0.950294861,0.925058916,0.937676888,1.027280365,1.027280365,1.025235945,1.025235945,0.973665974,0.901414488,0.937540231,1.080153455,1.080153455,1.072251486,1.072251486,0.967095851,0.89622874,0.931662296,None,None,1,None,None,1,0.049705139,0.074941084,0.062323112,0.663256205,0.663256205,0.974764055,0.974764055,0.026334026,0.098585512,0.062459769,0.267118624,0.267118624,0.927748514,0.927748514,0.032904149,0.10377126,0.068337704,None,None,1,None,None,1,0.632286996,0.539473684,0.58588034,1.172044187,1.172044187,1.092813311,1.092813311,0.704607046,0.520618557,0.612612801,1.353403633,1.353403633,1.183988489,1.183988489,0.678181818,0.511008705,0.594595261,None,None,1,None,None,1,0.1,0.176633892,0.138316946,0.566142764,0.566142764,0.923366108,0.923366108,0.056835637,0.218088235,0.137461936,0.260608452,0.260608452,0.838747402,0.838747402,0.072187886,0.228951747,0.150569817,None,None,1,None,None,1,0.581560284,0.68762279,0.634591537,0.845754813,0.845754813,0.893937494,0.893937494,0.589189189,0.689817937,0.639503563,0.854122744,0.854122744,0.899371253,0.899371253,0.606164384,0.694040698,0.650102541,None,None,1,None,None,1,0.111111111,0.172801349,0.14195623,0.642999097,0.642999097,0.938309762,0.938309762,0.084690554,0.208952417,0.146821485,0.405310238,0.405310238,0.875738137,0.875738137,0.099387157,0.215364696,0.157375926,None,None,1,None,None,1
GP,s_as_input=False,1,0.812630532,0.463443867,0.928363347,0.695903607,0.451891791,0.59295993,0.59295993,0.926972915,0.858865248,0.805089647,0.831977448,1.06679455,1.06679455,1.053775601,1.053775601,0.893087558,0.774117647,0.833602602,1.153684535,1.153684535,1.118969911,1.118969911,0.876077852,0.769679787,0.822878819,None,None,1,None,None,1,0.390134529,0.470614035,0.430374282,0.828990425,0.828990425,0.919520494,0.919520494,0.313351499,0.48923221,0.401291854,0.64049646,0.64049646,0.824119289,0.824119289,0.347272727,0.496159754,0.421716241,None,None,1,None,None,1,0.946925021,0.924901807,0.935913414,1.023811408,1.023811408,1.022023214,1.022023214,0.966759003,0.904588336,0.935673669,1.068728132,1.068728132,1.062170667,1.062170667,0.958962667,0.90180559,0.930384129,None,None,1,None,None,1,0.053074979,0.075098193,0.064086586,0.70674109,0.70674109,0.977976786,0.977976786,0.033240997,0.095411664,0.064326331,0.348395531,0.348395531,0.937829333,0.937829333,0.041037333,0.09819441,0.069615871,None,None,1,None,None,1,0.609865471,0.529385965,0.569625718,1.152024253,1.152024253,1.080479506,1.080479506,0.686648501,0.51076779,0.598708146,1.344345737,1.344345737,1.175880711,1.175880711,0.652727273,0.503840246,0.578283759,None,None,1,None,None,1,0.106382979,0.179410064,0.142896521,0.59295993,0.59295993,0.926972915,0.926972915,0.064823349,0.219117647,0.141970498,0.295838101,0.295838101,0.845705702,0.845705702,0.082532644,0.227818546,0.155175595,None,None,1,None,None,1,0.58,0.691811734,0.635905867,0.838378378,0.838378378,0.888188266,0.888188266,0.545023697,0.701342282,0.623182989,0.777115127,0.777115127,0.843681415,0.843681415,0.570149254,0.709370425,0.639759839,None,None,1,None,None,1,0.107936508,0.170143783,0.139040146,0.634384082,0.634384082,0.937792724,0.937792724,0.082785808,0.205461394,0.144123601,0.402926344,0.402926344,0.877324415,0.877324415,0.096401719,0.212526998,0.154464358,None,None,1,None,None,1
GP,s_as_input=False,2,0.813426156,0.470635238,0.927039195,0.698837216,0.455694079,0.677307242,0.677307242,0.941881709,0.85035461,0.807403123,0.828878867,1.053197078,1.053197078,1.042951487,1.042951487,0.899027908,0.773667346,0.836347627,1.16203419,1.16203419,1.125360562,1.125360562,0.880694689,0.769483722,0.825089206,None,None,1,None,None,1,0.412556054,0.476315789,0.444435922,0.866139781,0.866139781,0.936240264,0.936240264,0.338753388,0.49343955,0.416096469,0.686514462,0.686514462,0.845313837,0.845313837,0.370848708,0.498215196,0.434531952,None,None,1,None,None,1,0.932603201,0.926001571,0.929302386,1.007129178,1.007129178,1.00660163,1.00660163,0.972340426,0.900042265,0.936191345,1.080327517,1.080327517,1.07229816,1.07229816,0.961235791,0.898568309,0.92990205,None,None,1,None,None,1,0.067396799,0.073998429,0.070697614,0.910786886,0.910786886,0.99339837,0.99339837,0.027659574,0.099957735,0.063808655,0.276712698,0.276712698,0.92770184,0.92770184,0.038764209,0.101431691,0.07009795,None,None,1,None,None,1,0.587443946,0.523684211,0.555564078,1.121752259,1.121752259,1.063759736,1.063759736,0.661246612,0.50656045,0.583903531,1.305365653,1.305365653,1.154686163,1.154686163,0.629151292,0.501784804,0.565468048,None,None,1,None,None,1,0.121985816,0.180104106,0.151044961,0.677307242,0.677307242,0.941881709,0.941881709,0.063656319,0.222254588,0.142955453,0.286411719,0.286411719,0.841401731,0.841401731,0.084067455,0.22936534,0.156716398,None,None,1,None,None,1,0.534883721,0.697495183,0.616189452,0.766863677,0.766863677,0.837388538,0.837388538,0.615763547,0.690039318,0.652901433,0.892360088,0.892360088,0.925724228,0.925724228,0.601796407,0.700358423,0.651077415,None,None,1,None,None,1,0.105815832,0.168453725,0.137134778,0.628159646,0.628159646,0.937362107,0.937362107,0.081714668,0.202434457,0.142074563,0.403659879,0.403659879,0.879280212,0.879280212,0.093707062,0.209942394,0.151824728,None,None,1,None,None,1
GP,s_as_input=False,3,0.812332173,0.463443867,0.927966102,0.695704985,0.45111707,0.613516384,0.613516384,0.930750362,0.856737589,0.805089647,0.830913618,1.064151789,1.064151789,1.051647941,1.051647941,0.892364305,0.773918163,0.833141234,1.153047374,1.153047374,1.118446142,1.118446142,0.876972387,0.768628105,0.822800246,None,None,1,None,None,1,0.394618834,0.470175439,0.432397136,0.839301252,0.839301252,0.924443395,0.924443395,0.304347826,0.490866511,0.397607168,0.620021573,0.620021573,0.813481316,0.813481316,0.347349177,0.49591002,0.421629599,None,None,1,None,None,1,0.943555181,0.925058916,0.934307049,1.019994689,1.019994689,1.018496265,1.018496265,0.967162115,0.903627388,0.935394752,1.070310759,1.070310759,1.063534728,1.063534728,0.95953263,0.900568884,0.930050757,None,None,1,None,None,1,0.056444819,0.074941084,0.065692951,0.75318925,0.75318925,0.981503735,0.981503735,0.032837885,0.096372612,0.064605248,0.340738762,0.340738762,0.936465272,0.936465272,0.04046737,0.099431116,0.069949243,None,None,1,None,None,1,0.605381166,0.529824561,0.567602864,1.142606836,1.142606836,1.075556605,1.075556605,0.695652174,0.509133489,0.602392832,1.366345346,1.366345346,1.186518684,1.186518684,0.652650823,0.50408998,0.578370401,None,None,1,None,None,1,0.109929078,0.179178716,0.144553897,0.613516384,0.613516384,0.930750362,0.930750362,0.063477461,0.220341478,0.141909469,0.288086753,0.288086753,0.843135983,0.843135983,0.081854043,0.228704784,0.155279414,None,None,1,None,None,1,0.567741935,0.692059393,0.629900664,0.820365912,0.820365912,0.875682542,0.875682542,0.541062802,0.7000668,0.620564801,0.772873105,0.772873105,0.840996002,0.840996002,0.572289157,0.706997085,0.639643121,None,None,1,None,None,1,0.107569721,0.170236753,0.138903237,0.631883064,0.631883064,0.937332968,0.937332968,0.083824492,0.205210497,0.144517494,0.40848053,0.40848053,0.878613996,0.878613996,0.095864662,0.213097039,0.15448085,None,None,1,None,None,1
GP,s_as_input=False,4,0.81422178,0.457451059,0.93246822,0.69495964,0.454671238,0.611083622,0.611083622,0.93229391,0.857446809,0.807171776,0.832309292,1.06228542,1.06228542,1.050275033,1.050275033,0.897302269,0.774326513,0.835814391,1.158816409,1.158816409,1.122975756,1.122975756,0.880388737,0.770274743,0.82533174,None,None,1,None,None,1,0.385650224,0.464473684,0.425061954,0.8302951,0.8302951,0.92117654,0.92117654,0.284153005,0.487131493,0.385642249,0.583318898,0.583318898,0.797021513,0.797021513,0.327171904,0.493374108,0.410273006,None,None,1,None,None,1,0.946082561,0.929929301,0.938005931,1.017370418,1.017370418,1.01615326,1.01615326,0.974792818,0.906142612,0.940467715,1.075760929,1.075760929,1.068650206,1.068650206,0.966589862,0.903431373,0.935010617,None,None,1,None,None,1,0.053917439,0.070070699,0.061994069,0.76947197,0.76947197,0.98384674,0.98384674,0.025207182,0.093857388,0.059532285,0.268568972,0.268568972,0.931349794,0.931349794,0.033410138,0.096568627,0.064989383,None,None,1,None,None,1,0.614349776,0.535526316,0.574938046,1.147188771,1.147188771,1.07882346,1.07882346,0.715846995,0.512868507,0.614357751,1.39577101,1.39577101,1.202978487,1.202978487,0.672828096,0.506625892,0.589726994,None,None,1,None,None,1,0.106382979,0.174089069,0.140236024,0.611083622,0.611083622,0.93229391,0.93229391,0.054261189,0.217576917,0.135919053,0.249388539,0.249388539,0.836684272,0.836684272,0.073012709,0.225422046,0.149217377,None,None,1,None,None,1,0.573333333,0.703654485,0.638493909,0.814793831,0.814793831,0.869678848,0.869678848,0.587570621,0.704330176,0.645950399,0.834226108,0.834226108,0.883240446,0.883240446,0.604095563,0.71071953,0.657407547,None,None,1,None,None,1,0.108730159,0.171008403,0.139869281,0.635817636,0.635817636,0.937721755,0.937721755,0.084927066,0.206208843,0.145567955,0.411849779,0.411849779,0.878718224,0.878718224,0.097849462,0.212393162,0.155121312,None,None,1,None,None,1
FairGPopp*A,s_as_input=True,0,0.809149677,0.476628046,0.91935911,0.697993578,0.446435991,0.65947203,0.65947203,0.935912203,0.845390071,0.803238866,0.824314469,1.05247655,1.05247655,1.042151205,1.042151205,0.897388633,0.766911765,0.832150199,1.170132829,1.170132829,1.130476868,1.130476868,0.877132262,0.763394343,0.820263302,None,None,1,None,None,1,0.403587444,0.48377193,0.443679687,0.834251471,0.834251471,0.919815514,0.919815514,0.303523035,0.50656045,0.405041743,0.599184234,0.599184234,0.796962585,0.796962585,0.350909091,0.51203277,0.431470931,None,None,1,None,None,1,0.928390901,0.917674784,0.923032843,1.011677467,1.011677467,1.010716117,1.010716117,0.973319473,0.885983712,0.929651593,1.098574906,1.098574906,1.087335761,1.087335761,0.959942775,0.884397338,0.922170057,None,None,1,None,None,1,0.071609099,0.082325216,0.076967157,0.869831894,0.869831894,0.989283883,0.989283883,0.026680527,0.114016288,0.070348407,0.234006273,0.234006273,0.912664239,0.912664239,0.040057225,0.115602662,0.077829943,None,None,1,None,None,1,0.596412556,0.51622807,0.556320313,1.155327636,1.155327636,1.080184486,1.080184486,0.696476965,0.49343955,0.594958257,1.411473735,1.411473735,1.203037415,1.203037415,0.649090909,0.48796723,0.568529069,None,None,1,None,None,1,0.124113475,0.188201272,0.156157374,0.65947203,0.65947203,0.935912203,0.935912203,0.058064516,0.237205882,0.147635199,0.244785313,0.244785313,0.820858634,0.820858634,0.082323857,0.244425957,0.163374907,None,None,1,None,None,1,0.514285714,0.677934849,0.596110282,0.758606398,0.758606398,0.836350865,0.836350865,0.592592593,0.670179789,0.631386191,0.88422928,0.88422928,0.922412803,0.922412803,0.57957958,0.680735194,0.630157387,None,None,1,None,None,1,0.107692308,0.167711599,0.137701953,0.642127965,0.642127965,0.939980709,0.939980709,0.08382257,0.203007519,0.143415044,0.412903771,0.412903771,0.880815051,0.880815051,0.096174569,0.209865668,0.153020119,None,None,1,None,None,1
FairGPopp*A,s_as_input=True,1,0.809050224,0.469436676,0.921610169,0.695523423,0.44427007,0.656914894,0.656914894,0.936661211,0.853900709,0.801735107,0.827817908,1.065065882,1.065065882,1.052165602,1.052165602,0.896466974,0.767205882,0.831836428,1.168482926,1.168482926,1.129261092,1.129261092,0.879280611,0.761507672,0.820394141,None,None,1,None,None,1,0.421524664,0.474122807,0.447823735,0.889062195,0.889062195,0.947401857,0.947401857,0.297002725,0.49906367,0.398033198,0.595119906,0.595119906,0.797939054,0.797939054,0.352727273,0.502304147,0.42751571,None,None,1,None,None,1,0.935130581,0.919088767,0.927109674,1.017454043,1.017454043,1.016041815,1.016041815,0.972645429,0.890008576,0.931327003,1.092849502,1.092849502,1.082636853,1.082636853,0.961812482,0.886717784,0.924265133,None,None,1,None,None,1,0.064869419,0.080911233,0.072890326,0.801735631,0.801735631,0.983958185,0.983958185,0.027354571,0.109991424,0.068672997,0.248697305,0.248697305,0.917363147,0.917363147,0.038187518,0.113282216,0.075734867,None,None,1,None,None,1,0.578475336,0.525877193,0.552176265,1.100019822,1.100019822,1.052598143,1.052598143,0.702997275,0.50093633,0.601966802,1.403366523,1.403366523,1.202060946,1.202060946,0.647272727,0.497695853,0.57248429,None,None,1,None,None,1,0.121276596,0.184615385,0.15294599,0.656914894,0.656914894,0.936661211,0.936661211,0.057757296,0.232205882,0.144981589,0.248733132,0.248733132,0.825551414,0.825551414,0.080808081,0.239993329,0.160400705,None,None,1,None,None,1,0.549707602,0.677318296,0.613512949,0.811594203,0.811594203,0.872389307,0.872389307,0.579787234,0.67511083,0.627449032,0.858803042,0.858803042,0.904676404,0.904676404,0.591463415,0.681723419,0.636593417,None,None,1,None,None,1,0.104116223,0.170095049,0.137105636,0.612106134,0.612106134,0.934021174,0.934021174,0.084121291,0.204941582,0.144531437,0.41046473,0.41046473,0.879179709,0.879179709,0.095416778,0.213298223,0.1543575,None,None,1,None,None,1
FairGPopp*A,s_as_input=True,2,0.813625062,0.495805034,0.918961864,0.707383449,0.462559827,0.667791402,0.667791402,0.935787095,0.858865248,0.806246385,0.832555817,1.065263999,1.065263999,1.052618863,1.052618863,0.894010662,0.77628896,0.835149811,1.151646755,1.151646755,1.117721702,1.117721702,0.879687893,0.77047024,0.825079067,None,None,1,None,None,1,0.461883408,0.499122807,0.480503108,0.925390308,0.925390308,0.962760601,0.962760601,0.292682927,0.530927835,0.411805381,0.551266872,0.551266872,0.761755092,0.761755092,0.365313653,0.531871494,0.448592574,None,None,1,None,None,1,0.933445661,0.916260801,0.924853231,1.018755424,1.018755424,1.01718486,1.01718486,0.972695035,0.886939983,0.929817509,1.096686421,1.096686421,1.085755052,1.085755052,0.960944331,0.884008736,0.922476533,None,None,1,None,None,1,0.066554339,0.083739199,0.075146769,0.794781174,0.794781174,0.98281514,0.98281514,0.027304965,0.113060017,0.070182491,0.241508584,0.241508584,0.914244948,0.914244948,0.039055669,0.115991264,0.077523467,None,None,1,None,None,1,0.538116592,0.500877193,0.519496892,1.074348362,1.074348362,1.037239399,1.037239399,0.707317073,0.469072165,0.588194619,1.507906727,1.507906727,1.238244908,1.238244908,0.634686347,0.468128506,0.551407426,None,None,1,None,None,1,0.129078014,0.19329092,0.161184467,0.667791402,0.667791402,0.935787095,0.935787095,0.058011916,0.242936207,0.150474062,0.238794853,0.238794853,0.815075709,0.815075709,0.083564057,0.25008221,0.166823134,None,None,1,None,None,1,0.565934066,0.681029324,0.623481695,0.830998088,0.830998088,0.884904742,0.884904742,0.583783784,0.679256595,0.631520189,0.859445147,0.859445147,0.904527189,0.904527189,0.596385542,0.68573307,0.641059306,None,None,1,None,None,1,0.09771987,0.163751075,0.130735473,0.596758644,0.596758644,0.933968794,0.933968794,0.086884154,0.192574067,0.139729111,0.451172662,0.451172662,0.894310088,0.894310088,0.094479539,0.201271651,0.147875595,None,None,1,None,None,1
FairGPopp*A,s_as_input=True,3,0.812928891,0.478226129,0.923861229,0.701043679,0.456305963,0.629526407,0.629526407,0.93113348,0.865248227,0.804395604,0.834821916,1.075650118,1.075650118,1.060852623,1.060852623,0.900950629,0.770680012,0.83581532,1.169033341,1.169033341,1.130270617,1.130270617,0.883629191,0.765127521,0.824378356,None,None,1,None,None,1,0.443946188,0.481578947,0.462762568,0.921855473,0.921855473,0.962367241,0.962367241,0.277173913,0.512880562,0.395027238,0.540425849,0.540425849,0.764293351,0.764293351,0.349177331,0.514314928,0.43174613,None,None,1,None,None,1,0.944397641,0.920031422,0.932214531,1.026484116,1.026484116,1.024366219,1.024366219,0.980297269,0.888817343,0.934557306,1.102923202,1.102923202,1.091479926,1.091479926,0.966942149,0.886470443,0.926706296,None,None,1,None,None,1,0.055602359,0.079968578,0.067785469,0.695302582,0.695302582,0.975633781,0.975633781,0.019702731,0.111182657,0.065442694,0.177210468,0.177210468,0.908520074,0.908520074,0.033057851,0.113529557,0.073293704,None,None,1,None,None,1,0.556053812,0.518421053,0.537237432,1.072591109,1.072591109,1.037632759,1.037632759,0.722826087,0.487119438,0.604972762,1.483878554,1.483878554,1.235706649,1.235706649,0.650822669,0.485685072,0.56825387,None,None,1,None,None,1,0.117021277,0.185887796,0.151454537,0.629526407,0.629526407,0.93113348,0.93113348,0.04875805,0.237415366,0.143086708,0.205370235,0.205370235,0.811342683,0.811342683,0.075690335,0.244207368,0.159948852,None,None,1,None,None,1,0.6,0.683260734,0.641630367,0.878142077,0.878142077,0.916739266,0.916739266,0.641509434,0.678859268,0.660184351,0.944981477,0.944981477,0.962650166,0.962650166,0.622149837,0.68668942,0.654419628,None,None,1,None,None,1,0.099598394,0.167945439,0.133771916,0.593040181,0.593040181,0.931652955,0.931652955,0.085751128,0.200733449,0.143242289,0.427189034,0.427189034,0.885017679,0.885017679,0.094958656,0.209528011,0.152243333,None,None,1,None,None,1
FairGPopp*A,s_as_input=True,4,0.809448036,0.455453456,0.926774364,0.69111391,0.441672285,0.539829805,0.539829805,0.917174688,0.860992908,0.801041064,0.831016986,1.07484241,1.07484241,1.059951844,1.059951844,0.89055794,0.770499043,0.830528492,1.155819657,1.155819657,1.120058897,1.120058897,0.875155744,0.765806024,0.820480884,None,None,1,None,None,1,0.367713004,0.464035088,0.415874046,0.792425,0.792425,0.903677917,0.903677917,0.224043716,0.49508657,0.359565143,0.452534424,0.452534424,0.728957146,0.728957146,0.290203327,0.501019368,0.395611348,None,None,1,None,None,1,0.953664701,0.921759623,0.937712162,1.03461323,1.03461323,1.031905078,1.031905078,0.974792818,0.896907216,0.935850017,1.086837969,1.086837969,1.077885601,1.077885601,0.966301843,0.893137255,0.929719549,None,None,1,None,None,1,0.046335299,0.078240377,0.062287838,0.592217226,0.592217226,0.968094922,0.968094922,0.025207182,0.103092784,0.064149983,0.244509669,0.244509669,0.922114399,0.922114399,0.033698157,0.106862745,0.070280451,None,None,1,None,None,1,0.632286996,0.535964912,0.584125954,1.179717144,1.179717144,1.096322083,1.096322083,0.775956284,0.50491343,0.640434857,1.536810546,1.536810546,1.271042854,1.271042854,0.709796673,0.498980632,0.604388652,None,None,1,None,None,1,0.097163121,0.179988433,0.138575777,0.539829805,0.539829805,0.917174688,0.917174688,0.047516861,0.226409539,0.1369632,0.209871285,0.209871285,0.821107322,0.821107322,0.068278096,0.234856008,0.151567052,None,None,1,None,None,1,0.598540146,0.679948586,0.639244366,0.880272653,0.880272653,0.91859156,0.91859156,0.529032258,0.687906372,0.608469315,0.769046893,0.769046893,0.841125886,0.841125886,0.572992701,0.692741367,0.632867034,None,None,1,None,None,1,0.11076198,0.172379743,0.141570861,0.642546377,0.642546377,0.938382236,0.938382236,0.091406501,0.205328259,0.14836738,0.445172535,0.445172535,0.886078243,0.886078243,0.102701257,0.211767251,0.157234254,None,None,1,None,None,1
