algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
UGP_eq_opp*A,s_as_input=True,0,0.605250365,0.383137673,0.791071429,0.587104551,0.191536596,1.360814861,1.360814861,1.084018318,0.63840399,0.597222222,0.617813106,1.068955518,1.068955518,1.041181768,1.041181768,0.595431098,0.624285714,0.609858406,0.953779791,0.953779791,0.971145384,0.971145384,0.600660066,0.618081181,0.609370623,None,None,1,None,None,1,0.355263158,0.388535032,0.371899095,0.914365833,0.914365833,0.966728126,0.966728126,0.41025641,0.317518248,0.363887329,1.292071913,1.292071913,1.092738162,1.092738162,0.401650619,0.319047619,0.360349119,None,None,1,None,None,1,0.81124498,0.785304248,0.798274614,1.033032716,1.033032716,1.025940732,1.025940732,0.772334294,0.821596244,0.796965269,0.940041169,0.940041169,0.95073805,0.95073805,0.784263959,0.807228916,0.795746438,None,None,1,None,None,1,0.18875502,0.214695752,0.201725386,0.879174452,0.879174452,0.974059268,0.974059268,0.227665706,0.178403756,0.203034731,1.276126194,1.276126194,1.04926195,1.04926195,0.215736041,0.192771084,0.204253562,None,None,1,None,None,1,0.644736842,0.611464968,0.628100905,1.054413377,1.054413377,1.033271874,1.033271874,0.58974359,0.682481752,0.636112671,0.864116276,0.864116276,0.907261838,0.907261838,0.598349381,0.680952381,0.639650881,None,None,1,None,None,1,0.251870324,0.297101449,0.274485887,0.847758652,0.847758652,0.954768875,0.954768875,0.316875461,0.232857143,0.274866302,1.360814861,1.360814861,1.084018318,1.084018318,0.304950495,0.241697417,0.273323956,None,None,1,None,None,1,0.534653465,0.619918699,0.577286082,0.862457393,0.862457393,0.914734766,0.914734766,0.63255814,0.533742331,0.583150235,1.185137664,1.185137664,1.098815808,1.098815808,0.632034632,0.511450382,0.571742507,None,None,1,None,None,1,0.326666667,0.412371134,0.3695189,0.792166667,0.792166667,0.914295533,0.914295533,0.421790723,0.348230912,0.385010818,1.2112386,1.2112386,1.07355981,1.07355981,0.413105413,0.347931873,0.380518643,None,None,1,None,None,1
UGP_eq_opp*A,s_as_input=True,1,0.585318425,0.321237994,0.80625,0.563743997,0.146272911,1.326963637,1.326963637,1.067728182,0.625344353,0.57674144,0.601042896,1.08427158,1.08427158,1.048602912,1.048602912,0.575534267,0.604285714,0.589909991,0.952420772,0.952420772,0.971248552,0.971248552,0.580106809,0.599284436,0.589695623,None,None,1,None,None,1,0.302325581,0.324257426,0.313291504,0.932362862,0.932362862,0.978068156,0.978068156,0.346907994,0.259124088,0.303016041,1.338771695,1.338771695,1.087783906,1.087783906,0.33943662,0.264317181,0.3018769,None,None,1,None,None,1,0.803418803,0.806997743,0.805208273,0.995565119,0.995565119,0.996421061,0.996421061,0.793948127,0.82629108,0.810119603,0.960857676,0.960857676,0.967657047,0.967657047,0.796954315,0.828313253,0.812633784,None,None,1,None,None,1,0.196581197,0.193002257,0.194791727,1.01854351,1.01854351,1.003578939,1.003578939,0.206051873,0.17370892,0.189880397,1.186190513,1.186190513,1.032342953,1.032342953,0.203045685,0.171686747,0.187366216,None,None,1,None,None,1,0.697674419,0.675742574,0.686708496,1.032455916,1.032455916,1.021931844,1.021931844,0.653092006,0.740875912,0.696983959,0.881513348,0.881513348,0.912216094,0.912216094,0.66056338,0.735682819,0.6981231,None,None,1,None,None,1,0.23415978,0.255608028,0.244883904,0.916089299,0.916089299,0.978551751,0.978551751,0.274871039,0.207142857,0.241006948,1.326963637,1.326963637,1.067728182,1.067728182,0.267690254,0.209302326,0.23849629,None,None,1,None,None,1,0.458823529,0.605080831,0.53195218,0.758284688,0.758284688,0.853742698,0.853742698,0.616621984,0.489655172,0.553138578,1.259298418,1.259298418,1.126966812,1.126966812,0.600997506,0.512820513,0.55690901,None,None,1,None,None,1,0.323741007,0.432989691,0.378365349,0.747687564,0.747687564,0.890751316,0.890751316,0.44004065,0.365765766,0.402903208,1.203066803,1.203066803,1.074274885,1.074274885,0.427529626,0.377828054,0.40267884,None,None,1,None,None,1
UGP_eq_opp*A,s_as_input=True,2,0.595041322,0.372465315,0.78125,0.576857657,0.168919801,1.554502181,1.554502181,1.117237604,0.597402597,0.594497608,0.595950103,1.004886462,1.004886462,1.00290499,1.00290499,0.589535741,0.605714286,0.597625013,0.973290138,0.973290138,0.983821455,0.983821455,0.590432503,0.608286252,0.599359378,None,None,1,None,None,1,0.304347826,0.384230288,0.344289057,0.792097437,0.792097437,0.920117538,0.920117538,0.416289593,0.266423358,0.341356475,1.562511622,1.562511622,1.149866235,1.149866235,0.4,0.281105991,0.340552995,None,None,1,None,None,1,0.761133603,0.786941581,0.774037592,0.96720471,0.96720471,0.974192022,0.974192022,0.755043228,0.823943662,0.789493445,0.916377251,0.916377251,0.931099566,0.931099566,0.760545906,0.834394904,0.797470405,None,None,1,None,None,1,0.238866397,0.213058419,0.225962408,1.121130991,1.121130991,1.025807978,1.025807978,0.244956772,0.176056338,0.210506555,1.391354467,1.391354467,1.068900434,1.068900434,0.239454094,0.165605096,0.202529595,None,None,1,None,None,1,0.695652174,0.615769712,0.655710943,1.129727819,1.129727819,1.079882462,1.079882462,0.583710407,0.733576642,0.658643525,0.795704734,0.795704734,0.850133765,0.850133765,0.6,0.718894009,0.659447005,None,None,1,None,None,1,0.262337662,0.294856459,0.278597061,0.889713127,0.889713127,0.967481203,0.967481203,0.328666175,0.211428571,0.270047373,1.554502181,1.554502181,1.117237604,1.117237604,0.315203145,0.212806026,0.264004586,None,None,1,None,None,1,0.415841584,0.622718053,0.519279818,0.667784694,0.667784694,0.793123531,0.793123531,0.618834081,0.493243243,0.556038662,1.25462252,1.25462252,1.125590837,1.125590837,0.598752599,0.539823009,0.569287804,None,None,1,None,None,1,0.338028169,0.417302799,0.377665484,0.810030917,0.810030917,0.92072537,0.92072537,0.424807903,0.364130435,0.394469169,1.16663663,1.16663663,1.060677469,1.060677469,0.413397129,0.373205742,0.393301435,None,None,1,None,None,1
UGP_eq_opp*A,s_as_input=True,3,0.601847351,0.374599787,0.791964286,0.583282036,0.183972259,1.505986854,1.505986854,1.107702916,0.652061856,0.590173757,0.621117806,1.1048642,1.1048642,1.061888099,1.061888099,0.593220339,0.618571429,0.605895884,0.959016714,0.959016714,0.97464891,0.97464891,0.597093791,0.615101289,0.60609754,None,None,1,None,None,1,0.333333333,0.381727159,0.357530246,0.873224044,0.873224044,0.951606174,0.951606174,0.411764706,0.284671533,0.348218119,1.446455505,1.446455505,1.127093173,1.127093173,0.39888424,0.295454545,0.347169393,None,None,1,None,None,1,0.828,0.781609195,0.804804598,1.059352941,1.059352941,1.046390805,1.046390805,0.766570605,0.833333333,0.799951969,0.919884726,0.919884726,0.933237272,0.933237272,0.775407779,0.832817337,0.804112558,None,None,1,None,None,1,0.172,0.218390805,0.195195402,0.787578947,0.787578947,0.953609195,0.953609195,0.233429395,0.166666667,0.200048031,1.400576369,1.400576369,1.066762728,1.066762728,0.224592221,0.167182663,0.195887442,None,None,1,None,None,1,0.666666667,0.618272841,0.642469754,1.078272605,1.078272605,1.048393826,1.048393826,0.588235294,0.715328467,0.651781881,0.822328932,0.822328932,0.872906827,0.872906827,0.60111576,0.704545455,0.652830607,None,None,1,None,None,1,0.229381443,0.296584781,0.262983112,0.773409351,0.773409351,0.932796662,0.932796662,0.320560059,0.212857143,0.266708601,1.505986854,1.505986854,1.107702916,1.107702916,0.307133421,0.219152855,0.263143138,None,None,1,None,None,1,0.516853933,0.616161616,0.566507774,0.838828514,0.838828514,0.900692316,0.900692316,0.627586207,0.523489933,0.57553807,1.198850575,1.198850575,1.104096274,1.104096274,0.615053763,0.546218487,0.580636125,None,None,1,None,None,1,0.307692308,0.420783646,0.364237977,0.731236375,0.731236375,0.886908662,0.886908662,0.422993492,0.355716878,0.389355185,1.189129665,1.189129665,1.067276614,1.067276614,0.410867493,0.365566038,0.388216765,None,None,1,None,None,1
UGP_eq_opp*A,s_as_input=True,4,0.604278075,0.39167556,0.782142857,0.586909209,0.189439198,1.40598882,1.40598882,1.095117381,0.669135802,0.588377724,0.628756763,1.1372555,1.1372555,1.080758078,1.080758078,0.599115696,0.614285714,0.606700705,0.975304622,0.975304622,0.984829982,0.984829982,0.60546875,0.600767754,0.603118252,None,None,1,None,None,1,0.392592593,0.391521197,0.392056895,1.002736494,1.002736494,1.001071396,1.001071396,0.426847662,0.306569343,0.366708503,1.392336422,1.392336422,1.120278319,1.120278319,0.419444444,0.299539171,0.359491807,None,None,1,None,None,1,0.807407407,0.774117647,0.790762527,1.04300349,1.04300349,1.03328976,1.03328976,0.763688761,0.812206573,0.787947667,0.940264197,0.940264197,0.951482188,0.951482188,0.769607843,0.815789474,0.792698658,None,None,1,None,None,1,0.192592593,0.225882353,0.209237473,0.852623457,0.852623457,0.96671024,0.96671024,0.236311239,0.187793427,0.212052333,1.258357349,1.258357349,1.048517812,1.048517812,0.230392157,0.184210526,0.207301342,None,None,1,None,None,1,0.607407407,0.608478803,0.607943105,0.998239223,0.998239223,0.998928604,0.998928604,0.573152338,0.693430657,0.633291497,0.826546003,0.826546003,0.879721681,0.879721681,0.580555556,0.700460829,0.640508193,None,None,1,None,None,1,0.259259259,0.3062954,0.282777329,0.846435368,0.846435368,0.95296386,0.95296386,0.329403095,0.234285714,0.281844405,1.40598882,1.40598882,1.095117381,1.095117381,0.319010417,0.232245681,0.275628049,None,None,1,None,None,1,0.504761905,0.62055336,0.562657632,0.813406127,0.813406127,0.884208545,0.884208545,0.63310962,0.512195122,0.572652371,1.236071162,1.236071162,1.120914498,1.120914498,0.616326531,0.537190083,0.576758307,None,None,1,None,None,1,0.273333333,0.42582897,0.349581152,0.641885246,0.641885246,0.847504363,0.847504363,0.417582418,0.354477612,0.386030015,1.178021978,1.178021978,1.063104806,1.063104806,0.399617591,0.38,0.389808795,None,None,1,None,None,1
SVM,,0,0.692756441,0.566702241,0.798214286,0.682458263,0.376836294,1.690335527,1.690335527,1.174556269,0.688279302,0.69384058,0.691059941,0.99198479,0.99198479,0.994438722,0.994438722,0.701547531,0.675714286,0.688630909,1.038231019,1.038231019,1.025833246,1.025833246,0.695709571,0.684501845,0.690105708,None,None,1,None,None,1,0.414473684,0.596178344,0.505326014,0.695217611,0.695217611,0.81829534,0.81829534,0.631975867,0.408759124,0.520367496,1.546083818,1.546083818,1.223216743,1.223216743,0.603851444,0.438095238,0.520973341,None,None,1,None,None,1,0.855421687,0.781859931,0.818640809,1.094085593,1.094085593,1.073561756,1.073561756,0.768011527,0.84741784,0.807714684,0.906296151,0.906296151,0.920593687,0.920593687,0.780456853,0.840361446,0.810409149,None,None,1,None,None,1,0.144578313,0.218140069,0.181359191,0.662777425,0.662777425,0.926438244,0.926438244,0.231988473,0.15258216,0.192285316,1.520416759,1.520416759,1.079406313,1.079406313,0.219543147,0.159638554,0.189590851,None,None,1,None,None,1,0.585526316,0.403821656,0.494673986,1.449962643,1.449962643,1.18170466,1.18170466,0.368024133,0.591240876,0.479632504,0.62246057,0.62246057,0.776783257,0.776783257,0.396148556,0.561904762,0.479026659,None,None,1,None,None,1,0.246882793,0.397342995,0.322112894,0.621334202,0.621334202,0.849539798,0.849539798,0.427413412,0.252857143,0.340135277,1.690335527,1.690335527,1.174556269,1.174556269,0.403960396,0.267527675,0.335744036,None,None,1,None,None,1,0.636363636,0.711246201,0.673804918,0.894716395,0.894716395,0.925117436,0.925117436,0.722413793,0.632768362,0.677591077,1.141671798,1.141671798,1.089645432,1.089645432,0.717320261,0.634482759,0.67590151,None,None,1,None,None,1,0.294701987,0.317635271,0.306168629,0.927799946,0.927799946,0.977066716,0.977066716,0.314028314,0.309751434,0.311889874,1.013807458,1.013807458,1.00427688,1.00427688,0.318936877,0.297229219,0.308083048,None,None,1,None,None,1
SVM,,1,0.691784152,0.564567769,0.798214286,0.681391028,0.374839747,1.659921862,1.659921862,1.168751448,0.710743802,0.68772137,0.699232586,1.033476395,1.033476395,1.023022432,1.023022432,0.701547531,0.672857143,0.687202337,1.042639643,1.042639643,1.028690388,1.028690388,0.694926569,0.683363148,0.689144859,None,None,1,None,None,1,0.488372093,0.576732673,0.532552383,0.846791097,0.846791097,0.91163942,0.91163942,0.628959276,0.408759124,0.5188592,1.538703943,1.538703943,1.220200152,1.220200152,0.605633803,0.436123348,0.520878575,None,None,1,None,None,1,0.833333333,0.788939052,0.811136193,1.056270863,1.056270863,1.044394281,1.044394281,0.770893372,0.842723005,0.806808188,0.914764837,0.914764837,0.928170367,0.928170367,0.775380711,0.852409639,0.813895175,None,None,1,None,None,1,0.166666667,0.211060948,0.188863807,0.789661319,0.789661319,0.955605719,0.955605719,0.229106628,0.157276995,0.193191812,1.456707815,1.456707815,1.071829633,1.071829633,0.224619289,0.147590361,0.186104825,None,None,1,None,None,1,0.511627907,0.423267327,0.467447617,1.20875833,1.20875833,1.08836058,1.08836058,0.371040724,0.591240876,0.4811408,0.627562706,0.627562706,0.779799848,0.779799848,0.394366197,0.563876652,0.479121425,None,None,1,None,None,1,0.280991736,0.385478158,0.333234947,0.728943338,0.728943338,0.895513577,0.895513577,0.424465733,0.255714286,0.340090009,1.659921862,1.659921862,1.168751448,1.168751448,0.405206943,0.264758497,0.33498272,None,None,1,None,None,1,0.617647059,0.713629403,0.665638231,0.865501136,0.865501136,0.904017656,0.904017656,0.723958333,0.625698324,0.674828329,1.157040551,1.157040551,1.098260009,1.098260009,0.708401977,0.668918919,0.688660448,None,None,1,None,None,1,0.252873563,0.328530259,0.290701911,0.769711635,0.769711635,0.924343304,0.924343304,0.314980794,0.310940499,0.312960646,1.012993788,1.012993788,1.004040295,1.004040295,0.314253648,0.311435523,0.312844585,None,None,1,None,None,1
SVM,,2,0.67963053,0.544290288,0.792857143,0.668573716,0.349650241,1.969585315,1.969585315,1.213308769,0.680519481,0.679425837,0.679972659,1.001609658,1.001609658,1.001093643,1.001093643,0.689756817,0.66,0.674878408,1.045086086,1.045086086,1.029756817,1.029756817,0.683486239,0.668549906,0.676018072,None,None,1,None,None,1,0.405797101,0.568210263,0.487003682,0.714167146,0.714167146,0.837586839,0.837586839,0.625942685,0.346715328,0.486329007,1.80535048,1.80535048,1.279227356,1.279227356,0.593055556,0.382488479,0.487772017,None,None,1,None,None,1,0.834008097,0.781214204,0.807611151,1.06757928,1.06757928,1.052793893,1.052793893,0.750720461,0.861502347,0.806111404,0.871408492,0.871408492,0.889218114,0.889218114,0.76426799,0.866242038,0.815255014,None,None,1,None,None,1,0.165991903,0.218785796,0.192388849,0.758695975,0.758695975,0.947206107,0.947206107,0.249279539,0.138497653,0.193888596,1.799882772,1.799882772,1.110781886,1.110781886,0.23573201,0.133757962,0.184744986,None,None,1,None,None,1,0.594202899,0.431789737,0.512996318,1.376139466,1.376139466,1.162413161,1.162413161,0.374057315,0.653284672,0.513670993,0.572579354,0.572579354,0.720772644,0.720772644,0.406944444,0.617511521,0.512227983,None,None,1,None,None,1,0.251948052,0.38576555,0.318856801,0.653111849,0.653111849,0.866182502,0.866182502,0.433308769,0.22,0.326654385,1.969585315,1.969585315,1.213308769,1.213308769,0.404325033,0.235404896,0.319864965,None,None,1,None,None,1,0.577319588,0.703875969,0.640597778,0.820200736,0.820200736,0.873443619,0.873443619,0.705782313,0.616883117,0.661332715,1.144110276,1.144110276,1.088899196,1.088899196,0.692058347,0.664,0.678029173,None,None,1,None,None,1,0.284722222,0.335929893,0.310326058,0.847564412,0.847564412,0.948792329,0.948792329,0.322496749,0.327838828,0.325167788,0.983705167,0.983705167,0.994657921,0.994657921,0.322332233,0.330049261,0.326190747,None,None,1,None,None,1
SVM,,3,0.672338357,0.527214514,0.79375,0.660482257,0.334591351,1.778553377,1.778553377,1.181291715,0.672680412,0.672258838,0.672469625,1.000627102,1.000627102,1.000421575,1.000421575,0.667649226,0.681428571,0.674538899,0.979778739,0.979778739,0.986220655,0.986220655,0.669088507,0.681399632,0.675244069,None,None,1,None,None,1,0.376811594,0.553191489,0.465001542,0.68115942,0.68115942,0.823620105,0.823620105,0.583710407,0.390510949,0.487110678,1.494735062,1.494735062,1.193199458,1.193199458,0.560669456,0.418181818,0.489425637,None,None,1,None,None,1,0.836,0.781609195,0.808804598,1.069588235,1.069588235,1.054390805,1.054390805,0.747838617,0.868544601,0.808191609,0.861025002,0.861025002,0.879294016,0.879294016,0.766624843,0.860681115,0.813652979,None,None,1,None,None,1,0.164,0.218390805,0.191195402,0.750947368,0.750947368,0.945609195,0.945609195,0.252161383,0.131455399,0.191808391,1.918227666,1.918227666,1.120705984,1.120705984,0.233375157,0.139318885,0.186347021,None,None,1,None,None,1,0.623188406,0.446808511,0.534998458,1.394755003,1.394755003,1.176379895,1.176379895,0.416289593,0.609489051,0.512889322,0.683014062,0.683014062,0.806800542,0.806800542,0.439330544,0.581818182,0.510574363,None,None,1,None,None,1,0.239690722,0.378669862,0.309180292,0.632980719,0.632980719,0.861020859,0.861020859,0.414148858,0.232857143,0.323503,1.778553377,1.778553377,1.181291715,1.181291715,0.388375165,0.252302026,0.320338595,None,None,1,None,None,1,0.559139785,0.699367089,0.629253437,0.799493991,0.799493991,0.859772696,0.859772696,0.6886121,0.656441718,0.672526909,1.049007217,1.049007217,1.032170382,1.032170382,0.683673469,0.671532847,0.677603158,None,None,1,None,None,1,0.291525424,0.344262295,0.317893859,0.846811945,0.846811945,0.947263129,0.947263129,0.347169811,0.310986965,0.329078388,1.116348435,1.116348435,1.036182847,1.036182847,0.340172786,0.315270936,0.327721861,None,None,1,None,None,1
SVM,,4,0.697131745,0.573105656,0.800892857,0.686999257,0.385897441,1.674330906,1.674330906,1.172436046,0.711111111,0.6937046,0.702407856,1.025092108,1.025092108,1.017406511,1.017406511,0.700810612,0.69,0.695405306,1.015667553,1.015667553,1.010810612,1.010810612,0.704427083,0.6756238,0.690025442,None,None,1,None,None,1,0.42962963,0.597256858,0.513443244,0.719338127,0.719338127,0.832372772,0.832372772,0.631975867,0.430656934,0.531316401,1.467469387,1.467469387,1.201318933,1.201318933,0.6125,0.442396313,0.527448157,None,None,1,None,None,1,0.851851852,0.784705882,0.818278867,1.085568327,1.085568327,1.067145969,1.067145969,0.766570605,0.856807512,0.811689058,0.894682405,0.894682405,0.909763093,0.909763093,0.785539216,0.842105263,0.813822239,None,None,1,None,None,1,0.148148148,0.215294118,0.181721133,0.688119814,0.688119814,0.932854031,0.932854031,0.233429395,0.143192488,0.188310942,1.630179052,1.630179052,1.090236907,1.090236907,0.214460784,0.157894737,0.186177761,None,None,1,None,None,1,0.57037037,0.402743142,0.486556756,1.416213737,1.416213737,1.167627228,1.167627228,0.368024133,0.569343066,0.468683599,0.646401361,0.646401361,0.798681067,0.798681067,0.3875,0.557603687,0.472551843,None,None,1,None,None,1,0.241975309,0.400726392,0.32135085,0.603841707,0.603841707,0.841248916,0.841248916,0.428150332,0.255714286,0.341932309,1.674330906,1.674330906,1.172436046,1.172436046,0.401041667,0.276391555,0.338716611,None,None,1,None,None,1,0.591836735,0.723564955,0.657700845,0.81794555,0.81794555,0.86827178,0.86827178,0.721170396,0.659217877,0.690194136,1.093978821,1.093978821,1.061952519,1.061952519,0.715909091,0.666666667,0.691287879,None,None,1,None,None,1,0.250814332,0.326262626,0.288538479,0.768749811,0.768749811,0.924551706,0.924551706,0.31443299,0.299424184,0.306928587,1.050125562,1.050125562,1.015008805,1.015008805,0.30326087,0.320954907,0.312107888,None,None,1,None,None,1
