algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
UGP_eq_opp*A,s_as_input=True,0,0.598930481,0.305229456,0.844642857,0.574936156,0.179130213,0.762362637,0.762362637,0.944337194,0.653061224,0.586186186,0.619623705,1.114084978,1.114084978,1.066875038,1.066875038,0.596701649,0.603042877,0.599872263,0.989484615,0.989484615,0.993658772,0.993658772,0.604682274,0.583629893,0.594156084,None,None,1,None,None,1,0.260869565,0.312891114,0.28688034,0.83373913,0.83373913,0.947978451,0.947978451,0.3453125,0.218855219,0.282083859,1.5778125,1.5778125,1.126457281,1.126457281,0.335243553,0.217573222,0.276408387,None,None,1,None,None,1,0.866141732,0.838337182,0.852239457,1.033166309,1.033166309,1.02780455,1.02780455,0.828530259,0.870892019,0.849711139,0.951358195,0.951358195,0.957638241,0.957638241,0.840652447,0.854489164,0.847570805,None,None,1,None,None,1,0.133858268,0.161662818,0.147760543,0.828008999,0.828008999,0.97219545,0.97219545,0.171469741,0.129107981,0.150288861,1.328111082,1.328111082,1.042361759,1.042361759,0.159347553,0.145510836,0.152429195,None,None,1,None,None,1,0.739130435,0.687108886,0.71311966,1.075710778,1.075710778,1.052021549,1.052021549,0.6546875,0.781144781,0.717916141,0.838112877,0.838112877,0.873542719,0.873542719,0.664756447,0.782426778,0.723591613,None,None,1,None,None,1,0.178571429,0.234234234,0.206402831,0.762362637,0.762362637,0.944337194,0.944337194,0.254872564,0.165975104,0.210423834,1.535607196,1.535607196,1.08889746,1.08889746,0.241471572,0.176156584,0.208814078,None,None,1,None,None,1,0.514285714,0.641025641,0.577655678,0.802285714,0.802285714,0.873260073,0.873260073,0.65,0.541666667,0.595833333,1.2,1.2,1.108333333,1.108333333,0.648199446,0.525252525,0.586725986,None,None,1,None,None,1,0.316770186,0.430588235,0.373679211,0.735668466,0.735668466,0.886181951,0.886181951,0.421529175,0.384742952,0.403136063,1.095612468,1.095612468,1.036786223,1.036786223,0.409171076,0.403887689,0.406529382,None,None,1,None,None,1
UGP_eq_opp*A,s_as_input=True,1,0.608167234,0.362860192,0.813392857,0.588126525,0.198439719,0.610570791,0.610570791,0.88773212,0.635204082,0.601801802,0.618502942,1.055503788,1.055503788,1.03340228,1.03340228,0.595414201,0.632624113,0.614019157,0.941181641,0.941181641,0.962790088,0.962790088,0.595926413,0.642990654,0.619458533,None,None,1,None,None,1,0.231884058,0.385481852,0.308682955,0.601543384,0.601543384,0.846402206,0.846402206,0.396969697,0.281588448,0.339279072,1.40975136,1.40975136,1.115381249,1.115381249,0.375690608,0.319248826,0.347469717,None,None,1,None,None,1,0.854330709,0.801385681,0.827858195,1.06606685,1.06606685,1.052945027,1.052945027,0.784682081,0.859813084,0.822247583,0.912619377,0.912619377,0.924868997,0.924868997,0.795739348,0.857142857,0.826441103,None,None,1,None,None,1,0.145669291,0.198614319,0.172141805,0.733427944,0.733427944,0.947054973,0.947054973,0.215317919,0.140186916,0.177752417,1.535934489,1.535934489,1.075131003,1.075131003,0.204260652,0.142857143,0.173558897,None,None,1,None,None,1,0.768115942,0.614518148,0.691317045,1.249948346,1.249948346,1.153597794,1.153597794,0.603030303,0.718411552,0.660720928,0.839393939,0.839393939,0.884618751,0.884618751,0.624309392,0.680751174,0.652530283,None,None,1,None,None,1,0.176020408,0.288288288,0.232154348,0.610570791,0.610570791,0.88773212,0.88773212,0.303994083,0.195744681,0.249869382,1.553013249,1.553013249,1.108249402,1.108249402,0.285808147,0.213084112,0.24944613,None,None,1,None,None,1,0.463768116,0.641666667,0.552717391,0.722755505,0.722755505,0.822101449,0.822101449,0.637469586,0.565217391,0.601343489,1.127830807,1.127830807,1.072252195,1.072252195,0.625287356,0.596491228,0.610889292,None,None,1,None,None,1,0.328173375,0.414345992,0.371259683,0.792027391,0.792027391,0.913827383,0.913827383,0.422954304,0.350970018,0.386962161,1.205100956,1.205100956,1.071984286,1.071984286,0.415823367,0.344418052,0.38012071,None,None,1,None,None,1
UGP_eq_opp*A,s_as_input=True,2,0.605250365,0.323372465,0.841071429,0.582221947,0.193484382,0.951082723,0.951082723,0.98845376,0.642857143,0.596396396,0.61962677,1.07790246,1.07790246,1.046460746,1.046460746,0.593908629,0.628318584,0.611113607,0.945234861,0.945234861,0.965590045,0.965590045,0.598301764,0.625475285,0.611888524,None,None,1,None,None,1,0.311594203,0.325406758,0.318500481,0.957552954,0.957552954,0.986187444,0.986187444,0.341829085,0.277777778,0.309803432,1.230584708,1.230584708,1.064051308,1.064051308,0.333798883,0.28959276,0.311695821,None,None,1,None,None,1,0.822834646,0.846420323,0.834627484,0.972134793,0.972134793,0.976414322,0.976414322,0.83005618,0.860294118,0.845175149,0.964851628,0.964851628,0.969762062,0.969762062,0.830674847,0.868852459,0.849763653,None,None,1,None,None,1,0.177165354,0.153579677,0.165372516,1.153572909,1.153572909,1.023585678,1.023585678,0.16994382,0.139705882,0.154824851,1.216439976,1.216439976,1.030237938,1.030237938,0.169325153,0.131147541,0.150236347,None,None,1,None,None,1,0.688405797,0.674593242,0.681499519,1.020475384,1.020475384,1.013812556,1.013812556,0.658170915,0.722222222,0.690196568,0.911313574,0.911313574,0.935948692,0.935948692,0.666201117,0.71040724,0.688304179,None,None,1,None,None,1,0.224489796,0.236036036,0.230262916,0.951082723,0.951082723,0.98845376,0.98845376,0.253081943,0.194690265,0.223886104,1.299920891,1.299920891,1.058391678,1.058391678,0.246244285,0.197718631,0.221981458,None,None,1,None,None,1,0.488636364,0.661577608,0.575106986,0.738592657,0.738592657,0.827058755,0.827058755,0.653295129,0.568181818,0.610738474,1.149799427,1.149799427,1.085113311,1.085113311,0.633952255,0.615384615,0.624668435,None,None,1,None,None,1,0.3125,0.423742138,0.368121069,0.737476809,0.737476809,0.888757862,0.888757862,0.426213592,0.357142857,0.391678225,1.193398058,1.193398058,1.069070735,1.069070735,0.413344887,0.372037915,0.392691401,None,None,1,None,None,1
UGP_eq_opp*A,s_as_input=True,3,0.583373845,0.302027748,0.81875,0.560388874,0.141598779,0.738686779,0.738686779,0.935024821,0.632653061,0.571771772,0.602212416,1.106478306,1.106478306,1.060881289,1.060881289,0.574358974,0.601156069,0.587757522,0.955424063,0.955424063,0.973202905,0.973202905,0.580433355,0.5917603,0.586096827,None,None,1,None,None,1,0.239130435,0.312891114,0.276010774,0.76426087,0.76426087,0.926239321,0.926239321,0.341211226,0.2,0.270605613,1.70605613,1.70605613,1.141211226,1.141211226,0.326474623,0.216346154,0.271410388,None,None,1,None,None,1,0.846456693,0.810623557,0.828540125,1.04420441,1.04420441,1.035833136,1.035833136,0.80377907,0.842592593,0.823185831,0.953935599,0.953935599,0.961186477,0.961186477,0.813602015,0.831288344,0.822445179,None,None,1,None,None,1,0.153543307,0.189376443,0.171459875,0.810783561,0.810783561,0.964166864,0.964166864,0.19622093,0.157407407,0.176814169,1.246580027,1.246580027,1.038813523,1.038813523,0.186397985,0.168711656,0.177554821,None,None,1,None,None,1,0.760869565,0.687108886,0.723989226,1.107349331,1.107349331,1.073760679,1.073760679,0.658788774,0.8,0.729394387,0.823485968,0.823485968,0.858788774,0.858788774,0.673525377,0.783653846,0.728589612,None,None,1,None,None,1,0.183673469,0.248648649,0.216161059,0.738686779,0.738686779,0.935024821,0.935024821,0.268131868,0.173410405,0.220771136,1.546227106,1.546227106,1.094721464,1.094721464,0.253447144,0.187265918,0.220356531,None,None,1,None,None,1,0.458333333,0.603864734,0.531099034,0.759,0.759,0.854468599,0.854468599,0.631147541,0.433333333,0.532240437,1.456494325,1.456494325,1.197814208,1.197814208,0.616580311,0.45,0.533290155,None,None,1,None,None,1,0.328125,0.438848921,0.38348696,0.747694672,0.747694672,0.889276079,0.889276079,0.446446446,0.363636364,0.405041405,1.227727728,1.227727728,1.082810083,1.082810083,0.431838171,0.375576037,0.403707104,None,None,1,None,None,1
UGP_eq_opp*A,s_as_input=True,4,0.599416626,0.361792956,0.798214286,0.580003621,0.178529427,0.783596457,0.783596457,0.938003309,0.642857143,0.589189189,0.616023166,1.091087811,1.091087811,1.053667954,1.053667954,0.594160584,0.609898108,0.602029346,0.974196471,0.974196471,0.984262476,0.984262476,0.59644503,0.607806691,0.602125861,None,None,1,None,None,1,0.311594203,0.370463079,0.341028641,0.841093811,0.841093811,0.941131124,0.941131124,0.403007519,0.261029412,0.332018465,1.543916128,1.543916128,1.141978107,1.141978107,0.389429764,0.270642202,0.330035983,None,None,1,None,None,1,0.822834646,0.790993072,0.806913859,1.040255187,1.040255187,1.031841574,1.031841574,0.774468085,0.838554217,0.806511151,0.923575446,0.923575446,0.935913868,0.935913868,0.7825,0.8375,0.81,None,None,1,None,None,1,0.177165354,0.209006928,0.193086141,0.847653021,0.847653021,0.968158426,0.968158426,0.225531915,0.161445783,0.193488849,1.396951413,1.396951413,1.064086132,1.064086132,0.2175,0.1625,0.19,None,None,1,None,None,1,0.688405797,0.629536921,0.658971359,1.093511395,1.093511395,1.058868876,1.058868876,0.596992481,0.738970588,0.667981535,0.807870422,0.807870422,0.858021893,0.858021893,0.610570236,0.729357798,0.669964017,None,None,1,None,None,1,0.224489796,0.286486486,0.255488141,0.783596457,0.783596457,0.938003309,0.938003309,0.311678832,0.200873362,0.256276097,1.551618534,1.551618534,1.11080547,1.11080547,0.298880843,0.206319703,0.252600273,None,None,1,None,None,1,0.488636364,0.620545073,0.554590719,0.787430897,0.787430897,0.86809129,0.86809129,0.62763466,0.514492754,0.571063707,1.219909622,1.219909622,1.113141907,1.113141907,0.616740088,0.531531532,0.57413581,None,None,1,None,None,1,0.3125,0.423400673,0.367950337,0.738071571,0.738071571,0.889099327,0.889099327,0.420996819,0.366120219,0.393558519,1.149886833,1.149886833,1.0548766,1.0548766,0.412206573,0.37236534,0.392285956,None,None,1,None,None,1
SVM,,0,0.676713661,0.554962647,0.778571429,0.666767038,0.343409218,0.628546262,0.628546262,0.850749219,0.691326531,0.673273273,0.682299902,1.02681416,1.02681416,1.018053257,1.018053257,0.692653673,0.647302905,0.669978289,1.070061123,1.070061123,1.045350769,1.045350769,0.688963211,0.644128114,0.666545662,None,None,1,None,None,1,0.420289855,0.578222778,0.499256317,0.726864923,0.726864923,0.842067077,0.842067077,0.6359375,0.38047138,0.50820444,1.67144635,1.67144635,1.25546612,1.25546612,0.607449857,0.40167364,0.504561748,None,None,1,None,None,1,0.838582677,0.760969977,0.799776327,1.101991803,1.101991803,1.0776127,1.0776127,0.744956772,0.833333333,0.789145053,0.893948127,0.893948127,0.911623439,0.911623439,0.760351317,0.823529412,0.791940365,None,None,1,None,None,1,0.161417323,0.239030023,0.200223673,0.675301457,0.675301457,0.9223873,0.9223873,0.255043228,0.166666667,0.210854947,1.530259366,1.530259366,1.088376561,1.088376561,0.239648683,0.176470588,0.208059635,None,None,1,None,None,1,0.579710145,0.421777222,0.500743683,1.374446308,1.374446308,1.157932923,1.157932923,0.3640625,0.61952862,0.49179556,0.587644361,0.587644361,0.74453388,0.74453388,0.392550143,0.59832636,0.495438252,None,None,1,None,None,1,0.25255102,0.401801802,0.327176411,0.628546262,0.628546262,0.850749219,0.850749219,0.437781109,0.254495159,0.346138134,1.720194251,1.720194251,1.18328595,1.18328595,0.411371237,0.272241993,0.341806615,None,None,1,None,None,1,0.585858586,0.69058296,0.638220773,0.848353667,0.848353667,0.895275626,0.895275626,0.696917808,0.614130435,0.655524122,1.134804219,1.134804219,1.082787373,1.082787373,0.689430894,0.62745098,0.658440937,None,None,1,None,None,1,0.273037543,0.338353414,0.305695478,0.806959622,0.806959622,0.934684129,0.934684129,0.310666667,0.341372913,0.32601979,0.910050725,0.910050725,0.969293754,0.969293754,0.311363636,0.349633252,0.330498444,None,None,1,None,None,1
SVM,,1,0.672824502,0.552828175,0.773214286,0.66302123,0.33534571,0.532479027,0.532479027,0.807375743,0.68877551,0.669069069,0.67892229,1.029453523,1.029453523,1.019706441,1.019706441,0.677514793,0.663829787,0.67067229,1.020615233,1.020615233,1.013685006,1.013685006,0.673455979,0.671028037,0.672242008,None,None,1,None,None,1,0.369565217,0.584480601,0.477022909,0.632296807,0.632296807,0.785084617,0.785084617,0.627272727,0.375451264,0.501361995,1.670716783,1.670716783,1.251821464,1.251821464,0.592541436,0.417840376,0.505190906,None,None,1,None,None,1,0.862204724,0.747113164,0.804658944,1.154048364,1.154048364,1.11509156,1.11509156,0.725433526,0.85046729,0.787950408,0.852982278,0.852982278,0.874966236,0.874966236,0.746867168,0.838509317,0.792688242,None,None,1,None,None,1,0.137795276,0.252886836,0.195341056,0.544889081,0.544889081,0.88490844,0.88490844,0.274566474,0.14953271,0.212049592,1.836163295,1.836163295,1.125033764,1.125033764,0.253132832,0.161490683,0.207311758,None,None,1,None,None,1,0.630434783,0.415519399,0.522977091,1.517221058,1.517221058,1.214915383,1.214915383,0.372727273,0.624548736,0.498638005,0.596794535,0.596794535,0.748178536,0.748178536,0.407458564,0.582159624,0.494809094,None,None,1,None,None,1,0.219387755,0.412012012,0.315699884,0.532479027,0.532479027,0.807375743,0.807375743,0.446745562,0.238297872,0.342521717,1.874735841,1.874735841,1.20844769,1.20844769,0.414586071,0.263551402,0.339068736,None,None,1,None,None,1,0.593023256,0.680758017,0.636890637,0.871121956,0.871121956,0.912265238,0.912265238,0.685430464,0.619047619,0.652239041,1.107233826,1.107233826,1.066382845,1.066382845,0.679873217,0.631205674,0.655539445,None,None,1,None,None,1,0.284313725,0.339121553,0.311717639,0.838382944,0.838382944,0.945192173,0.945192173,0.328877005,0.322160149,0.325518577,1.020849433,1.020849433,1.006716856,1.006716856,0.331088664,0.314720812,0.322904738,None,None,1,None,None,1
SVM,,2,0.691298007,0.52828175,0.827678571,0.677980161,0.375737425,0.672155226,0.672155226,0.883039162,0.724489796,0.683483483,0.70398664,1.059996055,1.059996055,1.041006312,1.041006312,0.693255983,0.687315634,0.690285808,1.008642824,1.008642824,1.005940348,1.005940348,0.696930111,0.674904943,0.685917527,None,None,1,None,None,1,0.449275362,0.541927409,0.495601386,0.829032366,0.829032366,0.907347953,0.907347953,0.587706147,0.381481481,0.484593814,1.540588929,1.540588929,1.206224665,1.206224665,0.57122905,0.389140271,0.480184661,None,None,1,None,None,1,0.874015748,0.81408776,0.844051754,1.073613671,1.073613671,1.059927988,1.059927988,0.792134831,0.889705882,0.840920357,0.890333364,0.890333364,0.902428949,0.902428949,0.807361963,0.881967213,0.844664588,None,None,1,None,None,1,0.125984252,0.18591224,0.155948246,0.677654424,0.677654424,0.940072012,0.940072012,0.207865169,0.110294118,0.159079643,1.884644195,1.884644195,1.097571051,1.097571051,0.192638037,0.118032787,0.155335412,None,None,1,None,None,1,0.550724638,0.458072591,0.504398614,1.202264988,1.202264988,1.092652047,1.092652047,0.412293853,0.618518519,0.515406186,0.666582876,0.666582876,0.793775335,0.793775335,0.42877095,0.610859729,0.519815339,None,None,1,None,None,1,0.239795918,0.356756757,0.298276338,0.672155226,0.672155226,0.883039162,0.883039162,0.391588107,0.218289086,0.304938596,1.79389687,1.79389687,1.173299022,1.173299022,0.369693011,0.231939163,0.300816087,None,None,1,None,None,1,0.659574468,0.728956229,0.694265349,0.904820402,0.904820402,0.930618239,0.930618239,0.725925926,0.695945946,0.710935936,1.043078029,1.043078029,1.02997998,1.02997998,0.722614841,0.704918033,0.713766437,None,None,1,None,None,1,0.255033557,0.341736695,0.298385126,0.74628672,0.74628672,0.913296862,0.913296862,0.327771156,0.31509434,0.321432748,1.040231813,1.040231813,1.012676817,1.012676817,0.318134715,0.334158416,0.326146565,None,None,1,None,None,1
SVM,,3,0.682547399,0.548559232,0.794642857,0.671601044,0.355721323,0.682507402,0.682507402,0.877770117,0.721938776,0.673273273,0.697606024,1.072281946,1.072281946,1.048665502,1.048665502,0.678388278,0.690751445,0.684569862,0.982101859,0.982101859,0.987636833,0.987636833,0.68351937,0.679775281,0.681647325,None,None,1,None,None,1,0.47826087,0.560700876,0.519480873,0.85296972,0.85296972,0.917559993,0.917559993,0.617429838,0.369230769,0.493330303,1.67220581,1.67220581,1.248199068,1.248199068,0.595336077,0.384615385,0.489975731,None,None,1,None,None,1,0.854330709,0.777136259,0.815733484,1.099331937,1.099331937,1.07719445,1.07719445,0.738372093,0.884259259,0.811315676,0.835017655,0.835017655,0.854112834,0.854112834,0.764483627,0.86809816,0.816290893,None,None,1,None,None,1,0.145669291,0.222863741,0.184266516,0.653624903,0.653624903,0.92280555,0.92280555,0.261627907,0.115740741,0.188684324,2.260465116,2.260465116,1.145887166,1.145887166,0.235516373,0.13190184,0.183709107,None,None,1,None,None,1,0.52173913,0.439299124,0.480519127,1.187662579,1.187662579,1.082440007,1.082440007,0.382570162,0.630769231,0.506669697,0.606513672,0.606513672,0.751800932,0.751800932,0.404663923,0.615384615,0.510024269,None,None,1,None,None,1,0.262755102,0.384984985,0.323870044,0.682507402,0.682507402,0.877770117,0.877770117,0.438095238,0.210982659,0.324538949,2.076451402,2.076451402,1.227112579,1.227112579,0.407747866,0.230337079,0.319042472,None,None,1,None,None,1,0.640776699,0.698907956,0.669842328,0.916825589,0.916825589,0.941868743,0.941868743,0.698996656,0.657534247,0.678265451,1.063057414,1.063057414,1.041462409,1.041462409,0.698872786,0.650406504,0.674639645,None,None,1,None,None,1,0.249134948,0.342773438,0.295954193,0.726821045,0.726821045,0.906361511,0.906361511,0.33767927,0.3003663,0.319022785,1.124224886,1.124224886,1.03731297,1.03731297,0.327050998,0.311435523,0.31924326,None,None,1,None,None,1
SVM,,4,0.672824502,0.551760939,0.774107143,0.662934041,0.33534049,0.791897267,0.791897267,0.91888368,0.676020408,0.672072072,0.67404624,1.00587487,1.00587487,1.003948336,1.003948336,0.671532847,0.675400291,0.673466569,0.994273848,0.994273848,0.996132556,0.996132556,0.668861093,0.68401487,0.676437981,None,None,1,None,None,1,0.47826087,0.564455569,0.52135822,0.847295864,0.847295864,0.9138053,0.9138053,0.622556391,0.378676471,0.500616431,1.644032411,1.644032411,1.24387992,1.24387992,0.599443672,0.394495413,0.496969542,None,None,1,None,None,1,0.783464567,0.771362587,0.777413577,1.015689094,1.015689094,1.01210198,1.01210198,0.717730496,0.869879518,0.793805007,0.825091845,0.825091845,0.847850978,0.847850978,0.73125,0.88125,0.80625,None,None,1,None,None,1,0.216535433,0.228637413,0.222586423,0.947069116,0.947069116,0.98789802,0.98789802,0.282269504,0.130120482,0.206194993,2.169293407,2.169293407,1.152149022,1.152149022,0.26875,0.11875,0.19375,None,None,1,None,None,1,0.52173913,0.435544431,0.47864178,1.197901049,1.197901049,1.0861947,1.0861947,0.377443609,0.621323529,0.499383569,0.607483205,0.607483205,0.75612008,0.75612008,0.400556328,0.605504587,0.503030458,None,None,1,None,None,1,0.308673469,0.38978979,0.34923163,0.791897267,0.791897267,0.91888368,0.91888368,0.447445255,0.22852984,0.337987548,1.957929239,1.957929239,1.218915416,1.218915416,0.425279789,0.230483271,0.32788153,None,None,1,None,None,1,0.545454545,0.694915254,0.6201849,0.784922395,0.784922395,0.850539291,0.850539291,0.675367047,0.656050955,0.665709001,1.029442975,1.029442975,1.019316092,1.019316092,0.667182663,0.693548387,0.680365525,None,None,1,None,None,1,0.265682657,0.342519685,0.304101171,0.775671205,0.775671205,0.923162972,0.923162972,0.331571995,0.318867925,0.32521996,1.039841167,1.039841167,1.01270407,1.01270407,0.329896907,0.31884058,0.324368743,None,None,1,None,None,1
