algorithm,TNR0set,TNR1set,TPRset,TNR0num,TNR1num,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
"FairGPopp*, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.6","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.6,0.6,s_as_input=True,0,0.591638308,0.575240128,0.605357143,0.590298635,0.180073311,1.022280061,1.022280061,1.010471629,0.612903226,0.58694362,0.599923423,1.044228448,1.044228448,1.025959606,1.025959606,0.604274134,0.567142857,0.585708496,1.065470765,1.065470765,1.037131277,1.037131277,0.60342556,0.558441558,0.580933559,None,None,1,None,None,1,0.5,0.58757764,0.54378882,0.850951374,0.850951374,0.91242236,0.91242236,0.586726998,0.547445255,0.567086127,1.071754651,1.071754651,1.039281743,1.039281743,0.576177285,0.572093023,0.574135154,None,None,1,None,None,1,0.675,0.586363636,0.630681818,1.151162791,1.151162791,1.088636364,1.088636364,0.621037464,0.579812207,0.600424835,1.071101051,1.071101051,1.041225257,1.041225257,0.628140704,0.549382716,0.58876171,None,None,1,None,None,1,0.325,0.413636364,0.369318182,0.785714286,0.785714286,0.911363636,0.911363636,0.378962536,0.420187793,0.399575165,0.901888494,0.901888494,0.958774743,0.958774743,0.371859296,0.450617284,0.41123829,None,None,1,None,None,1,0.5,0.41242236,0.45621118,1.212349398,1.212349398,1.08757764,1.08757764,0.413273002,0.452554745,0.432913873,0.913200019,0.913200019,0.960718257,0.960718257,0.423822715,0.427906977,0.425864846,None,None,1,None,None,1,0.387096774,0.496735905,0.44191634,0.779280842,0.779280842,0.890360869,0.890360869,0.480471629,0.47,0.475235814,1.022280061,1.022280061,1.010471629,1.010471629,0.469038208,0.499072356,0.484055282,None,None,1,None,None,1,0.458333333,0.565113501,0.511723417,0.811046512,0.811046512,0.893219833,0.893219833,0.596625767,0.455927052,0.526276409,1.308599182,1.308599182,1.140698715,1.140698715,0.584269663,0.457249071,0.520759367,None,None,1,None,None,1,0.289473684,0.391509434,0.340491559,0.739378567,0.739378567,0.89796425,0.89796425,0.388652482,0.334231806,0.361442144,1.162823153,1.162823153,1.054420676,1.054420676,0.379652605,0.340740741,0.360196673,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.6","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.6,0.6,s_as_input=True,1,0.58580457,0.561366062,0.60625,0.583808031,0.167250704,1.06771473,1.06771473,1.030471629,0.609137056,0.580276609,0.594706832,1.049735672,1.049735672,1.028860447,1.028860447,0.592483419,0.572857143,0.582670281,1.034260333,1.034260333,1.019626276,1.019626276,0.595505618,0.558823529,0.577164574,None,None,1,None,None,1,0.557971014,0.561952441,0.559961728,0.992915012,0.992915012,0.996018574,0.996018574,0.574660633,0.52919708,0.551928857,1.085910438,1.085910438,1.045463553,1.045463553,0.572423398,0.525114155,0.548768777,None,None,1,None,None,1,0.63671875,0.597222222,0.616970486,1.066133721,1.066133721,1.039496528,1.039496528,0.609510086,0.600938967,0.605224527,1.014262878,1.014262878,1.008571119,1.008571119,0.616352201,0.581538462,0.598945331,None,None,1,None,None,1,0.36328125,0.402777778,0.383029514,0.901939655,0.901939655,0.960503472,0.960503472,0.390489914,0.399061033,0.394775473,0.978521783,0.978521783,0.991428881,0.991428881,0.383647799,0.418461538,0.401054669,None,None,1,None,None,1,0.442028986,0.438047559,0.440038272,1.009089027,1.009089027,1.003981426,1.003981426,0.425339367,0.47080292,0.448071143,0.903434003,0.903434003,0.954536447,0.954536447,0.427576602,0.474885845,0.451231223,None,None,1,None,None,1,0.431472081,0.47925436,0.45536322,0.900298709,0.900298709,0.952217722,0.952217722,0.480471629,0.45,0.465235814,1.06771473,1.06771473,1.030471629,1.030471629,0.473231989,0.461397059,0.467314524,None,None,1,None,None,1,0.452941176,0.56336261,0.508151893,0.803995808,0.803995808,0.889578567,0.889578567,0.584355828,0.46031746,0.522336644,1.269462661,1.269462661,1.124038368,1.124038368,0.574022346,0.458167331,0.516094839,None,None,1,None,None,1,0.272321429,0.404157044,0.338239236,0.67380102,0.67380102,0.868164385,0.868164385,0.4,0.335064935,0.367532468,1.19379845,1.19379845,1.064935065,1.064935065,0.385194479,0.354948805,0.370071642,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.6","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.6,0.6,s_as_input=True,2,0.580456976,0.565635005,0.592857143,0.579246074,0.157998646,1.044346289,1.044346289,1.0206527,0.589333333,0.578478002,0.583905668,1.018765331,1.018765331,1.010855331,1.010855331,0.601326455,0.54,0.570663228,1.11356751,1.11356751,1.061326455,1.061326455,0.597350993,0.533820841,0.565585917,None,None,1,None,None,1,0.55,0.56838143,0.559190715,0.967660044,0.967660044,0.98161857,0.98161857,0.58974359,0.50729927,0.54852143,1.162516141,1.162516141,1.08244432,1.08244432,0.589385475,0.488687783,0.539036629,None,None,1,None,None,1,0.612765957,0.587570621,0.600168289,1.042880524,1.042880524,1.025195336,1.025195336,0.612391931,0.561032864,0.586712397,1.091543776,1.091543776,1.051359067,1.051359067,0.604534005,0.564417178,0.584475591,None,None,1,None,None,1,0.387234043,0.412429379,0.399831711,0.938909939,0.938909939,0.974804664,0.974804664,0.387608069,0.438967136,0.413287603,0.8830002,0.8830002,0.948640933,0.948640933,0.395465995,0.435582822,0.415524409,None,None,1,None,None,1,0.45,0.43161857,0.440809285,1.042587209,1.042587209,1.01838143,1.01838143,0.41025641,0.49270073,0.45147857,0.832668566,0.832668566,0.91755568,0.91755568,0.410614525,0.511312217,0.460963371,None,None,1,None,None,1,0.448,0.486325803,0.467162901,0.921193154,0.921193154,0.961674197,0.961674197,0.486366986,0.465714286,0.476040636,1.044346289,1.044346289,1.0206527,1.0206527,0.487417219,0.457038391,0.472227805,None,None,1,None,None,1,0.458333333,0.553789731,0.506061532,0.827630611,0.827630611,0.904543602,0.904543602,0.592424242,0.426380368,0.509402305,1.389426641,1.389426641,1.166043874,1.166043874,0.573369565,0.432,0.502684783,None,None,1,None,None,1,0.304347826,0.398148148,0.351247987,0.764408493,0.764408493,0.906199678,0.906199678,0.390243902,0.360962567,0.375603235,1.081120145,1.081120145,1.029281336,1.029281336,0.379844961,0.38047138,0.380158171,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.6","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.6,0.6,s_as_input=True,3,0.56490034,0.553895411,0.574107143,0.564001277,0.127558699,1.041066524,1.041066524,1.019359933,0.58490566,0.560498221,0.572701941,1.043545972,1.043545972,1.02440744,1.02440744,0.573323508,0.548571429,0.560947468,1.045120978,1.045120978,1.024752079,1.024752079,0.571714476,0.546594982,0.559154729,None,None,1,None,None,1,0.561538462,0.552664188,0.557101325,1.016057261,1.016057261,1.008874273,1.008874273,0.56561086,0.525547445,0.545579152,1.076231775,1.076231775,1.040063414,1.040063414,0.56302521,0.524663677,0.543844444,None,None,1,None,None,1,0.597510373,0.567690557,0.582600465,1.052528293,1.052528293,1.029819816,1.029819816,0.580691643,0.563380282,0.572035962,1.030727666,1.030727666,1.017311361,1.017311361,0.579617834,0.56119403,0.570405932,None,None,1,None,None,1,0.402489627,0.432309443,0.417399535,0.931022057,0.931022057,0.970180184,0.970180184,0.419308357,0.436619718,0.427964038,0.960351399,0.960351399,0.982688639,0.982688639,0.420382166,0.43880597,0.429594068,None,None,1,None,None,1,0.438461538,0.447335812,0.442898675,0.980161943,0.980161943,0.991125727,0.991125727,0.43438914,0.474452555,0.454420848,0.915558649,0.915558649,0.959936586,0.959936586,0.43697479,0.475336323,0.456155556,None,None,1,None,None,1,0.458221024,0.489916963,0.474068994,0.935303447,0.935303447,0.968304061,0.968304061,0.490788504,0.471428571,0.481108538,1.041066524,1.041066524,1.019359933,1.019359933,0.48832555,0.47311828,0.480721915,None,None,1,None,None,1,0.429411765,0.539951574,0.484681669,0.795278291,0.795278291,0.889460191,0.889460191,0.563063063,0.436363636,0.49971335,1.290352853,1.290352853,1.126699427,1.126699427,0.549180328,0.443181818,0.496181073,None,None,1,None,None,1,0.28358209,0.419767442,0.351674766,0.675569521,0.675569521,0.863814648,0.863814648,0.416787265,0.351351351,0.384069308,1.186240677,1.186240677,1.065435913,1.065435913,0.406779661,0.360544218,0.383661939,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.6","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.6,0.6,s_as_input=True,4,0.580943121,0.538954109,0.616071429,0.577512769,0.155052873,1.055211366,1.055211366,1.024214128,0.569060773,0.583480826,0.5762708,0.975286159,0.975286159,0.985579948,0.985579948,0.580692704,0.581428571,0.581060638,0.998734381,0.998734381,0.999264133,0.999264133,0.577586207,0.590163934,0.583875071,None,None,1,None,None,1,0.484375,0.547589617,0.515982308,0.884558409,0.884558409,0.936785383,0.936785383,0.544494721,0.525547445,0.535021083,1.036052455,1.036052455,1.018947276,1.018947276,0.542302358,0.527777778,0.535040068,None,None,1,None,None,1,0.615384615,0.616252822,0.615818719,0.998591152,0.998591152,0.999131794,0.999131794,0.615273775,0.617370892,0.616322334,0.996603149,0.996603149,0.997902883,0.997902883,0.609911055,0.630630631,0.620270843,None,None,1,None,None,1,0.384615385,0.383747178,0.384181281,1.002262443,1.002262443,1.000868206,1.000868206,0.384726225,0.382629108,0.383677666,1.005480808,1.005480808,1.002097117,1.002097117,0.390088945,0.369369369,0.379729157,None,None,1,None,None,1,0.515625,0.452410383,0.484017692,1.139728484,1.139728484,1.063214617,1.063214617,0.455505279,0.474452555,0.464978917,0.960064973,0.960064973,0.981052724,0.981052724,0.457697642,0.472222222,0.464959932,None,None,1,None,None,1,0.419889503,0.461946903,0.440918203,0.908956203,0.908956203,0.9579426,0.9579426,0.462785556,0.438571429,0.450678492,1.055211366,1.055211366,1.024214128,1.024214128,0.462864721,0.431693989,0.447279355,None,None,1,None,None,1,0.407894737,0.565772669,0.486833703,0.720951645,0.720951645,0.842122068,0.842122068,0.574840764,0.469055375,0.521948069,1.225528574,1.225528574,1.10578539,1.10578539,0.56017192,0.481012658,0.520592289,None,None,1,None,None,1,0.314285714,0.401315789,0.357800752,0.783138173,0.783138173,0.912969925,0.912969925,0.414266118,0.330788804,0.372527461,1.252358341,1.252358341,1.083477314,1.083477314,0.407407407,0.326923077,0.367165242,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp, 0-TNR=0.6","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.6",0.6,0.6,s_as_input=False,0,0.599902771,0.562433298,0.63125,0.596841649,0.193633486,1.191526462,1.191526462,1.077705022,0.61827957,0.595845697,0.607062634,1.037650473,1.037650473,1.022433873,1.022433873,0.596904937,0.605714286,0.601309612,0.985456265,0.985456265,0.991190652,0.991190652,0.59486166,0.614100186,0.604480923,None,None,1,None,None,1,0.522727273,0.568944099,0.545835686,0.918767368,0.918767368,0.953783173,0.953783173,0.582202112,0.51459854,0.548400326,1.131371479,1.131371479,1.067603571,1.067603571,0.574792244,0.520930233,0.547861238,None,None,1,None,None,1,0.670833333,0.620454545,0.645643939,1.081196581,1.081196581,1.050378788,1.050378788,0.610951009,0.664319249,0.637635129,0.919664769,0.919664769,0.94663176,0.94663176,0.613065327,0.675925926,0.644495626,None,None,1,None,None,1,0.329166667,0.379545455,0.354356061,0.867265469,0.867265469,0.949621212,0.949621212,0.389048991,0.335680751,0.362364871,1.158985107,1.158985107,1.05336824,1.05336824,0.386934673,0.324074074,0.355504374,None,None,1,None,None,1,0.477272727,0.431055901,0.454164314,1.10721771,1.10721771,1.046216827,1.046216827,0.417797888,0.48540146,0.451599674,0.860726477,0.860726477,0.932396429,0.932396429,0.425207756,0.479069767,0.452138762,None,None,1,None,None,1,0.397849462,0.470029674,0.433939568,0.846434778,0.846434778,0.927819789,0.927819789,0.483419307,0.405714286,0.444566797,1.191526462,1.191526462,1.077705022,1.077705022,0.476284585,0.402597403,0.439440994,None,None,1,None,None,1,0.466216216,0.578282828,0.522249522,0.806207955,0.806207955,0.887933388,0.887933388,0.588414634,0.496478873,0.542446754,1.185175575,1.185175575,1.091935761,1.091935761,0.573997234,0.516129032,0.545063133,None,None,1,None,None,1,0.28125,0.388577828,0.334913914,0.723793228,0.723793228,0.892672172,0.892672172,0.395149786,0.319711538,0.357430662,1.235957225,1.235957225,1.075438248,1.075438248,0.386163522,0.319875776,0.353019649,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp, 0-TNR=0.6","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.6",0.6,0.6,s_as_input=False,1,0.610111813,0.588046958,0.628571429,0.608309193,0.216146217,1.27204486,1.27204486,1.108429308,0.629441624,0.605532171,0.617486898,1.039485026,1.039485026,1.023909454,1.023909454,0.610169492,0.61,0.610084746,1.000277855,1.000277855,1.000169492,1.000169492,0.614011897,0.599264706,0.606638301,None,None,1,None,None,1,0.557971014,0.593241552,0.575606283,0.940546077,0.940546077,0.964729463,0.964729463,0.619909502,0.510948905,0.565429204,1.213251454,1.213251454,1.108960597,1.108960597,0.61281337,0.506849315,0.559831343,None,None,1,None,None,1,0.66796875,0.616898148,0.642433449,1.082786116,1.082786116,1.051070602,1.051070602,0.600864553,0.67370892,0.637286737,0.891875609,0.891875609,0.927155633,0.927155633,0.61509434,0.661538462,0.638316401,None,None,1,None,None,1,0.33203125,0.383101852,0.357566551,0.866691843,0.866691843,0.948929398,0.948929398,0.399135447,0.32629108,0.362713263,1.223249642,1.223249642,1.072844367,1.072844367,0.38490566,0.338461538,0.361683599,None,None,1,None,None,1,0.442028986,0.406758448,0.424393717,1.08671126,1.08671126,1.035270537,1.035270537,0.380090498,0.489051095,0.434570796,0.777199973,0.777199973,0.891039403,0.891039403,0.38718663,0.493150685,0.440168657,None,None,1,None,None,1,0.411167513,0.484064943,0.447616228,0.849405681,0.849405681,0.92710257,0.92710257,0.507000737,0.398571429,0.452786083,1.27204486,1.27204486,1.108429308,1.108429308,0.493060145,0.40625,0.449655073,None,None,1,None,None,1,0.475308642,0.588819876,0.532064259,0.807222483,0.807222483,0.886488766,0.886488766,0.597383721,0.501792115,0.549587918,1.190500415,1.190500415,1.095591606,1.095591606,0.589812332,0.502262443,0.546037388,None,None,1,None,None,1,0.262931034,0.378787879,0.320859457,0.694137931,0.694137931,0.884143156,0.884143156,0.376681614,0.318289786,0.3474857,1.183454923,1.183454923,1.058391828,1.058391828,0.362451108,0.334365325,0.348408217,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp, 0-TNR=0.6","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.6",0.6,0.6,s_as_input=False,2,0.594069033,0.583778015,0.602678571,0.593228293,0.185834308,1.161916958,1.161916958,1.070549532,0.602666667,0.5921522,0.597409433,1.017756359,1.017756359,1.010514467,1.010514467,0.593220339,0.595714286,0.594467312,0.995813519,0.995813519,0.997506053,0.997506053,0.593377483,0.595978062,0.594677773,None,None,1,None,None,1,0.578571429,0.584692597,0.581632013,0.989530963,0.989530963,0.993878831,0.993878831,0.601809955,0.540145985,0.57097797,1.114161673,1.114161673,1.061663969,1.061663969,0.600558659,0.529411765,0.564985212,None,None,1,None,None,1,0.617021277,0.598870056,0.607945667,1.030309113,1.030309113,1.01815122,1.01815122,0.585014409,0.631455399,0.608234904,0.926454046,0.926454046,0.95355901,0.95355901,0.586901763,0.641104294,0.614003029,None,None,1,None,None,1,0.382978723,0.401129944,0.392054333,0.954749775,0.954749775,0.98184878,0.98184878,0.414985591,0.368544601,0.391765096,1.126011858,1.126011858,1.04644099,1.04644099,0.413098237,0.358895706,0.385996971,None,None,1,None,None,1,0.421428571,0.415307403,0.418367987,1.014738886,1.014738886,1.006121169,1.006121169,0.398190045,0.459854015,0.42902203,0.865905336,0.865905336,0.938336031,0.938336031,0.399441341,0.470588235,0.435014788,None,None,1,None,None,1,0.456,0.488109394,0.472054697,0.934216809,0.934216809,0.967890606,0.967890606,0.506263817,0.435714286,0.470989051,1.161916958,1.161916958,1.070549532,1.070549532,0.501986755,0.427787934,0.464887345,None,None,1,None,None,1,0.473684211,0.567600487,0.520642349,0.834538062,0.834538062,0.906083723,0.906083723,0.580786026,0.485245902,0.533015964,1.196890122,1.196890122,1.095540125,1.095540125,0.567282322,0.5,0.533641161,None,None,1,None,None,1,0.289215686,0.384436702,0.336826194,0.75231029,0.75231029,0.904778985,0.904778985,0.394029851,0.318987342,0.356508596,1.23525231,1.23525231,1.075042509,1.075042509,0.380319149,0.332268371,0.35629376,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp, 0-TNR=0.6","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.6",0.6,0.6,s_as_input=False,3,0.591638308,0.560298826,0.617857143,0.589077984,0.177929598,1.11737588,1.11737588,1.050471629,0.587601078,0.59252669,0.590063884,0.991687105,0.991687105,0.995074388,0.995074388,0.585114223,0.604285714,0.594699968,0.968274127,0.968274127,0.980828508,0.980828508,0.585723816,0.607526882,0.596625349,None,None,1,None,None,1,0.538461538,0.563816605,0.551139072,0.955029586,0.955029586,0.974644934,0.974644934,0.567119155,0.54379562,0.555457388,1.042890259,1.042890259,1.023323535,1.023323535,0.56302521,0.551569507,0.557297358,None,None,1,None,None,1,0.614107884,0.618885097,0.61649649,0.992280937,0.992280937,0.995222787,0.995222787,0.602305476,0.643192488,0.622748982,0.936431141,0.936431141,0.959112987,0.959112987,0.606369427,0.644776119,0.625572773,None,None,1,None,None,1,0.385892116,0.381114903,0.38350351,1.012534836,1.012534836,1.004777213,1.004777213,0.397694524,0.356807512,0.377251018,1.114591233,1.114591233,1.040887013,1.040887013,0.393630573,0.355223881,0.374427227,None,None,1,None,None,1,0.461538462,0.436183395,0.448860928,1.058129371,1.058129371,1.025355066,1.025355066,0.432880845,0.45620438,0.444542612,0.948874811,0.948874811,0.976676465,0.976676465,0.43697479,0.448430493,0.442702642,None,None,1,None,None,1,0.4393531,0.46856465,0.453958875,0.937657375,0.937657375,0.97078845,0.97078845,0.480471629,0.43,0.455235814,1.11737588,1.11737588,1.050471629,1.050471629,0.474316211,0.433691756,0.454003984,None,None,1,None,None,1,0.429447853,0.575949367,0.50269861,0.745634733,0.745634733,0.853498486,0.853498486,0.576687117,0.495016611,0.535851864,1.164985383,1.164985383,1.081670505,1.081670505,0.565400844,0.508264463,0.536832653,None,None,1,None,None,1,0.288461538,0.392857143,0.340659341,0.734265734,0.734265734,0.895604396,0.895604396,0.407092199,0.313283208,0.360187703,1.299438298,1.299438298,1.093808991,1.093808991,0.395939086,0.316455696,0.356197391,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp, 0-TNR=0.6","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.6",0.6,0.6,s_as_input=False,4,0.589693729,0.534685165,0.635714286,0.585199726,0.170881132,1.367296748,1.367296748,1.1306527,0.604972376,0.586430678,0.595701527,1.031617884,1.031617884,1.018541697,1.018541697,0.577745026,0.612857143,0.595301084,0.942707501,0.942707501,0.964887883,0.964887883,0.580238727,0.615664845,0.597951786,None,None,1,None,None,1,0.4921875,0.541409147,0.516798324,0.909086045,0.909086045,0.950778353,0.950778353,0.56561086,0.459854015,0.512732437,1.229979171,1.229979171,1.105756845,1.105756845,0.554785021,0.467592593,0.511188807,None,None,1,None,None,1,0.666666667,0.627539503,0.647103085,1.06235012,1.06235012,1.039127163,1.039127163,0.589337176,0.711267606,0.650302391,0.828573059,0.828573059,0.87806957,0.87806957,0.603557814,0.711711712,0.657634763,None,None,1,None,None,1,0.333333333,0.372460497,0.352896915,0.894949495,0.894949495,0.960872837,0.960872837,0.410662824,0.288732394,0.349697609,1.422295635,1.422295635,1.12193043,1.12193043,0.396442186,0.288288288,0.342365237,None,None,1,None,None,1,0.5078125,0.458590853,0.483201676,1.107332379,1.107332379,1.049221647,1.049221647,0.43438914,0.540145985,0.487267563,0.804206922,0.804206922,0.894243155,0.894243155,0.445214979,0.532407407,0.488811193,None,None,1,None,None,1,0.389502762,0.453097345,0.421300054,0.859644769,0.859644769,0.936405417,0.936405417,0.486366986,0.355714286,0.421040636,1.367296748,1.367296748,1.1306527,1.1306527,0.472148541,0.358834244,0.415491393,None,None,1,None,None,1,0.446808511,0.5703125,0.508560505,0.78344506,0.78344506,0.876496011,0.876496011,0.568181818,0.506024096,0.537102957,1.122835498,1.122835498,1.062157722,1.062157722,0.561797753,0.512690355,0.537244054,None,None,1,None,None,1,0.294117647,0.40021575,0.347166698,0.734897733,0.734897733,0.893901897,0.893901897,0.413199426,0.328159645,0.370679536,1.259141494,1.259141494,1.085039781,1.085039781,0.403266332,0.326704545,0.364985439,None,None,1,None,None,1
