algorithm,TNR0set,TNR1set,TPRset,TNR0num,TNR1num,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
"FairGPopp*, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.6","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.6,0.6,s_as_input=True,0,0.568789499,0.542155816,0.591071429,0.566613623,0.132944665,0.799335417,0.799335417,0.902017834,0.573979592,0.567567568,0.57077358,1.011297376,1.011297376,1.006412024,1.006412024,0.56180607,0.582152975,0.571979522,0.965048869,0.965048869,0.979653095,0.979653095,0.565824468,0.576853526,0.571338997,None,None,1,None,None,1,0.449275362,0.558197747,0.503736555,0.804867745,0.804867745,0.891077615,0.891077615,0.557926829,0.505338078,0.531632454,1.104066472,1.104066472,1.052588751,1.052588751,0.549295775,0.519823789,0.534559782,None,None,1,None,None,1,0.641732283,0.576212471,0.608972377,1.11370773,1.11370773,1.065519812,1.065519812,0.565467626,0.632941176,0.599204401,0.893396807,0.893396807,0.932526449,0.932526449,0.580604534,0.616564417,0.598584476,None,None,1,None,None,1,0.358267717,0.423787529,0.391027623,0.845394666,0.845394666,0.934480188,0.934480188,0.434532374,0.367058824,0.400795599,1.183822173,1.183822173,1.067473551,1.067473551,0.419395466,0.383435583,0.401415524,None,None,1,None,None,1,0.550724638,0.441802253,0.496263445,1.246541035,1.246541035,1.108922385,1.108922385,0.442073171,0.494661922,0.468367546,0.893687489,0.893687489,0.947411249,0.947411249,0.450704225,0.480176211,0.465440218,None,None,1,None,None,1,0.390306122,0.488288288,0.439297205,0.799335417,0.799335417,0.902017834,0.902017834,0.494448557,0.422096317,0.458272437,1.171411681,1.171411681,1.072352239,1.072352239,0.480718085,0.439421338,0.460069712,None,None,1,None,None,1,0.405228758,0.548585486,0.476907122,0.738679328,0.738679328,0.856643272,0.856643272,0.547904192,0.476510067,0.512207129,1.149827106,1.149827106,1.071394125,1.071394125,0.539419087,0.485596708,0.512507897,None,None,1,None,None,1,0.317991632,0.414319249,0.36615544,0.767503882,0.767503882,0.903672383,0.903672383,0.424597365,0.340686275,0.38264182,1.246300178,1.246300178,1.08391109,1.08391109,0.409731114,0.351612903,0.380672009,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.6","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.6,0.6,s_as_input=True,1,0.592610598,0.542155816,0.634821429,0.588488623,0.17732058,0.877433539,0.877433539,0.944053748,0.568877551,0.598198198,0.583537875,0.950985063,0.950985063,0.970679353,0.970679353,0.584172662,0.610194903,0.597183782,0.957354215,0.957354215,0.973977759,0.973977759,0.583979328,0.618860511,0.601419919,None,None,1,None,None,1,0.456521739,0.556946183,0.506733961,0.819687347,0.819687347,0.899575556,0.899575556,0.564828614,0.484962406,0.52489551,1.164685359,1.164685359,1.079866208,1.079866208,0.555401662,0.497674419,0.52653804,None,None,1,None,None,1,0.62992126,0.636258661,0.63308996,0.990039584,0.990039584,0.993662599,0.993662599,0.602225313,0.693266833,0.647746073,0.86867752,0.86867752,0.90895848,0.90895848,0.608958838,0.707482993,0.658220915,None,None,1,None,None,1,0.37007874,0.363741339,0.36691004,1.017422822,1.017422822,1.006337401,1.006337401,0.397774687,0.306733167,0.352253927,1.296810159,1.296810159,1.09104152,1.09104152,0.391041162,0.292517007,0.341779085,None,None,1,None,None,1,0.543478261,0.443053817,0.493266039,1.22666421,1.22666421,1.100424444,1.100424444,0.435171386,0.515037594,0.47510449,0.844931304,0.844931304,0.920133792,0.920133792,0.444598338,0.502325581,0.47346196,None,None,1,None,None,1,0.400510204,0.456456456,0.42848333,0.877433539,0.877433539,0.944053748,0.944053748,0.478417266,0.377811094,0.42811418,1.26628697,1.26628697,1.100606172,1.100606172,0.467700258,0.379174853,0.423437556,None,None,1,None,None,1,0.401273885,0.585526316,0.493400101,0.685321692,0.685321692,0.81574757,0.81574757,0.569924812,0.511904762,0.540914787,1.113341493,1.113341493,1.05802005,1.05802005,0.553867403,0.554404145,0.554135774,None,None,1,None,None,1,0.319148936,0.391160221,0.355154579,0.815903354,0.815903354,0.927988715,0.927988715,0.402758621,0.330120482,0.366439551,1.220035238,1.220035238,1.072638139,1.072638139,0.389563107,0.341772152,0.365667629,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.6","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.6,0.6,s_as_input=True,2,0.584346135,0.556029883,0.608035714,0.582032798,0.163778692,0.920549779,0.920549779,0.962350616,0.548469388,0.592792793,0.57063109,0.925229514,0.925229514,0.955676595,0.955676595,0.58358209,0.585774059,0.584678074,0.996257996,0.996257996,0.997808031,0.997808031,0.578666667,0.599640934,0.5891538,None,None,1,None,None,1,0.47826087,0.569461827,0.523861348,0.839847109,0.839847109,0.908799042,0.908799042,0.588414634,0.480427046,0.53442084,1.224774164,1.224774164,1.107987588,1.107987588,0.575458392,0.495614035,0.535536214,None,None,1,None,None,1,0.586614173,0.614318707,0.60046644,0.954902019,0.954902019,0.972295467,0.972295467,0.578947368,0.653669725,0.616308547,0.885687904,0.885687904,0.925277644,0.925277644,0.581542351,0.671732523,0.626637437,None,None,1,None,None,1,0.413385827,0.385681293,0.39953356,1.071832713,1.071832713,1.027704533,1.027704533,0.421052632,0.346330275,0.383691453,1.215754618,1.215754618,1.074722356,1.074722356,0.418457649,0.328267477,0.373362563,None,None,1,None,None,1,0.52173913,0.430538173,0.476138652,1.211830131,1.211830131,1.091200958,1.091200958,0.411585366,0.519572954,0.46557916,0.792160875,0.792160875,0.892012412,0.892012412,0.424541608,0.504385965,0.464463786,None,None,1,None,None,1,0.43622449,0.473873874,0.455049182,0.920549779,0.920549779,0.962350616,0.962350616,0.502985075,0.39888424,0.450934657,1.260980065,1.260980065,1.104100835,1.104100835,0.492666667,0.396768402,0.444717534,None,None,1,None,None,1,0.385964912,0.576679341,0.481322127,0.669288606,0.669288606,0.809285571,0.809285571,0.572700297,0.472027972,0.522364134,1.213276184,1.213276184,1.100672325,1.100672325,0.552097429,0.511312217,0.531704823,None,None,1,None,None,1,0.325791855,0.392694064,0.35924296,0.829632748,0.829632748,0.933097791,0.933097791,0.405405405,0.3387471,0.372076253,1.196778971,1.196778971,1.066658306,1.066658306,0.395532194,0.342261905,0.36889705,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.6","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.6,0.6,s_as_input=True,3,0.592610598,0.576307364,0.60625,0.591278682,0.182027718,0.928634808,0.928634808,0.965496108,0.556122449,0.601201201,0.578661825,0.925018859,0.925018859,0.954921248,0.954921248,0.598689002,0.580409357,0.589549179,1.031494402,1.031494402,1.018279645,1.018279645,0.597131682,0.579349904,0.588240793,None,None,1,None,None,1,0.507246377,0.588235294,0.547740835,0.862318841,0.862318841,0.919011083,0.919011083,0.597305389,0.524163569,0.560734479,1.139540069,1.139540069,1.07314182,1.07314182,0.589707928,0.532110092,0.56090901,None,None,1,None,None,1,0.582677165,0.613163972,0.597920569,0.95027952,0.95027952,0.969513193,0.969513193,0.6,0.61686747,0.608433735,0.97265625,0.97265625,0.98313253,0.98313253,0.603680982,0.613114754,0.608397868,None,None,1,None,None,1,0.417322835,0.386836028,0.402079431,1.078810671,1.078810671,1.030486807,1.030486807,0.4,0.38313253,0.391566265,1.044025157,1.044025157,1.01686747,1.01686747,0.396319018,0.386885246,0.391602132,None,None,1,None,None,1,0.492753623,0.411764706,0.452259165,1.196687371,1.196687371,1.080988917,1.080988917,0.402694611,0.475836431,0.439265521,0.846287893,0.846287893,0.92685818,0.92685818,0.410292072,0.467889908,0.43909099,None,None,1,None,None,1,0.448979592,0.483483483,0.466231538,0.928634808,0.928634808,0.965496108,0.965496108,0.495994173,0.438596491,0.467295332,1.130866715,1.130866715,1.057397682,1.057397682,0.48696219,0.447418738,0.467190464,None,None,1,None,None,1,0.397727273,0.583850932,0.490789102,0.681213733,0.681213733,0.813876341,0.813876341,0.585903084,0.47,0.527951542,1.246602306,1.246602306,1.115903084,1.115903084,0.567603748,0.495726496,0.531665122,None,None,1,None,None,1,0.314814815,0.38255814,0.348686477,0.822920185,0.822920185,0.932256675,0.932256675,0.388728324,0.333333333,0.361030829,1.166184971,1.166184971,1.05539499,1.05539499,0.374841169,0.352941176,0.363891173,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp*, 0-TNR=0.6","FairGPopp*, 1-TNR=0.6","FairGPopp*, TPR=0.6",0.6,0.6,s_as_input=True,4,0.573650948,0.551760939,0.591964286,0.571862612,0.143356734,0.891700469,0.891700469,0.947638965,0.568877551,0.574774775,0.571826163,0.98973994,0.98973994,0.994102776,0.994102776,0.573626374,0.573699422,0.573662898,0.999872671,0.999872671,0.999926952,0.999926952,0.579947575,0.555555556,0.567751565,None,None,1,None,None,1,0.5,0.560700876,0.530350438,0.891741071,0.891741071,0.939299124,0.939299124,0.584097859,0.477031802,0.530564831,1.224442179,1.224442179,1.107066057,1.107066057,0.582278481,0.455752212,0.519015347,None,None,1,None,None,1,0.606299213,0.587759815,0.597029514,1.031542472,1.031542472,1.018539397,1.018539397,0.563994374,0.640586797,0.602290586,0.880433966,0.880433966,0.923407577,0.923407577,0.57791411,0.629508197,0.603711154,None,None,1,None,None,1,0.393700787,0.412240185,0.402970486,0.95502768,0.95502768,0.981460603,0.981460603,0.436005626,0.359413203,0.397709414,1.213104088,1.213104088,1.076592423,1.076592423,0.42208589,0.370491803,0.396288846,None,None,1,None,None,1,0.5,0.439299124,0.469649562,1.138176638,1.138176638,1.060700876,1.060700876,0.415902141,0.522968198,0.469435169,0.795272337,0.795272337,0.892933943,0.892933943,0.417721519,0.544247788,0.480984653,None,None,1,None,None,1,0.431122449,0.483483483,0.457302966,0.891700469,0.891700469,0.947638965,0.947638965,0.506959707,0.407514451,0.457237079,1.244028784,1.244028784,1.099445256,1.099445256,0.49672346,0.406779661,0.451751561,None,None,1,None,None,1,0.408284024,0.556521739,0.482402881,0.733635355,0.733635355,0.851762285,0.851762285,0.552023121,0.478723404,0.515373263,1.153114965,1.153114965,1.073299717,1.073299717,0.546174142,0.476851852,0.511512997,None,None,1,None,None,1,0.30941704,0.408139535,0.358778288,0.758115825,0.758115825,0.901277505,0.901277505,0.404160475,0.36097561,0.382568043,1.11963375,1.11963375,1.043184866,1.043184866,0.38671875,0.39047619,0.38859747,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp, 0-TNR=0.6","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.6",0.6,0.6,s_as_input=False,0,0.586290715,0.574172892,0.596428571,0.585300732,0.170044172,0.824896605,0.824896605,0.912816388,0.614795918,0.57957958,0.597187749,1.06076187,1.06076187,1.035216339,1.035216339,0.576609919,0.604815864,0.590712891,0.953364409,0.953364409,0.971794055,0.971794055,0.587101064,0.584086799,0.585593932,None,None,1,None,None,1,0.536231884,0.580725907,0.558478896,0.923382059,0.923382059,0.955505977,0.955505977,0.603658537,0.505338078,0.554498307,1.194563724,1.194563724,1.098320458,1.098320458,0.6,0.49339207,0.546696035,None,None,1,None,None,1,0.657480315,0.57852194,0.618001127,1.13648294,1.13648294,1.078958375,1.078958375,0.551079137,0.670588235,0.610833686,0.821784678,0.821784678,0.880490901,0.880490901,0.575566751,0.647239264,0.611403007,None,None,1,None,None,1,0.342519685,0.42147806,0.381998873,0.812663143,0.812663143,0.921041625,0.921041625,0.448920863,0.329411765,0.389166314,1.362795478,1.362795478,1.119509099,1.119509099,0.424433249,0.352760736,0.388596993,None,None,1,None,None,1,0.463768116,0.419274093,0.441521104,1.106121566,1.106121566,1.044494023,1.044494023,0.396341463,0.494661922,0.445501693,0.801237059,0.801237059,0.901679542,0.901679542,0.4,0.50660793,0.453303965,None,None,1,None,None,1,0.410714286,0.497897898,0.454306092,0.824896605,0.824896605,0.912816388,0.912816388,0.524056255,0.399433428,0.461744841,1.311998992,1.311998992,1.124622827,1.124622827,0.50731383,0.410488246,0.458901038,None,None,1,None,None,1,0.459627329,0.559710495,0.509668912,0.82118762,0.82118762,0.899916835,0.899916835,0.559322034,0.503546099,0.531434067,1.110766293,1.110766293,1.055775935,1.055775935,0.558322412,0.49339207,0.525857241,None,None,1,None,None,1,0.277056277,0.400717703,0.33888699,0.691400142,0.691400142,0.876338574,0.876338574,0.404354588,0.327830189,0.366092388,1.233426944,1.233426944,1.076524399,1.076524399,0.383265857,0.352760736,0.368013297,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp, 0-TNR=0.6","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.6",0.6,0.6,s_as_input=False,1,0.58677686,0.547491996,0.619642857,0.583567426,0.167106034,0.852748708,0.852748708,0.930840534,0.609693878,0.581381381,0.595537629,1.048698663,1.048698663,1.028312496,1.028312496,0.575539568,0.610194903,0.592867235,0.943206123,0.943206123,0.965344666,0.965344666,0.582041344,0.601178782,0.591610063,None,None,1,None,None,1,0.514492754,0.553191489,0.533842121,0.930044593,0.930044593,0.961301264,0.961301264,0.564828614,0.503759398,0.534294006,1.12122695,1.12122695,1.061069216,1.061069216,0.560941828,0.502325581,0.531633705,None,None,1,None,None,1,0.661417323,0.6073903,0.634403812,1.088949433,1.088949433,1.054027023,1.054027023,0.585535466,0.680798005,0.633166735,0.860072241,0.860072241,0.904737461,0.904737461,0.600484262,0.673469388,0.636976825,None,None,1,None,None,1,0.338582677,0.3926097,0.365596188,0.862389995,0.862389995,0.945972977,0.945972977,0.414464534,0.319201995,0.366833265,1.298439673,1.298439673,1.095262539,1.095262539,0.399515738,0.326530612,0.363023175,None,None,1,None,None,1,0.485507246,0.446808511,0.466157879,1.086611456,1.086611456,1.038698736,1.038698736,0.435171386,0.496240602,0.465705994,0.876936278,0.876936278,0.938930784,0.938930784,0.439058172,0.497674419,0.468366295,None,None,1,None,None,1,0.400510204,0.46966967,0.435089937,0.852748708,0.852748708,0.930840534,0.930840534,0.48705036,0.392803598,0.439926979,1.239933549,1.239933549,1.094246762,1.094246762,0.474806202,0.400785855,0.437796028,None,None,1,None,None,1,0.452229299,0.565217391,0.508723345,0.800097991,0.800097991,0.887011908,0.887011908,0.559822747,0.511450382,0.535636565,1.094578805,1.094578805,1.048372366,1.048372366,0.551020408,0.529411765,0.540216086,None,None,1,None,None,1,0.285106383,0.404303511,0.344704947,0.705179093,0.705179093,0.880802872,0.880802872,0.409537167,0.325925926,0.367731546,1.256534489,1.256534489,1.083611241,1.083611241,0.389913899,0.350819672,0.370366786,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp, 0-TNR=0.6","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.6",0.6,0.6,s_as_input=False,2,0.58385999,0.557097118,0.60625,0.581673559,0.163030357,0.86541773,0.86541773,0.935335846,0.594387755,0.581381381,0.587884568,1.0223715,1.0223715,1.013006374,1.013006374,0.578358209,0.594142259,0.586250234,0.973433887,0.973433887,0.98421595,0.98421595,0.582,0.588868941,0.58543447,None,None,1,None,None,1,0.514492754,0.564455569,0.539474162,0.911484945,0.911484945,0.950037184,0.950037184,0.583841463,0.494661922,0.539251693,1.180283822,1.180283822,1.089179542,1.089179542,0.569816643,0.51754386,0.543680251,None,None,1,None,None,1,0.637795276,0.596997691,0.617396483,1.068337928,1.068337928,1.040797585,1.040797585,0.573099415,0.658256881,0.615678148,0.870631864,0.870631864,0.914842534,0.914842534,0.592920354,0.638297872,0.615609113,None,None,1,None,None,1,0.362204724,0.403002309,0.382603517,0.898765878,0.898765878,0.959202415,0.959202415,0.426900585,0.341743119,0.384321852,1.249185604,1.249185604,1.085157466,1.085157466,0.407079646,0.361702128,0.384390887,None,None,1,None,None,1,0.485507246,0.435544431,0.460525838,1.114713477,1.114713477,1.049962816,1.049962816,0.416158537,0.505338078,0.460748307,0.823524991,0.823524991,0.910820458,0.910820458,0.430183357,0.48245614,0.456319749,None,None,1,None,None,1,0.415816327,0.48048048,0.448148404,0.86541773,0.86541773,0.935335846,0.935335846,0.503731343,0.40167364,0.452702492,1.254081157,1.254081157,1.102057703,1.102057703,0.484,0.425493716,0.454746858,None,None,1,None,None,1,0.435582822,0.56375,0.499666411,0.772652456,0.772652456,0.871832822,0.871832822,0.567407407,0.482638889,0.525023148,1.175635492,1.175635492,1.084768519,1.084768519,0.556473829,0.497890295,0.527182062,None,None,1,None,None,1,0.292576419,0.402312139,0.347444279,0.727237364,0.727237364,0.89026428,0.89026428,0.410526316,0.331002331,0.370764323,1.240252039,1.240252039,1.079523985,1.079523985,0.394056848,0.34375,0.368903424,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp, 0-TNR=0.6","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.6",0.6,0.6,s_as_input=False,3,0.607194944,0.57203842,0.636607143,0.604322782,0.208540072,0.771779576,0.771779576,0.89061868,0.614795918,0.605405405,0.610100662,1.015511115,1.015511115,1.009390513,1.009390513,0.617625637,0.58625731,0.601941474,1.053506075,1.053506075,1.031368327,1.031368327,0.616036506,0.58126195,0.598649228,None,None,1,None,None,1,0.47826087,0.588235294,0.533248082,0.813043478,0.813043478,0.890025575,0.890025575,0.618263473,0.457249071,0.537756272,1.352137189,1.352137189,1.161014402,1.161014402,0.605006954,0.463302752,0.534154853,None,None,1,None,None,1,0.688976378,0.621247113,0.655111746,1.109021456,1.109021456,1.067729265,1.067729265,0.617021277,0.669879518,0.643450397,0.921092913,0.921092913,0.947141759,0.947141759,0.625766871,0.66557377,0.645670321,None,None,1,None,None,1,0.311023622,0.378752887,0.344888254,0.821178222,0.821178222,0.932270735,0.932270735,0.382978723,0.330120482,0.356549603,1.160118031,1.160118031,1.052858241,1.052858241,0.374233129,0.33442623,0.354329679,None,None,1,None,None,1,0.52173913,0.411764706,0.466751918,1.267080745,1.267080745,1.109974425,1.109974425,0.381736527,0.542750929,0.462243728,0.703336478,0.703336478,0.838985598,0.838985598,0.394993046,0.536697248,0.465845147,None,None,1,None,None,1,0.369897959,0.479279279,0.424588619,0.771779576,0.771779576,0.89061868,0.89061868,0.497450838,0.380116959,0.438783898,1.308678357,1.308678357,1.117333879,1.117333879,0.482398957,0.388145315,0.435272136,None,None,1,None,None,1,0.455172414,0.588972431,0.522072422,0.772824652,0.772824652,0.866199983,0.866199983,0.604685212,0.473076923,0.538881068,1.278196384,1.278196384,1.131608289,1.131608289,0.587837838,0.497536946,0.542687392,None,None,1,None,None,1,0.291497976,0.379469435,0.335483705,0.768172477,0.768172477,0.912028541,0.912028541,0.369565217,0.344339623,0.35695242,1.073257892,1.073257892,1.025225595,1.025225595,0.35768262,0.365625,0.36165381,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.6, 1-TNR=0.6, TPR=0.6","FairGPopp, 0-TNR=0.6","FairGPopp, 1-TNR=0.6","FairGPopp, TPR=0.6",0.6,0.6,s_as_input=False,4,0.590179874,0.552828175,0.621428571,0.587128373,0.174182902,0.804441095,0.804441095,0.906977386,0.607142857,0.586186186,0.596664522,1.035750878,1.035750878,1.020956671,1.020956671,0.581684982,0.606936416,0.594310699,0.958395256,0.958395256,0.974748566,0.974748566,0.587811271,0.596986817,0.592399044,None,None,1,None,None,1,0.485507246,0.564455569,0.524981408,0.86013368,0.86013368,0.921051677,0.921051677,0.576452599,0.498233216,0.537342907,1.156993515,1.156993515,1.078219384,1.078219384,0.566807314,0.508849558,0.537828436,None,None,1,None,None,1,0.673228346,0.606235566,0.639731956,1.110506187,1.110506187,1.066992781,1.066992781,0.58649789,0.682151589,0.63432474,0.859776477,0.859776477,0.904346301,0.904346301,0.606134969,0.662295082,0.634215026,None,None,1,None,None,1,0.326771654,0.393764434,0.360268044,0.829865842,0.829865842,0.933007219,0.933007219,0.41350211,0.317848411,0.36567526,1.300941253,1.300941253,1.095653699,1.095653699,0.393865031,0.337704918,0.365784974,None,None,1,None,None,1,0.514492754,0.435544431,0.475018592,1.181263535,1.181263535,1.078948323,1.078948323,0.423547401,0.501766784,0.462657093,0.844112073,0.844112073,0.921780616,0.921780616,0.433192686,0.491150442,0.462171564,None,None,1,None,None,1,0.382653061,0.475675676,0.429164368,0.804441095,0.804441095,0.906977386,0.906977386,0.491575092,0.391618497,0.441596794,1.255239717,1.255239717,1.099956594,1.099956594,0.474442988,0.410546139,0.442494564,None,None,1,None,None,1,0.446666667,0.569444444,0.508055556,0.784390244,0.784390244,0.877222222,0.877222222,0.561847988,0.520295203,0.541071596,1.079863864,1.079863864,1.041552785,1.041552785,0.556629834,0.527522936,0.542076385,None,None,1,None,None,1,0.29338843,0.39862543,0.34600693,0.736000285,0.736000285,0.894763,0.894763,0.399135447,0.337292162,0.368213804,1.183352275,1.183352275,1.061843285,1.061843285,0.3840399,0.354632588,0.369336244,None,None,1,None,None,1
