algorithm,TNR0set,TNR1set,TPRset,TNR0num,TNR1num,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff
"FairGPopp*, 0-TNR=1, 1-TNR=1, TPR=1","FairGPopp*, 0-TNR=1","FairGPopp*, 1-TNR=1","FairGPopp*, TPR=1",1,1,s_as_input=True,0,0.668935343,0.574172892,0.748214286,0.661193589,0.327917649,1.943411424,1.943411424,1.231809664,0.664701548,0.677142857,0.670922202,0.981626758,0.981626758,0.98755869,0.98755869,0.645550528,0.401459854,0.523505191,1.608007679,1.608007679,1.244090674,1.244090674,0.682997118,0.854460094,0.768728606,0.799331792,0.799331792,0.828537024,0.828537024,0.317002882,0.145539906,0.231271394,2.178116575,2.178116575,1.171462976,1.171462976,0.354449472,0.598540146,0.476494809,0.592189972,0.592189972,0.755909326,0.755909326,0.47752395,0.245714286,0.361619118,1.943411424,1.943411424,1.231809664,1.231809664,0.660493827,0.639534884,0.650014355,1.032772166,1.032772166,1.020958943,1.020958943,0.33145275,0.310606061,0.321029405,1.067116172,1.067116172,1.02084669,1.02084669
"FairGPopp*, 0-TNR=1, 1-TNR=1, TPR=1","FairGPopp*, 0-TNR=1","FairGPopp*, 1-TNR=1","FairGPopp*, TPR=1",1,1,s_as_input=True,1,0.662129315,0.529348986,0.773214286,0.651281636,0.313059285,2.063375092,2.063375092,1.227866091,0.660280029,0.665714286,0.662997158,0.991836954,0.991836954,0.994565744,0.994565744,0.604826546,0.346715328,0.475770937,1.744447091,1.744447091,1.258111218,1.258111218,0.713256484,0.870892019,0.792074251,0.818995316,0.818995316,0.842364465,0.842364465,0.286743516,0.129107981,0.207925749,2.220958868,2.220958868,1.157635535,1.157635535,0.395173454,0.653284672,0.524229063,0.604902382,0.604902382,0.741888782,0.741888782,0.442151805,0.214285714,0.32821876,2.063375092,2.063375092,1.227866091,1.227866091,0.668333333,0.633333333,0.650833333,1.055263158,1.055263158,1.035,1.035,0.346103038,0.325454545,0.335778792,1.06344509,1.06344509,1.020648493,1.020648493
"FairGPopp*, 0-TNR=1, 1-TNR=1, TPR=1","FairGPopp*, 0-TNR=1","FairGPopp*, 1-TNR=1","FairGPopp*, TPR=1",1,1,s_as_input=True,2,0.672338357,0.564567769,0.7625,0.663533885,0.334505539,2.43448572,2.43448572,1.284847879,0.666175387,0.684285714,0.675230551,0.973533968,0.973533968,0.981889673,0.981889673,0.653092006,0.350364964,0.501728485,1.864033434,1.864033434,1.302727043,1.302727043,0.678674352,0.899061033,0.788867692,0.754870167,0.754870167,0.779613319,0.779613319,0.321325648,0.100938967,0.211132308,3.183365726,3.183365726,1.220386681,1.220386681,0.346907994,0.649635036,0.498271515,0.53400444,0.53400444,0.697272957,0.697272957,0.483419307,0.198571429,0.340995368,2.43448572,2.43448572,1.284847879,1.284847879,0.660060976,0.690647482,0.675354229,0.955713288,0.955713288,0.969413494,0.969413494,0.32810271,0.317290553,0.322696631,1.03407652,1.03407652,1.010812158,1.010812158
"FairGPopp*, 0-TNR=1, 1-TNR=1, TPR=1","FairGPopp*, 0-TNR=1","FairGPopp*, 1-TNR=1","FairGPopp*, TPR=1",1,1,s_as_input=True,3,0.660184735,0.552828175,0.75,0.651414088,0.309500087,1.949086352,1.949086352,1.226424887,0.65954311,0.661428571,0.660485841,0.99714941,0.99714941,0.998114538,0.998114538,0.62745098,0.372262774,0.499856877,1.685505575,1.685505575,1.255188207,1.255188207,0.690201729,0.84741784,0.768809785,0.814476279,0.814476279,0.842783889,0.842783889,0.309798271,0.15258216,0.231190215,2.030370206,2.030370206,1.157216111,1.157216111,0.37254902,0.627737226,0.500143123,0.593479252,0.593479252,0.744811793,0.744811793,0.464996315,0.238571429,0.351783872,1.949086352,1.949086352,1.226424887,1.226424887,0.659270998,0.610778443,0.635024721,1.079394674,1.079394674,1.048492555,1.048492555,0.340220386,0.322701689,0.331461037,1.05428759,1.05428759,1.017518697,1.017518697
"FairGPopp*, 0-TNR=1, 1-TNR=1, TPR=1","FairGPopp*, 0-TNR=1","FairGPopp*, 1-TNR=1","FairGPopp*, TPR=1",1,1,s_as_input=True,4,0.659212445,0.543223052,0.75625,0.649736526,0.307240234,2.407270941,2.407270941,1.277433414,0.65880619,0.66,0.659403095,0.998191197,0.998191197,0.99880619,0.99880619,0.636500754,0.317518248,0.477009501,2.004611571,2.004611571,1.318982506,1.318982506,0.680115274,0.88028169,0.780198482,0.772610951,0.772610951,0.799833584,0.799833584,0.319884726,0.11971831,0.219801518,2.671978301,2.671978301,1.200166416,1.200166416,0.363499246,0.682481752,0.522990499,0.532613868,0.532613868,0.681017494,0.681017494,0.474576271,0.197142857,0.335859564,2.407270941,2.407270941,1.277433414,1.277433414,0.655279503,0.630434783,0.642857143,1.039408867,1.039408867,1.02484472,1.02484472,0.338008415,0.332740214,0.335374314,1.015832777,1.015832777,1.005268202,1.005268202
"FairGPopp*, 0-TNR=1, 1-TNR=1, TPR=1","FairGPopp*, 0-TNR=1","FairGPopp*, 1-TNR=1","FairGPopp*, TPR=1",1,1,s_as_input=True,5,0.645600389,0.513340448,0.75625,0.634795224,0.278628429,2.166543847,2.166543847,1.241641225,0.641857038,0.652857143,0.64735709,0.983150823,0.983150823,0.988999895,0.988999895,0.592760181,0.321167883,0.456964032,1.845639654,1.845639654,1.271592298,1.271592298,0.688760807,0.866197183,0.777478995,0.795154753,0.795154753,0.822563624,0.822563624,0.311239193,0.133802817,0.222521005,2.326103443,2.326103443,1.177436376,1.177436376,0.407239819,0.678832117,0.543035968,0.599912422,0.599912422,0.728407702,0.728407702,0.448784083,0.207142857,0.32796347,2.166543847,2.166543847,1.241641225,1.241641225,0.645320197,0.606896552,0.626108374,1.063311688,1.063311688,1.038423645,1.038423645,0.360962567,0.335135135,0.348048851,1.077065724,1.077065724,1.025827432,1.025827432
"FairGPopp*, 0-TNR=1, 1-TNR=1, TPR=1","FairGPopp*, 0-TNR=1","FairGPopp*, 1-TNR=1","FairGPopp*, TPR=1",1,1,s_as_input=True,6,0.659212445,0.574172892,0.730357143,0.652265018,0.308548903,2.175515043,2.175515043,1.27036846,0.65954311,0.658571429,0.659057269,1.001475438,1.001475438,1.000971681,1.000971681,0.663650075,0.357664234,0.510657154,1.855511435,1.855511435,1.305985842,1.305985842,0.655619597,0.852112676,0.753866136,0.769404816,0.769404816,0.80350692,0.80350692,0.344380403,0.147887324,0.246133864,2.32866749,2.32866749,1.19649308,1.19649308,0.336349925,0.642335766,0.489342846,0.523635678,0.523635678,0.694014158,0.694014158,0.50036846,0.23,0.36518423,2.175515043,2.175515043,1.27036846,1.27036846,0.648011782,0.608695652,0.628353717,1.064590785,1.064590785,1.03931613,1.03931613,0.328908555,0.326530612,0.327719583,1.007282448,1.007282448,1.002377942,1.002377942
"FairGPopp*, 0-TNR=1, 1-TNR=1, TPR=1","FairGPopp*, 0-TNR=1","FairGPopp*, 1-TNR=1","FairGPopp*, TPR=1",1,1,s_as_input=True,7,0.644141954,0.517609392,0.75,0.633804696,0.27575169,1.905140806,1.905140806,1.210768502,0.647015475,0.638571429,0.642793452,1.013223339,1.013223339,1.008444047,1.008444047,0.592760181,0.335766423,0.464263302,1.765394452,1.765394452,1.256993758,1.256993758,0.698847262,0.833333333,0.766090298,0.838616715,0.838616715,0.865513929,0.865513929,0.301152738,0.166666667,0.233909702,1.806916427,1.806916427,1.134486071,1.134486071,0.407239819,0.664233577,0.535736698,0.61309731,0.61309731,0.743006242,0.743006242,0.443625645,0.232857143,0.338241394,1.905140806,1.905140806,1.210768502,1.210768502,0.65282392,0.564417178,0.608620549,1.156633685,1.156633685,1.088406742,1.088406742,0.357615894,0.338919926,0.34826791,1.05516338,1.05516338,1.018695969,1.018695969
"FairGPopp*, 0-TNR=1, 1-TNR=1, TPR=1","FairGPopp*, 0-TNR=1","FairGPopp*, 1-TNR=1","FairGPopp*, TPR=1",1,1,s_as_input=True,8,0.652406417,0.547491996,0.740178571,0.643835284,0.293609887,1.895425957,1.895425957,1.220018949,0.657332351,0.642857143,0.650094747,1.02251699,1.02251699,1.014475208,1.014475208,0.625942685,0.357664234,0.491803459,1.750084649,1.750084649,1.268278451,1.268278451,0.687319885,0.82629108,0.756805482,0.83181327,0.83181327,0.861028805,0.861028805,0.312680115,0.17370892,0.243194518,1.800023366,1.800023366,1.138971195,1.138971195,0.374057315,0.642335766,0.508196541,0.582339229,0.582339229,0.731721549,0.731721549,0.465733235,0.245714286,0.35572376,1.895425957,1.895425957,1.220018949,1.220018949,0.65664557,0.569767442,0.613206506,1.152479979,1.152479979,1.086878128,1.086878128,0.342068966,0.333333333,0.337701149,1.026206897,1.026206897,1.008735632,1.008735632
"FairGPopp*, 0-TNR=1, 1-TNR=1, TPR=1","FairGPopp*, 0-TNR=1","FairGPopp*, 1-TNR=1","FairGPopp*, TPR=1",1,1,s_as_input=True,9,0.6587263,0.535752401,0.761607143,0.648679772,0.306083267,2.201168977,2.201168977,1.250529529,0.662490789,0.651428571,0.65695968,1.016981474,1.016981474,1.011062217,1.011062217,0.624434389,0.321167883,0.472801136,1.944261621,1.944261621,1.303266506,1.303266506,0.698847262,0.863849765,0.781348514,0.808991668,0.808991668,0.834997497,0.834997497,0.301152738,0.136150235,0.218651486,2.211914936,2.211914936,1.165002503,1.165002503,0.375565611,0.678832117,0.527198864,0.553252567,0.553252567,0.696733494,0.696733494,0.459100958,0.208571429,0.333836193,2.201168977,2.201168977,1.250529529,1.250529529,0.664526485,0.602739726,0.633633105,1.10250985,1.10250985,1.061786759,1.061786759,0.339237057,0.335740072,0.337488565,1.010415751,1.010415751,1.003496985,1.003496985
