algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
GaussianNB,,0,0.477394263,0.934898613,0.094642857,0.514770735,0.053866873,0.995972687,0.995972687,0.996296807,0.385204082,0.499099099,0.44215159,0.771798792,0.771798792,0.886104983,0.886104983,0.501850481,0.430594901,0.466222691,1.165481709,1.165481709,1.07125558,1.07125558,0.491356383,0.439421338,0.465388861,None,None,1,None,None,1,0.927536232,0.936170213,0.931853222,0.990777339,0.990777339,0.991366019,0.991366019,0.942073171,0.918149466,0.930111318,1.026056438,1.026056438,1.023923705,1.023923705,0.942253521,0.911894273,0.927073897,None,None,1,None,None,1,0.090551181,0.095842956,0.093197069,0.944787022,0.944787022,0.994708225,0.994708225,0.086330935,0.108235294,0.097283115,0.797622771,0.797622771,0.978095641,0.978095641,0.088161209,0.110429448,0.099295328,None,None,1,None,None,1,0.909448819,0.904157044,0.906802931,1.005852717,1.005852717,1.005291775,1.005291775,0.913669065,0.891764706,0.902716885,1.024562935,1.024562935,1.021904359,1.021904359,0.911838791,0.889570552,0.900704672,None,None,1,None,None,1,0.072463768,0.063829787,0.068146778,1.1352657,1.1352657,1.008633981,1.008633981,0.057926829,0.081850534,0.069888682,0.70771474,0.70771474,0.976076295,0.976076295,0.057746479,0.088105727,0.072926103,None,None,1,None,None,1,0.915816327,0.91951952,0.917667923,0.995972687,0.995972687,0.996296807,0.996296807,0.92746114,0.902266289,0.914863714,1.027923964,1.027923964,1.025194851,1.025194851,0.926196809,0.898734177,0.912465493,None,None,1,None,None,1,0.356545961,0.488569562,0.422557762,0.729775222,0.729775222,0.867976399,0.867976399,0.493216281,0.405023548,0.449119914,1.217747174,1.217747174,1.088192733,1.088192733,0.480258435,0.416498994,0.448378714,None,None,1,None,None,1,0.303030303,0.380597015,0.341813659,0.796197267,0.796197267,0.922433288,0.922433288,0.387755102,0.333333333,0.360544218,1.163265306,1.163265306,1.054421769,1.054421769,0.369369369,0.357142857,0.363256113,None,None,1,None,None,1
GaussianNB,,1,0.482741857,0.927427962,0.110714286,0.519071124,0.065297274,0.995100555,0.995100555,0.995553717,0.403061224,0.501501502,0.452281363,0.803708909,0.803708909,0.901559723,0.901559723,0.500719424,0.445277361,0.472998393,1.1245113,1.1245113,1.055442063,1.055442063,0.491602067,0.455795678,0.473698872,None,None,1,None,None,1,0.934782609,0.926157697,0.930470153,1.009312573,1.009312573,1.008624912,1.008624912,0.935916542,0.906015038,0.92096579,1.033003321,1.033003321,1.029901505,1.029901505,0.93767313,0.893023256,0.915348193,None,None,1,None,None,1,0.114173228,0.109699769,0.111936499,1.040779113,1.040779113,1.004473459,1.004473459,0.0945758,0.139650873,0.117113336,0.67723028,0.67723028,0.954924927,0.954924927,0.101694915,0.136054422,0.118874669,None,None,1,None,None,1,0.885826772,0.890300231,0.888063501,0.994975336,0.994975336,0.995526541,0.995526541,0.9054242,0.860349127,0.882886664,1.052391607,1.052391607,1.045075073,1.045075073,0.898305085,0.863945578,0.881125331,None,None,1,None,None,1,0.065217391,0.073842303,0.069529847,0.883198231,0.883198231,0.991375088,0.991375088,0.064083458,0.093984962,0.07903421,0.681847988,0.681847988,0.970098495,0.970098495,0.06232687,0.106976744,0.084651807,None,None,1,None,None,1,0.903061224,0.907507508,0.905284366,0.995100555,0.995100555,0.995553717,0.995553717,0.920143885,0.87856072,0.899352302,1.047331009,1.047331009,1.041583165,1.041583165,0.916666667,0.876227898,0.896447282,None,None,1,None,None,1,0.36440678,0.489741893,0.427074336,0.744079249,0.744079249,0.874664887,0.874664887,0.4910086,0.411262799,0.4511357,1.19390473,1.19390473,1.079745802,1.079745802,0.477096547,0.430493274,0.45379491,None,None,1,None,None,1,0.236842105,0.383116883,0.309979494,0.618198037,0.618198037,0.853725222,0.853725222,0.387387387,0.308641975,0.348014681,1.255135135,1.255135135,1.078745412,1.078745412,0.348837209,0.365079365,0.356958287,None,None,1,None,None,1
GaussianNB,,2,0.49003403,0.937033084,0.116071429,0.526552256,0.091556862,0.993128757,0.993128757,0.993751915,0.397959184,0.511711712,0.454835448,0.777701926,0.777701926,0.886247472,0.886247472,0.506716418,0.458856346,0.482786382,1.104302953,1.104302953,1.047860072,1.047860072,0.498,0.468581688,0.483290844,None,None,1,None,None,1,0.927536232,0.938673342,0.933104787,0.988135266,0.988135266,0.98886289,0.98886289,0.942073171,0.925266904,0.933670037,1.018163696,1.018163696,1.016806267,1.016806267,0.942172073,0.921052632,0.931612352,None,None,1,None,None,1,0.11023622,0.11778291,0.114009565,0.935927127,0.935927127,0.992453311,0.992453311,0.089181287,0.158256881,0.123719084,0.563522332,0.563522332,0.930924406,0.930924406,0.099873578,0.155015198,0.127444388,None,None,1,None,None,1,0.88976378,0.88221709,0.885990435,1.008554232,1.008554232,1.007546689,1.007546689,0.910818713,0.841743119,0.876280916,1.082062559,1.082062559,1.069075594,1.069075594,0.900126422,0.844984802,0.872555612,None,None,1,None,None,1,0.072463768,0.061326658,0.066895213,1.181603076,1.181603076,1.01113711,1.01113711,0.057926829,0.074733096,0.066329963,0.775116144,0.775116144,0.983193733,0.983193733,0.057827927,0.078947368,0.068387648,None,None,1,None,None,1,0.903061224,0.909309309,0.906185267,0.993128757,0.993128757,0.993751915,0.993751915,0.926119403,0.874476987,0.900298195,1.059055202,1.059055202,1.051642416,1.051642416,0.92,0.876122083,0.898061041,None,None,1,None,None,1,0.361581921,0.495376486,0.428479204,0.729913371,0.729913371,0.866205435,0.866205435,0.497985496,0.414673046,0.456329271,1.200911176,1.200911176,1.083312449,1.083312449,0.484057971,0.430327869,0.45719292,None,None,1,None,None,1,0.263157895,0.324503311,0.293830603,0.810955961,0.810955961,0.938654583,0.938654583,0.383838384,0.233333333,0.308585859,1.645021645,1.645021645,1.150505051,1.150505051,0.341666667,0.260869565,0.301268116,None,None,1,None,None,1
GaussianNB,,3,0.473505105,0.959445037,0.066964286,0.513204662,0.057722977,0.988467835,0.988467835,0.989077343,0.390306122,0.493093093,0.441699608,0.791546521,0.791546521,0.897213029,0.897213029,0.502549162,0.415204678,0.45887692,1.210364884,1.210364884,1.087344484,1.087344484,0.487614081,0.432122371,0.459868226,None,None,1,None,None,1,0.963768116,0.958698373,0.961233244,1.005288152,1.005288152,1.005069743,1.005069743,0.959580838,0.959107807,0.959344323,1.0004932,1.0004932,1.000473032,1.000473032,0.961057024,0.95412844,0.957592732,None,None,1,None,None,1,0.078740157,0.063510393,0.071125275,1.239799571,1.239799571,1.015229765,1.015229765,0.069503546,0.062650602,0.066077074,1.109383524,1.109383524,1.006852944,1.006852944,0.06993865,0.059016393,0.064477522,None,None,1,None,None,1,0.921259843,0.936489607,0.928874725,0.98373739,0.98373739,0.984770235,0.984770235,0.930496454,0.937349398,0.933922926,0.992689019,0.992689019,0.993147056,0.993147056,0.93006135,0.940983607,0.935522478,None,None,1,None,None,1,0.036231884,0.041301627,0.038766756,0.877250769,0.877250769,0.994930257,0.994930257,0.040419162,0.040892193,0.040655677,0.988432226,0.988432226,0.999526968,0.999526968,0.038942976,0.04587156,0.042407268,None,None,1,None,None,1,0.93622449,0.947147147,0.941685818,0.988467835,0.988467835,0.989077343,0.989077343,0.944646759,0.945906433,0.945276596,0.998668289,0.998668289,0.998740326,0.998740326,0.944589309,0.946462715,0.945526012,None,None,1,None,None,1,0.36239782,0.485732403,0.424065112,0.74608533,0.74608533,0.876665417,0.876665417,0.494217425,0.398763524,0.446490474,1.239374705,1.239374705,1.095453901,1.095453901,0.476880607,0.42020202,0.448541314,None,None,1,None,None,1,0.2,0.375,0.2875,0.533333333,0.533333333,0.825,0.825,0.355263158,0.297297297,0.326280228,1.194976077,1.194976077,1.057965861,1.057965861,0.329411765,0.357142857,0.343277311,None,None,1,None,None,1
GaussianNB,,4,0.477394263,0.933831377,0.095535714,0.514683546,0.053259292,0.997275463,0.997275463,0.997498008,0.369897959,0.502702703,0.436300331,0.735818521,0.735818521,0.867195256,0.867195256,0.496703297,0.439306358,0.468004828,1.130653557,1.130653557,1.057396938,1.057396938,0.484272608,0.457627119,0.470949863,None,None,1,None,None,1,0.905797101,0.938673342,0.922235222,0.964975845,0.964975845,0.96712376,0.96712376,0.949541284,0.897526502,0.923533893,1.057953478,1.057953478,1.052014783,1.052014783,0.945147679,0.898230088,0.921688884,None,None,1,None,None,1,0.078740157,0.100461894,0.089601026,0.783781338,0.783781338,0.978278264,0.978278264,0.080168776,0.122249389,0.101209083,0.655780591,0.655780591,0.957919388,0.957919388,0.082208589,0.131147541,0.106678065,None,None,1,None,None,1,0.921259843,0.899538106,0.910398974,1.024147655,1.024147655,1.021721736,1.021721736,0.919831224,0.877750611,0.898790917,1.047941422,1.047941422,1.042080612,1.042080612,0.917791411,0.868852459,0.893321935,None,None,1,None,None,1,0.094202899,0.061326658,0.077764778,1.536083999,1.536083999,1.03287624,1.03287624,0.050458716,0.102473498,0.076466107,0.492407466,0.492407466,0.947985217,0.947985217,0.054852321,0.101769912,0.078311116,None,None,1,None,None,1,0.915816327,0.918318318,0.917067322,0.997275463,0.997275463,0.997498008,0.997498008,0.934065934,0.88583815,0.909952042,1.05444311,1.05444311,1.048227784,1.048227784,0.930537353,0.881355932,0.905946642,None,None,1,None,None,1,0.348189415,0.490516678,0.419353046,0.709842154,0.709842154,0.857672737,0.857672737,0.487058824,0.414355628,0.450707226,1.175460862,1.175460862,1.072703195,1.072703195,0.473239437,0.433760684,0.45350006,None,None,1,None,None,1,0.393939394,0.360294118,0.377116756,1.093382808,1.093382808,1.033645276,1.033645276,0.366666667,0.367088608,0.366877637,0.998850575,0.998850575,0.999578059,0.999578059,0.367924528,0.365079365,0.366501947,None,None,1,None,None,1
GaussianNB,,5,0.477394263,0.949839915,0.082142857,0.515991386,0.063454614,1.008426596,1.008426596,1.007844579,0.382653061,0.4996997,0.44117638,0.765766042,0.765766042,0.882953362,0.882953362,0.49024024,0.453793103,0.472016672,1.080316639,1.080316639,1.036447137,1.036447137,0.481456954,0.466179159,0.473818056,None,None,1,None,None,1,0.956521739,0.948685857,0.952603798,1.008259722,1.008259722,1.007835882,1.007835882,0.944444444,0.961937716,0.95319108,0.981814548,0.981814548,0.982506728,0.982506728,0.945224719,0.964444444,0.954834582,None,None,1,None,None,1,0.070866142,0.085450346,0.078158244,0.829325388,0.829325388,0.985415795,0.985415795,0.05994152,0.116972477,0.088456999,0.512441234,0.512441234,0.942969043,0.942969043,0.067669173,0.118012422,0.092840798,None,None,1,None,None,1,0.929133858,0.914549654,0.921841756,1.01594687,1.01594687,1.014584205,1.014584205,0.94005848,0.883027523,0.911543001,1.064585707,1.064585707,1.057030957,1.057030957,0.932330827,0.881987578,0.907159202,None,None,1,None,None,1,0.043478261,0.051314143,0.047396202,0.847295864,0.847295864,0.992164118,0.992164118,0.055555556,0.038062284,0.04680892,1.45959596,1.45959596,1.017493272,1.017493272,0.054775281,0.035555556,0.045165418,None,None,1,None,None,1,0.93877551,0.930930931,0.934853221,1.008426596,1.008426596,1.007844579,1.007844579,0.942192192,0.914482759,0.928337475,1.030300663,1.030300663,1.027709434,1.027709434,0.938410596,0.915904936,0.927157766,None,None,1,None,None,1,0.358695652,0.489032258,0.423863955,0.733480555,0.733480555,0.869663394,0.869663394,0.487649402,0.419306184,0.453477793,1.162991201,1.162991201,1.068343218,1.068343218,0.474947071,0.433133733,0.454040402,None,None,1,None,None,1,0.25,0.356521739,0.30326087,0.701219512,0.701219512,0.893478261,0.893478261,0.467532468,0.177419355,0.322475911,2.635182999,2.635182999,1.290113113,1.290113113,0.419354839,0.173913043,0.296633941,None,None,1,None,None,1
GaussianNB,,6,0.478852698,0.944503735,0.089285714,0.516894725,0.064326606,0.979547342,0.979547342,0.980984556,0.390306122,0.4996997,0.445002911,0.781081363,0.781081363,0.890606423,0.890606423,0.504089219,0.431179775,0.467634497,1.169092913,1.169092913,1.072909444,1.072909444,0.496662216,0.431127013,0.463894614,None,None,1,None,None,1,0.927536232,0.947434293,0.937485262,0.978997951,0.978997951,0.980101939,0.980101939,0.94011976,0.955390335,0.947755048,0.984016403,0.984016403,0.984729426,0.984729426,0.94214876,0.952606635,0.947377698,None,None,1,None,None,1,0.098425197,0.086605081,0.092515139,1.13648294,1.13648294,1.011820116,1.011820116,0.073855244,0.112866817,0.09336103,0.654357459,0.654357459,0.960988427,0.960988427,0.077720207,0.114942529,0.096331368,None,None,1,None,None,1,0.901574803,0.913394919,0.907484861,0.98705914,0.98705914,0.988179884,0.988179884,0.926144756,0.887133183,0.90663897,1.043974878,1.043974878,1.039011573,1.039011573,0.922279793,0.885057471,0.903668632,None,None,1,None,None,1,0.072463768,0.052565707,0.062514738,1.378536922,1.378536922,1.019898061,1.019898061,0.05988024,0.044609665,0.052244952,1.342315369,1.342315369,1.015270574,1.015270574,0.05785124,0.047393365,0.052622302,None,None,1,None,None,1,0.910714286,0.92972973,0.920222008,0.979547342,0.979547342,0.980984556,0.980984556,0.933085502,0.912921348,0.923003425,1.022087504,1.022087504,1.020164154,1.020164154,0.931909212,0.910554562,0.921231887,None,None,1,None,None,1,0.358543417,0.489018088,0.423780753,0.733190502,0.733190502,0.86952533,0.86952533,0.500398406,0.395384615,0.447891511,1.265599082,1.265599082,1.105013791,1.105013791,0.489971347,0.394891945,0.442431646,None,None,1,None,None,1,0.285714286,0.358974359,0.322344322,0.795918367,0.795918367,0.926739927,0.926739927,0.444444444,0.193548387,0.318996416,2.296296296,2.296296296,1.250896057,1.250896057,0.411764706,0.2,0.305882353,None,None,1,None,None,1
GaussianNB,,7,0.47107438,0.948772679,0.071428571,0.510100625,0.041647214,1.014804766,1.014804766,1.013844457,0.37244898,0.494294294,0.433371637,0.753496417,0.753496417,0.878154685,0.878154685,0.500371195,0.415492958,0.457932076,1.204283216,1.204283216,1.084878238,1.084878238,0.489755453,0.419117647,0.45443655,None,None,1,None,None,1,0.956521739,0.947434293,0.951978016,1.009591637,1.009591637,1.009087446,1.009087446,0.944108761,0.96,0.952054381,0.983446626,0.983446626,0.984108761,0.984108761,0.946132597,0.957746479,0.951939538,None,None,1,None,None,1,0.05511811,0.076212471,0.065665291,0.723216416,0.723216416,0.978905639,0.978905639,0.071532847,0.071264368,0.071398607,1.003767365,1.003767365,1.000268479,1.000268479,0.070975919,0.072507553,0.071741736,None,None,1,None,None,1,0.94488189,0.923787529,0.934334709,1.022834646,1.022834646,1.021094361,1.021094361,0.928467153,0.928735632,0.928601393,0.99971092,0.99971092,0.999731521,0.999731521,0.929024081,0.927492447,0.928258264,None,None,1,None,None,1,0.043478261,0.052565707,0.048021984,0.827122153,0.827122153,0.990912554,0.990912554,0.055891239,0.04,0.047945619,1.397280967,1.397280967,1.015891239,1.015891239,0.053867403,0.042253521,0.048060462,None,None,1,None,None,1,0.948979592,0.935135135,0.942057363,1.014804766,1.014804766,1.013844457,1.013844457,0.936154417,0.94084507,0.938499744,0.995014425,0.995014425,0.995309347,0.995309347,0.937210839,0.939338235,0.938274537,None,None,1,None,None,1,0.35483871,0.486191394,0.420515052,0.729833383,0.729833383,0.868647316,0.868647316,0.495638382,0.395209581,0.445423982,1.254115301,1.254115301,1.100428801,1.100428801,0.483074753,0.399217221,0.441145987,None,None,1,None,None,1,0.3,0.388888889,0.344444444,0.771428571,0.771428571,0.911111111,0.911111111,0.430232558,0.261904762,0.34606866,1.642706131,1.642706131,1.168327796,1.168327796,0.410526316,0.272727273,0.341626794,None,None,1,None,None,1
GaussianNB,,8,0.47107438,0.93810032,0.080357143,0.509228732,0.035572713,1.031444316,1.031444316,1.02900809,0.369897959,0.494894895,0.432396427,0.747427308,0.747427308,0.875003064,0.875003064,0.505343511,0.410977242,0.458160377,1.229614342,1.229614342,1.094366269,1.094366269,0.491605104,0.417253521,0.454429313,None,None,1,None,None,1,0.956521739,0.934918648,0.945720194,1.02310692,1.02310692,1.021603091,1.021603091,0.945397816,0.922297297,0.933847557,1.025046716,1.025046716,1.023100519,1.023100519,0.943502825,0.92139738,0.932450102,None,None,1,None,None,1,0.051181102,0.08891455,0.070047826,0.575621229,0.575621229,0.962266553,0.962266553,0.083707025,0.075388027,0.079547526,1.110349072,1.110349072,1.008318999,1.008318999,0.081946223,0.076696165,0.079321194,None,None,1,None,None,1,0.948818898,0.91108545,0.929952174,1.041415926,1.041415926,1.037733447,1.037733447,0.916292975,0.924611973,0.920452474,0.991002714,0.991002714,0.991681001,0.991681001,0.918053777,0.923303835,0.920678806,None,None,1,None,None,1,0.043478261,0.065081352,0.054279806,0.668060201,0.668060201,0.978396909,0.978396909,0.054602184,0.077702703,0.066152443,0.702706369,0.702706369,0.976899481,0.976899481,0.056497175,0.07860262,0.067549898,None,None,1,None,None,1,0.951530612,0.922522523,0.937026567,1.031444316,1.031444316,1.02900809,1.02900809,0.930534351,0.923694779,0.927114565,1.00740458,1.00740458,1.006839572,1.006839572,0.930154466,0.922535211,0.926344839,None,None,1,None,None,1,0.353887399,0.486328125,0.420107762,0.727672082,0.727672082,0.867559274,0.867559274,0.497128794,0.395652174,0.446390484,1.25647937,1.25647937,1.10147662,1.10147662,0.482310469,0.402671756,0.442491113,None,None,1,None,None,1,0.315789474,0.403100775,0.359445124,0.78340081,0.78340081,0.912688698,0.912688698,0.384615385,0.403508772,0.394062078,0.953177258,0.953177258,0.981106613,0.981106613,0.384615385,0.409090909,0.396853147,None,None,1,None,None,1
GaussianNB,,9,0.473991249,0.942369264,0.082142857,0.51225606,0.047539315,0.969051663,0.969051663,0.97107771,0.385204082,0.494894895,0.440049488,0.778355335,0.778355335,0.890309187,0.890309187,0.504720407,0.411764706,0.458242556,1.225749559,1.225749559,1.092955701,1.092955701,0.489941596,0.426356589,0.458149093,None,None,1,None,None,1,0.913043478,0.947434293,0.930238886,0.963701108,0.963701108,0.965609185,0.965609185,0.940740741,0.946564885,0.943652813,0.993847073,0.993847073,0.994175855,0.994175855,0.941176471,0.946601942,0.943889206,None,None,1,None,None,1,0.098425197,0.077367206,0.087896201,1.272182395,1.272182395,1.021057991,1.021057991,0.085470085,0.076555024,0.081012555,1.116452991,1.116452991,1.008915062,1.008915062,0.082716049,0.080645161,0.081680605,None,None,1,None,None,1,0.901574803,0.922632794,0.912103799,0.977176195,0.977176195,0.978942009,0.978942009,0.914529915,0.923444976,0.918987445,0.990345866,0.990345866,0.991084938,0.991084938,0.917283951,0.919354839,0.918319395,None,None,1,None,None,1,0.086956522,0.052565707,0.069761114,1.654244306,1.654244306,1.034390815,1.034390815,0.059259259,0.053435115,0.056347187,1.108994709,1.108994709,1.005824145,1.005824145,0.058823529,0.053398058,0.056110794,None,None,1,None,None,1,0.905612245,0.934534535,0.92007339,0.969051663,0.969051663,0.97107771,0.97107771,0.927378359,0.932352941,0.92986565,0.994664486,0.994664486,0.995025418,0.995025418,0.928617781,0.930232558,0.929425169,None,None,1,None,None,1,0.354929577,0.486503856,0.420716717,0.729551417,0.729551417,0.868425721,0.868425721,0.497259201,0.391167192,0.444213197,1.271219087,1.271219087,1.106092009,1.106092009,0.480782669,0.40625,0.443516335,None,None,1,None,None,1,0.324324324,0.385321101,0.354822713,0.841698842,0.841698842,0.939003223,0.939003223,0.4,0.304347826,0.352173913,1.314285714,1.314285714,1.095652174,1.095652174,0.390909091,0.305555556,0.348232323,None,None,1,None,None,1
