algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
FairGPopp*TPR0.6,s_as_input=True,0,0.806663352,0.366360368,0.952595339,0.659477853,0.414466508,0.780630961,0.780630961,0.971300592,0.837588652,0.801619433,0.819604043,1.044870693,1.044870693,1.035969219,1.035969219,0.887589928,0.766483108,0.827036518,1.158003248,1.158003248,1.12110682,1.12110682,0.869670543,0.762780496,0.816225519,None,None,1,None,None,1,0.30941704,0.371929825,0.340673432,0.831923175,0.831923175,0.937487216,0.937487216,0.220430108,0.391834819,0.306132463,0.562558753,0.562558753,0.828595288,0.828595288,0.248628885,0.399284254,0.323956569,None,None,1,None,None,1,0.936815501,0.955538099,0.9461768,0.980406226,0.980406226,0.981277402,0.981277402,0.971322537,0.940496949,0.955909743,1.032775852,1.032775852,1.030825589,1.030825589,0.964535046,0.941828255,0.95318165,None,None,1,None,None,1,0.063184499,0.044461901,0.0538232,1.421093055,1.421093055,1.018722598,1.018722598,0.028677463,0.059503051,0.044090257,0.48194945,0.48194945,0.969174411,0.969174411,0.035464954,0.058171745,0.04681835,None,None,1,None,None,1,0.69058296,0.628070175,0.659326568,1.099531528,1.099531528,1.062512784,1.062512784,0.779569892,0.608165181,0.693867537,1.281839075,1.281839075,1.171404712,1.171404712,0.751371115,0.600715746,0.676043431,None,None,1,None,None,1,0.10212766,0.130827068,0.116477364,0.780630961,0.780630961,0.971300592,0.971300592,0.050059952,0.164905492,0.107482722,0.303567525,0.303567525,0.88515446,0.88515446,0.06371124,0.170744053,0.117227646,None,None,1,None,None,1,0.479166667,0.749778957,0.614472812,0.639077241,0.639077241,0.72938771,0.72938771,0.491017964,0.753610108,0.622314036,0.651554376,0.651554376,0.737407856,0.737407856,0.517110266,0.77173913,0.644424698,None,None,1,None,None,1,0.12164297,0.190577589,0.156110279,0.638285808,0.638285808,0.931065381,0.931065381,0.091511518,0.230974871,0.161243194,0.396196857,0.396196857,0.860536647,0.860536647,0.106338939,0.23906409,0.172701514,None,None,1,None,None,1
FairGPopp*TPR0.6,s_as_input=True,1,0.804574838,0.356372353,0.953125,0.654748677,0.406158951,0.858256604,0.858256604,0.982079175,0.834042553,0.799768652,0.816905603,1.042854769,1.042854769,1.034273901,1.034273901,0.894609328,0.760550866,0.827580097,1.176264951,1.176264951,1.134058461,1.134058461,0.87383407,0.757398428,0.815616249,None,None,1,None,None,1,0.31838565,0.360087719,0.339236685,0.884189138,0.884189138,0.958297931,0.958297931,0.2,0.382216015,0.291108007,0.523264312,0.523264312,0.817783985,0.817783985,0.243445693,0.386998476,0.315222085,None,None,1,None,None,1,0.930918281,0.9572663,0.944092291,0.972475769,0.972475769,0.973651981,0.973651981,0.978283,0.937024973,0.957653986,1.044030872,1.044030872,1.041258027,1.041258027,0.968926554,0.939182453,0.954054503,None,None,1,None,None,1,0.069081719,0.0427337,0.055907709,1.616563011,1.616563011,1.026348019,1.026348019,0.021717,0.062975027,0.042346014,0.344850988,0.344850988,0.958741973,0.958741973,0.031073446,0.060817547,0.045945497,None,None,1,None,None,1,0.68161435,0.639912281,0.660763315,1.065168415,1.065168415,1.041702069,1.041702069,0.8,0.617783985,0.708891993,1.294951017,1.294951017,1.182216015,1.182216015,0.756554307,0.613001524,0.684777915,None,None,1,None,None,1,0.108510638,0.126431463,0.117471051,0.858256604,0.858256604,0.982079175,0.982079175,0.040884313,0.164519473,0.102701893,0.248507437,0.248507437,0.87636484,0.87636484,0.058910162,0.168199298,0.11355473,None,None,1,None,None,1,0.464052288,0.751143641,0.607597964,0.617794337,0.617794337,0.712908646,0.712908646,0.525925926,0.738973897,0.632449912,0.711697568,0.711697568,0.786952029,0.786952029,0.541666667,0.757455268,0.649560968,None,None,1,None,None,1,0.120922832,0.193193856,0.157058344,0.625914481,0.625914481,0.927728976,0.927728976,0.089674771,0.235200284,0.162437527,0.381269825,0.381269825,0.854474487,0.854474487,0.105372979,0.242613065,0.173993022,None,None,1,None,None,1
FairGPopp*TPR0.6,s_as_input=True,2,0.804077573,0.37514982,0.946239407,0.660694613,0.408246538,0.83371969,0.83371969,0.977226618,0.842553191,0.797802198,0.820177695,1.056092843,1.056092843,1.044750994,1.044750994,0.885046729,0.766106647,0.825576688,1.155252643,1.155252643,1.118940082,1.118940082,0.868848364,0.761235955,0.815042159,None,None,1,None,None,1,0.3632287,0.376315789,0.369772245,0.965223118,0.965223118,0.98691291,0.98691291,0.212938005,0.403377111,0.308157558,0.527888172,0.527888172,0.809560895,0.809560895,0.277173913,0.402870323,0.340022118,None,None,1,None,None,1,0.932603201,0.948782404,0.940692803,0.982947405,0.982947405,0.983820798,0.983820798,0.972877774,0.930193083,0.951535428,1.04588799,1.04588799,1.042684691,1.042684691,0.963488844,0.93172397,0.947606407,None,None,1,None,None,1,0.067396799,0.051217596,0.059307197,1.315891483,1.315891483,1.016179202,1.016179202,0.027122226,0.069806917,0.048464572,0.388532072,0.388532072,0.957315309,0.957315309,0.036511156,0.06827603,0.052393593,None,None,1,None,None,1,0.6367713,0.623684211,0.630227755,1.02098352,1.02098352,1.01308709,1.01308709,0.787061995,0.596622889,0.691842442,1.319195104,1.319195104,1.190439105,1.190439105,0.722826087,0.597129677,0.659977882,None,None,1,None,None,1,0.114184397,0.136957779,0.125571088,0.83371969,0.83371969,0.977226618,0.977226618,0.048598131,0.173703433,0.111150782,0.279776456,0.279776456,0.874894698,0.874894698,0.069697727,0.176140119,0.122918923,None,None,1,None,None,1,0.50310559,0.724662162,0.613883876,0.694262259,0.694262259,0.778443428,0.778443428,0.506410256,0.723296888,0.614853572,0.700141622,0.700141622,0.783113368,0.783113368,0.548387097,0.737335835,0.642861466,None,None,1,None,None,1,0.113690953,0.190591074,0.152141013,0.596517721,0.596517721,0.923099879,0.923099879,0.095612312,0.224893918,0.160253115,0.425144053,0.425144053,0.870718394,0.870718394,0.107142857,0.233654232,0.170398544,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,0,0.812928891,0.369956053,0.959745763,0.664850908,0.435083728,0.632366504,0.632366504,0.952583997,0.865248227,0.804395604,0.834821916,1.075650118,1.075650118,1.060852623,1.060852623,0.901378897,0.769013246,0.835196071,1.172124019,1.172124019,1.132365651,1.132365651,0.885658915,0.762274338,0.823966626,None,None,1,None,None,1,0.331838565,0.373684211,0.352761388,0.888018695,0.888018695,0.958154354,0.958154354,0.23655914,0.393242609,0.314900874,0.601560295,0.601560295,0.843316531,0.843316531,0.274223035,0.396728016,0.335475526,None,None,1,None,None,1,0.965459141,0.958680283,0.962069712,1.007071031,1.007071031,1.006778858,1.006778858,0.984817814,0.943548387,0.9641831,1.043738538,1.043738538,1.041269427,1.041269427,0.97905613,0.942331906,0.960694018,None,None,1,None,None,1,0.034540859,0.041319717,0.037930288,0.835941329,0.835941329,0.993221142,0.993221142,0.015182186,0.056451613,0.0358169,0.268941585,0.268941585,0.958730573,0.958730573,0.02094387,0.057668094,0.039305982,None,None,1,None,None,1,0.668161435,0.626315789,0.647238612,1.066812375,1.066812375,1.041845646,1.041845646,0.76344086,0.606757391,0.685099126,1.258230838,1.258230838,1.156683469,1.156683469,0.725776965,0.603271984,0.664524474,None,None,1,None,None,1,0.081560284,0.128976287,0.105268285,0.632366504,0.632366504,0.952583997,0.952583997,0.039868106,0.163268344,0.101568225,0.244187603,0.244187603,0.876599762,0.876599762,0.054505814,0.169563017,0.112034415,None,None,1,None,None,1,0.643478261,0.764125561,0.703801911,0.842110635,0.842110635,0.8793527,0.8793527,0.661654135,0.76390155,0.712777843,0.866151058,0.866151058,0.897752586,0.897752586,0.666666667,0.772139303,0.719402985,None,None,1,None,None,1,0.115057915,0.189641434,0.152349675,0.606712955,0.606712955,0.925416481,0.925416481,0.088666875,0.229989328,0.159328101,0.38552604,0.38552604,0.858677547,0.858677547,0.101716628,0.239739943,0.170728286,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,1,0.808751865,0.356771874,0.958554025,0.65766295,0.419662639,0.566470089,0.566470089,0.94463655,0.868794326,0.798958936,0.833876631,1.087407985,1.087407985,1.06983539,1.06983539,0.902180497,0.763068266,0.832624381,1.182306403,1.182306403,1.139112231,1.139112231,0.885861561,0.756228056,0.821044808,None,None,1,None,None,1,0.313901345,0.360964912,0.337433129,0.869617336,0.869617336,0.952936433,0.952936433,0.205633803,0.381750466,0.293692134,0.538660254,0.538660254,0.823883337,0.823883337,0.24906367,0.385982732,0.317523201,None,None,1,None,None,1,0.973041281,0.955852317,0.964446799,1.017982865,1.017982865,1.017188963,1.017188963,0.986087547,0.940933768,0.963510657,1.047988265,1.047988265,1.045153779,1.045153779,0.981920904,0.937936191,0.959928548,None,None,1,None,None,1,0.026958719,0.044147683,0.035553201,0.610648574,0.610648574,0.982811037,0.982811037,0.013912453,0.059066232,0.036489343,0.235539881,0.235539881,0.954846221,0.954846221,0.018079096,0.062063809,0.040071452,None,None,1,None,None,1,0.686098655,0.639035088,0.662566871,1.07364786,1.07364786,1.047063567,1.047063567,0.794366197,0.618249534,0.706307866,1.284863397,1.284863397,1.176116663,1.176116663,0.75093633,0.614017268,0.682476799,None,None,1,None,None,1,0.072340426,0.127703875,0.10002215,0.566470089,0.566470089,0.94463655,0.94463655,0.034524531,0.161705908,0.09811522,0.213501973,0.213501973,0.872818622,0.872818622,0.048355425,0.168700886,0.108528155,None,None,1,None,None,1,0.68627451,0.745471014,0.715872762,0.920591809,0.920591809,0.940803495,0.940803495,0.640350877,0.750915751,0.695633314,0.852759949,0.852759949,0.889435126,0.889435126,0.675126904,0.753221011,0.714173957,None,None,1,None,None,1,0.116972477,0.19321045,0.155091463,0.605414859,0.605414859,0.923762028,0.923762028,0.088456713,0.234587529,0.161522121,0.377073381,0.377073381,0.853869184,0.853869184,0.103430487,0.243161706,0.173296097,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,2,0.809348583,0.373951258,0.953654661,0.66380296,0.424148208,0.660121197,0.660121197,0.954355201,0.865248227,0.800231348,0.832739787,1.081247604,1.081247604,1.065016879,1.065016879,0.895950156,0.768736304,0.83234323,1.165484382,1.165484382,1.127213852,1.127213852,0.880089933,0.762557832,0.821323882,None,None,1,None,None,1,0.35426009,0.375877193,0.365068641,0.94248892,0.94248892,0.978382897,0.978382897,0.229110512,0.399155722,0.314133117,0.573987793,0.573987793,0.82995479,0.82995479,0.278985507,0.400820092,0.3399028,None,None,1,None,None,1,0.961246841,0.952238806,0.956742823,1.009459848,1.009459848,1.009008035,1.009008035,0.983092638,0.935921918,0.959507278,1.050400273,1.050400273,1.04717072,1.04717072,0.976238771,0.934650085,0.955444428,None,None,1,None,None,1,0.038753159,0.047761194,0.043257177,0.811394271,0.811394271,0.990991965,0.990991965,0.016907362,0.064078082,0.040492722,0.263855616,0.263855616,0.95282928,0.95282928,0.023761229,0.065349915,0.044555572,None,None,1,None,None,1,0.64573991,0.624122807,0.634931359,1.034635977,1.034635977,1.021617103,1.021617103,0.770889488,0.600844278,0.685866883,1.283010451,1.283010451,1.17004521,1.17004521,0.721014493,0.599179908,0.6600972,None,None,1,None,None,1,0.088652482,0.134297282,0.111474882,0.660121197,0.660121197,0.954355201,0.954355201,0.041433022,0.16844412,0.104938571,0.245974878,0.245974878,0.872988902,0.872988902,0.058955783,0.173496365,0.116226074,None,None,1,None,None,1,0.632,0.738156761,0.685078381,0.856186698,0.856186698,0.893843239,0.893843239,0.639097744,0.738074588,0.688586166,0.865898589,0.865898589,0.901023156,0.901023156,0.652542373,0.744761905,0.698652139,None,None,1,None,None,1,0.112062257,0.190138963,0.15110061,0.589370295,0.589370295,0.921923294,0.921923294,0.092947676,0.225052706,0.159000191,0.413004039,0.413004039,0.867894971,0.867894971,0.105654367,0.233706517,0.169680442,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,0,0.803083043,0.405513384,0.934851695,0.670182539,0.412303981,0.784757612,0.784757612,0.966736399,0.814184397,0.801272412,0.807728404,1.016114352,1.016114352,1.012911985,1.012911985,0.886990408,0.761422831,0.824206619,1.164911757,1.164911757,1.125567577,1.125567577,0.864098837,0.760587144,0.81234299,None,None,1,None,None,1,0.295964126,0.41622807,0.356096098,0.711062388,0.711062388,0.879736055,0.879736055,0.303763441,0.423275458,0.363519449,0.717649548,0.717649548,0.880487983,0.880487983,0.305301645,0.433537832,0.369419739,None,None,1,None,None,1,0.911541702,0.939198743,0.925370222,0.970552515,0.970552515,0.972342959,0.972342959,0.960188934,0.918482999,0.939335967,1.045407411,1.045407411,1.041705935,1.041705935,0.949455459,0.921682196,0.935568828,None,None,1,None,None,1,0.088458298,0.060801257,0.074629778,1.454876145,1.454876145,1.027657041,1.027657041,0.039811066,0.081517001,0.060664033,0.488377464,0.488377464,0.958294065,0.958294065,0.050544541,0.078317804,0.064431172,None,None,1,None,None,1,0.704035874,0.58377193,0.643903902,1.206011866,1.206011866,1.120263945,1.120263945,0.696236559,0.576724542,0.636480551,1.207225474,1.207225474,1.119512017,1.119512017,0.694698355,0.566462168,0.630580261,None,None,1,None,None,1,0.121276596,0.154540197,0.137908396,0.784757612,0.784757612,0.966736399,0.966736399,0.069244604,0.189909213,0.129576908,0.364619511,0.364619511,0.879335392,0.879335392,0.084302326,0.195545807,0.139924066,None,None,1,None,None,1,0.385964912,0.710329341,0.548147127,0.543360509,0.543360509,0.675635571,0.675635571,0.489177489,0.706896552,0.59803702,0.69200718,0.69200718,0.782280937,0.782280937,0.479885057,0.731665229,0.605775143,None,None,1,None,None,1,0.126715093,0.182104255,0.154409674,0.695838177,0.695838177,0.944610838,0.944610838,0.083413849,0.225794599,0.154604224,0.369423579,0.369423579,0.85761925,0.85761925,0.100529101,0.23238255,0.166455825,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,1,0.803182496,0.401118658,0.936440678,0.668779668,0.411508529,0.809075958,0.809075958,0.971046684,0.821276596,0.800231348,0.810753972,1.026298955,1.026298955,1.021045248,1.021045248,0.891278013,0.760106619,0.825692316,1.17256973,1.17256973,1.131171394,1.131171394,0.867943054,0.75907039,0.813506722,None,None,1,None,None,1,0.322869955,0.40877193,0.365820942,0.789853538,0.789853538,0.914098025,0.914098025,0.276056338,0.421787709,0.348922024,0.654491186,0.654491186,0.854268629,0.854268629,0.292134831,0.43067547,0.361405151,None,None,1,None,None,1,0.914911542,0.940455617,0.927683579,0.972838617,0.972838617,0.974455925,0.974455925,0.965388531,0.917915309,0.94165192,1.05171852,1.05171852,1.047473221,1.047473221,0.95480226,0.920239282,0.937520771,None,None,1,None,None,1,0.085088458,0.059544383,0.072316421,1.428992182,1.428992182,1.025544075,1.025544075,0.034611469,0.082084691,0.05834808,0.421655598,0.421655598,0.952526779,0.952526779,0.04519774,0.079760718,0.062479229,None,None,1,None,None,1,0.677130045,0.59122807,0.634179058,1.145294141,1.145294141,1.085901975,1.085901975,0.723943662,0.578212291,0.651077976,1.252037831,1.252037831,1.145731371,1.145731371,0.707865169,0.56932453,0.638594849,None,None,1,None,None,1,0.122695035,0.151648352,0.137171694,0.809075958,0.809075958,0.971046684,0.971046684,0.060569352,0.190137717,0.125353534,0.318555166,0.318555166,0.870431635,0.870431635,0.077565047,0.195285069,0.136425058,None,None,1,None,None,1,0.416184971,0.710907704,0.563546338,0.585427572,0.585427572,0.705277267,0.705277267,0.49,0.705607477,0.597803738,0.694437086,0.694437086,0.784392523,0.784392523,0.493670886,0.726027397,0.609849142,None,None,1,None,None,1,0.122069523,0.183801473,0.152935498,0.664137895,0.664137895,0.93826805,0.93826805,0.082849774,0.22709819,0.154973982,0.364819175,0.364819175,0.855751585,0.855751585,0.100585418,0.232910866,0.166748142,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,2,0.804375932,0.422692769,0.930879237,0.676786003,0.420088595,0.77350207,0.77350207,0.963241574,0.824113475,0.801156738,0.812635107,1.028654489,1.028654489,1.022956737,1.022956737,0.888161994,0.765084003,0.826622998,1.160868598,1.160868598,1.123077991,1.123077991,0.86660005,0.763218771,0.81490941,None,None,1,None,None,1,0.340807175,0.430701754,0.385754465,0.791283461,0.791283461,0.910105421,0.910105421,0.283018868,0.446998124,0.365008496,0.633154487,0.633154487,0.836020744,0.836020744,0.311594203,0.454126089,0.382860146,None,None,1,None,None,1,0.914911542,0.933857031,0.924384286,0.979712645,0.979712645,0.981054511,0.981054511,0.967241987,0.908975175,0.938108581,1.064101653,1.064101653,1.058266812,1.058266812,0.955375254,0.910265789,0.932820521,None,None,1,None,None,1,0.085088458,0.066142969,0.075615714,1.286432392,1.286432392,1.018945489,1.018945489,0.032758013,0.091024825,0.061891419,0.359879993,0.359879993,0.941733188,0.941733188,0.044624746,0.089734211,0.067179479,None,None,1,None,None,1,0.659192825,0.569298246,0.614245535,1.157904192,1.157904192,1.089894579,1.089894579,0.716981132,0.553001876,0.634991504,1.296525677,1.296525677,1.163979256,1.163979256,0.688405797,0.545873911,0.617139854,None,None,1,None,None,1,0.125531915,0.162290341,0.143911128,0.77350207,0.77350207,0.963241574,0.963241574,0.061682243,0.201899196,0.13179072,0.305510096,0.305510096,0.859783046,0.859783046,0.081438921,0.20720423,0.144321575,None,None,1,None,None,1,0.429378531,0.699928724,0.564653628,0.613460366,0.613460366,0.729449807,0.729449807,0.53030303,0.689580318,0.609941674,0.769022862,0.769022862,0.840722712,0.840722712,0.527607362,0.706539075,0.617073218,None,None,1,None,None,1,0.119221411,0.179232256,0.149226834,0.66517832,0.66517832,0.939989155,0.939989155,0.088313413,0.215815486,0.15206445,0.409207952,0.409207952,0.872497927,0.872497927,0.103345118,0.221967486,0.162656302,None,None,1,None,None,1
FairGPoppTPR0.7,s_as_input=False,0,0.808552959,0.401118658,0.943591102,0.67235488,0.426744,0.633936389,0.633936389,0.945122216,0.84893617,0.801966455,0.825451312,1.05856818,1.05856818,1.046969716,1.046969716,0.894184652,0.766036613,0.830110632,1.167287095,1.167287095,1.12814804,1.12814804,0.875968992,0.76159946,0.818784226,None,None,1,None,None,1,0.322869955,0.40877193,0.365820942,0.789853538,0.789853538,0.914098025,0.914098025,0.274193548,0.423275458,0.348734503,0.647789858,0.647789858,0.850918091,0.850918091,0.290676417,0.43200409,0.361340253,None,None,1,None,None,1,0.947767481,0.942812255,0.945289868,1.005255794,1.005255794,1.004955227,1.004955227,0.971997301,0.925239756,0.948618528,1.050535599,1.050535599,1.046757545,1.046757545,0.965372801,0.923948628,0.944660714,None,None,1,None,None,1,0.052232519,0.057187745,0.054710132,0.913351602,0.913351602,0.995044773,0.995044773,0.028002699,0.074760244,0.051381472,0.374566715,0.374566715,0.953242455,0.953242455,0.034627199,0.076051372,0.055339286,None,None,1,None,None,1,0.677130045,0.59122807,0.634179058,1.145294141,1.145294141,1.085901975,1.085901975,0.725806452,0.576724542,0.651265497,1.258497598,1.258497598,1.149081909,1.149081909,0.709323583,0.56799591,0.638659747,None,None,1,None,None,1,0.095035461,0.149913245,0.122474353,0.633936389,0.633936389,0.945122216,0.945122216,0.055455635,0.185295431,0.120375533,0.299282261,0.299282261,0.870160205,0.870160205,0.068556202,0.193521174,0.131038688,None,None,1,None,None,1,0.537313433,0.719135802,0.628224618,0.74716546,0.74716546,0.81817763,0.81817763,0.551351351,0.724497992,0.637924672,0.761011566,0.761011566,0.826853359,0.826853359,0.561837456,0.736704446,0.649270951,None,None,1,None,None,1,0.118338558,0.183426317,0.150882437,0.645155833,0.645155833,0.934912241,0.934912241,0.085687083,0.224515893,0.155101488,0.38165264,0.38165264,0.86117119,0.86117119,0.100910273,0.232426778,0.166668526,None,None,1,None,None,1
