algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
FairGPopp*TPR0.6,s_as_input=True,0,0.558094312,0.04375667,0.988392857,0.516074764,0.10014195,0.080140547,0.080140547,0.970719189,0.650510204,0.536336336,0.59342327,1.212877368,1.212877368,1.114173868,1.114173868,0.533678756,0.604815864,0.56924731,0.882382206,0.882382206,0.928862892,0.928862892,0.545212766,0.593128391,0.569170578,None,None,1,None,None,1,0.007246377,0.050062578,0.028654478,0.144746377,0.144746377,0.957183799,0.957183799,0.051829268,0.024911032,0.03837015,2.080574913,2.080574913,1.026918236,1.026918236,0.047887324,0.030837004,0.039362164,None,None,1,None,None,1,1,0.984988453,0.992494226,1.015240328,1.015240328,1.015011547,1.015011547,0.988489209,0.988235294,0.988362251,1.000256937,1.000256937,1.000253915,1.000253915,0.989924433,0.984662577,0.987293505,None,None,1,None,None,1,0,0.015011547,0.007505774,0,1,0.984988453,0.984988453,0.011510791,0.011764706,0.011637749,0.978417266,0.978417266,0.999746085,0.999746085,0.010075567,0.015337423,0.012706495,None,None,1,None,None,1,0.992753623,0.949937422,0.971345522,1.045072655,1.045072655,1.042816201,1.042816201,0.948170732,0.975088968,0.96162985,0.972394072,0.972394072,0.973081764,0.973081764,0.952112676,0.969162996,0.960637836,None,None,1,None,None,1,0.00255102,0.031831832,0.017191426,0.080140547,0.080140547,0.970719189,0.970719189,0.031088083,0.016997167,0.024042625,1.829015544,1.829015544,1.014090916,1.014090916,0.027925532,0.021699819,0.024812676,None,None,1,None,None,1,1,0.754716981,0.877358491,1.325,1.325,1.245283019,1.245283019,0.80952381,0.583333333,0.696428571,1.387755102,1.387755102,1.226190476,1.226190476,0.80952381,0.583333333,0.696428571,None,None,1,None,None,1,0.350383632,0.470843672,0.410613652,0.744161284,0.744161284,0.879539959,0.879539959,0.475171887,0.39481268,0.434992284,1.203537553,1.203537553,1.080359207,1.080359207,0.462380301,0.406654344,0.434517322,None,None,1,None,None,1
FairGPopp*TPR0.6,s_as_input=True,1,0.560038892,0.048025614,0.988392857,0.518209235,0.109567088,0.151694606,0.151694606,0.971468407,0.653061224,0.538138138,0.595599681,1.213556851,1.213556851,1.114923086,1.114923086,0.538848921,0.604197901,0.571523411,0.891841762,0.891841762,0.93465102,0.93465102,0.552971576,0.581532417,0.567251996,None,None,1,None,None,1,0.014492754,0.053817272,0.034155013,0.269295585,0.269295585,0.960675482,0.960675482,0.058122206,0.022556391,0.040339298,2.576751118,2.576751118,1.035565815,1.035565815,0.05401662,0.027906977,0.040961799,None,None,1,None,None,1,1,0.984988453,0.992494226,1.015240328,1.015240328,1.015011547,1.015011547,0.987482615,0.990024938,0.988753776,0.997432062,0.997432062,0.997457677,0.997457677,0.989104116,0.986394558,0.987749337,None,None,1,None,None,1,0,0.015011547,0.007505774,0,1,0.984988453,0.984988453,0.012517385,0.009975062,0.011246224,1.254867872,1.254867872,1.002542323,1.002542323,0.010895884,0.013605442,0.012250663,None,None,1,None,None,1,0.985507246,0.946182728,0.965844987,1.04156123,1.04156123,1.039324518,1.039324518,0.941877794,0.977443609,0.959660702,0.963613436,0.963613436,0.964434185,0.964434185,0.94598338,0.972093023,0.959038201,None,None,1,None,None,1,0.005102041,0.033633634,0.019367837,0.151694606,0.151694606,0.971468407,0.971468407,0.034532374,0.014992504,0.024762439,2.303309353,2.303309353,1.01953987,1.01953987,0.031007752,0.019646365,0.025327059,None,None,1,None,None,1,1,0.767857143,0.883928571,1.302325581,1.302325581,1.232142857,1.232142857,0.8125,0.6,0.70625,1.354166667,1.354166667,1.2125,1.2125,0.8125,0.6,0.70625,None,None,1,None,None,1,0.348717949,0.469857054,0.409287501,0.742178809,0.742178809,0.878860895,0.878860895,0.470938897,0.395738204,0.433338551,1.190026367,1.190026367,1.075200693,1.075200693,0.455333333,0.418837675,0.437085504,None,None,1,None,None,1
FairGPopp*TPR0.6,s_as_input=True,2,0.561497326,0.045891142,0.992857143,0.519374142,0.124102559,0.08494898,0.08494898,0.97252099,0.650510204,0.540540541,0.595525372,1.203443878,1.203443878,1.109969664,1.109969664,0.534328358,0.612273361,0.57330086,0.872695747,0.872695747,0.922054997,0.922054997,0.548666667,0.596050269,0.572358468,None,None,1,None,None,1,0.007246377,0.052565707,0.029906042,0.137853692,0.137853692,0.95468067,0.95468067,0.056402439,0.021352313,0.038877376,2.641514228,2.641514228,1.035050126,1.035050126,0.052186178,0.026315789,0.039250984,None,None,1,None,None,1,1,0.990762125,0.995381062,1.009324009,1.009324009,1.009237875,1.009237875,0.992690058,0.993119266,0.992904662,0.999567819,0.999567819,0.999570792,0.999570792,0.993678887,0.990881459,0.992280173,None,None,1,None,None,1,0,0.009237875,0.004618938,0,1,0.990762125,0.990762125,0.007309942,0.006880734,0.007095338,1.062378168,1.062378168,1.000429208,1.000429208,0.006321113,0.009118541,0.007719827,None,None,1,None,None,1,0.992753623,0.947434293,0.970093958,1.047833745,1.047833745,1.04531933,1.04531933,0.943597561,0.978647687,0.961122624,0.964185144,0.964185144,0.964949874,0.964949874,0.947813822,0.973684211,0.960749016,None,None,1,None,None,1,0.00255102,0.03003003,0.016290525,0.08494898,0.08494898,0.97252099,0.97252099,0.031343284,0.012552301,0.021947792,2.497014925,2.497014925,1.018790982,1.018790982,0.028,0.016157989,0.022078995,None,None,1,None,None,1,1,0.84,0.92,1.19047619,1.19047619,1.16,1.16,0.880952381,0.666666667,0.773809524,1.321428571,1.321428571,1.214285714,1.214285714,0.880952381,0.666666667,0.773809524,None,None,1,None,None,1,0.350383632,0.46873065,0.409557141,0.747515938,0.747515938,0.881652982,0.881652982,0.476887519,0.388418079,0.432652799,1.227768595,1.227768595,1.08846944,1.08846944,0.46090535,0.405109489,0.433007419,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,0,0.554691298,0.032017076,0.991964286,0.511990681,0.087570889,0.485422741,0.485422741,0.989183061,0.647959184,0.532732733,0.590345958,1.216293169,1.216293169,1.115226451,1.115226451,0.52553664,0.610481586,0.568009113,0.860855841,0.860855841,0.915055053,0.915055053,0.53856383,0.598553345,0.568558588,None,None,1,None,None,1,0.014492754,0.035043805,0.024768279,0.413561077,0.413561077,0.979448949,0.979448949,0.033536585,0.028469751,0.031003168,1.177972561,1.177972561,1.005066834,1.005066834,0.032394366,0.030837004,0.031615685,None,None,1,None,None,1,0.992125984,0.991916859,0.992021422,1.000210829,1.000210829,1.000209125,1.000209125,0.989928058,0.995294118,0.992611088,0.994608568,0.994608568,0.99463394,0.99463394,0.991183879,0.993865031,0.992524455,None,None,1,None,None,1,0.007874016,0.008083141,0.007978578,0.974128234,0.974128234,0.999790875,0.999790875,0.010071942,0.004705882,0.007388912,2.14028777,2.14028777,1.00536606,1.00536606,0.008816121,0.006134969,0.007475545,None,None,1,None,None,1,0.985507246,0.964956195,0.975231721,1.021297393,1.021297393,1.020551051,1.020551051,0.966463415,0.971530249,0.968996832,0.994784687,0.994784687,0.994933166,0.994933166,0.967605634,0.969162996,0.968384315,None,None,1,None,None,1,0.010204082,0.021021021,0.015612551,0.485422741,0.485422741,0.989183061,0.989183061,0.021465581,0.014164306,0.017814944,1.515470022,1.515470022,1.007301275,1.007301275,0.019946809,0.016274864,0.018110836,None,None,1,None,None,1,0.5,0.8,0.65,0.625,0.625,0.7,0.7,0.75862069,0.8,0.779310345,0.948275862,0.948275862,0.95862069,0.95862069,0.766666667,0.777777778,0.772222222,None,None,1,None,None,1,0.350515464,0.473006135,0.411760799,0.741037881,0.741037881,0.877509329,0.877509329,0.479576399,0.392241379,0.435908889,1.222656315,1.222656315,1.08733502,1.08733502,0.466078697,0.404411765,0.435245231,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,1,0.561983471,0.053361793,0.9875,0.520430896,0.117206741,0.606778426,0.606778426,0.98677453,0.663265306,0.538138138,0.600701722,1.232518677,1.232518677,1.125127168,1.125127168,0.539568345,0.608695652,0.574131999,0.88643371,0.88643371,0.930872693,0.930872693,0.554909561,0.583497053,0.569203307,None,None,1,None,None,1,0.050724638,0.053817272,0.052270955,0.942534547,0.942534547,0.996907366,0.996907366,0.062593145,0.030075188,0.046334166,2.081222057,2.081222057,1.032517957,1.032517957,0.060941828,0.027906977,0.044424402,None,None,1,None,None,1,0.996062992,0.984988453,0.990525722,1.011243319,1.011243319,1.011074539,1.011074539,0.984700974,0.992518703,0.988609838,0.992123343,0.992123343,0.99218227,0.99218227,0.986682809,0.989795918,0.988239364,None,None,1,None,None,1,0.003937008,0.015011547,0.009474278,0.262265294,0.262265294,0.988925461,0.988925461,0.015299026,0.007481297,0.011390162,2.044969866,2.044969866,1.00781773,1.00781773,0.013317191,0.010204082,0.011760636,None,None,1,None,None,1,0.949275362,0.946182728,0.947729045,1.003268538,1.003268538,1.003092634,1.003092634,0.937406855,0.969924812,0.953665834,0.966473735,0.966473735,0.967482043,0.967482043,0.939058172,0.972093023,0.955575598,None,None,1,None,None,1,0.020408163,0.033633634,0.027020898,0.606778426,0.606778426,0.98677453,0.98677453,0.038129496,0.016491754,0.027310625,2.312034009,2.312034009,1.021637742,1.021637742,0.035529716,0.017681729,0.026605722,None,None,1,None,None,1,0.875,0.767857143,0.821428571,1.139534884,1.139534884,1.107142857,1.107142857,0.79245283,0.727272727,0.759862779,1.089622642,1.089622642,1.065180103,1.065180103,0.8,0.666666667,0.733333333,None,None,1,None,None,1,0.341145833,0.469857054,0.405501444,0.726063024,0.726063024,0.871288779,0.871288779,0.470456245,0.393292683,0.431874464,1.196198825,1.196198825,1.077163562,1.077163562,0.454119223,0.418,0.436059612,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,2,0.561497326,0.045891142,0.992857143,0.519374142,0.124102559,0.675730519,0.675730519,0.991430716,0.665816327,0.536936937,0.601376632,1.240027051,1.240027051,1.12887939,1.12887939,0.532089552,0.616457462,0.574273507,0.863140744,0.863140744,0.915632091,0.915632091,0.548,0.597845601,0.572922801,None,None,1,None,None,1,0.050724638,0.04505632,0.047890479,1.125805153,1.125805153,1.005668317,1.005668317,0.053353659,0.028469751,0.040911705,1.874047256,1.874047256,1.024883908,1.024883908,0.052186178,0.026315789,0.039250984,None,None,1,None,None,1,1,0.990762125,0.995381062,1.009324009,1.009324009,1.009237875,1.009237875,0.99122807,0.995412844,0.993320457,0.995795941,0.995795941,0.995815226,0.995815226,0.992414665,0.993920973,0.993167819,None,None,1,None,None,1,0,0.009237875,0.004618938,0,1,0.990762125,0.990762125,0.00877193,0.004587156,0.006679543,1.912280702,1.912280702,1.004184774,1.004184774,0.007585335,0.006079027,0.006832181,None,None,1,None,None,1,0.949275362,0.95494368,0.952109521,0.994064239,0.994064239,0.994331683,0.994331683,0.946646341,0.971530249,0.959088295,0.974386894,0.974386894,0.975116092,0.975116092,0.947813822,0.973684211,0.960749016,None,None,1,None,None,1,0.017857143,0.026426426,0.022141785,0.675730519,0.675730519,0.991430716,0.991430716,0.030597015,0.013947001,0.022272008,2.19380597,2.19380597,1.016650014,1.016650014,0.028666667,0.014362657,0.021514662,None,None,1,None,None,1,1,0.818181818,0.909090909,1.222222222,1.222222222,1.181818182,1.181818182,0.853658537,0.8,0.826829268,1.067073171,1.067073171,1.053658537,1.053658537,0.860465116,0.75,0.805232558,None,None,1,None,None,1,0.34025974,0.470697101,0.40547842,0.722884717,0.722884717,0.86956264,0.86956264,0.478060046,0.386138614,0.43209933,1.23805294,1.23805294,1.091921432,1.091921432,0.461221688,0.404371585,0.432796637,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,0,0.601361206,0.226254002,0.915178571,0.570716287,0.197669671,0.12827866,0.12827866,0.843980205,0.665816327,0.586186186,0.626001256,1.13584445,1.13584445,1.07963014,1.07963014,0.583271651,0.635977337,0.609624494,0.917126471,0.917126471,0.947294314,0.947294314,0.593085106,0.623869801,0.608477454,None,None,1,None,None,1,0.057971014,0.255319149,0.156645082,0.22705314,0.22705314,0.802651866,0.802651866,0.254573171,0.160142349,0.20735776,1.589668022,1.589668022,1.094430822,1.094430822,0.242253521,0.176211454,0.209232487,None,None,1,None,None,1,0.996062992,0.891454965,0.943758979,1.117345274,1.117345274,1.104608027,1.104608027,0.89352518,0.950588235,0.922056708,0.939970796,0.939970796,0.942936945,0.942936945,0.906801008,0.935582822,0.921191915,None,None,1,None,None,1,0.003937008,0.108545035,0.056241021,0.036270732,0.036270732,0.895391973,0.895391973,0.10647482,0.049411765,0.077943292,2.154847551,2.154847551,1.057063055,1.057063055,0.093198992,0.064417178,0.078808085,None,None,1,None,None,1,0.942028986,0.744680851,0.843354918,1.265010352,1.265010352,1.197348134,1.197348134,0.745426829,0.839857651,0.79264224,0.887563301,0.887563301,0.905569178,0.905569178,0.757746479,0.823788546,0.790767513,None,None,1,None,None,1,0.022959184,0.178978979,0.100969081,0.12827866,0.12827866,0.843980205,0.843980205,0.17838638,0.093484419,0.1359354,1.908193706,1.908193706,1.084901961,1.084901961,0.16356383,0.110307414,0.136935622,None,None,1,None,None,1,0.888888889,0.684563758,0.786726324,1.298474946,1.298474946,1.20432513,1.20432513,0.692946058,0.681818182,0.68738212,1.016320885,1.016320885,1.011127876,1.011127876,0.699186992,0.655737705,0.677462348,None,None,1,None,None,1,0.339425587,0.435259693,0.38734264,0.779823156,0.779823156,0.904165895,0.904165895,0.440540541,0.36875,0.40464527,1.194686212,1.194686212,1.071790541,1.071790541,0.427662957,0.380081301,0.403872129,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,1,0.591152163,0.179295624,0.935714286,0.557504955,0.178414845,0.223549946,0.223549946,0.893675308,0.653061224,0.576576577,0.614818901,1.132653061,1.132653061,1.076484648,1.076484648,0.579136691,0.616191904,0.597664297,0.939864167,0.939864167,0.962944787,0.962944787,0.589793282,0.595284872,0.592539077,None,None,1,None,None,1,0.050724638,0.201501877,0.126113258,0.251732829,0.251732829,0.84922276,0.84922276,0.207153502,0.109022556,0.158088029,1.900097641,1.900097641,1.098130946,1.098130946,0.1966759,0.120930233,0.158803066,None,None,1,None,None,1,0.980314961,0.922632794,0.951473878,1.062519094,1.062519094,1.057682166,1.057682166,0.926286509,0.952618454,0.939452481,0.972358351,0.972358351,0.973668055,0.973668055,0.933414044,0.942176871,0.937795457,None,None,1,None,None,1,0.019685039,0.077367206,0.048526122,0.254436479,0.254436479,0.942317834,0.942317834,0.073713491,0.047381546,0.060547519,1.555742625,1.555742625,1.026331945,1.026331945,0.066585956,0.057823129,0.062204543,None,None,1,None,None,1,0.949275362,0.798498123,0.873886742,1.188826042,1.188826042,1.15077724,1.15077724,0.792846498,0.890977444,0.841911971,0.88986147,0.88986147,0.901869054,0.901869054,0.8033241,0.879069767,0.841196934,None,None,1,None,None,1,0.030612245,0.136936937,0.083774591,0.223549946,0.223549946,0.893675308,0.893675308,0.138129496,0.071964018,0.105046757,1.91942446,1.91942446,1.066165478,1.066165478,0.127260982,0.084479371,0.105870177,None,None,1,None,None,1,0.583333333,0.706140351,0.644736842,0.826086957,0.826086957,0.877192982,0.877192982,0.723958333,0.604166667,0.6640625,1.198275862,1.198275862,1.119791667,1.119791667,0.720812183,0.604651163,0.662731673,None,None,1,None,None,1,0.344736842,0.443980515,0.394358679,0.776468405,0.776468405,0.900756327,0.900756327,0.444073456,0.382875606,0.413474531,1.159837422,1.159837422,1.06119785,1.06119785,0.429311621,0.405579399,0.41744551,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,2,0.612056393,0.213447172,0.945535714,0.579491443,0.237878814,0.240746096,0.240746096,0.887365937,0.663265306,0.6,0.631632653,1.105442177,1.105442177,1.063265306,1.063265306,0.594776119,0.644351464,0.619563792,0.92306164,0.92306164,0.950424655,0.950424655,0.606,0.628366248,0.617183124,None,None,1,None,None,1,0.072463768,0.237797247,0.155130507,0.304729214,0.304729214,0.834666522,0.834666522,0.243902439,0.142348754,0.193125597,1.713414634,1.713414634,1.101553685,1.101553685,0.234132581,0.149122807,0.191627694,None,None,1,None,None,1,0.984251969,0.934180139,0.959216054,1.053599759,1.053599759,1.05007183,1.05007183,0.93128655,0.967889908,0.949588229,0.962182312,0.962182312,0.963396641,0.963396641,0.93931732,0.960486322,0.949901821,None,None,1,None,None,1,0.015748031,0.065819861,0.040783946,0.239259566,0.239259566,0.94992817,0.94992817,0.06871345,0.032110092,0.050411771,2.139933166,2.139933166,1.036603359,1.036603359,0.06068268,0.039513678,0.050098179,None,None,1,None,None,1,0.927536232,0.762202753,0.844869493,1.216915352,1.216915352,1.165333478,1.165333478,0.756097561,0.857651246,0.806874403,0.881590932,0.881590932,0.898446315,0.898446315,0.765867419,0.850877193,0.808372306,None,None,1,None,None,1,0.035714286,0.148348348,0.092031317,0.240746096,0.240746096,0.887365937,0.887365937,0.154477612,0.075313808,0.11489571,2.051119403,2.051119403,1.079163804,1.079163804,0.142666667,0.08438061,0.113523639,None,None,1,None,None,1,0.714285714,0.769230769,0.741758242,0.928571429,0.928571429,0.945054945,0.945054945,0.77294686,0.740740741,0.7568438,1.043478261,1.043478261,1.032206119,1.032206119,0.775700935,0.723404255,0.749552595,None,None,1,None,None,1,0.338624339,0.429478138,0.384051238,0.788455357,0.788455357,0.9091462,0.9091462,0.437775816,0.363499246,0.400637531,1.204337619,1.204337619,1.074276571,1.074276571,0.422239502,0.380392157,0.40131583,None,None,1,None,None,1
FairGPoppTPR0.7,s_as_input=False,0,0.596985902,0.188900747,0.938392857,0.563646802,0.195370331,0.635132558,0.635132558,0.953104125,0.653061224,0.583783784,0.618422504,1.11866969,1.11866969,1.069277441,1.069277441,0.575869726,0.637393768,0.606631747,0.903475615,0.903475615,0.938475958,0.938475958,0.585771277,0.627486438,0.606628857,None,None,1,None,None,1,0.123188406,0.200250313,0.161719359,0.615172101,0.615172101,0.922938093,0.922938093,0.211890244,0.135231317,0.17356078,1.566872593,1.566872593,1.076658927,1.076658927,0.205633803,0.136563877,0.17109884,None,None,1,None,None,1,0.940944882,0.937644342,0.939294612,1.003520034,1.003520034,1.00330054,1.00330054,0.91942446,0.969411765,0.944418113,0.948435426,0.948435426,0.950012696,0.950012696,0.925692695,0.969325153,0.947508924,None,None,1,None,None,1,0.059055118,0.062355658,0.060705388,0.947069116,0.947069116,0.99669946,0.99669946,0.08057554,0.030588235,0.055581887,2.634200332,2.634200332,1.049987304,1.049987304,0.074307305,0.030674847,0.052491076,None,None,1,None,None,1,0.876811594,0.799749687,0.838280641,1.096357533,1.096357533,1.077061907,1.077061907,0.788109756,0.864768683,0.82643922,0.911353257,0.911353257,0.923341073,0.923341073,0.794366197,0.863436123,0.82890116,None,None,1,None,None,1,0.081632653,0.128528529,0.105080591,0.635132558,0.635132558,0.953104125,0.953104125,0.144337528,0.07223796,0.108287744,1.998084208,1.998084208,1.072099567,1.072099567,0.136303191,0.074141049,0.10522212,None,None,1,None,None,1,0.53125,0.747663551,0.639456776,0.710546875,0.710546875,0.783586449,0.783586449,0.712820513,0.745098039,0.728959276,0.956680162,0.956680162,0.967722474,0.967722474,0.712195122,0.756097561,0.734146341,None,None,1,None,None,1,0.336111111,0.440385941,0.388248526,0.76321944,0.76321944,0.89572517,0.89572517,0.447231834,0.370992366,0.4091121,1.205501445,1.205501445,1.076239467,1.076239467,0.434180139,0.3828125,0.408496319,None,None,1,None,None,1
