algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
GaussianNB,,0,0.465726787,0.937033084,0.071428571,0.504230828,0.016788135,1.025259586,1.025259586,1.023166649,0.365591398,0.487833828,0.426712613,0.74941789,0.74941789,0.87775757,0.87775757,0.495210022,0.408571429,0.451890725,1.212052502,1.212052502,1.086638594,1.086638594,0.4828722,0.417439703,0.450155952,None,None,1,None,None,1,0.954545455,0.934161491,0.944353473,1.0218206,1.0218206,1.020383964,1.020383964,0.945701357,0.916058394,0.930879876,1.032359251,1.032359251,1.029642963,1.029642963,0.947368421,0.902325581,0.924847001,None,None,1,None,None,1,0.041666667,0.079545455,0.060606061,0.523809524,0.523809524,0.962121212,0.962121212,0.064841499,0.082159624,0.073500561,0.789213668,0.789213668,0.982681874,0.982681874,0.061557789,0.095679012,0.078618401,None,None,1,None,None,1,0.958333333,0.920454545,0.939393939,1.041152263,1.041152263,1.037878788,1.037878788,0.935158501,0.917840376,0.926499439,1.018868342,1.018868342,1.017318126,1.017318126,0.938442211,0.904320988,0.921381599,None,None,1,None,None,1,0.045454545,0.065838509,0.055646527,0.690394511,0.690394511,0.979616036,0.979616036,0.054298643,0.083941606,0.069120124,0.646862089,0.646862089,0.970357037,0.970357037,0.052631579,0.097674419,0.075152999,None,None,1,None,None,1,0.956989247,0.927002967,0.941996107,1.032347556,1.032347556,1.02998628,1.02998628,0.940309506,0.917142857,0.928726182,1.025259586,1.025259586,1.023166649,1.023166649,0.942687747,0.903525046,0.923106397,None,None,1,None,None,1,0.353932584,0.481434059,0.417683322,0.73516316,0.73516316,0.872498525,0.872498525,0.49137931,0.390965732,0.441172521,1.25683473,1.25683473,1.100413578,1.100413578,0.477987421,0.39835729,0.438172355,None,None,1,None,None,1,0.375,0.430894309,0.402947154,0.870283019,0.870283019,0.944105691,0.944105691,0.444444444,0.396551724,0.420498084,1.120772947,1.120772947,1.04789272,1.04789272,0.436781609,0.403846154,0.420313882,None,None,1,None,None,1
GaussianNB,,1,0.475449684,0.923159018,0.100892857,0.512025938,0.041868651,1.021830659,1.021830659,1.019585219,0.360406091,0.502705953,0.431556022,0.716932213,0.716932213,0.857700138,0.857700138,0.49963154,0.428571429,0.464101484,1.165806927,1.165806927,1.071060112,1.071060112,0.487772637,0.441176471,0.464474554,None,None,1,None,None,1,0.891304348,0.928660826,0.909982587,0.959773819,0.959773819,0.962643522,0.962643522,0.926093514,0.916058394,0.921075954,1.010954673,1.010954673,1.01003512,1.01003512,0.924791086,0.917808219,0.921299653,None,None,1,None,None,1,0.07421875,0.108796296,0.091507523,0.682180851,0.682180851,0.965422454,0.965422454,0.09221902,0.115023474,0.103621247,0.801740869,0.801740869,0.977195546,0.977195546,0.093081761,0.12,0.106540881,None,None,1,None,None,1,0.92578125,0.891203704,0.908492477,1.038798701,1.038798701,1.034577546,1.034577546,0.90778098,0.884976526,0.896378753,1.025768428,1.025768428,1.022804454,1.022804454,0.906918239,0.88,0.893459119,None,None,1,None,None,1,0.108695652,0.071339174,0.090017413,1.523646072,1.523646072,1.037356478,1.037356478,0.073906486,0.083941606,0.078924046,0.880451177,0.880451177,0.98996488,0.98996488,0.075208914,0.082191781,0.078700347,None,None,1,None,None,1,0.913705584,0.909200241,0.911452912,1.004955282,1.004955282,1.004505343,1.004505343,0.916728077,0.897142857,0.906935467,1.021830659,1.021830659,1.01958522,1.01958522,0.915399868,0.895220588,0.905310228,None,None,1,None,None,1,0.341666667,0.490740741,0.416203704,0.696226415,0.696226415,0.850925926,0.850925926,0.493569132,0.399681529,0.44662533,1.234906035,1.234906035,1.093887603,1.093887603,0.479422383,0.412731006,0.446076694,None,None,1,None,None,1,0.441176471,0.377483444,0.409329957,1.16873065,1.16873065,1.063693027,1.063693027,0.433628319,0.319444444,0.376536382,1.357445171,1.357445171,1.114183874,1.114183874,0.421875,0.315789474,0.368832237,None,None,1,None,None,1
GaussianNB,,2,0.473991249,0.946638207,0.078571429,0.512604818,0.050184355,1.040609372,1.040609372,1.036896515,0.402666667,0.489892985,0.446279826,0.82194822,0.82194822,0.912773682,0.912773682,0.497420781,0.428571429,0.462996105,1.160648489,1.160648489,1.068849353,1.068849353,0.489403974,0.431444241,0.460424107,None,None,1,None,None,1,0.928571429,0.949811794,0.939191611,0.97763729,0.97763729,0.978759634,0.978759634,0.953242836,0.930656934,0.941949885,1.024268772,1.024268772,1.022585901,1.022585901,0.951117318,0.932126697,0.941622008,None,None,1,None,None,1,0.089361702,0.075706215,0.082533958,1.180374722,1.180374722,1.013655487,1.013655487,0.061959654,0.105633803,0.083796728,0.586551393,0.586551393,0.956325851,0.956325851,0.073047859,0.09202454,0.082536199,None,None,1,None,None,1,0.910638298,0.924293785,0.917466042,0.985226031,0.985226031,0.986344513,0.986344513,0.938040346,0.894366197,0.916203272,1.048832513,1.048832513,1.043674149,1.043674149,0.926952141,0.90797546,0.917463801,None,None,1,None,None,1,0.071428571,0.050188206,0.060808389,1.423214286,1.423214286,1.021240366,1.021240366,0.046757164,0.069343066,0.058050115,0.674287529,0.674287529,0.977414099,0.977414099,0.048882682,0.067873303,0.058377992,None,None,1,None,None,1,0.917333333,0.936385256,0.926859294,0.979653757,0.979653757,0.980948078,0.980948078,0.945467944,0.908571429,0.927019686,1.040609372,1.040609372,1.036896515,1.036896515,0.938410596,0.91773309,0.928071843,None,None,1,None,None,1,0.377906977,0.480634921,0.429270949,0.786266167,0.786266167,0.897272056,0.897272056,0.492595479,0.400943396,0.446769438,1.228591078,1.228591078,1.091652083,1.091652083,0.480592802,0.410358566,0.445475684,None,None,1,None,None,1,0.322580645,0.373831776,0.34820621,0.862903226,0.862903226,0.948748869,0.948748869,0.418918919,0.296875,0.357896959,1.411095306,1.411095306,1.122043919,1.122043919,0.376344086,0.333333333,0.35483871,None,None,1,None,None,1
GaussianNB,,3,0.488089451,0.931696905,0.116964286,0.524330595,0.082728356,1.051042206,1.051042206,1.044698389,0.393530997,0.508896797,0.451213897,0.77330217,0.77330217,0.8846342,0.8846342,0.507737657,0.45,0.478868828,1.128305904,1.128305904,1.057737657,1.057737657,0.501000667,0.453405018,0.477202843,None,None,1,None,None,1,0.923076923,0.933085502,0.928081212,0.989273675,0.989273675,0.989991421,0.989991421,0.938159879,0.916058394,0.927109137,1.024126721,1.024126721,1.022101485,1.022101485,0.93977591,0.905829596,0.922802753,None,None,1,None,None,1,0.107883817,0.119453925,0.113668871,0.903141672,0.903141672,0.988429893,0.988429893,0.096541787,0.150234742,0.123388264,0.642606268,0.642606268,0.946307045,0.946307045,0.101910828,0.152238806,0.127074817,None,None,1,None,None,1,0.892116183,0.880546075,0.886331129,1.013139696,1.013139696,1.011570107,1.011570107,0.903458213,0.849765258,0.876611736,1.063185632,1.063185632,1.053692955,1.053692955,0.898089172,0.847761194,0.872925183,None,None,1,None,None,1,0.076923077,0.066914498,0.071918788,1.14957265,1.14957265,1.010008579,1.010008579,0.061840121,0.083941606,0.072890863,0.736704046,0.736704046,0.977898515,0.977898515,0.06022409,0.094170404,0.077197247,None,None,1,None,None,1,0.90296496,0.90569395,0.904329455,0.996986851,0.996986851,0.997271009,0.997271009,0.920412675,0.875714286,0.89806348,1.051042206,1.051042206,1.044698389,1.044698389,0.917945297,0.870967742,0.894456519,None,None,1,None,None,1,0.358208955,0.493123772,0.425666364,0.726407802,0.726407802,0.865085183,0.865085183,0.497998399,0.409461664,0.453730031,1.216227165,1.216227165,1.088536735,1.088536735,0.487645349,0.41563786,0.451641604,None,None,1,None,None,1,0.277777778,0.339622642,0.30870021,0.817901235,0.817901235,0.938155136,0.938155136,0.37962963,0.264367816,0.321998723,1.435990338,1.435990338,1.115261814,1.115261814,0.349593496,0.291666667,0.320630081,None,None,1,None,None,1
GaussianNB,,4,0.469615946,0.954108858,0.064285714,0.509197286,0.039874474,1.013573948,1.013573948,1.012701337,0.361878453,0.492625369,0.427251911,0.73459159,0.73459159,0.869253084,0.869253084,0.49889462,0.412857143,0.455875882,1.208395275,1.208395275,1.086037478,1.086037478,0.48938992,0.415300546,0.452345233,None,None,1,None,None,1,0.9296875,0.957972806,0.943830153,0.97047379,0.97047379,0.971714694,0.971714694,0.957767722,0.945255474,0.951511598,1.013236896,1.013236896,1.012512248,1.012512248,0.955617198,0.949074074,0.952345636,None,None,1,None,None,1,0.051282051,0.06772009,0.059501071,0.757264957,0.757264957,0.983561961,0.983561961,0.060518732,0.070422535,0.065470634,0.859365994,0.859365994,0.990096197,0.990096197,0.062261753,0.069069069,0.065665411,None,None,1,None,None,1,0.948717949,0.93227991,0.940498929,1.017632085,1.017632085,1.016438039,1.016438039,0.939481268,0.929577465,0.934529366,1.010654091,1.010654091,1.009903803,1.009903803,0.937738247,0.930930931,0.934334589,None,None,1,None,None,1,0.0703125,0.042027194,0.056169847,1.673023897,1.673023897,1.028285306,1.028285306,0.042232278,0.054744526,0.048488402,0.771442936,0.771442936,0.987487752,0.987487752,0.044382802,0.050925926,0.047654364,None,None,1,None,None,1,0.94198895,0.944542773,0.943265862,0.997296234,0.997296234,0.997446177,0.997446177,0.948415623,0.935714286,0.942064954,1.013573948,1.013573948,1.012701337,1.012701337,0.946286472,0.938069217,0.942177844,None,None,1,None,None,1,0.348973607,0.484072455,0.416523031,0.720911929,0.720911929,0.864901152,0.864901152,0.493395493,0.395419847,0.44440767,1.247776248,1.247776248,1.097975646,1.097975646,0.482831114,0.398058252,0.440444683,None,None,1,None,None,1,0.428571429,0.361702128,0.395136778,1.18487395,1.18487395,1.066869301,1.066869301,0.4,0.333333333,0.366666667,1.2,1.2,1.066666667,1.066666667,0.395061728,0.323529412,0.35929557,None,None,1,None,None,1
GaussianNB,,5,0.475935829,0.943436499,0.084821429,0.514128964,0.054460961,1.039836737,1.039836737,1.036023792,0.35768262,0.504216867,0.430949744,0.709382495,0.709382495,0.853465752,0.853465752,0.492262343,0.444285714,0.468274029,1.107985982,1.107985982,1.047976629,1.047976629,0.487162607,0.444237918,0.465700263,None,None,1,None,None,1,0.939393939,0.944099379,0.941746659,0.995015949,0.995015949,0.995294561,0.995294561,0.942684766,0.945255474,0.94397012,0.997280409,0.997280409,0.997429292,0.997429292,0.944827586,0.938679245,0.941753416,None,None,1,None,None,1,0.067924528,0.09005848,0.078991504,0.754226905,0.754226905,0.977866049,0.977866049,0.061959654,0.122065728,0.092012691,0.507592552,0.507592552,0.939893926,0.939893926,0.069269521,0.122699387,0.095984454,None,None,1,None,None,1,0.932075472,0.90994152,0.921008496,1.024324587,1.024324587,1.022133951,1.022133951,0.938040346,0.877934272,0.907987309,1.068463068,1.068463068,1.060106074,1.060106074,0.930730479,0.877300613,0.904015546,None,None,1,None,None,1,0.060606061,0.055900621,0.058253341,1.084175084,1.084175084,1.004705439,1.004705439,0.057315234,0.054744526,0.05602988,1.04695827,1.04695827,1.002570708,1.002570708,0.055172414,0.061320755,0.058246584,None,None,1,None,None,1,0.934508816,0.926506024,0.93050742,1.008637604,1.008637604,1.008002792,1.008002792,0.940309506,0.904285714,0.92229761,1.039836737,1.039836737,1.036023792,1.036023792,0.937458855,0.901486989,0.919472922,None,None,1,None,None,1,0.334231806,0.494148244,0.414190025,0.676379628,0.676379628,0.840083561,0.840083561,0.489811912,0.409162717,0.449487315,1.197107878,1.197107878,1.080649195,1.080649195,0.481039326,0.410309278,0.445674302,None,None,1,None,None,1,0.307692308,0.368852459,0.338272383,0.834188034,0.834188034,0.938839849,0.938839849,0.469135802,0.223880597,0.3465082,2.095473251,2.095473251,1.245255205,1.245255205,0.421052632,0.245283019,0.333167825,None,None,1,None,None,1
GaussianNB,,6,0.488089451,0.917822839,0.128571429,0.523197134,0.074612339,1.019146774,1.019146774,1.016876513,0.402116402,0.507444908,0.454780655,0.792433614,0.792433614,0.894671494,0.894671494,0.510685335,0.444285714,0.477485525,1.149452523,1.149452523,1.066399621,1.066399621,0.503630363,0.444649446,0.474139905,None,None,1,None,None,1,0.911764706,0.918851436,0.915308071,0.992287404,0.992287404,0.99291327,0.99291327,0.918552036,0.916058394,0.917305215,1.002722143,1.002722143,1.002493642,1.002493642,0.921270718,0.906103286,0.913687002,None,None,1,None,None,1,0.115702479,0.132118451,0.123910465,0.875748076,0.875748076,0.983584028,0.983584028,0.121037464,0.14084507,0.130941267,0.859365994,0.859365994,0.980192394,0.980192394,0.12136536,0.145896657,0.133631008,None,None,1,None,None,1,0.884297521,0.867881549,0.876089535,1.018914991,1.018914991,1.016415972,1.016415972,0.878962536,0.85915493,0.869058733,1.023054755,1.023054755,1.019807606,1.019807606,0.87863464,0.854103343,0.866368992,None,None,1,None,None,1,0.088235294,0.081148564,0.084691929,1.087330317,1.087330317,1.00708673,1.00708673,0.081447964,0.083941606,0.082694785,0.970293134,0.970293134,0.997506358,0.997506358,0.078729282,0.093896714,0.086312998,None,None,1,None,None,1,0.894179894,0.892197737,0.893188815,1.002221657,1.002221657,1.001982157,1.001982157,0.898305085,0.881428571,0.889866828,1.019146774,1.019146774,1.016876513,1.016876513,0.899009901,0.874538745,0.886774323,None,None,1,None,None,1,0.366863905,0.491321762,0.429092834,0.746687677,0.746687677,0.875542143,0.875542143,0.499589828,0.406807131,0.45319848,1.228075393,1.228075393,1.092782696,1.092782696,0.489720999,0.407172996,0.448446997,None,None,1,None,None,1,0.3,0.359116022,0.329558011,0.835384615,0.835384615,0.940883978,0.940883978,0.391304348,0.277108434,0.334206391,1.412098299,1.412098299,1.114195914,1.114195914,0.37254902,0.294117647,0.333333333,None,None,1,None,None,1
GaussianNB,,7,0.485172581,0.91248666,0.127678571,0.520082615,0.064087758,1.051363179,1.051363179,1.04424571,0.431216931,0.497319833,0.464268382,0.86708171,0.86708171,0.933897098,0.933897098,0.49889462,0.458571429,0.478733025,1.087932194,1.087932194,1.040323192,1.040323192,0.49373764,0.461111111,0.477424376,None,None,1,None,None,1,0.90647482,0.913533835,0.910004327,0.992272848,0.992272848,0.992940986,0.992940986,0.914027149,0.908759124,0.911393137,1.005796943,1.005796943,1.005268025,1.005268025,0.911111111,0.917050691,0.914080901,None,None,1,None,None,1,0.154811715,0.120317821,0.137564768,1.286689824,1.286689824,1.034493895,1.034493895,0.102305476,0.169014085,0.13565978,0.605307397,0.605307397,0.933291391,0.933291391,0.116687578,0.154798762,0.13574317,None,None,1,None,None,1,0.845188285,0.879682179,0.862435232,0.960788231,0.960788231,0.965506105,0.965506105,0.897694524,0.830985915,0.86434022,1.080276462,1.080276462,1.066708609,1.066708609,0.883312422,0.845201238,0.86425683,None,None,1,None,None,1,0.09352518,0.086466165,0.089995673,1.081639037,1.081639037,1.007059014,1.007059014,0.085972851,0.091240876,0.088606863,0.942262443,0.942262443,0.994731975,0.994731975,0.088888889,0.082949309,0.085919099,None,None,1,None,None,1,0.867724868,0.895771292,0.88174808,0.968690195,0.968690195,0.971953575,0.971953575,0.905674282,0.861428571,0.883551426,1.051363179,1.051363179,1.04424571,1.04424571,0.896506262,0.874074074,0.885290168,None,None,1,None,None,1,0.384146341,0.484707447,0.434426894,0.79253237,0.79253237,0.899438895,0.899438895,0.493083808,0.412935323,0.453009566,1.194094523,1.194094523,1.080148485,1.080148485,0.482352941,0.421610169,0.451981555,None,None,1,None,None,1,0.26,0.394285714,0.327142857,0.65942029,0.65942029,0.865714286,0.865714286,0.4453125,0.257731959,0.351522229,1.7278125,1.7278125,1.187580541,1.187580541,0.407643312,0.264705882,0.336174597,None,None,1,None,None,1
GaussianNB,,8,0.483714147,0.942369264,0.1,0.521184632,0.07746935,1.042399957,1.042399957,1.037917676,0.368020305,0.511124474,0.439572389,0.720020902,0.720020902,0.856895831,0.856895831,0.509211496,0.434285714,0.471748605,1.172526471,1.172526471,1.074925782,1.074925782,0.499013807,0.440298507,0.469656157,None,None,1,None,None,1,0.920634921,0.945745993,0.933190457,0.973448397,0.973448397,0.974888928,0.974888928,0.95173454,0.919708029,0.935721285,1.034822476,1.034822476,1.032026511,1.032026511,0.952513966,0.909502262,0.931008114,None,None,1,None,None,1,0.108208955,0.09741784,0.102813398,1.110771444,1.110771444,1.010791115,1.010791115,0.086455331,0.122065728,0.10426053,0.708268677,0.708268677,0.964389604,0.964389604,0.095652174,0.111111111,0.103381643,None,None,1,None,None,1,0.891791045,0.90258216,0.897186602,0.988044174,0.988044174,0.989208885,0.989208885,0.913544669,0.877934272,0.89573947,1.040561574,1.040561574,1.035610396,1.035610396,0.904347826,0.888888889,0.896618357,None,None,1,None,None,1,0.079365079,0.054254007,0.066809543,1.462842713,1.462842713,1.025111072,1.025111072,0.04826546,0.080291971,0.064278715,0.601124366,0.601124366,0.967973489,0.967973489,0.047486034,0.090497738,0.068991886,None,None,1,None,None,1,0.901015228,0.92363199,0.912323609,0.975513232,0.975513232,0.977383238,0.977383238,0.93220339,0.894285714,0.913244552,1.042399957,1.042399957,1.037917676,1.037917676,0.927021696,0.89738806,0.912204878,None,None,1,None,None,1,0.326760563,0.499348958,0.413054761,0.654373175,0.654373175,0.827411605,0.827411605,0.498814229,0.402555911,0.45068507,1.239117887,1.239117887,1.096258319,1.096258319,0.483687943,0.417879418,0.450783681,None,None,1,None,None,1,0.256410256,0.346456693,0.301433475,0.74009324,0.74009324,0.909953563,0.909953563,0.347826087,0.297297297,0.322561692,1.169960474,1.169960474,1.05052879,1.05052879,0.306306306,0.363636364,0.334971335,None,None,1,None,None,1
GaussianNB,,9,0.487117161,0.95090715,0.099107143,0.525007147,0.093809391,1.027625784,1.027625784,1.025060533,0.385964912,0.51145959,0.448712251,0.754634227,0.754634227,0.874505322,0.874505322,0.510685335,0.441428571,0.476056953,1.156892345,1.156892345,1.069256764,1.069256764,0.500991408,0.448529412,0.47476041,None,None,1,None,None,1,0.949640288,0.95112782,0.950384054,0.998436034,0.998436034,0.998512468,0.998512468,0.953242836,0.945255474,0.949249155,1.00844995,1.00844995,1.007987361,1.007987361,0.9527121,0.944954128,0.948833114,None,None,1,None,None,1,0.084615385,0.103488372,0.094051878,0.817631806,0.817631806,0.981127013,0.981127013,0.087896254,0.117370892,0.102633573,0.748876081,0.748876081,0.970525362,0.970525362,0.091939547,0.116564417,0.104251982,None,None,1,None,None,1,0.915384615,0.896511628,0.905948122,1.021051581,1.021051581,1.018872987,1.018872987,0.912103746,0.882629108,0.897366427,1.033394138,1.033394138,1.029474638,1.029474638,0.908060453,0.883435583,0.895748018,None,None,1,None,None,1,0.050359712,0.04887218,0.049615946,1.030437189,1.030437189,1.001487532,1.001487532,0.046757164,0.054744526,0.050750845,0.854097536,0.854097536,0.992012639,0.992012639,0.0472879,0.055045872,0.051166886,None,None,1,None,None,1,0.927318296,0.922798552,0.925058424,1.004897866,1.004897866,1.004519743,1.004519743,0.93220339,0.907142857,0.919673123,1.027625784,1.027625784,1.025060533,1.025060533,0.929279577,0.908088235,0.918683906,None,None,1,None,None,1,0.356756757,0.496078431,0.426417594,0.719153937,0.719153937,0.860678325,0.860678325,0.499604743,0.407874016,0.453739379,1.22489966,1.22489966,1.091730727,1.091730727,0.487197724,0.417004049,0.452100886,None,None,1,None,None,1,0.24137931,0.3046875,0.273033405,0.792219275,0.792219275,0.93669181,0.93669181,0.336956522,0.230769231,0.283862876,1.460144928,1.460144928,1.106187291,1.106187291,0.317757009,0.24,0.278878505,None,None,1,None,None,1
