algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
FairGPopp*,s_as_input=True,0,0.669421488,0.468516542,0.8375,0.653008271,0.331971415,1.740064558,1.740064558,1.150127382,0.715053763,0.659347181,0.687200472,1.084487481,1.084487481,1.055706582,1.055706582,0.662490789,0.682857143,0.672673966,0.970174795,0.970174795,0.979633646,0.979633646,0.665349144,0.680890538,0.673119841,None,None,1,None,None,1,0.378787879,0.483229814,0.431008846,0.783866947,0.783866947,0.895558065,0.895558065,0.515837104,0.354014599,0.434925851,1.457106871,1.457106871,1.161822506,1.161822506,0.495844875,0.376744186,0.436294531,None,None,1,None,None,1,0.9,0.820454545,0.860227273,1.096952909,1.096952909,1.079545455,1.079545455,0.80259366,0.894366197,0.848479929,0.897388187,0.897388187,0.908227463,0.908227463,0.819095477,0.882716049,0.850905763,None,None,1,None,None,1,0.1,0.179545455,0.139772727,0.556962025,0.556962025,0.920454545,0.920454545,0.19740634,0.105633803,0.151520071,1.868780019,1.868780019,1.091772537,1.091772537,0.180904523,0.117283951,0.149094237,None,None,1,None,None,1,0.621212121,0.516770186,0.568991154,1.202105186,1.202105186,1.104441935,1.104441935,0.484162896,0.645985401,0.565074149,0.749495104,0.749495104,0.838177494,0.838177494,0.504155125,0.623255814,0.563705469,None,None,1,None,None,1,0.198924731,0.32462908,0.261776906,0.612775452,0.612775452,0.874295651,0.874295651,0.352984525,0.202857143,0.277920834,1.740064558,1.740064558,1.150127382,1.150127382,0.330698287,0.220779221,0.275738754,None,None,1,None,None,1,0.675675676,0.711151737,0.693413706,0.950114639,0.950114639,0.964523939,0.964523939,0.713987474,0.683098592,0.698543033,1.045218776,1.045218776,1.030888882,1.030888882,0.71314741,0.680672269,0.69690984,None,None,1,None,None,1,0.275167785,0.365553603,0.320360694,0.752742643,0.752742643,0.909614182,0.909614182,0.365603645,0.317204301,0.341403973,1.152580981,1.152580981,1.048399344,1.048399344,0.358267717,0.319047619,0.338657668,None,None,1,None,None,1
FairGPopp*,s_as_input=True,1,0.666504618,0.483457844,0.819642857,0.651550351,0.324019458,1.736674036,1.736674036,1.157858722,0.728426396,0.651834035,0.690130215,1.117502857,1.117502857,1.076592361,1.076592361,0.662490789,0.674285714,0.668388251,0.982507525,0.982507525,0.988205074,0.988205074,0.670191672,0.65625,0.663220836,None,None,1,None,None,1,0.413043478,0.495619524,0.454331501,0.83338823,0.83338823,0.917423954,0.917423954,0.535444947,0.357664234,0.44655459,1.497060363,1.497060363,1.177780714,1.177780714,0.52367688,0.351598174,0.437637527,None,None,1,None,None,1,0.8984375,0.796296296,0.847366898,1.128270349,1.128270349,1.102141204,1.102141204,0.783861671,0.877934272,0.830897972,0.892847786,0.892847786,0.905927399,0.905927399,0.802515723,0.861538462,0.832027092,None,None,1,None,None,1,0.1015625,0.203703704,0.152633102,0.498579545,0.498579545,0.897858796,0.897858796,0.216138329,0.122065728,0.169102028,1.770671691,1.770671691,1.094072601,1.094072601,0.197484277,0.138461538,0.167972908,None,None,1,None,None,1,0.586956522,0.504380476,0.545668499,1.163717769,1.163717769,1.082576046,1.082576046,0.464555053,0.642335766,0.55344541,0.723227753,0.723227753,0.822219286,0.822219286,0.47632312,0.648401826,0.562362473,None,None,1,None,None,1,0.210659898,0.343956705,0.277308302,0.612460509,0.612460509,0.866703194,0.866703194,0.372144436,0.214285714,0.293215075,1.736674036,1.736674036,1.157858722,1.157858722,0.352280238,0.224264706,0.288272472,None,None,1,None,None,1,0.686746988,0.692307692,0.68952734,0.991967871,0.991967871,0.994439296,0.994439296,0.702970297,0.653333333,0.678151815,1.075974944,1.075974944,1.049636964,1.049636964,0.705440901,0.631147541,0.668294221,None,None,1,None,None,1,0.260450161,0.369385885,0.314918023,0.705089641,0.705089641,0.891064276,0.891064276,0.361502347,0.32,0.340751174,1.129694836,1.129694836,1.041502347,1.041502347,0.348979592,0.336492891,0.342736241,None,None,1,None,None,1
FairGPopp*,s_as_input=True,2,0.671366067,0.480256137,0.83125,0.655753068,0.3352408,2.039382358,2.039382358,1.19154332,0.701333333,0.664684899,0.683009116,1.055136553,1.055136553,1.036648434,1.036648434,0.667649226,0.678571429,0.673110327,0.983904123,0.983904123,0.989077798,0.989077798,0.670198675,0.674588665,0.67239367,None,None,1,None,None,1,0.4,0.494353827,0.447176913,0.809137056,0.809137056,0.905646173,0.905646173,0.544494721,0.324817518,0.43465612,1.67630959,1.67630959,1.219677203,1.219677203,0.525139665,0.334841629,0.429990647,None,None,1,None,None,1,0.880851064,0.818079096,0.84946508,1.076730927,1.076730927,1.062771968,1.062771968,0.785302594,0.906103286,0.84570294,0.866681101,0.866681101,0.879199307,0.879199307,0.801007557,0.904907975,0.852957766,None,None,1,None,None,1,0.119148936,0.181920904,0.15053492,0.654949121,0.654949121,0.937228032,0.937228032,0.214697406,0.093896714,0.15429706,2.286527378,2.286527378,1.120800693,1.120800693,0.198992443,0.095092025,0.147042234,None,None,1,None,None,1,0.6,0.505646173,0.552823087,1.186600496,1.186600496,1.094353827,1.094353827,0.455505279,0.675182482,0.56534388,0.674640251,0.674640251,0.780322797,0.780322797,0.474860335,0.665158371,0.570009353,None,None,1,None,None,1,0.224,0.329964328,0.276982164,0.678861261,0.678861261,0.894035672,0.894035672,0.375829035,0.184285714,0.280057374,2.039382358,2.039382358,1.19154332,1.19154332,0.353642384,0.191956124,0.272799254,None,None,1,None,None,1,0.666666667,0.70990991,0.688288288,0.939086294,0.939086294,0.956756757,0.956756757,0.707843137,0.689922481,0.698882809,1.025974884,1.025974884,1.017920657,1.017920657,0.70411985,0.704761905,0.704440877,None,None,1,None,None,1,0.288659794,0.357586513,0.323123153,0.807244634,0.807244634,0.931073281,0.931073281,0.356552538,0.323992995,0.340272767,1.100494591,1.100494591,1.032559544,1.032559544,0.348360656,0.332579186,0.340469921,None,None,1,None,None,1
FairGPopp*,s_as_input=True,3,0.67963053,0.522945571,0.810714286,0.666829928,0.350464927,1.565319035,1.565319035,1.14052216,0.71967655,0.670818505,0.695247528,1.072833478,1.072833478,1.048858045,1.048858045,0.677966102,0.682857143,0.680411622,0.992837387,0.992837387,0.995108959,0.995108959,0.68245497,0.672043011,0.67724899,None,None,1,None,None,1,0.430769231,0.5377943,0.484281765,0.800992556,0.800992556,0.892974931,0.892974931,0.568627451,0.412408759,0.490518105,1.378795766,1.378795766,1.156218692,1.156218692,0.554621849,0.421524664,0.488073256,None,None,1,None,None,1,0.875518672,0.79294653,0.834232601,1.104133304,1.104133304,1.082572142,1.082572142,0.782420749,0.856807512,0.819614131,0.913181477,0.913181477,0.925613238,0.925613238,0.798726115,0.83880597,0.818766042,None,None,1,None,None,1,0.124481328,0.20705347,0.165767399,0.601203775,0.601203775,0.917427858,0.917427858,0.217579251,0.143192488,0.180385869,1.519487882,1.519487882,1.074386762,1.074386762,0.201273885,0.16119403,0.181233958,None,None,1,None,None,1,0.569230769,0.4622057,0.515718235,1.231552898,1.231552898,1.107025069,1.107025069,0.431372549,0.587591241,0.509481895,0.734137133,0.734137133,0.843781308,0.843781308,0.445378151,0.578475336,0.511926744,None,None,1,None,None,1,0.23180593,0.365361803,0.298583867,0.634455841,0.634455841,0.866444127,0.866444127,0.389093589,0.248571429,0.318832509,1.565319035,1.565319035,1.14052216,1.14052216,0.36957972,0.265232975,0.317406347,None,None,1,None,None,1,0.651162791,0.704545455,0.677854123,0.924231058,0.924231058,0.946617336,0.946617336,0.714015152,0.649425287,0.681720219,1.099456959,1.099456959,1.064589864,1.064589864,0.714801444,0.635135135,0.67496829,None,None,1,None,None,1,0.259649123,0.348598131,0.304123627,0.744837966,0.744837966,0.911050992,0.911050992,0.344993969,0.30608365,0.325538809,1.127123152,1.127123152,1.038910318,1.038910318,0.336507937,0.314634146,0.325571041,None,None,1,None,None,1
FairGPopp*,s_as_input=True,4,0.674769081,0.478121665,0.839285714,0.65870369,0.343241578,2.376565954,2.376565954,1.220250553,0.67679558,0.674336283,0.675565932,1.003646989,1.003646989,1.002459297,1.002459297,0.672070744,0.68,0.676035372,0.98833933,0.98833933,0.992070744,0.992070744,0.670424403,0.686703097,0.67856375,None,None,1,None,None,1,0.328125,0.501854141,0.41498957,0.653825431,0.653825431,0.826270859,0.826270859,0.553544495,0.295620438,0.424582466,1.872483846,1.872483846,1.257924057,1.257924057,0.524271845,0.324074074,0.424172959,None,None,1,None,None,1,0.867521368,0.831828442,0.849674905,1.042908998,1.042908998,1.035692925,1.035692925,0.785302594,0.927230047,0.85626632,0.846933936,0.846933936,0.858072547,0.858072547,0.804320203,0.921921922,0.863121063,None,None,1,None,None,1,0.132478632,0.168171558,0.150325095,0.787758848,0.787758848,0.964307075,0.964307075,0.214697406,0.072769953,0.14373368,2.950357906,2.950357906,1.141927453,1.141927453,0.195679797,0.078078078,0.136878937,None,None,1,None,None,1,0.671875,0.498145859,0.58501043,1.348751551,1.348751551,1.173729141,1.173729141,0.446455505,0.704379562,0.575417534,0.633828023,0.633828023,0.742075943,0.742075943,0.475728155,0.675925926,0.575827041,None,None,1,None,None,1,0.201657459,0.327433628,0.264545543,0.615872779,0.615872779,0.87422383,0.87422383,0.380250553,0.16,0.270125276,2.376565954,2.376565954,1.220250553,1.220250553,0.352785146,0.174863388,0.263824267,None,None,1,None,None,1,0.575342466,0.731531532,0.653436999,0.786490316,0.786490316,0.843810934,0.843810934,0.71124031,0.723214286,0.717227298,0.983443392,0.983443392,0.988026024,0.988026024,0.710526316,0.729166667,0.719846491,None,None,1,None,None,1,0.297577855,0.353508772,0.325543313,0.841783509,0.841783509,0.944069083,0.944069083,0.35196195,0.328231293,0.340096621,1.072298584,1.072298584,1.023730658,1.023730658,0.351434426,0.322295806,0.336865116,None,None,1,None,None,1
FairGPopp*,s_as_input=True,5,0.660184735,0.49733191,0.796428571,0.646880241,0.309417245,1.987621811,1.987621811,1.201757027,0.705289673,0.64939759,0.677343631,1.086067585,1.086067585,1.055892082,1.055892082,0.661016949,0.658571429,0.659794189,1.003713372,1.003713372,1.002445521,1.002445521,0.661619487,0.656133829,0.658876658,None,None,1,None,None,1,0.378787879,0.516770186,0.447779033,0.732990967,0.732990967,0.862017692,0.862017692,0.568627451,0.324817518,0.446722485,1.75060586,1.75060586,1.243809933,1.243809933,0.543448276,0.339622642,0.441535459,None,None,1,None,None,1,0.867924528,0.774269006,0.821096767,1.120959927,1.120959927,1.093655522,1.093655522,0.749279539,0.873239437,0.811259488,0.858045924,0.858045924,0.876040102,0.876040102,0.769521411,0.86196319,0.8157423,None,None,1,None,None,1,0.132075472,0.225730994,0.178903233,0.585101183,0.585101183,0.906344478,0.906344478,0.250720461,0.126760563,0.188740512,1.97790586,1.97790586,1.123959898,1.123959898,0.230478589,0.13803681,0.1842577,None,None,1,None,None,1,0.621212121,0.483229814,0.552220967,1.285541793,1.285541793,1.137982308,1.137982308,0.431372549,0.675182482,0.553277515,0.638897721,0.638897721,0.756190067,0.756190067,0.456551724,0.660377358,0.558464541,None,None,1,None,None,1,0.214105793,0.36686747,0.290486632,0.583605283,0.583605283,0.847238324,0.847238324,0.406042741,0.204285714,0.305164228,1.987621811,1.987621811,1.201757027,1.201757027,0.379855168,0.217472119,0.298663643,None,None,1,None,None,1,0.588235294,0.683087028,0.635661161,0.861142534,0.861142534,0.905148266,0.905148266,0.684210526,0.622377622,0.653294074,1.099349497,1.099349497,1.061832904,1.061832904,0.682842288,0.615384615,0.649113452,None,None,1,None,None,1,0.262820513,0.370123692,0.316472102,0.710088326,0.710088326,0.892696821,0.892696821,0.35483871,0.332136445,0.343487577,1.068352223,1.068352223,1.022702264,1.022702264,0.351380042,0.332541568,0.341960805,None,None,1,None,None,1
FairGPopp*,s_as_input=True,6,0.680116675,0.537886873,0.799107143,0.668497008,0.350863502,1.958170112,1.958170112,1.208059796,0.711640212,0.673019655,0.692329933,1.057383996,1.057383996,1.038620557,1.038620557,0.684598379,0.671428571,0.678013475,1.019614607,1.019614607,1.013169807,1.013169807,0.687128713,0.660516605,0.673822659,None,None,1,None,None,1,0.419117647,0.558052434,0.488585041,0.751036321,0.751036321,0.861065213,0.861065213,0.612368024,0.357664234,0.485016129,1.712131006,1.712131006,1.254703791,1.254703791,0.591160221,0.356807512,0.473983866,None,None,1,None,None,1,0.876033058,0.777904328,0.826968693,1.126144985,1.126144985,1.09812873,1.09812873,0.753602305,0.873239437,0.813420871,0.862996189,0.862996189,0.880362869,0.880362869,0.774968394,0.857142857,0.816055626,None,None,1,None,None,1,0.123966942,0.222095672,0.173031307,0.558169104,0.558169104,0.90187127,0.90187127,0.246397695,0.126760563,0.186579129,1.943804035,1.943804035,1.119637131,1.119637131,0.225031606,0.142857143,0.183944374,None,None,1,None,None,1,0.580882353,0.441947566,0.511414959,1.314369392,1.314369392,1.138934787,1.138934787,0.387631976,0.642335766,0.514983871,0.603472508,0.603472508,0.745296209,0.745296209,0.408839779,0.643192488,0.526016134,None,None,1,None,None,1,0.23015873,0.382370459,0.306264594,0.601926025,0.601926025,0.847788272,0.847788272,0.425202653,0.217142857,0.321172755,1.958170112,1.958170112,1.208059796,1.208059796,0.4,0.226937269,0.313468635,None,None,1,None,None,1,0.655172414,0.696261682,0.675717048,0.940985883,0.940985883,0.958910732,0.958910732,0.703639515,0.644736842,0.674188178,1.091359247,1.091359247,1.058902673,1.058902673,0.706270627,0.617886179,0.662078403,None,None,1,None,None,1,0.271477663,0.341369335,0.306423499,0.795260838,0.795260838,0.930108329,0.930108329,0.329487179,0.321167883,0.325327531,1.025903263,1.025903263,1.008319296,1.008319296,0.325632563,0.326968974,0.326300769,None,None,1,None,None,1
FairGPopp*,s_as_input=True,7,0.665532329,0.512273212,0.79375,0.653011606,0.320461489,1.47744385,1.47744385,1.125499526,0.706349206,0.656343061,0.681346134,1.076189036,1.076189036,1.050006145,1.050006145,0.666912307,0.662857143,0.664884725,1.006117704,1.006117704,1.004055164,1.004055164,0.669083718,0.655555556,0.662319637,None,None,1,None,None,1,0.381294964,0.535087719,0.458191342,0.712584031,0.712584031,0.846207245,0.846207245,0.556561086,0.405109489,0.480835288,1.373853492,1.373853492,1.151451597,1.151451597,0.5375,0.428571429,0.483035714,None,None,1,None,None,1,0.89539749,0.766174801,0.830786145,1.168659538,1.168659538,1.129222688,1.129222688,0.772334294,0.828638498,0.800486396,0.932052151,0.932052151,0.943695796,0.943695796,0.787954831,0.808049536,0.798002183,None,None,1,None,None,1,0.10460251,0.233825199,0.169213855,0.447353455,0.447353455,0.870777312,0.870777312,0.227665706,0.171361502,0.199513604,1.328569737,1.328569737,1.056304204,1.056304204,0.212045169,0.191950464,0.201997817,None,None,1,None,None,1,0.618705036,0.464912281,0.541808658,1.330799511,1.330799511,1.153792755,1.153792755,0.443438914,0.594890511,0.519164712,0.745412653,0.745412653,0.848548403,0.848548403,0.4625,0.571428571,0.516964286,None,None,1,None,None,1,0.206349206,0.377010125,0.291679666,0.547330675,0.547330675,0.829339081,0.829339081,0.388356669,0.262857143,0.325606906,1.47744385,1.47744385,1.125499526,1.125499526,0.366512854,0.287037037,0.326774946,None,None,1,None,None,1,0.679487179,0.674565561,0.67702637,1.007295983,1.007295983,1.004921619,1.004921619,0.700189753,0.60326087,0.651725311,1.160674906,1.160674906,1.096928884,1.096928884,0.696043165,0.6,0.648021583,None,None,1,None,None,1,0.286666667,0.354684512,0.32067559,0.808230009,0.808230009,0.931982154,0.931982154,0.354216867,0.315891473,0.33505417,1.121324562,1.121324562,1.038325395,1.038325395,0.346514048,0.322077922,0.334295985,None,None,1,None,None,1
FairGPopp*,s_as_input=True,8,0.6587263,0.452508004,0.83125,0.641879002,0.30896771,1.974016328,1.974016328,1.176714391,0.73857868,0.639807577,0.689193128,1.154376264,1.154376264,1.098771104,1.098771104,0.657332351,0.661428571,0.659380461,0.99380701,0.99380701,0.995903779,0.995903779,0.665351742,0.639925373,0.652638558,None,None,1,None,None,1,0.357142857,0.467324291,0.412233574,0.764229175,0.764229175,0.889818566,0.889818566,0.515837104,0.299270073,0.407553589,1.723650811,1.723650811,1.216567031,1.216567031,0.495810056,0.312217195,0.404013625,None,None,1,None,None,1,0.917910448,0.80399061,0.860950529,1.141692995,1.141692995,1.113919837,1.113919837,0.792507205,0.894366197,0.843436701,0.886110418,0.886110418,0.898141007,0.898141007,0.816149068,0.86984127,0.842995169,None,None,1,None,None,1,0.082089552,0.19600939,0.139049471,0.418804183,0.418804183,0.886080163,0.886080163,0.207492795,0.105633803,0.156563299,1.96426513,1.96426513,1.101858993,1.101858993,0.183850932,0.13015873,0.157004831,None,None,1,None,None,1,0.642857143,0.532675709,0.587766426,1.206845238,1.206845238,1.110181434,1.110181434,0.484162896,0.700729927,0.592446411,0.690940799,0.690940799,0.783432969,0.783432969,0.504189944,0.687782805,0.595986375,None,None,1,None,None,1,0.170050761,0.328322309,0.249186535,0.517938491,0.517938491,0.841728452,0.841728452,0.358142962,0.181428571,0.269785767,1.974016328,1.974016328,1.176714391,1.176714391,0.330703485,0.205223881,0.267963683,None,None,1,None,None,1,0.671641791,0.694139194,0.682890493,0.967589493,0.967589493,0.977502597,0.977502597,0.703703704,0.645669291,0.674686498,1.089882565,1.089882565,1.058034412,1.058034412,0.705765408,0.627272727,0.666519067,None,None,1,None,None,1,0.247706422,0.386750224,0.317228323,0.640481651,0.640481651,0.860956198,0.860956198,0.368541906,0.335078534,0.35181022,1.09986725,1.09986725,1.033463372,1.033463372,0.354616896,0.356807512,0.355712204,None,None,1,None,None,1
FairGPopp*,s_as_input=True,9,0.6587263,0.473852721,0.813392857,0.643622789,0.307320842,1.890198968,1.890198968,1.178039794,0.714285714,0.64535585,0.679820782,1.106809079,1.106809079,1.068929864,1.068929864,0.656595431,0.662857143,0.659726287,0.990553452,0.990553452,0.993738288,0.993738288,0.660938533,0.652573529,0.656756031,None,None,1,None,None,1,0.388489209,0.488721805,0.438605507,0.794908688,0.794908688,0.899767404,0.899767404,0.535444947,0.324817518,0.430131233,1.648448489,1.648448489,1.210627429,1.210627429,0.514603616,0.339449541,0.427026579,None,None,1,None,None,1,0.888461538,0.790697674,0.839579606,1.123642534,1.123642534,1.097763864,1.097763864,0.772334294,0.88028169,0.826307992,0.877371758,0.877371758,0.892052604,0.892052604,0.793450882,0.86196319,0.827707036,None,None,1,None,None,1,0.111538462,0.209302326,0.160420394,0.532905983,0.532905983,0.902236136,0.902236136,0.227665706,0.11971831,0.173692008,1.901678251,1.901678251,1.107947396,1.107947396,0.206549118,0.13803681,0.172292964,None,None,1,None,None,1,0.611510791,0.511278195,0.561394493,1.196043165,1.196043165,1.100232596,1.100232596,0.464555053,0.675182482,0.569868767,0.6880437,0.6880437,0.789372571,0.789372571,0.485396384,0.660550459,0.572973421,None,None,1,None,None,1,0.20802005,0.343787696,0.275903873,0.605082883,0.605082883,0.864232354,0.864232354,0.378039794,0.2,0.289019897,1.890198968,1.890198968,1.178039794,1.178039794,0.352941176,0.21875,0.285845588,None,None,1,None,None,1,0.65060241,0.684210526,0.667406468,0.950880445,0.950880445,0.966391883,0.966391883,0.692007797,0.635714286,0.663861041,1.088551591,1.088551591,1.056293512,1.056293512,0.692883895,0.621848739,0.657366317,None,None,1,None,None,1,0.268987342,0.375,0.321993671,0.717299578,0.717299578,0.893987342,0.893987342,0.36492891,0.330357143,0.347643026,1.104649673,1.104649673,1.034571767,1.034571767,0.35648621,0.338823529,0.34765487,None,None,1,None,None,1
