algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
"FairGPopp, TPR=0.6",s_as_input=False,0,0.649975693,0.543223052,0.739285714,0.641254383,0.288535768,0.683285271,0.683285271,0.868748851,0.665816327,0.646246246,0.656031286,1.030282699,1.030282699,1.01957008,1.01957008,0.640266469,0.668555241,0.654410855,0.95768671,0.95768671,0.971711228,0.971711228,0.645611702,0.661844485,0.653728093,None,None,1,None,None,1,0.427536232,0.563204005,0.495370118,0.759114332,0.759114332,0.864332227,0.864332227,0.591463415,0.430604982,0.511034198,1.373563798,1.373563798,1.160858432,1.160858432,0.576056338,0.440528634,0.508292486,None,None,1,None,None,1,0.795275591,0.722863741,0.759069666,1.100173581,1.100173581,1.072411849,1.072411849,0.686330935,0.825882353,0.756106644,0.831027486,0.831027486,0.860448582,0.860448582,0.707808564,0.81595092,0.761879742,None,None,1,None,None,1,0.204724409,0.277136259,0.240930334,0.738713911,0.738713911,0.927588151,0.927588151,0.313669065,0.174117647,0.243893356,1.801477737,1.801477737,1.139551418,1.139551418,0.292191436,0.18404908,0.238120258,None,None,1,None,None,1,0.572463768,0.436795995,0.504629882,1.310597567,1.310597567,1.135667773,1.135667773,0.408536585,0.569395018,0.488965802,0.717492378,0.717492378,0.839141568,0.839141568,0.423943662,0.559471366,0.491707514,None,None,1,None,None,1,0.283163265,0.414414414,0.34878884,0.683285271,0.683285271,0.868748851,0.868748851,0.448556625,0.276203966,0.362380295,1.624005011,1.624005011,1.172352659,1.172352659,0.426196809,0.289330922,0.357763865,None,None,1,None,None,1,0.531531532,0.652173913,0.591852722,0.815015015,0.815015015,0.879357618,0.879357618,0.640264026,0.620512821,0.630388423,1.031830456,1.031830456,1.019751206,1.019751206,0.638065523,0.625,0.631532761,None,None,1,None,None,1,0.28113879,0.357948718,0.319543754,0.785416391,0.785416391,0.923190072,0.923190072,0.359731544,0.313111546,0.336421545,1.148892617,1.148892617,1.046619998,1.046619998,0.348783314,0.323155216,0.335969265,None,None,1,None,None,1
"FairGPopp, TPR=0.6",s_as_input=False,1,0.657754011,0.526147279,0.767857143,0.647002211,0.303945967,0.718900526,0.718900526,0.891274438,0.660714286,0.657057057,0.658885671,1.005566075,1.005566075,1.003657229,1.003657229,0.651079137,0.671664168,0.661371652,0.969352197,0.969352197,0.979414969,0.979414969,0.65503876,0.666011788,0.660525274,None,None,1,None,None,1,0.413043478,0.545682103,0.47936279,0.756930594,0.756930594,0.867361376,0.867361376,0.573770492,0.406015038,0.489892765,1.413175471,1.413175471,1.167755454,1.167755454,0.555401662,0.427906977,0.491654319,None,None,1,None,None,1,0.795275591,0.759815242,0.777545417,1.046669698,1.046669698,1.035460348,1.035460348,0.723226704,0.847880299,0.785553502,0.852982083,0.852982083,0.875346405,0.875346405,0.742130751,0.840136054,0.791133403,None,None,1,None,None,1,0.204724409,0.240184758,0.222454583,0.852362205,0.852362205,0.964539652,0.964539652,0.276773296,0.152119701,0.214446498,1.819444128,1.819444128,1.124653595,1.124653595,0.257869249,0.159863946,0.208866597,None,None,1,None,None,1,0.586956522,0.454317897,0.52063721,1.291951132,1.291951132,1.132638624,1.132638624,0.426229508,0.593984962,0.510107235,0.717576261,0.717576261,0.832244546,0.832244546,0.444598338,0.572093023,0.508345681,None,None,1,None,None,1,0.278061224,0.386786787,0.332424006,0.718900526,0.718900526,0.891274438,0.891274438,0.420143885,0.253373313,0.336758599,1.658201013,1.658201013,1.166770572,1.166770572,0.396640827,0.273084479,0.334862653,None,None,1,None,None,1,0.52293578,0.677018634,0.599977207,0.77240973,0.77240973,0.845917146,0.845917146,0.659246575,0.639053254,0.649149915,1.031598808,1.031598808,1.020193321,1.020193321,0.653094463,0.661870504,0.657482483,None,None,1,None,None,1,0.286219081,0.35553379,0.320876436,0.805040446,0.805040446,0.930685291,0.930685291,0.35483871,0.317269076,0.336053893,1.11841568,1.11841568,1.037569633,1.037569633,0.343683084,0.332432432,0.338057758,None,None,1,None,None,1
"FairGPopp, TPR=0.6",s_as_input=False,2,0.665046184,0.536819637,0.772321429,0.654570533,0.319151087,0.698121414,0.698121414,0.881968193,0.645408163,0.66966967,0.657538916,0.963770934,0.963770934,0.975738494,0.975738494,0.659701493,0.675034868,0.66736818,0.977285062,0.977285062,0.984666625,0.984666625,0.660666667,0.676840215,0.668753441,None,None,1,None,None,1,0.384057971,0.563204005,0.473630988,0.681916264,0.681916264,0.820853966,0.820853966,0.597560976,0.395017794,0.496289385,1.512744452,1.512744452,1.202543182,1.202543182,0.574047955,0.421052632,0.497550293,None,None,1,None,None,1,0.787401575,0.767898383,0.777649979,1.025398141,1.025398141,1.019503191,1.019503191,0.719298246,0.855504587,0.787401416,0.840788298,0.840788298,0.863793658,0.863793658,0.738305942,0.854103343,0.796204643,None,None,1,None,None,1,0.212598425,0.232101617,0.222350021,0.915971324,0.915971324,0.980496809,0.980496809,0.280701754,0.144495413,0.212598584,1.942634364,1.942634364,1.136206342,1.136206342,0.261694058,0.145896657,0.203795357,None,None,1,None,None,1,0.615942029,0.436795995,0.526369012,1.410136622,1.410136622,1.179146034,1.179146034,0.402439024,0.604982206,0.503710615,0.665208034,0.665208034,0.797456818,0.797456818,0.425952045,0.578947368,0.502449707,None,None,1,None,None,1,0.272959184,0.390990991,0.331975087,0.698121414,0.698121414,0.881968193,0.881968193,0.435820896,0.242677824,0.33924936,1.795882656,1.795882656,1.193143071,1.193143071,0.409333333,0.258527828,0.33393058,None,None,1,None,None,1,0.495327103,0.69124424,0.593285671,0.716573209,0.716573209,0.804082863,0.804082863,0.671232877,0.637931034,0.654581956,1.052202888,1.052202888,1.033301842,1.033301842,0.66286645,0.666666667,0.664766558,None,None,1,None,None,1,0.298245614,0.34418146,0.321213537,0.866535967,0.866535967,0.954064154,0.954064154,0.349206349,0.313075506,0.331140928,1.115406162,1.115406162,1.036130843,1.036130843,0.340857788,0.319612591,0.330235189,None,None,1,None,None,1
"FairGPopp, TPR=0.6",s_as_input=False,3,0.66164317,0.540021345,0.763392857,0.651707101,0.312152659,0.654921025,0.654921025,0.861553901,0.701530612,0.652252252,0.676891432,1.075551077,1.075551077,1.04927836,1.04927836,0.666423889,0.652046784,0.659235336,1.022049193,1.022049193,1.014377106,1.014377106,0.669491525,0.638623327,0.654057426,None,None,1,None,None,1,0.449275362,0.555694618,0.50248499,0.808493276,0.808493276,0.893580744,0.893580744,0.601796407,0.3866171,0.494206754,1.556569553,1.556569553,1.215179307,1.215179307,0.584144645,0.394495413,0.489320029,None,None,1,None,None,1,0.838582677,0.741339492,0.789961085,1.131172272,1.131172272,1.097243185,1.097243185,0.727659574,0.824096386,0.77587798,0.882978723,0.882978723,0.903563189,0.903563189,0.744785276,0.813114754,0.778950015,None,None,1,None,None,1,0.161417323,0.258660508,0.210038915,0.6240509,0.6240509,0.902756815,0.902756815,0.272340426,0.175903614,0.22412202,1.548236666,1.548236666,1.096436811,1.096436811,0.255214724,0.186885246,0.221049985,None,None,1,None,None,1,0.550724638,0.444305382,0.49751501,1.239518269,1.239518269,1.106419256,1.106419256,0.398203593,0.6133829,0.505793246,0.649192524,0.649192524,0.784820693,0.784820693,0.415855355,0.605504587,0.510679971,None,None,1,None,None,1,0.262755102,0.401201201,0.331978152,0.654921025,0.654921025,0.861553901,0.861553901,0.432629279,0.25877193,0.345700604,1.671855519,1.671855519,1.173857349,1.173857349,0.409387223,0.273422562,0.341404893,None,None,1,None,None,1,0.601941748,0.664670659,0.633306203,0.905624071,0.905624071,0.937271089,0.937271089,0.676767677,0.587570621,0.632169149,1.151806527,1.151806527,1.089197055,1.089197055,0.668789809,0.601398601,0.635094205,None,None,1,None,None,1,0.262975779,0.356068205,0.309521992,0.73855451,0.73855451,0.906907574,0.906907574,0.341463415,0.325443787,0.333453601,1.049223947,1.049223947,1.016019628,1.016019628,0.330022075,0.347368421,0.338695248,None,None,1,None,None,1
"FairGPopp, TPR=0.6",s_as_input=False,4,0.65969859,0.554962647,0.747321429,0.651142038,0.30859404,0.631952352,0.631952352,0.845486303,0.683673469,0.654054054,0.668863762,1.045285883,1.045285883,1.029619415,1.029619415,0.672527473,0.634393064,0.653460268,1.060111642,1.060111642,1.038134409,1.038134409,0.673656619,0.619585687,0.646621153,None,None,1,None,None,1,0.427536232,0.576971214,0.502253723,0.741000975,0.741000975,0.850565018,0.850565018,0.623853211,0.395759717,0.509806464,1.576343381,1.576343381,1.228093494,1.228093494,0.603375527,0.402654867,0.503015197,None,None,1,None,None,1,0.822834646,0.72517321,0.774003928,1.134673253,1.134673253,1.097661436,1.097661436,0.717299578,0.799511002,0.75840529,0.897172867,0.897172867,0.917788576,0.917788576,0.734969325,0.780327869,0.757648597,None,None,1,None,None,1,0.177165354,0.27482679,0.225996072,0.644643684,0.644643684,0.902338564,0.902338564,0.282700422,0.200488998,0.24159471,1.410054544,1.410054544,1.082211424,1.082211424,0.265030675,0.219672131,0.242351403,None,None,1,None,None,1,0.572463768,0.423028786,0.497746277,1.35325015,1.35325015,1.149434982,1.149434982,0.376146789,0.604240283,0.490193536,0.622511937,0.622511937,0.771906506,0.771906506,0.396624473,0.597345133,0.496984803,None,None,1,None,None,1,0.265306122,0.41981982,0.342562971,0.631952352,0.631952352,0.845486303,0.845486303,0.446153846,0.280346821,0.363250333,1.591435369,1.591435369,1.165807025,1.165807025,0.422673657,0.297551789,0.360112723,None,None,1,None,None,1,0.567307692,0.659513591,0.613410642,0.860191056,0.860191056,0.907794101,0.907794101,0.669950739,0.577319588,0.623635163,1.160450387,1.160450387,1.092631151,1.092631151,0.665116279,0.575949367,0.620532823,None,None,1,None,None,1,0.274305556,0.34989648,0.312101018,0.783962032,0.783962032,0.924409075,0.924409075,0.325396825,0.343373494,0.33438516,0.947646895,0.947646895,0.982023331,0.982023331,0.320090806,0.361930295,0.34101055,None,None,1,None,None,1
"FairGPopp, TPR=0.6",s_as_input=False,5,0.65969859,0.548559232,0.752678571,0.650618902,0.308377855,0.729931973,0.729931973,0.890512962,0.647959184,0.662462462,0.655210823,0.978107018,0.978107018,0.985496721,0.985496721,0.662912913,0.653793103,0.658353008,1.013949076,1.013949076,1.009119809,1.009119809,0.658940397,0.66179159,0.660365994,None,None,1,None,None,1,0.420289855,0.570713392,0.495501623,0.736428935,0.736428935,0.849576463,0.849576463,0.603395062,0.425605536,0.514500299,1.417733113,1.417733113,1.177789525,1.177789525,0.578651685,0.453333333,0.515992509,None,None,1,None,None,1,0.771653543,0.747113164,0.759383354,1.032846937,1.032846937,1.024540379,1.024540379,0.719298246,0.805045872,0.762172059,0.893487279,0.893487279,0.914252374,0.914252374,0.730576441,0.807453416,0.769014929,None,None,1,None,None,1,0.228346457,0.252886836,0.240616646,0.902959048,0.902959048,0.975459621,0.975459621,0.280701754,0.194954128,0.237827941,1.439834881,1.439834881,1.085747626,1.085747626,0.269423559,0.192546584,0.230985071,None,None,1,None,None,1,0.579710145,0.429286608,0.504498377,1.350403515,1.350403515,1.150423537,1.150423537,0.396604938,0.574394464,0.485499701,0.690474862,0.690474862,0.822210475,0.822210475,0.421348315,0.546666667,0.484007491,None,None,1,None,None,1,0.295918367,0.405405405,0.350661886,0.729931973,0.729931973,0.890512962,0.890512962,0.437687688,0.286896552,0.36229212,1.525594104,1.525594104,1.150791136,1.150791136,0.415231788,0.299817185,0.357524486,None,None,1,None,None,1,0.5,0.675555556,0.587777778,0.740131579,0.740131579,0.824444444,0.824444444,0.670668954,0.591346154,0.631007554,1.134139369,1.134139369,1.0793228,1.0793228,0.657097289,0.62195122,0.639524254,None,None,1,None,None,1,0.289855072,0.346464646,0.318159859,0.836607935,0.836607935,0.943390426,0.943390426,0.343124166,0.321083172,0.332103669,1.068645745,1.068645745,1.022040993,1.022040993,0.339750849,0.321148825,0.330449837,None,None,1,None,None,1
"FairGPopp, TPR=0.6",s_as_input=False,6,0.675741371,0.567769477,0.766071429,0.666920453,0.341512363,0.626069069,0.626069069,0.844588466,0.668367347,0.677477477,0.672922412,0.986552866,0.986552866,0.990889869,0.990889869,0.69070632,0.64747191,0.669089115,1.066774186,1.066774186,1.04323441,1.04323441,0.686248331,0.647584973,0.666916652,None,None,1,None,None,1,0.398550725,0.596996245,0.497773485,0.667593352,0.667593352,0.801554479,0.801554479,0.640718563,0.3866171,0.513667832,1.657243206,1.657243206,1.254101463,1.254101463,0.614325069,0.407582938,0.510954004,None,None,1,None,None,1,0.81496063,0.751732102,0.783346366,1.084110454,1.084110454,1.063228528,1.063228528,0.740029542,0.805869074,0.772949308,0.918299964,0.918299964,0.934160468,0.934160468,0.75388601,0.793103448,0.773494729,None,None,1,None,None,1,0.18503937,0.248267898,0.216653634,0.74532137,0.74532137,0.936771472,0.936771472,0.259970458,0.194130926,0.227050692,1.339150149,1.339150149,1.065839532,1.065839532,0.24611399,0.206896552,0.226505271,None,None,1,None,None,1,0.601449275,0.403003755,0.502226515,1.492416059,1.492416059,1.198445521,1.198445521,0.359281437,0.6133829,0.486332168,0.585737616,0.585737616,0.745898537,0.745898537,0.385674931,0.592417062,0.489045996,None,None,1,None,None,1,0.260204082,0.415615616,0.337909849,0.626069069,0.626069069,0.844588466,0.844588466,0.449070632,0.266853933,0.357962282,1.682833105,1.682833105,1.182216699,1.182216699,0.424566088,0.282647585,0.353606837,None,None,1,None,None,1,0.539215686,0.689306358,0.614261022,0.782258396,0.782258396,0.849909328,0.849909328,0.708609272,0.547368421,0.627988846,1.294574631,1.294574631,1.16124085,1.16124085,0.701257862,0.544303797,0.62278083,None,None,1,None,None,1,0.286206897,0.330935252,0.308571074,0.864842579,0.864842579,0.955271645,0.955271645,0.32388664,0.316091954,0.319989297,1.024659551,1.024659551,1.007794686,1.007794686,0.324825986,0.311720698,0.318273342,None,None,1,None,None,1
"FairGPopp, TPR=0.6",s_as_input=False,7,0.666990763,0.541088581,0.772321429,0.656705005,0.323205914,0.663865319,0.663865319,0.866959306,0.665816327,0.667267267,0.666541797,0.997825548,0.997825548,0.998549059,0.998549059,0.683741648,0.635211268,0.659476458,1.076400377,1.076400377,1.048530381,1.048530381,0.677461996,0.637867647,0.657664822,None,None,1,None,None,1,0.398550725,0.565707134,0.482128929,0.704517763,0.704517763,0.832843591,0.832843591,0.628398792,0.330909091,0.479653941,1.899007337,1.899007337,1.297489701,1.297489701,0.596685083,0.352112676,0.474398879,None,None,1,None,None,1,0.811023622,0.760969977,0.785996799,1.06577611,1.06577611,1.050053645,1.050053645,0.737226277,0.827586207,0.782406242,0.890815085,0.890815085,0.90964007,0.90964007,0.751584284,0.821752266,0.786668275,None,None,1,None,None,1,0.188976378,0.239030023,0.214003201,0.790596828,0.790596828,0.949946355,0.949946355,0.262773723,0.172413793,0.217593758,1.524087591,1.524087591,1.09035993,1.09035993,0.248415716,0.178247734,0.213331725,None,None,1,None,None,1,0.601449275,0.434292866,0.517871071,1.384893288,1.384893288,1.167156409,1.167156409,0.371601208,0.669090909,0.520346059,0.555382241,0.555382241,0.702510299,0.702510299,0.403314917,0.647887324,0.525601121,None,None,1,None,None,1,0.262755102,0.395795796,0.329275449,0.663865319,0.663865319,0.866959306,0.866959306,0.442464736,0.233802817,0.338133777,1.892469656,1.892469656,1.20866192,1.20866192,0.415069399,0.246323529,0.330696464,None,None,1,None,None,1,0.533980583,0.685887709,0.609934146,0.778524787,0.778524787,0.848092874,0.848092874,0.697986577,0.548192771,0.623089674,1.27325024,1.27325024,1.149793806,1.149793806,0.687898089,0.559701493,0.623799791,None,None,1,None,None,1,0.287197232,0.344930417,0.316063825,0.832623675,0.832623675,0.942266814,0.942266814,0.327563249,0.338235294,0.332899272,0.968447867,0.968447867,0.989327955,0.989327955,0.329943503,0.336585366,0.333264434,None,None,1,None,None,1
"FairGPopp, TPR=0.6",s_as_input=False,8,0.657754011,0.540021345,0.75625,0.648135672,0.304182552,0.720663265,0.720663265,0.888265306,0.691326531,0.64984985,0.67058819,1.063825022,1.063825022,1.041476681,1.041476681,0.658015267,0.65729585,0.657655559,1.00109451,1.00109451,1.000719417,1.000719417,0.664204164,0.64084507,0.652524617,None,None,1,None,None,1,0.471014493,0.551939925,0.511477209,0.853379999,0.853379999,0.919074568,0.919074568,0.5975039,0.415540541,0.50652222,1.437895565,1.437895565,1.18196336,1.18196336,0.580508475,0.414847162,0.497677818,None,None,1,None,None,1,0.811023622,0.740184758,0.77560419,1.095704301,1.095704301,1.070838865,1.070838865,0.715994021,0.815964523,0.765979272,0.877481803,0.877481803,0.900029498,0.900029498,0.740076825,0.793510324,0.766793575,None,None,1,None,None,1,0.188976378,0.259815242,0.22439581,0.727349081,0.727349081,0.929161135,0.929161135,0.284005979,0.184035477,0.234020728,1.543213212,1.543213212,1.099970502,1.099970502,0.259923175,0.206489676,0.233206425,None,None,1,None,None,1,0.528985507,0.448060075,0.488522791,1.180612906,1.180612906,1.080925432,1.080925432,0.4024961,0.584459459,0.49347778,0.688663847,0.688663847,0.81803664,0.81803664,0.419491525,0.585152838,0.502322182,None,None,1,None,None,1,0.288265306,0.4,0.344132653,0.720663265,0.720663265,0.888265306,0.888265306,0.43740458,0.275769746,0.356587163,1.586122434,1.586122434,1.161634835,1.161634835,0.412357287,0.290492958,0.351425122,None,None,1,None,None,1,0.575221239,0.662162162,0.618691701,0.868701463,0.868701463,0.913059077,0.913059077,0.668411867,0.597087379,0.632749623,1.119454022,1.119454022,1.071324489,1.071324489,0.669381107,0.575757576,0.622569342,None,None,1,None,None,1,0.261648746,0.358358358,0.310003552,0.730131555,0.730131555,0.903290387,0.903290387,0.350067843,0.319778189,0.334923016,1.094720826,1.094720826,1.030289654,1.030289654,0.339428571,0.332506203,0.335967387,None,None,1,None,None,1
"FairGPopp, TPR=0.6",s_as_input=False,9,0.663101604,0.524012807,0.779464286,0.651738546,0.315104164,0.759926974,0.759926974,0.90973831,0.683673469,0.658258258,0.670965864,1.038609787,1.038609787,1.025415211,1.025415211,0.662309368,0.664705882,0.663507625,0.996394625,0.996394625,0.997603486,0.997603486,0.665152498,0.656976744,0.661064621,None,None,1,None,None,1,0.456521739,0.535669587,0.496095663,0.852245022,0.852245022,0.920852152,0.920852152,0.586666667,0.36259542,0.474631043,1.617964912,1.617964912,1.224071247,1.224071247,0.567715458,0.368932039,0.468323749,None,None,1,None,None,1,0.807086614,0.771362587,0.7892246,1.046312886,1.046312886,1.035724028,1.035724028,0.735042735,0.854066986,0.79455486,0.860638272,0.860638272,0.880975749,0.880975749,0.75308642,0.848387097,0.800736758,None,None,1,None,None,1,0.192913386,0.228637413,0.2107754,0.843752485,0.843752485,0.964275972,0.964275972,0.264957265,0.145933014,0.20544514,1.815608799,1.815608799,1.119024251,1.119024251,0.24691358,0.151612903,0.199263242,None,None,1,None,None,1,0.543478261,0.464330413,0.503904337,1.170455877,1.170455877,1.079147848,1.079147848,0.413333333,0.63740458,0.525368957,0.648463074,0.648463074,0.775928753,0.775928753,0.432284542,0.631067961,0.531676251,None,None,1,None,None,1,0.285714286,0.375975976,0.330845131,0.759926974,0.759926974,0.90973831,0.90973831,0.422657952,0.229411765,0.326034858,1.842355176,1.842355176,1.193246187,1.193246187,0.399091499,0.238372093,0.318731796,None,None,1,None,None,1,0.5625,0.68370607,0.623103035,0.822721963,0.822721963,0.87879393,0.87879393,0.680412371,0.608974359,0.644693365,1.117308736,1.117308736,1.071438012,1.071438012,0.674796748,0.617886179,0.646341463,None,None,1,None,None,1,0.267857143,0.35707411,0.312465626,0.750144397,0.750144397,0.910783033,0.910783033,0.350943396,0.31870229,0.334822843,1.10116371,1.10116371,1.032241106,1.032241106,0.3412527,0.330788804,0.336020752,None,None,1,None,None,1
