algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
GaussianNB,,0,0.82347091,0.75709149,0.845471398,0.801281444,0.566147297,0.614662732,0.614662732,0.875952155,0.875177305,0.815037594,0.845107449,1.073787653,1.073787653,1.060139711,1.060139711,0.912769784,0.7791338,0.845951792,1.171518659,1.171518659,1.133635985,1.133635985,0.897286822,0.772060064,0.834673443,None,None,1,None,None,1,0.730941704,0.759649123,0.745295413,0.962209633,0.962209633,0.971292581,0.971292581,0.637096774,0.77803848,0.707567627,0.818849955,0.818849955,0.859058295,0.859058295,0.68190128,0.778118609,0.730009945,None,None,1,None,None,1,0.902274642,0.83487824,0.868576441,1.080726025,1.080726025,1.067396402,1.067396402,0.947368421,0.779642546,0.863505483,1.215131763,1.215131763,1.167725875,1.167725875,0.930187099,0.7690758,0.849631449,None,None,1,None,None,1,0.097725358,0.16512176,0.131423559,0.591838158,0.591838158,0.932603598,0.932603598,0.052631579,0.220357454,0.136494517,0.238846374,0.238846374,0.832274125,0.832274125,0.069812901,0.2309242,0.150368551,None,None,1,None,None,1,0.269058296,0.240350877,0.254704587,1.119439626,1.119439626,1.028707419,1.028707419,0.362903226,0.22196152,0.292432373,1.634982609,1.634982609,1.140941705,1.140941705,0.31809872,0.221881391,0.269990055,None,None,1,None,None,1,0.19787234,0.321920185,0.259896263,0.614662732,0.614662732,0.875952155,0.875952155,0.117805755,0.397231731,0.257518743,0.29656683,0.29656683,0.720574024,0.720574024,0.150920543,0.411506664,0.281213604,None,None,1,None,None,1,0.584229391,0.622349982,0.603289686,0.938747341,0.938747341,0.961879409,0.961879409,0.603053435,0.621206444,0.61212994,0.970777816,0.970777816,0.981846991,0.981846991,0.598715891,0.62402624,0.611371066,None,None,1,None,None,1,0.053050398,0.093483453,0.073266925,0.567484366,0.567484366,0.959566945,0.959566945,0.04587156,0.116790123,0.081330842,0.392769168,0.392769168,0.929081436,0.929081436,0.049643367,0.124426606,0.087034986,None,None,1,None,None,1
GaussianNB,,1,0.823968175,0.724330803,0.856991525,0.790661164,0.555248053,0.577409309,0.577409309,0.870754218,0.878014184,0.815153268,0.846583726,1.077115457,1.077115457,1.062860917,1.062860917,0.909751666,0.782022805,0.845887235,1.163331376,1.163331376,1.127728861,1.127728861,0.897152676,0.77411804,0.835635358,None,None,1,None,None,1,0.67264574,0.729385965,0.701015852,0.92220823,0.92220823,0.943259775,0.943259775,0.588732394,0.746741155,0.667736774,0.788402234,0.788402234,0.84199124,0.84199124,0.632958801,0.749111224,0.691035013,None,None,1,None,None,1,0.916596462,0.845875884,0.881236173,1.08360633,1.08360633,1.070720578,1.070720578,0.948422124,0.798479913,0.873451019,1.187784575,1.187784575,1.149942211,1.149942211,0.93700565,0.786390828,0.861698239,None,None,1,None,None,1,0.083403538,0.154124116,0.118763827,0.541145282,0.541145282,0.929279422,0.929279422,0.051577876,0.201520087,0.126548981,0.255944093,0.255944093,0.850057789,0.850057789,0.06299435,0.213609172,0.138301761,None,None,1,None,None,1,0.32735426,0.270614035,0.298984148,1.209672144,1.209672144,1.056740225,1.056740225,0.411267606,0.253258845,0.332263226,1.623902237,1.623902237,1.15800876,1.15800876,0.367041199,0.250888776,0.308964987,None,None,1,None,None,1,0.176595745,0.305841527,0.241218636,0.577409309,0.577409309,0.870754218,0.870754218,0.10932768,0.374944469,0.242136075,0.291583659,0.291583659,0.734383211,0.734383211,0.137702504,0.389901354,0.263801929,None,None,1,None,None,1,0.602409639,0.628971256,0.615690447,0.957769744,0.957769744,0.973438383,0.973438383,0.578947368,0.633491311,0.60621934,0.913899462,0.913899462,0.945456057,0.945456057,0.602495544,0.632504288,0.617499916,None,None,1,None,None,1,0.06287683,0.102816197,0.082846514,0.611545962,0.611545962,0.960060633,0.960060633,0.049642979,0.128879412,0.089261196,0.385189361,0.385189361,0.920763566,0.920763566,0.05579277,0.135379556,0.095586163,None,None,1,None,None,1
GaussianNB,,2,0.815415216,0.764282861,0.832362288,0.798322574,0.554835616,0.627151759,0.627151759,0.875616619,0.872340426,0.806130711,0.839235568,1.082132728,1.082132728,1.066209714,1.066209714,0.908722741,0.771658145,0.840190443,1.177623469,1.177623469,1.137064597,1.137064597,0.89407944,0.763384005,0.828731723,None,None,1,None,None,1,0.757847534,0.764912281,0.761379907,0.990763977,0.990763977,0.992935253,0.992935253,0.676549865,0.779549719,0.728049792,0.867872631,0.867872631,0.897000147,0.897000147,0.713768116,0.77857509,0.746171603,None,None,1,None,None,1,0.893850042,0.820895522,0.857372782,1.08887187,1.08887187,1.07295452,1.07295452,0.93906305,0.768088266,0.853575658,1.222597833,1.222597833,1.170974784,1.170974784,0.922920892,0.756157035,0.839538964,None,None,1,None,None,1,0.106149958,0.179104478,0.142627218,0.592670598,0.592670598,0.92704548,0.92704548,0.06093695,0.231911734,0.146424342,0.262759235,0.262759235,0.829025216,0.829025216,0.077079108,0.243842965,0.160461036,None,None,1,None,None,1,0.242152466,0.235087719,0.238620093,1.030051536,1.030051536,1.007064747,1.007064747,0.323450135,0.220450281,0.271950208,1.467224867,1.467224867,1.102999853,1.102999853,0.286231884,0.22142491,0.253828397,None,None,1,None,None,1,0.209219858,0.333603239,0.271411549,0.627151759,0.627151759,0.875616619,0.875616619,0.132087227,0.402483565,0.267285396,0.328180425,0.328180425,0.729603663,0.729603663,0.164876343,0.416226041,0.290551192,None,None,1,None,None,1,0.572881356,0.604715673,0.588798514,0.947356554,0.947356554,0.968165683,0.968165683,0.591981132,0.603266788,0.59762396,0.98129243,0.98129243,0.988714344,0.988714344,0.596969697,0.60301707,0.599993384,None,None,1,None,None,1,0.048430493,0.093039403,0.070734948,0.520537447,0.520537447,0.95539109,0.95539109,0.043072505,0.114914425,0.078993465,0.37482244,0.37482244,0.92815808,0.92815808,0.047262937,0.122275686,0.084769312,None,None,1,None,None,1
GaussianNB,,3,0.819194431,0.760687175,0.838585805,0.79963649,0.559977843,0.618091231,0.618091231,0.874670309,0.871631206,0.81064199,0.841136598,1.075235698,1.075235698,1.060989216,1.060989216,0.899065984,0.779839667,0.839452826,1.152885678,1.152885678,1.119226316,1.119226316,0.885805501,0.773859268,0.829832384,None,None,1,None,None,1,0.735426009,0.763157895,0.749291952,0.963661667,0.963661667,0.972268114,0.972268114,0.610079576,0.787394167,0.698736872,0.77480835,0.77480835,0.822685408,0.822685408,0.669708029,0.786189258,0.727948644,None,None,1,None,None,1,0.897219882,0.827651218,0.86243555,1.084055533,1.084055533,1.069568664,1.069568664,0.936097893,0.776355748,0.85622682,1.205758951,1.205758951,1.159742144,1.159742144,0.919409762,0.767874876,0.843642319,None,None,1,None,None,1,0.102780118,0.172348782,0.13756445,0.596349545,0.596349545,0.930431336,0.930431336,0.063902107,0.223644252,0.14377318,0.285731053,0.285731053,0.840257856,0.840257856,0.080590238,0.232125124,0.156357681,None,None,1,None,None,1,0.264573991,0.236842105,0.250708048,1.117090184,1.117090184,1.027731886,1.027731886,0.389920424,0.212605833,0.301263128,1.834006244,1.834006244,1.177314592,1.177314592,0.330291971,0.213810742,0.272051356,None,None,1,None,None,1,0.202836879,0.32816657,0.265501725,0.618091231,0.618091231,0.874670309,0.874670309,0.125941549,0.401573634,0.263757591,0.313620064,0.313620064,0.724367914,0.724367914,0.159872299,0.41317065,0.286521474,None,None,1,None,None,1,0.573426573,0.613323934,0.593375254,0.934948959,0.934948959,0.96010264,0.96010264,0.550239234,0.618853974,0.584546604,0.889126123,0.889126123,0.93138526,0.93138526,0.56374808,0.621763754,0.592755917,None,None,1,None,None,1,0.052491103,0.092975207,0.072733155,0.564570977,0.564570977,0.959515897,0.959515897,0.050672182,0.112130985,0.081401583,0.451901694,0.451901694,0.938541197,0.938541197,0.052908506,0.1190544,0.085981453,None,None,1,None,None,1
GaussianNB,,4,0.822178021,0.764282861,0.841366525,0.802824693,0.566536422,0.573251567,0.573251567,0.859560522,0.871631206,0.814112204,0.842871705,1.070652426,1.070652426,1.057519002,1.057519002,0.904978749,0.781837006,0.843407878,1.157503088,1.157503088,1.123141743,1.123141743,0.890090976,0.776052104,0.83307154,None,None,1,None,None,1,0.69058296,0.771491228,0.731037094,0.895127429,0.895127429,0.919091732,0.919091732,0.655696203,0.784629981,0.720163092,0.835675692,0.835675692,0.871066222,0.871066222,0.679646018,0.788957688,0.734301853,None,None,1,None,None,1,0.905644482,0.829379419,0.86751195,1.091954372,1.091954372,1.076265063,1.076265063,0.938944464,0.780571674,0.859758069,1.202893334,1.202893334,1.158372789,1.158372789,0.924043404,0.769876543,0.846959973,None,None,1,None,None,1,0.094355518,0.170620581,0.13248805,0.553013695,0.553013695,0.923734937,0.923734937,0.061055536,0.219428326,0.140241931,0.278248199,0.278248199,0.841627211,0.841627211,0.075956596,0.230123457,0.153040027,None,None,1,None,None,1,0.30941704,0.228508772,0.268962906,1.354070733,1.354070733,1.080908268,1.080908268,0.344303797,0.215370019,0.279836908,1.598661685,1.598661685,1.128933778,1.128933778,0.320353982,0.211042312,0.265698147,None,None,1,None,None,1,0.188652482,0.329091961,0.258872221,0.573251567,0.573251567,0.859560522,0.859560522,0.13236187,0.395651531,0.2640067,0.334541534,0.334541534,0.736710339,0.736710339,0.159822965,0.410988644,0.285405805,None,None,1,None,None,1,0.578947368,0.61827768,0.598612524,0.936387301,0.936387301,0.960669688,0.960669688,0.594036697,0.618317757,0.606177227,0.960730451,0.960730451,0.97571894,0.97571894,0.590769231,0.621292158,0.606030694,None,None,1,None,None,1,0.060314685,0.089827586,0.075071136,0.671449472,0.671449472,0.970487099,0.970487099,0.047585724,0.111111111,0.079348418,0.428271519,0.428271519,0.936474613,0.936474613,0.052970442,0.115962574,0.084466508,None,None,1,None,None,1
GaussianNB,,5,0.824266534,0.751098682,0.848516949,0.799807815,0.56537281,0.623171724,0.623171724,0.88034776,0.873758865,0.816194332,0.844976599,1.070527975,1.070527975,1.057564533,1.057564533,0.909422492,0.782852919,0.846137706,1.161677334,1.161677334,1.126569573,1.126569573,0.894801675,0.776517678,0.835659677,None,None,1,None,None,1,0.726457399,0.753508772,0.739983086,0.964099459,0.964099459,0.972948627,0.972948627,0.620689655,0.774223895,0.697456775,0.801692714,0.801692714,0.846465761,0.846465761,0.675136116,0.772540984,0.72383855,None,None,1,None,None,1,0.901432182,0.838648861,0.870040521,1.074862465,1.074862465,1.062783321,1.062783321,0.946790251,0.786807502,0.866798876,1.203331499,1.203331499,1.159982749,1.159982749,0.929304447,0.778437191,0.853870819,None,None,1,None,None,1,0.098567818,0.161351139,0.129959479,0.610890128,0.610890128,0.937216679,0.937216679,0.053209749,0.213192498,0.133201124,0.249585468,0.249585468,0.840017251,0.840017251,0.070695553,0.221562809,0.146129181,None,None,1,None,None,1,0.273542601,0.246491228,0.260016914,1.109745783,1.109745783,1.027051373,1.027051373,0.379310345,0.225776105,0.302543225,1.680028736,1.680028736,1.153534239,1.153534239,0.324863884,0.227459016,0.27616145,None,None,1,None,None,1,0.19787234,0.317524581,0.257698461,0.623171724,0.623171724,0.88034776,0.88034776,0.118237082,0.389504804,0.253870943,0.303557442,0.303557442,0.728732278,0.728732278,0.152746982,0.400933956,0.276840469,None,None,1,None,None,1,0.580645161,0.625865209,0.603255185,0.927747944,0.927747944,0.954779952,0.954779952,0.601542416,0.624667932,0.613105174,0.962979506,0.962979506,0.976874485,0.976874485,0.6,0.627287854,0.613643927,None,None,1,None,None,1,0.053934571,0.095254237,0.074594404,0.566217028,0.566217028,0.958680334,0.958680334,0.049293347,0.11622276,0.082758054,0.424128174,0.424128174,0.933070587,0.933070587,0.052050015,0.123608018,0.087829016,None,None,1,None,None,1
GaussianNB,,6,0.822973645,0.731122653,0.853416314,0.792269483,0.555832476,0.587955171,0.587955171,0.87226372,0.882269504,0.813302487,0.847785995,1.084798728,1.084798728,1.068967017,1.068967017,0.907100407,0.783756197,0.845428302,1.157375737,1.157375737,1.123344209,1.123344209,0.897069872,0.774166942,0.835618407,None,None,1,None,None,1,0.704035874,0.73377193,0.718903902,0.959475071,0.959475071,0.970263945,0.970263945,0.614958449,0.75070028,0.682829364,0.819179725,0.819179725,0.864258169,0.864258169,0.659259259,0.750891493,0.705075376,None,None,1,None,None,1,0.915754002,0.841791045,0.878772523,1.087863796,1.087863796,1.073962957,1.073962957,0.944287729,0.798770144,0.871528937,1.182177046,1.182177046,1.145517585,1.145517585,0.934260064,0.785313491,0.859786777,None,None,1,None,None,1,0.084245998,0.158208955,0.121227477,0.532498291,0.532498291,0.926037043,0.926037043,0.055712271,0.201229856,0.128471063,0.276858872,0.276858872,0.854482415,0.854482415,0.065739936,0.214686509,0.140213223,None,None,1,None,None,1,0.295964126,0.26622807,0.281096098,1.111693915,1.111693915,1.029736055,1.029736055,0.385041551,0.24929972,0.317170636,1.544492515,1.544492515,1.135741831,1.135741831,0.340740741,0.249108507,0.294924624,None,None,1,None,None,1,0.182269504,0.310005784,0.246137644,0.587955171,0.587955171,0.87226372,0.87226372,0.118861433,0.372849227,0.24585533,0.318792219,0.318792219,0.746012205,0.746012205,0.14600551,0.388320686,0.267163098,None,None,1,None,None,1,0.610894942,0.624253731,0.617574336,0.978600385,0.978600385,0.98664121,0.98664121,0.584210526,0.628861948,0.606536237,0.928996465,0.928996465,0.955348579,0.955348579,0.610634648,0.626168224,0.618401436,None,None,1,None,None,1,0.057241977,0.101760268,0.079501123,0.56251795,0.56251795,0.955481709,0.955481709,0.049343273,0.124157173,0.086750223,0.397425875,0.397425875,0.9251861,0.9251861,0.053958944,0.131877023,0.092917983,None,None,1,None,None,1
GaussianNB,,7,0.822078568,0.757890531,0.843352754,0.800621643,0.563980633,0.562914665,0.562914665,0.857372154,0.880851064,0.81249277,0.846671917,1.084134033,1.084134033,1.068358293,1.068358293,0.909713574,0.78094403,0.845328802,1.164889593,1.164889593,1.128769544,1.128769544,0.897128589,0.772396694,0.834762642,None,None,1,None,None,1,0.704035874,0.763157895,0.733596885,0.922529767,0.922529767,0.94087798,0.94087798,0.636125654,0.779820839,0.707973247,0.815733079,0.815733079,0.856304815,0.856304815,0.681654676,0.779661017,0.730657847,None,None,1,None,None,1,0.914069082,0.830164965,0.872117023,1.10106921,1.10106921,1.083904117,1.083904117,0.94664311,0.781448539,0.864045824,1.211395329,1.211395329,1.165194571,1.165194571,0.931864308,0.768949549,0.850406929,None,None,1,None,None,1,0.085930918,0.169835035,0.127882977,0.50596697,0.50596697,0.916095883,0.916095883,0.05335689,0.218551461,0.135954176,0.244138795,0.244138795,0.834805429,0.834805429,0.068135692,0.231050451,0.149593071,None,None,1,None,None,1,0.295964126,0.236842105,0.266403115,1.249626308,1.249626308,1.05912202,1.05912202,0.363874346,0.220179161,0.292026753,1.652628452,1.652628452,1.143695185,1.143695185,0.318345324,0.220338983,0.269342153,None,None,1,None,None,1,0.183687943,0.326315789,0.255001866,0.562914665,0.562914665,0.857372154,0.857372154,0.122665006,0.392517902,0.257591454,0.312508056,0.312508056,0.730147105,0.730147105,0.153308365,0.407603306,0.280455835,None,None,1,None,None,1,0.606177606,0.616802552,0.611490079,0.982774153,0.982774153,0.989375054,0.989375054,0.616751269,0.615785555,0.616268412,1.001568264,1.001568264,1.000965714,1.000965714,0.617263844,0.615571776,0.61641781,None,None,1,None,None,1,0.057341442,0.09271978,0.075030611,0.618438073,0.618438073,0.964621662,0.964621662,0.049325763,0.11234063,0.080833197,0.439073226,0.439073226,0.936985133,0.936985133,0.052196992,0.119698661,0.085947826,None,None,1,None,None,1
GaussianNB,,8,0.822376927,0.719137036,0.85659428,0.787865658,0.550476529,0.597483309,0.597483309,0.877685211,0.880141844,0.812955466,0.846548655,1.082644599,1.082644599,1.067186378,1.067186378,0.909202832,0.780928592,0.845065712,1.164258602,1.164258602,1.128274239,1.128274239,0.897365805,0.772342895,0.83485435,None,None,1,None,None,1,0.695067265,0.721491228,0.708279246,0.963375905,0.963375905,0.973576037,0.973576037,0.603448276,0.737819026,0.670633651,0.817881154,0.817881154,0.86562925,0.86562925,0.646502836,0.738601824,0.69255233,None,None,1,None,None,1,0.914911542,0.845718775,0.880315158,1.081815338,1.081815338,1.069192767,1.069192767,0.945880731,0.800903032,0.873391881,1.181017793,1.181017793,1.144977699,1.144977699,0.935336195,0.788760168,0.862048181,None,None,1,None,None,1,0.085088458,0.154281225,0.119684842,0.551515313,0.551515313,0.930807233,0.930807233,0.054119269,0.199096968,0.126608119,0.271823673,0.271823673,0.855022301,0.855022301,0.064663805,0.211239832,0.137951819,None,None,1,None,None,1,0.304932735,0.278508772,0.291720754,1.094876593,1.094876593,1.026423964,1.026423964,0.396551724,0.262180974,0.329366349,1.512511443,1.512511443,1.13437075,1.13437075,0.353497164,0.261398176,0.30744767,None,None,1,None,None,1,0.181560284,0.303875072,0.242717678,0.597483309,0.597483309,0.877685211,0.877685211,0.112957833,0.369673817,0.241315825,0.305560816,0.305560816,0.743284016,0.743284016,0.141153082,0.383850108,0.262501595,None,None,1,None,None,1,0.60546875,0.62618957,0.61582916,0.966909669,0.966909669,0.97927918,0.97927918,0.572207084,0.631955485,0.602081285,0.905454732,0.905454732,0.9402516,0.9402516,0.602112676,0.629805616,0.615959146,None,None,1,None,None,1,0.058925477,0.105516783,0.08222113,0.558446485,0.558446485,0.953408694,0.953408694,0.047883414,0.131701632,0.089792523,0.363574951,0.363574951,0.916181783,0.916181783,0.054108796,0.138858988,0.096483892,None,None,1,None,None,1
GaussianNB,,9,0.819393337,0.743907311,0.844412076,0.794159694,0.554045584,0.620234367,0.620234367,0.878844,0.873758865,0.810526316,0.842142591,1.078014184,1.078014184,1.063232549,1.063232549,0.911023383,0.774770778,0.84289708,1.175861828,1.175861828,1.136252605,1.136252605,0.894878706,0.767827251,0.831352979,None,None,1,None,None,1,0.726457399,0.745614035,0.736035717,0.974307571,0.974307571,0.980843364,0.980843364,0.652284264,0.761024182,0.706654223,0.857113715,0.857113715,0.891260082,0.891260082,0.687719298,0.760475944,0.724097621,None,None,1,None,None,1,0.901432182,0.833778476,0.867605329,1.081141104,1.081141104,1.067653706,1.067653706,0.946188341,0.781001504,0.863594923,1.211506425,1.211506425,1.165186836,1.165186836,0.928510396,0.771343727,0.849927061,None,None,1,None,None,1,0.098567818,0.166221524,0.132394671,0.592990701,0.592990701,0.932346294,0.932346294,0.053811659,0.218998496,0.136405077,0.245717027,0.245717027,0.834813164,0.834813164,0.071489604,0.228656273,0.150072939,None,None,1,None,None,1,0.273542601,0.254385965,0.263964283,1.075305397,1.075305397,1.019156636,1.019156636,0.347715736,0.238975818,0.293345777,1.455024776,1.455024776,1.108739918,1.108739918,0.312280702,0.239524056,0.275902379,None,None,1,None,None,1,0.19787234,0.31902834,0.25845034,0.620234367,0.620234367,0.878844,0.878844,0.125417552,0.388050873,0.256734212,0.323198738,0.323198738,0.73736668,0.73736668,0.157559422,0.400736525,0.279147973,None,None,1,None,None,1,0.580645161,0.616388687,0.598516924,0.942011385,0.942011385,0.964256474,0.964256474,0.622276029,0.611661585,0.616968807,1.017353458,1.017353458,1.010614444,1.010614444,0.609642302,0.614035088,0.611838695,None,None,1,None,None,1,0.053934571,0.098522167,0.076228369,0.547435897,0.547435897,0.955412404,0.955412404,0.047569444,0.12179797,0.084683707,0.39056024,0.39056024,0.925771474,0.925771474,0.051774287,0.129329609,0.090551948,None,None,1,None,None,1
