algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
FairGPparity*,s_as_input=True,0,0.829139731,0.500599281,0.938029661,0.719314471,0.503548743,0.689612015,0.689612015,0.944456887,0.873049645,0.821978022,0.847513834,1.06213259,1.06213259,1.051071623,1.051071623,0.912769784,0.787617205,0.850193495,1.158900261,1.158900261,1.125152579,1.125152579,0.895833333,0.782689388,0.83926136,None,None,1,None,None,1,0.488789238,0.501754386,0.495271812,0.974160369,0.974160369,0.987034852,0.987034852,0.357526882,0.525574847,0.441550865,0.680258737,0.680258737,0.831952034,0.831952034,0.414990859,0.524539877,0.469765368,None,None,1,None,None,1,0.945240101,0.936684996,0.940962549,1.009133385,1.009133385,1.008555105,1.008555105,0.98245614,0.909328684,0.945892412,1.080419169,1.080419169,1.073127457,1.073127457,0.969282323,0.909846386,0.939564355,None,None,1,None,None,1,0.054759899,0.063315004,0.059037451,0.864880289,0.864880289,0.991444895,0.991444895,0.01754386,0.090671316,0.054107588,0.193488529,0.193488529,0.926872543,0.926872543,0.030717677,0.090153614,0.060435645,None,None,1,None,None,1,0.511210762,0.498245614,0.504728188,1.0260216,1.0260216,1.012965148,1.012965148,0.642473118,0.474425153,0.558449135,1.354213863,1.354213863,1.168047966,1.168047966,0.585009141,0.475460123,0.530234632,None,None,1,None,None,1,0.123404255,0.178947368,0.151175812,0.689612015,0.689612015,0.944456887,0.944456887,0.055455635,0.228605447,0.142030541,0.242582301,0.242582301,0.826850188,0.826850188,0.081637597,0.233507677,0.157572637,None,None,1,None,None,1,0.626436782,0.739495798,0.68296629,0.847113375,0.847113375,0.886940983,0.886940983,0.718918919,0.729166667,0.724042793,0.985945946,0.985945946,0.989752252,0.989752252,0.673590504,0.74132948,0.707459992,None,None,1,None,None,1,0.09223301,0.160045083,0.126139046,0.576293929,0.576293929,0.932187927,0.932187927,0.075848937,0.195060776,0.135454856,0.388847715,0.388847715,0.880788161,0.880788161,0.084410446,0.204710544,0.144560495,None,None,1,None,None,1
FairGPparity*,s_as_input=True,1,0.829438091,0.493807431,0.940677966,0.717242699,0.503126144,0.711041082,0.711041082,0.949561711,0.886524823,0.820127241,0.853326032,1.080960098,1.080960098,1.066397582,1.066397582,0.91308298,0.788538427,0.850810704,1.157943543,1.157943543,1.124544553,1.124544553,0.899607266,0.781641866,0.840624566,None,None,1,None,None,1,0.533632287,0.489912281,0.511772284,1.089240478,1.089240478,1.043720006,1.043720006,0.321126761,0.522346369,0.421736565,0.614777435,0.614777435,0.798780392,0.798780392,0.4082397,0.517013713,0.462626706,None,None,1,None,None,1,0.952822241,0.938413197,0.945617719,1.01535469,1.01535469,1.014409044,1.014409044,0.984390906,0.912703583,0.948547245,1.078543926,1.078543926,1.071687323,1.071687323,0.973728814,0.911515454,0.942622134,None,None,1,None,None,1,0.047177759,0.061586803,0.054382281,0.766036828,0.766036828,0.985590956,0.985590956,0.015609094,0.087296417,0.051452755,0.178805666,0.178805666,0.928312677,0.928312677,0.026271186,0.088484546,0.057377866,None,None,1,None,None,1,0.466367713,0.510087719,0.488227716,0.91428924,0.91428924,0.956279994,0.956279994,0.678873239,0.477653631,0.578263435,1.421266782,1.421266782,1.201219608,1.201219608,0.5917603,0.482986287,0.537373294,None,None,1,None,None,1,0.124113475,0.174551764,0.14933262,0.711041082,0.711041082,0.949561711,0.949561711,0.048455482,0.225677477,0.137066479,0.214711199,0.214711199,0.822778005,0.822778005,0.076337752,0.229560274,0.152949013,None,None,1,None,None,1,0.68,0.740225315,0.710112657,0.918639212,0.918639212,0.939774685,0.939774685,0.7125,0.736220472,0.724360236,0.967780749,0.967780749,0.976279528,0.976279528,0.70096463,0.741442098,0.721203364,None,None,1,None,None,1,0.084210526,0.162976457,0.123593492,0.516703625,0.516703625,0.921234069,0.921234069,0.076702737,0.196213425,0.136458081,0.390914827,0.390914827,0.880489312,0.880489312,0.083975551,0.206380208,0.14517788,None,None,1,None,None,1
FairGPparity*,s_as_input=True,2,0.828244654,0.514582501,0.93220339,0.723392945,0.503925197,0.727818697,0.727818697,0.949341849,0.885106383,0.818970503,0.852038443,1.080754898,1.080754898,1.06613588,1.06613588,0.912149533,0.788897005,0.850523269,1.156233991,1.156233991,1.123252528,1.123252528,0.897576817,0.782385988,0.839981403,None,None,1,None,None,1,0.565022422,0.509649123,0.537335772,1.108649846,1.108649846,1.055373299,1.055373299,0.350404313,0.54315197,0.446778141,0.645131256,0.645131256,0.807252343,0.807252343,0.438405797,0.536135315,0.487270556,None,None,1,None,None,1,0.945240101,0.929772192,0.937506146,1.016636236,1.016636236,1.015467909,1.015467909,0.985558295,0.900063654,0.942810974,1.094987328,1.094987328,1.085494641,1.085494641,0.971022892,0.899536698,0.935279795,None,None,1,None,None,1,0.054759899,0.070227808,0.062493854,0.779746659,0.779746659,0.984532091,0.984532091,0.014441705,0.099936346,0.057189026,0.144509034,0.144509034,0.914505359,0.914505359,0.028977108,0.100463302,0.064720205,None,None,1,None,None,1,0.434977578,0.490350877,0.462664228,0.887074131,0.887074131,0.944626701,0.944626701,0.649595687,0.45684803,0.553221859,1.421907603,1.421907603,1.192747657,1.192747657,0.561594203,0.463864685,0.512729444,None,None,1,None,None,1,0.135460993,0.186119144,0.160790068,0.727818697,0.727818697,0.949341849,0.949341849,0.053271028,0.23798393,0.145627479,0.223842963,0.223842963,0.815287098,0.815287098,0.085435923,0.240912095,0.163174009,None,None,1,None,None,1,0.659685864,0.722187694,0.690936779,0.913454867,0.913454867,0.93749817,0.93749817,0.760233918,0.710865562,0.73554974,1.069448232,1.069448232,1.049368356,1.049368356,0.707602339,0.717421125,0.712511732,None,None,1,None,None,1,0.079573421,0.158897101,0.119235261,0.500785858,0.500785858,0.92067632,0.92067632,0.079302402,0.186733129,0.133017765,0.42468309,0.42468309,0.892569273,0.892569273,0.084676318,0.196996082,0.1408362,None,None,1,None,None,1
FairGPparity*,s_as_input=True,3,0.829935356,0.508190172,0.936573093,0.722381633,0.507111643,0.737470676,0.737470676,0.952535184,0.870212766,0.823366108,0.846789437,1.05689651,1.05689651,1.046846658,1.046846658,0.910515215,0.790231591,0.850373403,1.15221313,1.15221313,1.120283624,1.120283624,0.893664047,0.786561925,0.840112986,None,None,1,None,None,1,0.511210762,0.507894737,0.50955275,1.006528962,1.006528962,1.003316025,1.003316025,0.318302387,0.541862653,0.43008252,0.587422635,0.587422635,0.776439734,0.776439734,0.403284672,0.537595908,0.47044029,None,None,1,None,None,1,0.937657961,0.936370778,0.937014369,1.001374652,1.001374652,1.001287184,1.001287184,0.986403807,0.904772234,0.945588021,1.09022334,1.09022334,1.081631573,1.081631573,0.969920545,0.907398213,0.938659379,None,None,1,None,None,1,0.062342039,0.063629222,0.062985631,0.97977056,0.97977056,0.998712816,0.998712816,0.013596193,0.095227766,0.054411979,0.142775513,0.142775513,0.918368427,0.918368427,0.030079455,0.092601787,0.061340621,None,None,1,None,None,1,0.488789238,0.492105263,0.49044725,0.993261552,0.993261552,0.996683975,0.996683975,0.681697613,0.458137347,0.56991748,1.487976514,1.487976514,1.223560266,1.223560266,0.596715328,0.462404092,0.52955971,None,None,1,None,None,1,0.133333333,0.180798149,0.157065741,0.737470676,0.737470676,0.952535184,0.952535184,0.048207291,0.236193587,0.142200439,0.204100763,0.204100763,0.812013705,0.812013705,0.080304519,0.238007688,0.159156104,None,None,1,None,None,1,0.606382979,0.740882917,0.673632948,0.818459927,0.818459927,0.865500061,0.865500061,0.75,0.72407291,0.737036455,1.035807292,1.035807292,1.02592709,1.02592709,0.675840979,0.738061798,0.706951388,None,None,1,None,None,1,0.089198036,0.158429822,0.123813929,0.563012915,0.563012915,0.930768214,0.930768214,0.081354859,0.18931001,0.135332434,0.429744097,0.429744097,0.892044849,0.892044849,0.087316422,0.198289098,0.14280276,None,None,1,None,None,1
FairGPparity*,s_as_input=True,4,0.837493784,0.523771474,0.941472458,0.732621966,0.530224523,0.767384536,0.767384536,0.958078092,0.872340426,0.831810295,0.85207536,1.048725209,1.048725209,1.040530131,1.040530131,0.909836066,0.802248188,0.856042127,1.134107972,1.134107972,1.107587877,1.107587877,0.893533317,0.799432198,0.846482757,None,None,1,None,None,1,0.533632287,0.522807018,0.528219652,1.020706052,1.020706052,1.010825269,1.010825269,0.367088608,0.55313093,0.460109769,0.663655905,0.663655905,0.813957678,0.813957678,0.433628319,0.5500516,0.491839959,None,None,1,None,None,1,0.935973041,0.942498036,0.939235539,0.993076914,0.993076914,0.993475005,0.993475005,0.983787513,0.915108532,0.949448023,1.075050093,1.075050093,1.068678981,1.068678981,0.967732724,0.918765432,0.943249078,None,None,1,None,None,1,0.064026959,0.057501964,0.060764461,1.113474296,1.113474296,1.006524995,1.006524995,0.016212487,0.084891468,0.050551977,0.190978993,0.190978993,0.931321019,0.931321019,0.032267276,0.081234568,0.056750922,None,None,1,None,None,1,0.466367713,0.477192982,0.471780348,0.977314693,0.977314693,0.989174731,0.989174731,0.632911392,0.44686907,0.539890231,1.416324008,1.416324008,1.186042322,1.186042322,0.566371681,0.4499484,0.508160041,None,None,1,None,None,1,0.138297872,0.18021978,0.159258826,0.767384536,0.767384536,0.958078092,0.958078092,0.058287796,0.230883005,0.144585401,0.252455983,0.252455983,0.827404791,0.827404791,0.088025572,0.232965932,0.160495752,None,None,1,None,None,1,0.61025641,0.76508344,0.687669925,0.797633798,0.797633798,0.84517297,0.84517297,0.755208333,0.746957079,0.751082706,1.011046491,1.011046491,1.008251255,1.008251255,0.684357542,0.764157706,0.724257624,None,None,1,None,None,1,0.085596708,0.153520531,0.119558619,0.557558702,0.557558702,0.932076177,0.932076177,0.080593166,0.181153846,0.130873506,0.444887964,0.444887964,0.89943932,0.89943932,0.086276624,0.189854126,0.138065375,None,None,1,None,None,1
FairGPparity*,s_as_input=True,5,0.832123322,0.512984419,0.937897246,0.725440832,0.513856279,0.714656458,0.714656458,0.948179368,0.875177305,0.825101215,0.85013926,1.060690846,1.060690846,1.05007609,1.05007609,0.911854103,0.793348115,0.852601109,1.149374513,1.149374513,1.118505988,1.118505988,0.895294407,0.789359573,0.84232699,None,None,1,None,None,1,0.515695067,0.512719298,0.514207183,1.005803895,1.005803895,1.002975769,1.002975769,0.328912467,0.545625588,0.437269027,0.602817159,0.602817159,0.783286879,0.783286879,0.406533575,0.543032787,0.474783181,None,None,1,None,None,1,0.942712721,0.936999214,0.939855968,1.006097664,1.006097664,1.005713507,1.005713507,0.987298318,0.906876482,0.9470874,1.088680032,1.088680032,1.080421836,1.080421836,0.972063854,0.908259149,0.940161502,None,None,1,None,None,1,0.057287279,0.063000786,0.060144032,0.909310548,0.909310548,0.994286493,0.994286493,0.012701682,0.093123518,0.0529126,0.136396073,0.136396073,0.919578164,0.919578164,0.027936146,0.091740851,0.059838498,None,None,1,None,None,1,0.484304933,0.487280702,0.485792817,0.993893111,0.993893111,0.997024231,0.997024231,0.671087533,0.454374412,0.562730973,1.476948339,1.476948339,1.216713121,1.216713121,0.593466425,0.456967213,0.525216819,None,None,1,None,None,1,0.129787234,0.181607866,0.15569755,0.714656458,0.714656458,0.948179368,0.948179368,0.04893617,0.235328899,0.142132534,0.207947985,0.207947985,0.813607271,0.813607271,0.079329884,0.238659106,0.158994495,None,None,1,None,None,1,0.628415301,0.744585987,0.686500644,0.843979488,0.843979488,0.883829313,0.883829313,0.770186335,0.728643216,0.749414776,1.05701435,1.05701435,1.041543119,1.041543119,0.695652174,0.740740741,0.718196457,None,None,1,None,None,1,0.08801956,0.157031802,0.122525681,0.5605206,0.5605206,0.930987758,0.930987758,0.080856504,0.186738836,0.13379767,0.432992436,0.432992436,0.894117667,0.894117667,0.087503345,0.195399781,0.141451563,None,None,1,None,None,1
FairGPparity*,s_as_input=True,6,0.831029339,0.512984419,0.936440678,0.724712548,0.510935393,0.705359945,0.705359945,0.946082063,0.875886525,0.823713129,0.849799827,1.063339279,1.063339279,1.052173396,1.052173396,0.909289959,0.794546515,0.851918237,1.144413753,1.144413753,1.114743444,1.114743444,0.893313298,0.790003299,0.841658299,None,None,1,None,None,1,0.515695067,0.512719298,0.514207183,1.005803895,1.005803895,1.002975769,1.002975769,0.329639889,0.54388422,0.436762055,0.606084672,0.606084672,0.785755669,0.785755669,0.405555556,0.542536933,0.474046244,None,None,1,None,None,1,0.943555181,0.935113904,0.939334543,1.009027004,1.009027004,1.008441277,1.008441277,0.983074753,0.908396947,0.94573585,1.082208342,1.082208342,1.074677807,1.074677807,0.969591659,0.908514272,0.939052966,None,None,1,None,None,1,0.056444819,0.064886096,0.060665457,0.869906228,0.869906228,0.991558723,0.991558723,0.016925247,0.091603053,0.05426415,0.184767278,0.184767278,0.925322193,0.925322193,0.030408341,0.091485728,0.060947034,None,None,1,None,None,1,0.484304933,0.487280702,0.485792817,0.993893111,0.993893111,0.997024231,0.997024231,0.670360111,0.45611578,0.563237945,1.469714798,1.469714798,1.214244331,1.214244331,0.594444444,0.457463067,0.525953756,None,None,1,None,None,1,0.129078014,0.182995951,0.156036983,0.705359945,0.705359945,0.946082063,0.946082063,0.052236472,0.232866725,0.142551598,0.224319175,0.224319175,0.819369747,0.819369747,0.081141998,0.237545365,0.159343682,None,None,1,None,None,1,0.631868132,0.738938053,0.685403092,0.855102981,0.855102981,0.892930079,0.892930079,0.71257485,0.729492799,0.721033825,0.976808615,0.976808615,0.983082051,0.983082051,0.675925926,0.739583333,0.70775463,None,None,1,None,None,1,0.087947883,0.157298598,0.122623241,0.559114218,0.559114218,0.930649284,0.930649284,0.079867987,0.18570614,0.132787063,0.430077255,0.430077255,0.894161847,0.894161847,0.087489779,0.194288187,0.140888983,None,None,1,None,None,1
FairGPparity*,s_as_input=True,7,0.828642466,0.514582501,0.932733051,0.723657776,0.504961787,0.687150605,0.687150605,0.941555608,0.880851064,0.820127241,0.850489153,1.074041953,1.074041953,1.060723823,1.060723823,0.909713574,0.790588923,0.850151249,1.150678371,1.150678371,1.119124651,1.119124651,0.896878901,0.783471074,0.840174988,None,None,1,None,None,1,0.529147982,0.513157895,0.521152938,1.03116017,1.03116017,1.015990087,1.015990087,0.356020942,0.543140028,0.449580485,0.655486475,0.655486475,0.812880914,0.812880914,0.433453237,0.537750385,0.485601811,None,None,1,None,None,1,0.946925021,0.93008641,0.938505716,1.018104351,1.018104351,1.016838611,1.016838611,0.984452297,0.901736552,0.943094425,1.091729391,1.091729391,1.082715745,1.082715745,0.971585967,0.900073117,0.935829542,None,None,1,None,None,1,0.053074979,0.06991359,0.061494284,0.759151103,0.759151103,0.983161389,0.983161389,0.015547703,0.098263448,0.056905575,0.158224686,0.158224686,0.917284255,0.917284255,0.028414033,0.099926883,0.064170458,None,None,1,None,None,1,0.470852018,0.486842105,0.478847062,0.967155496,0.967155496,0.984009913,0.984009913,0.643979058,0.456859972,0.550419515,1.409576451,1.409576451,1.187119086,1.187119086,0.566546763,0.462249615,0.514398189,None,None,1,None,None,1,0.128368794,0.186813187,0.157590991,0.687150605,0.687150605,0.941555608,0.941555608,0.056039851,0.236153734,0.146096792,0.237302412,0.237302412,0.819886117,0.819886117,0.084644195,0.240826446,0.162735321,None,None,1,None,None,1,0.651933702,0.724458204,0.688195953,0.899891392,0.899891392,0.927475497,0.927475497,0.755555556,0.712871287,0.734213421,1.059876543,1.059876543,1.042684268,1.042684268,0.710914454,0.718599863,0.714757159,None,None,1,None,None,1,0.085435313,0.157894737,0.121665025,0.541090317,0.541090317,0.927540576,0.927540576,0.081134565,0.185383585,0.133259075,0.43765776,0.43765776,0.895750979,0.895750979,0.085924714,0.195950359,0.140937536,None,None,1,None,None,1
FairGPparity*,s_as_input=True,8,0.832421681,0.495005993,0.944253178,0.719629585,0.511585066,0.722532655,0.722532655,0.952337882,0.882269504,0.824291498,0.853280501,1.070336775,1.070336775,1.057978006,1.057978006,0.917513081,0.791801352,0.854657216,1.158766752,1.158766752,1.125711729,1.125711729,0.901590457,0.786270934,0.843930695,None,None,1,None,None,1,0.520179372,0.49254386,0.506361616,1.056107719,1.056107719,1.027635513,1.027635513,0.33908046,0.520185615,0.429633037,0.65184513,0.65184513,0.818894845,0.818894845,0.412098299,0.517223911,0.464661105,None,None,1,None,None,1,0.950294861,0.943126473,0.946710667,1.007600665,1.007600665,1.007168388,1.007168388,0.986901069,0.917652118,0.952276593,1.075463184,1.075463184,1.069248951,1.069248951,0.975679542,0.917180182,0.946429862,None,None,1,None,None,1,0.049705139,0.056873527,0.053289333,0.873959143,0.873959143,0.992831612,0.992831612,0.013098931,0.082347882,0.047723407,0.159068224,0.159068224,0.930751049,0.930751049,0.024320458,0.082819818,0.053570138,None,None,1,None,None,1,0.479820628,0.50745614,0.493638384,0.945541082,0.945541082,0.972364487,0.972364487,0.66091954,0.479814385,0.570366963,1.377448365,1.377448365,1.181105155,1.181105155,0.587901701,0.482776089,0.535338895,None,None,1,None,None,1,0.124113475,0.171775593,0.147944534,0.722532655,0.722532655,0.952337882,0.952337882,0.048014774,0.220981487,0.13449813,0.217279621,0.217279621,0.827033287,0.827033287,0.075298211,0.225004145,0.150151178,None,None,1,None,None,1,0.662857143,0.756228956,0.70954305,0.876529704,0.876529704,0.906628187,0.906628187,0.756410256,0.745345745,0.750878001,1.014844804,1.014844804,1.011064512,1.011064512,0.719471947,0.752394989,0.735933468,None,None,1,None,None,1,0.086639676,0.161592179,0.124115927,0.536162559,0.536162559,0.925047497,0.925047497,0.074361461,0.195020747,0.134691104,0.381300259,0.381300259,0.879340714,0.879340714,0.083579683,0.203893881,0.143736782,None,None,1,None,None,1
FairGPparity*,s_as_input=True,9,0.828940825,0.512984419,0.933659958,0.723322188,0.505418833,0.721769985,0.721769985,0.948602275,0.873049645,0.821746674,0.84739816,1.062431614,1.062431614,1.051302971,1.051302971,0.908593987,0.790150843,0.849372415,1.149899409,1.149899409,1.118443144,1.118443144,0.89193825,0.785905591,0.838921921,None,None,1,None,None,1,0.520179372,0.512280702,0.516230037,1.015418638,1.015418638,1.00789867,1.00789867,0.345177665,0.544333807,0.444755736,0.634128655,0.634128655,0.800843857,0.800843857,0.414035088,0.542162442,0.478098765,None,None,1,None,None,1,0.939342881,0.932600157,0.935971519,1.007230027,1.007230027,1.006742724,1.006742724,0.985167299,0.90156888,0.94336809,1.092725493,1.092725493,1.083598419,1.083598419,0.969524352,0.902499381,0.936011867,None,None,1,None,None,1,0.060657119,0.067399843,0.064028481,0.89995935,0.89995935,0.993257276,0.993257276,0.014832701,0.09843112,0.05663191,0.150691173,0.150691173,0.916401581,0.916401581,0.030475648,0.097500619,0.063988133,None,None,1,None,None,1,0.479820628,0.487719298,0.483769963,0.983804884,0.983804884,0.99210133,0.99210133,0.654822335,0.455666193,0.555244264,1.437065874,1.437065874,1.199156143,1.199156143,0.585964912,0.457837558,0.521901235,None,None,1,None,None,1,0.133333333,0.184731058,0.159032196,0.721769985,0.721769985,0.948602275,0.948602275,0.054357729,0.237503697,0.145930713,0.228871084,0.228871084,0.816854031,0.816854031,0.084048027,0.24137931,0.162713669,None,None,1,None,None,1,0.617021277,0.731371321,0.674196299,0.843649811,0.843649811,0.885649955,0.885649955,0.759776536,0.714819427,0.737297982,1.062892959,1.062892959,1.044957109,1.044957109,0.688046647,0.726768377,0.707407512,None,None,1,None,None,1,0.087561375,0.157775255,0.122668315,0.554975332,0.554975332,0.929786119,0.929786119,0.082851638,0.186384794,0.134618216,0.444519297,0.444519297,0.896466843,0.896466843,0.089352595,0.195278023,0.142315309,None,None,1,None,None,1
