algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
GaussianNB,,0,0.818697166,0.755493408,0.839645127,0.797569268,0.557150437,0.29960542,0.29960542,0.720419473,0.876632801,0.80949637,0.843064585,1.08293605,1.08293605,1.067136431,1.067136431,0.911376878,0.77421254,0.842794709,1.177166257,1.177166257,1.137164338,1.137164338,0.897142857,0.766334992,0.831738924,None,None,1,None,None,1,0.713004484,0.759649123,0.736326804,0.938597127,0.938597127,0.953355361,0.953355361,0.636118598,0.776266417,0.706192507,0.819459125,0.819459125,0.859852182,0.859852182,0.675373134,0.777325877,0.726349506,None,None,1,None,None,1,0.908225108,0.827262779,0.867743944,1.097867728,1.097867728,1.080962329,1.080962329,0.946712803,0.773273273,0.859993038,1.224292673,1.224292673,1.173439529,1.173439529,0.931212382,0.761014029,0.846113205,None,None,1,None,None,1,0.091774892,0.172737221,0.132256056,0.531297722,0.531297722,0.919037671,0.919037671,0.053287197,0.226726727,0.140006962,0.2350283,0.2350283,0.826560471,0.826560471,0.068787618,0.238985971,0.153886795,None,None,1,None,None,1,0.286995516,0.240350877,0.263673196,1.194068934,1.194068934,1.046644639,1.046644639,0.363881402,0.223733583,0.293807493,1.626404923,1.626404923,1.140147818,1.140147818,0.324626866,0.222674123,0.273650494,None,None,1,None,None,1,0.192307692,0.326956321,0.259632007,0.588175483,0.588175483,0.865351371,0.865351371,0.119595216,0.399175743,0.25938548,0.29960542,0.29960542,0.720419473,0.720419473,0.149565217,0.414593698,0.282079458,None,None,1,None,None,1,0.6,0.610504054,0.605252027,0.982794457,0.982794457,0.989495946,0.989495946,0.605128205,0.610250737,0.607689471,0.991605856,0.991605856,0.994877468,0.994877468,0.601328904,0.6116,0.606464452,None,None,1,None,None,1,0.057502246,0.093835616,0.075668931,0.61279766,0.61279766,0.96366663,0.96366663,0.047021944,0.116854483,0.081938213,0.402397429,0.402397429,0.93016746,0.93016746,0.050832603,0.12407932,0.087455962,None,None,1,None,None,1
GaussianNB,,1,0.824962705,0.745505394,0.851297669,0.798401532,0.564602354,0.303447987,0.303447987,0.732513365,0.882226981,0.815692165,0.848959573,1.081568535,1.081568535,1.066534815,1.066534815,0.907083717,0.78554607,0.846314893,1.154717401,1.154717401,1.121537647,1.121537647,0.895566502,0.777147623,0.836357063,None,None,1,None,None,1,0.748878924,0.745175439,0.747027181,1.004969951,1.004969951,1.003703485,1.003703485,0.603773585,0.770168856,0.68697122,0.783949624,0.783949624,0.833604729,0.833604729,0.667272727,0.767537122,0.717404925,None,None,1,None,None,1,0.907470289,0.840916222,0.874193255,1.079144705,1.079144705,1.066554066,1.066554066,0.946020761,0.792578293,0.869299527,1.193599131,1.193599131,1.153442469,1.153442469,0.931339031,0.781791192,0.856565112,None,None,1,None,None,1,0.092529711,0.159083778,0.125806745,0.581641401,0.581641401,0.933445934,0.933445934,0.053979239,0.207421707,0.130700473,0.260239101,0.260239101,0.846557531,0.846557531,0.068660969,0.218208808,0.143434888,None,None,1,None,None,1,0.251121076,0.254824561,0.252972819,0.98546653,0.98546653,0.996296515,0.996296515,0.396226415,0.229831144,0.31302878,1.723989218,1.723989218,1.166395271,1.166395271,0.332727273,0.232462878,0.282595075,None,None,1,None,None,1,0.197002141,0.313496649,0.255249395,0.628402702,0.628402702,0.883505492,0.883505492,0.116528672,0.384015308,0.25027199,0.303447987,0.303447987,0.732513365,0.732513365,0.149753695,0.397164304,0.273458999,None,None,1,None,None,1,0.605072464,0.62624401,0.615658237,0.966192816,0.966192816,0.978828453,0.978828453,0.589473684,0.629359908,0.609416796,0.936624143,0.936624143,0.960113776,0.960113776,0.603618421,0.629567409,0.616592915,None,None,1,None,None,1,0.049777778,0.097794984,0.073786381,0.509001339,0.509001339,0.951982794,0.951982794,0.05102395,0.117084827,0.084054388,0.435786185,0.435786185,0.933939123,0.933939123,0.053012746,0.125622579,0.089317663,None,None,1,None,None,1
GaussianNB,,2,0.820686226,0.759488614,0.84096928,0.800228947,0.562130257,0.315527572,0.315527572,0.728588649,0.889208633,0.809694172,0.849451403,1.09820308,1.09820308,1.079514461,1.079514461,0.907083717,0.779216956,0.843150336,1.164096481,1.164096481,1.127866761,1.127866761,0.896963664,0.769918834,0.833441249,None,None,1,None,None,1,0.719827586,0.763540291,0.741683938,0.94274997,0.94274997,0.956287296,0.956287296,0.641509434,0.780018762,0.710764098,0.82242821,0.82242821,0.861490672,0.861490672,0.678700361,0.78245254,0.73057645,None,None,1,None,None,1,0.923143351,0.826086957,0.874615154,1.117489319,1.117489319,1.097056394,1.097056394,0.941176471,0.778850279,0.860013375,1.20841771,1.20841771,1.162326192,1.162326192,0.93187067,0.763943249,0.847906959,None,None,1,None,None,1,0.076856649,0.173913043,0.125384846,0.441925734,0.441925734,0.902943606,0.902943606,0.058823529,0.221149721,0.139986625,0.265989616,0.265989616,0.837673808,0.837673808,0.06812933,0.236056751,0.152093041,None,None,1,None,None,1,0.280172414,0.236459709,0.258316062,1.184863225,1.184863225,1.043712704,1.043712704,0.358490566,0.219981238,0.289235902,1.62964155,1.62964155,1.138509328,1.138509328,0.321299639,0.21754746,0.26942355,None,None,1,None,None,1,0.184172662,0.328447778,0.25631022,0.560736513,0.560736513,0.855724883,0.855724883,0.125114995,0.396526347,0.260820671,0.315527572,0.315527572,0.728588649,0.728588649,0.152314584,0.412456518,0.282385551,None,None,1,None,None,1,0.65234375,0.609276177,0.630809964,1.070686455,1.070686455,1.043067573,1.043067573,0.583333333,0.617297699,0.600315516,0.944978954,0.944978954,0.966035635,0.966035635,0.614379085,0.612449799,0.613414442,None,None,1,None,None,1,0.057319224,0.092283898,0.074801561,0.621118369,0.621118369,0.965035326,0.965035326,0.046617596,0.114390244,0.08050392,0.407531219,0.407531219,0.932227352,0.932227352,0.052260716,0.119537637,0.085899177,None,None,1,None,None,1
GaussianNB,,3,0.828145201,0.726727926,0.861758475,0.794243201,0.563848376,0.297748814,0.297748814,0.741074592,0.884835479,0.818990412,0.851912946,1.080397848,1.080397848,1.065845067,1.065845067,0.91567004,0.786134825,0.850902432,1.164774808,1.164774808,1.129535215,1.129535215,0.902808849,0.778348806,0.840578828,None,None,1,None,None,1,0.701357466,0.729184926,0.715271196,0.961837583,0.961837583,0.972172541,0.972172541,0.611859838,0.746716698,0.679288268,0.819400236,0.819400236,0.86514314,0.86514314,0.659300184,0.745408163,0.702354174,None,None,1,None,None,1,0.919286321,0.851137255,0.885211788,1.080068245,1.080068245,1.068149066,1.068149066,0.95467128,0.804161304,0.879416292,1.187163913,1.187163913,1.150509976,1.150509976,0.940804598,0.794204322,0.86750446,None,None,1,None,None,1,0.080713679,0.148862745,0.114788212,0.542202005,0.542202005,0.931850934,0.931850934,0.04532872,0.195838696,0.120583708,0.231459465,0.231459465,0.849490024,0.849490024,0.059195402,0.205795678,0.13249554,None,None,1,None,None,1,0.298642534,0.270815074,0.284728804,1.10275447,1.10275447,1.027827459,1.027827459,0.388140162,0.253283302,0.320711732,1.532434861,1.532434861,1.13485686,1.13485686,0.340699816,0.254591837,0.297645826,None,None,1,None,None,1,0.178826896,0.301836664,0.24033178,0.59246247,0.59246247,0.876990232,0.876990232,0.109782275,0.368707683,0.239244979,0.297748814,0.297748814,0.741074592,0.741074592,0.140193885,0.381133952,0.260663919,None,None,1,None,None,1,0.62,0.63681592,0.62840796,0.97359375,0.97359375,0.98318408,0.98318408,0.634078212,0.635528942,0.634803577,0.997717288,0.997717288,0.99854927,0.99854927,0.634751773,0.635493693,0.635122733,None,None,1,None,None,1,0.057491289,0.102250165,0.079870727,0.562261087,0.562261087,0.955241124,0.955241124,0.049603858,0.125903474,0.087753666,0.393983236,0.393983236,0.923700384,0.923700384,0.053483666,0.133672649,0.093578158,None,None,1,None,None,1
GaussianNB,,4,0.822874192,0.758689573,0.844147246,0.801418409,0.565680776,0.313212722,0.313212722,0.729692496,0.881673882,0.813473296,0.847573589,1.083838752,1.083838752,1.068200586,1.068200586,0.913830113,0.779216956,0.846523535,1.172754399,1.172754399,1.134613157,1.134613157,0.898929549,0.772275588,0.835602569,None,None,1,None,None,1,0.745614035,0.76,0.752807018,0.981071099,0.981071099,0.985614035,0.985614035,0.663072776,0.77532833,0.719200553,0.855215462,0.855215462,0.887744446,0.887744446,0.698181818,0.775729647,0.736955732,None,None,1,None,None,1,0.908462867,0.832499218,0.870481043,1.091247712,1.091247712,1.075963649,1.075963649,0.946020761,0.780995281,0.863508021,1.211301508,1.211301508,1.16502548,1.16502548,0.930775887,0.770624235,0.850700061,None,None,1,None,None,1,0.091537133,0.167500782,0.129518957,0.546487795,0.546487795,0.924036351,0.924036351,0.053979239,0.219004719,0.136491979,0.246475231,0.246475231,0.83497452,0.83497452,0.069224113,0.229375765,0.149299939,None,None,1,None,None,1,0.254385965,0.24,0.247192982,1.05994152,1.05994152,1.014385965,1.014385965,0.336927224,0.22467167,0.280799447,1.499642674,1.499642674,1.112255554,1.112255554,0.301818182,0.224270353,0.263044268,None,None,1,None,None,1,0.199134199,0.322989964,0.261062082,0.616533704,0.616533704,0.876144235,0.876144235,0.123275069,0.393582573,0.258428821,0.313212722,0.313212722,0.729692496,0.729692496,0.155339806,0.406094733,0.28071727,None,None,1,None,None,1,0.615942029,0.6175,0.616721014,0.99747697,0.99747697,0.998442029,0.998442029,0.611940299,0.618175019,0.615057659,0.989914312,0.989914312,0.99376528,0.99376528,0.615384615,0.617862969,0.616623792,None,None,1,None,None,1,0.052252252,0.093031181,0.072641717,0.561663862,0.561663862,0.959221071,0.959221071,0.043721581,0.116262136,0.079991858,0.376060362,0.376060362,0.927459445,0.927459445,0.048924256,0.122141662,0.085532959,None,None,1,None,None,1
GaussianNB,,5,0.824266534,0.758689573,0.846001059,0.802345316,0.568146451,0.31215944,0.31215944,0.730391609,0.879237288,0.815256395,0.847246842,1.078479474,1.078479474,1.063980893,1.063980893,0.915363385,0.780541654,0.84795252,1.172728426,1.172728426,1.134821731,1.134821731,0.898687144,0.774343636,0.83651539,None,None,1,None,None,1,0.755555556,0.758999122,0.757277339,0.995463017,0.995463017,0.996556434,0.996556434,0.665768194,0.774859287,0.720313741,0.859211737,0.859211737,0.890908907,0.890908907,0.698354662,0.775562372,0.736958517,None,None,1,None,None,1,0.902602855,0.835403238,0.869003047,1.080439736,1.080439736,1.067199616,1.067199616,0.947404844,0.783140283,0.865272564,1.209751132,1.209751132,1.164264561,1.164264561,0.93008596,0.77375677,0.851921365,None,None,1,None,None,1,0.097397145,0.164596762,0.130996953,0.591731844,0.591731844,0.932800384,0.932800384,0.052595156,0.216859717,0.134727436,0.242530777,0.242530777,0.835735439,0.835735439,0.06991404,0.22624323,0.148078635,None,None,1,None,None,1,0.244444444,0.241000878,0.242722661,1.014288606,1.014288606,1.003443566,1.003443566,0.334231806,0.225140713,0.279686259,1.484546271,1.484546271,1.109091093,1.109091093,0.301645338,0.224437628,0.263041483,None,None,1,None,None,1,0.201977401,0.321333488,0.261655444,0.628560075,0.628560075,0.880643913,0.880643913,0.122355106,0.391963497,0.257159302,0.31215944,0.31215944,0.730391609,0.730391609,0.155065643,0.404785643,0.279925643,None,None,1,None,None,1,0.594405594,0.622838617,0.608622106,0.954349294,0.954349294,0.971566978,0.971566978,0.619047619,0.620352985,0.619700302,0.997895768,0.997895768,0.998694634,0.998694634,0.610223642,0.6227422,0.616482921,None,None,1,None,None,1,0.048672566,0.093638069,0.071155318,0.519794639,0.519794639,0.955034497,0.955034497,0.043326345,0.116194626,0.079760486,0.372877358,0.372877358,0.927131719,0.927131719,0.048372911,0.122557231,0.085465071,None,None,1,None,None,1
GaussianNB,,6,0.824266534,0.741510188,0.851694915,0.796602552,0.561906265,0.32913014,0.32913014,0.746226738,0.890495868,0.813088458,0.851792163,1.095201708,1.095201708,1.07740741,1.07740741,0.913830113,0.781277598,0.847553856,1.169661227,1.169661227,1.132552516,1.132552516,0.901984808,0.771175092,0.83657995,None,None,1,None,None,1,0.746724891,0.740985048,0.74385497,1.007746232,1.007746232,1.005739842,1.005739842,0.668463612,0.754221388,0.7113425,0.886296281,0.886296281,0.914242223,0.914242223,0.708108108,0.751026694,0.729567401,None,None,1,None,None,1,0.91741619,0.838995102,0.878205646,1.093470257,1.093470257,1.078421088,1.078421088,0.94532872,0.793650794,0.869489757,1.191114187,1.191114187,1.151677926,1.151677926,0.932501418,0.780923994,0.856712706,None,None,1,None,None,1,0.08258381,0.161004898,0.121794354,0.512927316,0.512927316,0.921578912,0.921578912,0.05467128,0.206349206,0.130510243,0.264945435,0.264945435,0.848322074,0.848322074,0.067498582,0.219076006,0.143287294,None,None,1,None,None,1,0.253275109,0.259014952,0.25614503,0.977839725,0.977839725,0.994260158,0.994260158,0.331536388,0.245778612,0.2886575,1.348922862,1.348922862,1.085757777,1.085757777,0.291891892,0.248973306,0.270432599,None,None,1,None,None,1,0.187327824,0.314308962,0.250818393,0.595998989,0.595998989,0.873018862,0.873018862,0.124501687,0.378274948,0.251388318,0.32913014,0.32913014,0.746226738,0.746226738,0.154618966,0.392534315,0.273576641,None,None,1,None,None,1,0.628676471,0.623150888,0.625913679,1.008867167,1.008867167,1.005525583,1.005525583,0.610837438,0.625680934,0.618259186,0.976276254,0.976276254,0.985156505,0.985156505,0.622820919,0.623880597,0.623350758,None,None,1,None,None,1,0.049152542,0.099847432,0.074499987,0.492276481,0.492276481,0.949305111,0.949305111,0.043082312,0.12405303,0.083567671,0.347289475,0.347289475,0.919029281,0.919029281,0.046956522,0.133645632,0.090301077,None,None,1,None,None,1
GaussianNB,,7,0.824266534,0.753495805,0.847722458,0.800609131,0.566245906,0.308886807,0.308886807,0.731041613,0.882889201,0.814578746,0.848733973,1.083859854,1.083859854,1.068310454,1.068310454,0.915056731,0.780688843,0.847872787,1.172114523,1.172114523,1.134367888,1.134367888,0.900049116,0.772689286,0.836369201,None,None,1,None,None,1,0.705394191,0.75862069,0.73200744,0.929837797,0.929837797,0.946773501,0.946773501,0.654986523,0.770637899,0.712812211,0.849927734,0.849927734,0.884348624,0.884348624,0.684859155,0.773643411,0.729251283,None,None,1,None,None,1,0.918987342,0.834458929,0.876723135,1.101297272,1.101297272,1.084528413,1.084528413,0.948442907,0.785285285,0.866864096,1.207768596,1.207768596,1.163157621,1.163157621,0.934931507,0.772233202,0.853582354,None,None,1,None,None,1,0.081012658,0.165541071,0.123276865,0.48938102,0.48938102,0.915471587,0.915471587,0.051557093,0.214714715,0.133135904,0.240119051,0.240119051,0.836842379,0.836842379,0.065068493,0.227766798,0.146417646,None,None,1,None,None,1,0.294605809,0.24137931,0.26799256,1.220509781,1.220509781,1.053226499,1.053226499,0.345013477,0.229362101,0.287187789,1.504230538,1.504230538,1.115651376,1.115651376,0.315140845,0.226356589,0.270748717,None,None,1,None,None,1,0.186535764,0.321010546,0.253773155,0.58108921,0.58108921,0.865525219,0.865525219,0.120208525,0.389166912,0.254687718,0.308886807,0.308886807,0.731041613,0.731041613,0.151522593,0.404312218,0.277917406,None,None,1,None,None,1,0.639097744,0.619494585,0.629296165,1.031643795,1.031643795,1.01960316,1.01960316,0.619897959,0.621406959,0.620652459,0.99757164,0.99757164,0.998491,0.998491,0.630470016,0.618850765,0.62466039,None,None,1,None,None,1,0.061206897,0.093189964,0.07719843,0.656797082,0.656797082,0.968016932,0.968016932,0.044614848,0.117831325,0.081223087,0.378633171,0.378633171,0.926783523,0.926783523,0.051808973,0.122895623,0.087352298,None,None,1,None,None,1
GaussianNB,,8,0.81621084,0.739512585,0.841631356,0.79057197,0.546779037,0.310311821,0.310311821,0.730784067,0.87254902,0.80688536,0.83971719,1.081379169,1.081379169,1.06566366,1.06566366,0.904937136,0.773623786,0.839280461,1.169737995,1.169737995,1.13131335,1.13131335,0.890671273,0.765950358,0.828310816,None,None,1,None,None,1,0.719457014,0.741454864,0.730455939,0.970331504,0.970331504,0.978002149,0.978002149,0.614555256,0.761257036,0.687906146,0.807290084,0.807290084,0.85329822,0.85329822,0.668518519,0.759042282,0.7137804,None,None,1,None,None,1,0.90057995,0.830417652,0.865498801,1.084490375,1.084490375,1.070162299,1.070162299,0.942214533,0.779279279,0.860746906,1.209084545,1.209084545,1.162935254,1.162935254,0.924829157,0.769306931,0.847068044,None,None,1,None,None,1,0.09942005,0.169582348,0.134501199,0.586264141,0.586264141,0.929837701,0.929837701,0.057785467,0.220720721,0.139253094,0.261803545,0.261803545,0.837064746,0.837064746,0.075170843,0.230693069,0.152931956,None,None,1,None,None,1,0.280542986,0.258545136,0.269544061,1.085083212,1.085083212,1.021997851,1.021997851,0.385444744,0.238742964,0.312093854,1.614475823,1.614475823,1.14670178,1.14670178,0.331481481,0.240957718,0.2862196,None,None,1,None,None,1,0.195378151,0.320853136,0.258115643,0.608933277,0.608933277,0.874525016,0.874525016,0.121128488,0.390344422,0.255736455,0.310311821,0.310311821,0.730784067,0.730784067,0.154244817,0.403464934,0.278854876,None,None,1,None,None,1,0.569892473,0.611271676,0.590582075,0.932306363,0.932306363,0.958620797,0.958620797,0.57721519,0.61199095,0.59460307,0.943176022,0.943176022,0.96522424,0.96522424,0.5776,0.615194055,0.596397027,None,None,1,None,None,1,0.053959965,0.100699778,0.077329872,0.535849892,0.535849892,0.953260187,0.953260187,0.049895324,0.122887494,0.086391409,0.406024428,0.406024428,0.927007831,0.927007831,0.052232273,0.132086009,0.092159141,None,None,1,None,None,1
GaussianNB,,9,0.823272004,0.755892928,0.845603814,0.800748371,0.565353412,0.306337854,0.306337854,0.727803462,0.858807402,0.817240577,0.83802399,1.05086241,1.05086241,1.041566825,1.041566825,0.913830113,0.779805711,0.846817912,1.171868968,1.171868968,1.134024403,1.134024403,0.893251534,0.775585284,0.834418409,None,None,1,None,None,1,0.693617021,0.762345679,0.72798135,0.909845809,0.909845809,0.931271342,0.931271342,0.649595687,0.774390244,0.711992966,0.838847974,0.838847974,0.875205443,0.875205443,0.682709447,0.777033986,0.729871716,None,None,1,None,None,1,0.890522876,0.836915297,0.863719086,1.064053769,1.064053769,1.053607579,1.053607579,0.947750865,0.782282282,0.865016574,1.2115203,1.2115203,1.165468583,1.165468583,0.926863973,0.774888559,0.850876266,None,None,1,None,None,1,0.109477124,0.163084703,0.136280914,0.671289963,0.671289963,0.946392421,0.946392421,0.052249135,0.217717718,0.134983426,0.239985682,0.239985682,0.834531417,0.834531417,0.073136027,0.225111441,0.149123734,None,None,1,None,None,1,0.306382979,0.237654321,0.27201865,1.28919591,1.28919591,1.068728658,1.068728658,0.350404313,0.225609756,0.288007034,1.55314344,1.55314344,1.124794557,1.124794557,0.317290553,0.222966014,0.270128284,None,None,1,None,None,1,0.203564085,0.321195905,0.262379995,0.633769241,0.633769241,0.88236818,0.88236818,0.120208525,0.392405063,0.256306794,0.306337854,0.306337854,0.727803462,0.727803462,0.157055215,0.404347826,0.28070152,None,None,1,None,None,1,0.548821549,0.626222383,0.587521966,0.876400403,0.876400403,0.922599166,0.922599166,0.614795918,0.61927982,0.617037869,0.99275949,0.99275949,0.995516098,0.995516098,0.5984375,0.624069479,0.611253489,None,None,1,None,None,1,0.061962134,0.092373608,0.077167871,0.670777464,0.670777464,0.969588527,0.969588527,0.045311955,0.116521318,0.080916637,0.388872665,0.388872665,0.928790638,0.928790638,0.051819505,0.121560921,0.086690213,None,None,1,None,None,1
