algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
FairGPparity*,s_as_input=True,0,0.803182496,0.504194966,0.902277542,0.703236254,0.440296084,0.796216813,0.796216813,0.95659784,0.830914369,0.79877838,0.814846374,1.040231421,1.040231421,1.032135989,1.032135989,0.869365225,0.771415955,0.82039059,1.126973353,1.126973353,1.09794927,1.09794927,0.856149068,0.767827529,0.811988299,None,None,1,None,None,1,0.412556054,0.513157895,0.462856974,0.803955387,0.803955387,0.899398159,0.899398159,0.67115903,0.475140713,0.573149871,1.412547928,1.412547928,1.196018317,1.196018317,0.574626866,0.485002542,0.529814704,None,None,1,None,None,1,0.911688312,0.900578396,0.906133354,1.012336422,1.012336422,1.011109916,1.011109916,0.894809689,0.906906907,0.900858298,0.986661014,0.986661014,0.987902782,0.987902782,0.899398108,0.904750185,0.902074146,None,None,1,None,None,1,0.088311688,0.099421604,0.093866646,0.888254513,0.888254513,0.988890084,0.988890084,0.105190311,0.093093093,0.099141702,1.129947539,1.129947539,1.012097218,1.012097218,0.100601892,0.095249815,0.097925854,None,None,1,None,None,1,0.587443946,0.486842105,0.537143026,1.206641619,1.206641619,1.100601841,1.100601841,0.32884097,0.524859287,0.426850129,0.626531679,0.626531679,0.803981683,0.803981683,0.425373134,0.514997458,0.470185296,None,None,1,None,None,1,0.140783745,0.208136453,0.174460099,0.676401191,0.676401191,0.932647292,0.932647292,0.169579883,0.212982043,0.191280963,0.796216813,0.796216813,0.95659784,0.95659784,0.163726708,0.22238806,0.193057384,None,None,1,None,None,1,0.474226804,0.647840532,0.561033668,0.732011631,0.732011631,0.826386273,0.826386273,0.450271248,0.700069109,0.575170178,0.643181141,0.643181141,0.750202139,0.750202139,0.46737481,0.711409396,0.589392103,None,None,1,None,None,1,0.110641892,0.161548537,0.136095215,0.684883279,0.684883279,0.949093355,0.949093355,0.045051699,0.20927623,0.127163964,0.215273845,0.215273845,0.835775469,0.835775469,0.067736185,0.216037535,0.14188686,None,None,1,None,None,1
FairGPparity*,s_as_input=True,1,0.804475385,0.517379145,0.899629237,0.708504191,0.44731396,0.789149253,0.789149253,0.953789114,0.830121342,0.80032355,0.815222446,1.037232182,1.037232182,1.029797792,1.029797792,0.856792395,0.779364145,0.81807827,1.099347976,1.099347976,1.07742825,1.07742825,0.845812808,0.7764804,0.811146604,None,None,1,None,None,1,0.448430493,0.524122807,0.48627665,0.855582866,0.855582866,0.924307686,0.924307686,0.630727763,0.497654784,0.564191274,1.267400179,1.267400179,1.133072979,1.133072979,0.56,0.505376344,0.532688172,None,None,1,None,None,1,0.90237691,0.899121431,0.90074917,1.003620734,1.003620734,1.003255479,1.003255479,0.885813149,0.908193908,0.897003528,0.975356849,0.975356849,0.977619241,0.977619241,0.890598291,0.907471549,0.89903492,None,None,1,None,None,1,0.09762309,0.100878569,0.09925083,0.967728733,0.967728733,0.996744521,0.996744521,0.114186851,0.091806092,0.102996472,1.243782945,1.243782945,1.022380759,1.022380759,0.109401709,0.092528451,0.10096508,None,None,1,None,None,1,0.551569507,0.475877193,0.51372335,1.159058503,1.159058503,1.075692314,1.075692314,0.369272237,0.502345216,0.435808726,0.735096554,0.735096554,0.866927021,0.866927021,0.44,0.494623656,0.467311828,None,None,1,None,None,1,0.153461813,0.212387335,0.182924574,0.722556327,0.722556327,0.941074478,0.941074478,0.172953082,0.219163968,0.196058525,0.789149253,0.789149253,0.953789114,0.953789114,0.17044335,0.227022519,0.198732934,None,None,1,None,None,1,0.465116279,0.650163221,0.55763975,0.715383867,0.715383867,0.814953058,0.814953058,0.414893617,0.712558764,0.563726191,0.582258808,0.582258808,0.702334853,0.702334853,0.445086705,0.725202057,0.585144381,None,None,1,None,None,1,0.103709949,0.159184272,0.131447111,0.65150877,0.65150877,0.944525677,0.944525677,0.050797182,0.201885014,0.126341098,0.251614427,0.251614427,0.848912168,0.848912168,0.071852732,0.208459215,0.140155973,None,None,1,None,None,1
FairGPparity*,s_as_input=True,2,0.804674291,0.509388734,0.902542373,0.705965553,0.445291021,0.865033004,0.865033004,0.971770959,0.838848921,0.799192152,0.819020537,1.049621068,1.049621068,1.039656769,1.039656769,0.859858939,0.778186635,0.819022787,1.104952077,1.104952077,1.081672304,1.081672304,0.849178696,0.775053835,0.812116265,None,None,1,None,None,1,0.405172414,0.520035227,0.46260382,0.779124938,0.779124938,0.885137187,0.885137187,0.679245283,0.479831144,0.579538214,1.41559232,1.41559232,1.199414139,1.199414139,0.572202166,0.49153412,0.531868143,None,None,1,None,None,1,0.925734024,0.898342196,0.91203811,1.03049153,1.03049153,1.027391828,1.027391828,0.883044983,0.914628915,0.898836949,0.965468037,0.965468037,0.968416068,0.968416068,0.893475751,0.910225049,0.9018504,None,None,1,None,None,1,0.074265976,0.101657804,0.08796189,0.730548691,0.730548691,0.972608172,0.972608172,0.116955017,0.085371085,0.101163051,1.369960529,1.369960529,1.031583932,1.031583932,0.106524249,0.089774951,0.0981496,None,None,1,None,None,1,0.594827586,0.479964773,0.53739618,1.23931509,1.23931509,1.114862813,1.114862813,0.320754717,0.520168856,0.420461786,0.616635759,0.616635759,0.800585861,0.800585861,0.427797834,0.50846588,0.468131857,None,None,1,None,None,1,0.129496403,0.211309867,0.170403135,0.612827051,0.612827051,0.918186536,0.918186536,0.180926096,0.209155137,0.195040617,0.865033004,0.865033004,0.971770959,0.971770959,0.170731707,0.219479874,0.195105791,None,None,1,None,None,1,0.522222222,0.645002731,0.583612476,0.809643428,0.809643428,0.877219491,0.877219491,0.427118644,0.719915552,0.573517098,0.593289925,0.593289925,0.707203092,0.707203092,0.462099125,0.723018868,0.592558997,None,None,1,None,None,1,0.114049587,0.159496634,0.136773111,0.715059519,0.715059519,0.954552952,0.954552952,0.044552602,0.206402382,0.125477492,0.215853139,0.215853139,0.83815022,0.83815022,0.071128451,0.210314092,0.140721272,None,None,1,None,None,1
FairGPparity*,s_as_input=True,3,0.802287419,0.488613664,0.90625,0.697431832,0.433443497,0.870382003,0.870382003,0.97401535,0.836194564,0.796811829,0.816503196,1.04942539,1.04942539,1.039382735,1.039382735,0.855872432,0.77656756,0.816219996,1.102122309,1.102122309,1.079304872,1.079304872,0.84762615,0.772049072,0.809837611,None,None,1,None,None,1,0.416289593,0.495617879,0.455953736,0.839940628,0.839940628,0.920671714,0.920671714,0.633423181,0.463414634,0.548418907,1.366860548,1.366860548,1.170008546,1.170008546,0.550644567,0.471428571,0.511036569,None,None,1,None,None,1,0.915038233,0.904627451,0.909832842,1.011508364,1.011508364,1.010410782,1.010410782,0.884429066,0.91977692,0.902102993,0.961569101,0.961569101,0.964652146,0.964652146,0.893965517,0.916748527,0.905357022,None,None,1,None,None,1,0.084961767,0.095372549,0.090167158,0.890840898,0.890840898,0.989589218,0.989589218,0.115570934,0.08022308,0.097897007,1.440619507,1.440619507,1.035347854,1.035347854,0.106034483,0.083251473,0.094642978,None,None,1,None,None,1,0.583710407,0.504382121,0.544046264,1.157278149,1.157278149,1.079328286,1.079328286,0.366576819,0.536585366,0.451581093,0.683165891,0.683165891,0.829991454,0.829991454,0.449355433,0.528571429,0.488963431,None,None,1,None,None,1,0.137339056,0.200877902,0.169108479,0.683694196,0.683694196,0.936461154,0.936461154,0.174486354,0.200471004,0.187478679,0.870382003,0.870382003,0.97401535,0.97401535,0.16604524,0.209383289,0.187714264,None,None,1,None,None,1,0.479166667,0.650373778,0.564770222,0.736755821,0.736755821,0.828792889,0.828792889,0.413005272,0.725403818,0.569204545,0.569345325,0.569345325,0.687601454,0.687601454,0.44760479,0.731591449,0.58959812,None,None,1,None,None,1,0.106965174,0.166377566,0.13667137,0.642906233,0.642906233,0.940587608,0.940587608,0.050520059,0.210603829,0.130561944,0.239881961,0.239881961,0.83991623,0.83991623,0.072727273,0.217236318,0.144981795,None,None,1,None,None,1
FairGPparity*,s_as_input=True,4,0.806563899,0.532560927,0.897378178,0.714969552,0.456700465,0.779581055,0.779581055,0.950232166,0.833333333,0.802284,0.817808667,1.038701174,1.038701174,1.031049333,1.031049333,0.865378718,0.778333824,0.821856271,1.111834911,1.111834911,1.087044894,1.087044894,0.852377396,0.776084796,0.814231096,None,None,1,None,None,1,0.486842105,0.537142857,0.511992481,0.906354983,0.906354983,0.949699248,0.949699248,0.681940701,0.506566604,0.594253652,1.346201458,1.346201458,1.175374097,1.175374097,0.6,0.513568868,0.556784434,None,None,1,None,None,1,0.901554404,0.896621833,0.899088119,1.005501284,1.005501284,1.004932571,1.004932571,0.888927336,0.902616903,0.895772119,0.984833469,0.984833469,0.986310433,0.986310433,0.892414191,0.901591187,0.897002689,None,None,1,None,None,1,0.098445596,0.103378167,0.100911881,0.952286142,0.952286142,0.995067429,0.995067429,0.111072664,0.097383097,0.104227881,1.140574364,1.140574364,1.013689567,1.013689567,0.107585809,0.098408813,0.102997311,None,None,1,None,None,1,0.513157895,0.462857143,0.488007519,1.108674464,1.108674464,1.050300752,1.050300752,0.318059299,0.493433396,0.405746348,0.644584055,0.644584055,0.824625903,0.824625903,0.4,0.486431132,0.443215566,None,None,1,None,None,1,0.162337662,0.217210751,0.189774207,0.747373975,0.747373975,0.945126911,0.945126911,0.176019626,0.22578746,0.200903543,0.779581055,0.779581055,0.950232166,0.950232166,0.175006224,0.232692945,0.203849584,None,None,1,None,None,1,0.493333333,0.648964418,0.571148876,0.760185488,0.760185488,0.844368915,0.844368915,0.440766551,0.704041721,0.572404136,0.626051749,0.626051749,0.73672483,0.73672483,0.469416785,0.713879004,0.591647894,None,None,1,None,None,1,0.100775194,0.155172414,0.127973804,0.649440138,0.649440138,0.94560278,0.94560278,0.043915147,0.2,0.121957574,0.219575735,0.219575735,0.843915147,0.843915147,0.066385033,0.205050723,0.135717878,None,None,1,None,None,1
FairGPparity*,s_as_input=True,5,0.803381402,0.511386336,0.900158898,0.705772617,0.442985244,0.829068308,0.829068308,0.963393345,0.831214689,0.798819308,0.815016999,1.040554079,1.040554079,1.032395381,1.032395381,0.863845446,0.774359729,0.819102588,1.115560913,1.115560913,1.089485717,1.089485717,0.851374783,0.771186441,0.811280612,None,None,1,None,None,1,0.413333333,0.521071115,0.467202224,0.793237855,0.793237855,0.892262218,0.892262218,0.681940701,0.481707317,0.581824009,1.415674366,1.415674366,1.200233384,1.200233384,0.577696527,0.492842536,0.535269531,None,None,1,None,None,1,0.91015953,0.898286433,0.904222981,1.013217495,1.013217495,1.011873097,1.011873097,0.887197232,0.908193908,0.89769557,0.976880844,0.976880844,0.979003324,0.979003324,0.894269341,0.905219104,0.899744222,None,None,1,None,None,1,0.08984047,0.101713567,0.095777019,0.88326929,0.88326929,0.988126903,0.988126903,0.112802768,0.091806092,0.10230443,1.228706788,1.228706788,1.020996676,1.020996676,0.105730659,0.094780896,0.100255778,None,None,1,None,None,1,0.586666667,0.478928885,0.532797776,1.224955698,1.224955698,1.107737782,1.107737782,0.318059299,0.518292683,0.418175991,0.613667354,0.613667354,0.799766616,0.799766616,0.422303473,0.507157464,0.464730469,None,None,1,None,None,1,0.141242938,0.212293089,0.176768014,0.665320469,0.665320469,0.928949848,0.928949848,0.177552898,0.214159553,0.195856225,0.829068308,0.829068308,0.963393345,0.963393345,0.169680456,0.224160851,0.196920653,None,None,1,None,None,1,0.465,0.647219193,0.556109597,0.718458298,0.718458298,0.817780807,0.817780807,0.436960276,0.705841924,0.5714011,0.619062514,0.619062514,0.731118352,0.731118352,0.461313869,0.71460341,0.587958639,None,None,1,None,None,1,0.108552632,0.160323292,0.134437962,0.677085846,0.677085846,0.94822934,0.94822934,0.043997017,0.206967597,0.125482307,0.212579253,0.212579253,0.83702942,0.83702942,0.068914081,0.212465196,0.140689639,None,None,1,None,None,1
FairGPparity*,s_as_input=True,6,0.800497265,0.510187775,0.896716102,0.703451938,0.436159561,0.900973265,0.900973265,0.979069415,0.847107438,0.792630478,0.819868958,1.068729328,1.068729328,1.05447696,1.05447696,0.854645814,0.774506918,0.814576366,1.103470859,1.103470859,1.080138896,1.080138896,0.8470963,0.768664212,0.807880256,None,None,1,None,None,1,0.502183406,0.510993843,0.506588625,0.982758232,0.982758232,0.991189563,0.991189563,0.698113208,0.477485929,0.587799568,1.462060274,1.462060274,1.220627279,1.220627279,0.61981982,0.478952772,0.549386296,None,None,1,None,None,1,0.911692559,0.893822089,0.902757324,1.019993319,1.019993319,1.01787047,1.01787047,0.874740484,0.91033891,0.892539697,0.960895414,0.960895414,0.964401574,0.964401574,0.882870108,0.908842524,0.895856316,None,None,1,None,None,1,0.088307441,0.106177911,0.097242676,0.831693143,0.831693143,0.98212953,0.98212953,0.125259516,0.08966109,0.107460303,1.397033162,1.397033162,1.035598426,1.035598426,0.117129892,0.091157476,0.104143684,None,None,1,None,None,1,0.497816594,0.489006157,0.493411375,1.018017027,1.018017027,1.008810437,1.008810437,0.301886792,0.522514071,0.412200432,0.577758206,0.577758206,0.779372721,0.779372721,0.38018018,0.521047228,0.450613704,None,None,1,None,None,1,0.153581267,0.213181448,0.183381358,0.720425105,0.720425105,0.940399819,0.940399819,0.190432383,0.211362967,0.200897675,0.900973265,0.900973265,0.979069415,0.979069415,0.185493752,0.217609642,0.201551697,None,None,1,None,None,1,0.515695067,0.633587786,0.574641427,0.813928359,0.813928359,0.882107281,0.882107281,0.417069243,0.708913649,0.562991446,0.588321644,0.588321644,0.708155594,0.708155594,0.454425363,0.717692308,0.586058835,None,None,1,None,None,1,0.09275834,0.164278328,0.128518334,0.564641371,0.564641371,0.928480012,0.928480012,0.042424242,0.207913401,0.125168821,0.204047658,0.204047658,0.834510842,0.834510842,0.063477738,0.217158751,0.140318244,None,None,1,None,None,1
FairGPparity*,s_as_input=True,7,0.802784684,0.518577707,0.896980932,0.707779319,0.443921136,0.844930662,0.844930662,0.966288282,0.840813464,0.796500174,0.818656819,1.055635004,1.055635004,1.04431329,1.04431329,0.857099049,0.776714748,0.816906899,1.103492693,1.103492693,1.080384301,1.080384301,0.848231827,0.771853585,0.810042706,None,None,1,None,None,1,0.497925311,0.520778073,0.509351692,0.956118042,0.956118042,0.977147239,0.977147239,0.679245283,0.490619137,0.58493221,1.384465529,1.384465529,1.188626146,1.188626146,0.603873239,0.493540052,0.548706646,None,None,1,None,None,1,0.910548523,0.894455788,0.902502155,1.01799165,1.01799165,1.016092736,1.016092736,0.879930796,0.907550408,0.893740602,0.969566857,0.969566857,0.972380388,0.972380388,0.887842466,0.904891304,0.896366885,None,None,1,None,None,1,0.089451477,0.105544212,0.097497845,0.84752612,0.84752612,0.983907264,0.983907264,0.120069204,0.092449592,0.106259398,1.298753201,1.298753201,1.027619612,1.027619612,0.112157534,0.095108696,0.103633115,None,None,1,None,None,1,0.502074689,0.479221927,0.490648308,1.04768722,1.04768722,1.022852761,1.022852761,0.320754717,0.509380863,0.41506779,0.629695264,0.629695264,0.811373854,0.811373854,0.396126761,0.506459948,0.451293354,None,None,1,None,None,1,0.158485273,0.214393325,0.186439299,0.739226716,0.739226716,0.944091949,0.944091949,0.183685986,0.217397704,0.200541845,0.844930662,0.844930662,0.966288282,0.966288282,0.180746562,0.223967909,0.202357235,None,None,1,None,None,1,0.530973451,0.636756757,0.583865104,0.833871719,0.833871719,0.894216695,0.894216695,0.420701169,0.708192282,0.564446725,0.594049356,0.594049356,0.712508887,0.712508887,0.466032609,0.712686567,0.589359588,None,None,1,None,None,1,0.100833333,0.159905591,0.130369462,0.630580412,0.630580412,0.940927743,0.940927743,0.044703231,0.204250517,0.124476874,0.218864712,0.218864712,0.840452713,0.840452713,0.067446043,0.211070429,0.139258236,None,None,1,None,None,1
FairGPparity*,s_as_input=True,8,0.80099453,0.504194966,0.899364407,0.701779686,0.435350848,0.778448029,0.778448029,0.95199816,0.835434174,0.795293845,0.815364009,1.050472324,1.050472324,1.040140329,1.040140329,0.866605336,0.769502502,0.818053919,1.126189107,1.126189107,1.097102834,1.097102834,0.854639684,0.764784275,0.809711979,None,None,1,None,None,1,0.42081448,0.512269939,0.466542209,0.821470182,0.821470182,0.908544541,0.908544541,0.654986523,0.477954972,0.566470747,1.370393785,1.370393785,1.177031551,1.177031551,0.57037037,0.48599083,0.5281806,None,None,1,None,None,1,0.911350456,0.897084318,0.904217387,1.015902783,1.015902783,1.014266137,1.014266137,0.893771626,0.902831403,0.898301515,0.989965151,0.989965151,0.990940223,0.990940223,0.898348519,0.900247525,0.899298022,None,None,1,None,None,1,0.088649544,0.102915682,0.095782613,0.861380335,0.861380335,0.985733863,0.985733863,0.106228374,0.097168597,0.101698485,1.0932377,1.0932377,1.009059777,1.009059777,0.101651481,0.099752475,0.100701978,None,None,1,None,None,1,0.57918552,0.487730061,0.533457791,1.187512451,1.187512451,1.091455459,1.091455459,0.345013477,0.522045028,0.433529253,0.66088835,0.66088835,0.822968449,0.822968449,0.42962963,0.51400917,0.4718194,None,None,1,None,None,1,0.140056022,0.211197404,0.175626713,0.663152198,0.663152198,0.928858619,0.928858619,0.16865992,0.21666176,0.19266084,0.778448029,0.778448029,0.95199816,0.95199816,0.164116486,0.22605364,0.195085063,None,None,1,None,None,1,0.465,0.641602634,0.553301317,0.724747648,0.724747648,0.823397366,0.823397366,0.441818182,0.692255435,0.567036808,0.638229994,0.638229994,0.749562747,0.749562747,0.463157895,0.703021371,0.583089633,None,None,1,None,None,1,0.104234528,0.163556209,0.133895368,0.637300953,0.637300953,0.940678319,0.940678319,0.04721505,0.209131905,0.128173478,0.225766842,0.225766842,0.838083144,0.838083144,0.068497195,0.217176065,0.14283663,None,None,1,None,None,1
FairGPparity*,s_as_input=True,9,0.800795624,0.500998801,0.900158898,0.70057885,0.433888054,0.821789499,0.821789499,0.962227977,0.83550377,0.794904607,0.815204188,1.051074258,1.051074258,1.040599163,1.040599163,0.862312174,0.771268767,0.81679047,1.118043685,1.118043685,1.091043408,1.091043408,0.849570552,0.767558528,0.80856454,None,None,1,None,None,1,0.438297872,0.507495591,0.472896732,0.863648631,0.863648631,0.930802282,0.930802282,0.660377358,0.47326454,0.566820949,1.395366232,1.395366232,1.187112818,1.187112818,0.582887701,0.477342945,0.530115323,None,None,1,None,None,1,0.911764706,0.897914033,0.904839369,1.015425389,1.015425389,1.013850673,1.013850673,0.888235294,0.907550408,0.897892851,0.978717311,0.978717311,0.980684887,0.980684887,0.892145703,0.907132244,0.899638973,None,None,1,None,None,1,0.088235294,0.102085967,0.095160631,0.864323438,0.864323438,0.986149327,0.986149327,0.111764706,0.092449592,0.102107149,1.208925891,1.208925891,1.019315113,1.019315113,0.107854297,0.092867756,0.100361027,None,None,1,None,None,1,0.561702128,0.492504409,0.527103268,1.140501724,1.140501724,1.069197718,1.069197718,0.339622642,0.52673546,0.433179051,0.644768897,0.644768897,0.812887182,0.812887182,0.417112299,0.522657055,0.469884677,None,None,1,None,None,1,0.144619602,0.209050721,0.176835162,0.691791933,0.691791933,0.935568881,0.935568881,0.174179699,0.211951722,0.193065711,0.821789499,0.821789499,0.962227977,0.962227977,0.173251534,0.217725753,0.195488643,None,None,1,None,None,1,0.488151659,0.640511964,0.564331812,0.762127307,0.762127307,0.847639694,0.847639694,0.431338028,0.700694444,0.566016236,0.615586482,0.615586482,0.730643584,0.730643584,0.463172805,0.711981567,0.587577186,None,None,1,None,None,1,0.105769231,0.164288866,0.135029048,0.643800358,0.643800358,0.941480365,0.941480365,0.046787969,0.20974972,0.128268844,0.223065703,0.223065703,0.837038249,0.837038249,0.069456812,0.216973065,0.143214939,None,None,1,None,None,1
