algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
UGP_dem_par_in_True_tar_0.1,s_as_input=True,0,0.794728991,0.349980024,0.942134534,0.646057279,0.374866691,0.942847973,0.942847973,0.992476691,0.826950355,0.789473684,0.808212019,1.047470449,1.047470449,1.03747667,1.03747667,0.882194245,0.751302277,0.816748261,1.174220113,1.174220113,1.130891967,1.130891967,0.863614341,0.746752151,0.805183246,None,None,1,None,None,1,0.34529148,0.350438596,0.347865038,0.985312358,0.985312358,0.994852883,0.994852883,0.231182796,0.370717973,0.300950384,0.623608275,0.623608275,0.860464823,0.860464823,0.270566728,0.372188139,0.321377433,None,None,1,None,None,1,0.917438922,0.946739984,0.932089453,0.96905057,0.96905057,0.970698937,0.970698937,0.963900135,0.928073235,0.945986685,1.038603527,1.038603527,1.0358269,1.0358269,0.954202737,0.931251574,0.942727155,None,None,1,None,None,1,0.082561078,0.053260016,0.067910547,1.55015122,1.55015122,1.029301063,1.029301063,0.036099865,0.071926765,0.054013315,0.501897518,0.501897518,0.9641731,0.9641731,0.045797263,0.068748426,0.057272845,None,None,1,None,None,1,0.65470852,0.649561404,0.652134962,1.007923988,1.007923988,1.005147117,1.005147117,0.768817204,0.629282027,0.699049616,1.221737108,1.221737108,1.139535177,1.139535177,0.729433272,0.627811861,0.678622567,None,None,1,None,None,1,0.124113475,0.131636784,0.12787513,0.942847973,0.942847973,0.992476691,0.992476691,0.057853717,0.166691472,0.112272594,0.347070647,0.347070647,0.891162245,0.891162245,0.075581395,0.168888139,0.122234767,None,None,1,None,None,1,0.44,0.702108963,0.571054482,0.626683354,0.626683354,0.737891037,0.737891037,0.445595855,0.705357143,0.575476499,0.631730832,0.631730832,0.740238712,0.740238712,0.474358974,0.727272727,0.600815851,None,None,1,None,None,1,0.118218623,0.197282536,0.15775058,0.599235116,0.599235116,0.920936087,0.920936087,0.090995864,0.239507055,0.165251459,0.379929785,0.379929785,0.851488809,0.851488809,0.104559748,0.249289484,0.176924616,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.1,s_as_input=True,1,0.795822974,0.349980024,0.943591102,0.646785563,0.378086175,1.009071417,1.009071417,1.001173146,0.807801418,0.793869289,0.800835354,1.017549652,1.017549652,1.01393213,1.01393213,0.882495457,0.753442914,0.817969186,1.17128377,1.17128377,1.129052543,1.129052543,0.859106529,0.752716937,0.805911733,None,None,1,None,None,1,0.304932735,0.354385965,0.32965935,0.860453758,0.860453758,0.950546771,0.950546771,0.194366197,0.375698324,0.285032261,0.517346458,0.517346458,0.818667873,0.818667873,0.241573034,0.379380396,0.310476715,None,None,1,None,None,1,0.902274642,0.951296151,0.926785396,0.948468719,0.948468719,0.950978491,0.950978491,0.965388531,0.929641694,0.947515112,1.038452274,1.038452274,1.035746837,1.035746837,0.952259887,0.935942173,0.94410103,None,None,1,None,None,1,0.097725358,0.048703849,0.073214604,2.006522271,2.006522271,1.049021509,1.049021509,0.034611469,0.070358306,0.052484888,0.491931531,0.491931531,0.964253163,0.964253163,0.047740113,0.064057827,0.05589897,None,None,1,None,None,1,0.695067265,0.645614035,0.67034065,1.076598752,1.076598752,1.049453229,1.049453229,0.805633803,0.624301676,0.714967739,1.290455935,1.290455935,1.181332127,1.181332127,0.758426966,0.620619604,0.689523285,None,None,1,None,None,1,0.130496454,0.129323308,0.129909881,1.009071417,1.009071417,1.001173146,1.001173146,0.051786796,0.16748112,0.109633958,0.309209755,0.309209755,0.884305676,0.884305676,0.073146784,0.167864906,0.120505845,None,None,1,None,None,1,0.369565217,0.722719141,0.546142179,0.511353853,0.511353853,0.646846076,0.646846076,0.403508772,0.713527851,0.558518312,0.565512294,0.565512294,0.68998092,0.68998092,0.432885906,0.744023904,0.588454905,None,None,1,None,None,1,0.126427406,0.195562641,0.160995024,0.646480358,0.646480358,0.930864765,0.930864765,0.091344618,0.238527215,0.164935916,0.382952606,0.382952606,0.852817404,0.852817404,0.107256356,0.245529435,0.176392896,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.1,s_as_input=True,2,0.799701641,0.365161806,0.943723517,0.654442661,0.393106105,0.958331802,0.958331802,0.994418534,0.829787234,0.794794679,0.812290957,1.044027163,1.044027163,1.034992555,1.034992555,0.885669782,0.759386413,0.822528098,1.166296587,1.166296587,1.126283368,1.126283368,0.864601549,0.75677462,0.810688084,None,None,1,None,None,1,0.367713004,0.364912281,0.366312643,1.00767506,1.00767506,1.002800724,1.002800724,0.23180593,0.38836773,0.31008683,0.596872274,0.596872274,0.8434382,0.8434382,0.280797101,0.389031266,0.334914184,None,None,1,None,None,1,0.916596462,0.948782404,0.932689433,0.966076582,0.966076582,0.967814058,0.967814058,0.97111659,0.927222576,0.949169583,1.047339243,1.047339243,1.043894014,1.043894014,0.957983193,0.93172397,0.944853582,None,None,1,None,None,1,0.083403538,0.051217596,0.067310567,1.62841571,1.62841571,1.032185942,1.032185942,0.02888341,0.072777424,0.050830417,0.396873206,0.396873206,0.956105986,0.956105986,0.042016807,0.06827603,0.055146418,None,None,1,None,None,1,0.632286996,0.635087719,0.633687357,0.995590021,0.995590021,0.997199276,0.997199276,0.76819407,0.61163227,0.68991317,1.25597374,1.25597374,1.1565618,1.1565618,0.719202899,0.610968734,0.665085816,None,None,1,None,None,1,0.128368794,0.13395026,0.131159527,0.958331802,0.958331802,0.994418534,0.994418534,0.052336449,0.171073776,0.111705113,0.305929112,0.305929112,0.881262672,0.881262672,0.074943792,0.171678784,0.123311288,None,None,1,None,None,1,0.453038674,0.718480138,0.585759406,0.630551424,0.630551424,0.734558536,0.734558536,0.511904762,0.707087959,0.60949636,0.723961928,0.723961928,0.804816803,0.804816803,0.516666667,0.730510106,0.623588386,None,None,1,None,None,1,0.114727421,0.193401897,0.154064659,0.593207319,0.593207319,0.921325524,0.921325524,0.093688363,0.229820233,0.161754298,0.407659334,0.407659334,0.86386813,0.86386813,0.10721037,0.237781767,0.172496069,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.1,s_as_input=False,0,0.802585778,0.342389133,0.955111229,0.648750181,0.397366246,0.608612328,0.608612328,0.95074265,0.85177305,0.794563331,0.823168191,1.072001458,1.072001458,1.057209718,1.057209718,0.897182254,0.755618396,0.826400325,1.187348349,1.187348349,1.141563859,1.141563859,0.877664729,0.750295259,0.813979994,None,None,1,None,None,1,0.273542601,0.349122807,0.311332704,0.783513982,0.783513982,0.924419794,0.924419794,0.228494624,0.362271234,0.295382929,0.630728035,0.630728035,0.866223389,0.866223389,0.243144424,0.370143149,0.306643787,None,None,1,None,None,1,0.960404381,0.954124116,0.957264249,1.00658223,1.00658223,1.006280265,1.006280265,0.981106613,0.93831735,0.959711981,1.045602123,1.045602123,1.042789263,1.042789263,0.974588104,0.937547217,0.956067661,None,None,1,None,None,1,0.039595619,0.045875884,0.042735751,0.863103138,0.863103138,0.993719735,0.993719735,0.018893387,0.06168265,0.040288019,0.306299862,0.306299862,0.957210737,0.957210737,0.025411896,0.062452783,0.043932339,None,None,1,None,None,1,0.726457399,0.650877193,0.688667296,1.116120532,1.116120532,1.075580206,1.075580206,0.771505376,0.637728766,0.704617071,1.209770388,1.209770388,1.133776611,1.133776611,0.756855576,0.629856851,0.693356213,None,None,1,None,None,1,0.076595745,0.125853094,0.101224419,0.608612328,0.608612328,0.95074265,0.95074265,0.042266187,0.157017413,0.0996418,0.269181527,0.269181527,0.885248774,0.885248774,0.054263566,0.163995276,0.109129421,None,None,1,None,None,1,0.564814815,0.731617647,0.648216231,0.772008189,0.772008189,0.833197168,0.833197168,0.602836879,0.731753555,0.667295217,0.82382501,0.82382501,0.871083325,0.871083325,0.59375,0.744855967,0.669302984,None,None,1,None,None,1,0.124423963,0.196374223,0.160399093,0.633606394,0.633606394,0.928049741,0.928049741,0.089827856,0.239936441,0.164882148,0.374381881,0.374381881,0.849891415,0.849891415,0.106045082,0.24863774,0.177341411,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.1,s_as_input=False,1,0.804475385,0.350779065,0.954846398,0.652812732,0.404875264,0.650953778,0.650953778,0.955506196,0.855319149,0.796182765,0.825750957,1.074274886,1.074274886,1.059136384,1.059136384,0.897334949,0.759070043,0.828202496,1.182150392,1.182150392,1.138264906,1.138264906,0.880461463,0.752716937,0.8165892,None,None,1,None,None,1,0.304932735,0.355263158,0.330097947,0.858329181,0.858329181,0.949669578,0.949669578,0.216901408,0.372905028,0.294903218,0.581653215,0.581653215,0.843996381,0.843996381,0.254681648,0.376841036,0.315761342,None,None,1,None,None,1,0.958719461,0.954124116,0.956421789,1.004816296,1.004816296,1.004595345,1.004595345,0.979300984,0.939196526,0.959248755,1.042700817,1.042700817,1.040104459,1.040104459,0.974858757,0.937188435,0.956023596,None,None,1,None,None,1,0.041280539,0.045875884,0.043578211,0.899830931,0.899830931,0.995404655,0.995404655,0.020699016,0.060803474,0.040751245,0.340424887,0.340424887,0.959895541,0.959895541,0.025141243,0.062811565,0.043976404,None,None,1,None,None,1,0.695067265,0.644736842,0.669902053,1.078063512,1.078063512,1.050330422,1.050330422,0.783098592,0.627094972,0.705096782,1.248771919,1.248771919,1.156003619,1.156003619,0.745318352,0.623158964,0.684238658,None,None,1,None,None,1,0.082978723,0.127472527,0.105225625,0.650953778,0.650953778,0.955506196,0.955506196,0.041792853,0.160077003,0.100934928,0.261079681,0.261079681,0.88171585,0.88171585,0.055228277,0.166192944,0.110710611,None,None,1,None,None,1,0.581196581,0.735027223,0.658111902,0.790714361,0.790714361,0.846169358,0.846169358,0.557971014,0.740980574,0.649475794,0.753017062,0.753017062,0.816990441,0.816990441,0.604444444,0.746478873,0.675461659,None,None,1,None,None,1,0.119876257,0.194882673,0.157379465,0.615120139,0.615120139,0.924993584,0.924993584,0.087863464,0.23748237,0.162672917,0.369978892,0.369978892,0.850381094,0.850381094,0.103403481,0.246039703,0.174721592,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.1,s_as_input=False,2,0.802585778,0.359168997,0.949549788,0.654359393,0.400493918,0.669438401,0.669438401,0.955874137,0.85177305,0.794563331,0.823168191,1.072001458,1.072001458,1.057209718,1.057209718,0.893146417,0.760116874,0.826631646,1.17501196,1.17501196,1.133029544,1.133029544,0.87509368,0.75462657,0.814860125,None,None,1,None,None,1,0.313901345,0.363596491,0.338748918,0.863323362,0.863323362,0.950304854,0.950304854,0.223719677,0.382739212,0.303229444,0.584522488,0.584522488,0.840980465,0.840980465,0.262681159,0.386468478,0.324574819,None,None,1,None,None,1,0.952822241,0.948939513,0.950880877,1.00409165,1.00409165,1.003882728,1.003882728,0.980626981,0.93082962,0.955728301,1.053497826,1.053497826,1.049797361,1.049797361,0.973051289,0.929773226,0.951412258,None,None,1,None,None,1,0.047177759,0.051060487,0.049119123,0.923958266,0.923958266,0.996117272,0.996117272,0.019373019,0.06917038,0.044271699,0.280076801,0.280076801,0.950202639,0.950202639,0.026948711,0.070226774,0.048587742,None,None,1,None,None,1,0.686098655,0.636403509,0.661251082,1.078087479,1.078087479,1.049695146,1.049695146,0.776280323,0.617260788,0.696770556,1.257621314,1.257621314,1.159019535,1.159019535,0.737318841,0.613531522,0.675425181,None,None,1,None,None,1,0.089361702,0.133487565,0.111424634,0.669438401,0.669438401,0.955874137,0.955874137,0.042990654,0.166837107,0.104913881,0.25768041,0.25768041,0.876153547,0.876153547,0.059455408,0.172174488,0.115814948,None,None,1,None,None,1,0.555555556,0.718370884,0.63696322,0.773354778,0.773354778,0.837184672,0.837184672,0.601449275,0.714535902,0.657992589,0.841734157,0.841734157,0.886913373,0.886913373,0.609243697,0.723608445,0.666426071,None,None,1,None,None,1,0.119158879,0.193699106,0.156428992,0.615175161,0.615175161,0.925459773,0.925459773,0.09375,0.230755743,0.162252871,0.406273746,0.406273746,0.862994257,0.862994257,0.10810093,0.238922156,0.173511543,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.2,s_as_input=True,0,0.80397812,0.435876948,0.925979873,0.68092841,0.422461705,0.978063027,0.978063027,0.996389091,0.815602837,0.802082128,0.808842483,1.016857013,1.016857013,1.013520708,1.013520708,0.887889688,0.762315821,0.825102755,1.164726828,1.164726828,1.125573867,1.125573867,0.866521318,0.760418424,0.813469871,None,None,1,None,None,1,0.426008969,0.436842105,0.431425537,0.975201253,0.975201253,0.989166863,0.989166863,0.317204301,0.456593149,0.386898725,0.6947198,0.6947198,0.860611152,0.860611152,0.361974406,0.456543967,0.409259187,None,None,1,None,None,1,0.888795282,0.932914375,0.910854829,0.952708314,0.952708314,0.955880907,0.955880907,0.95951417,0.904315606,0.931914888,1.061039048,1.061039048,1.055198564,1.055198564,0.943591176,0.910098212,0.926844694,None,None,1,None,None,1,0.111204718,0.067085625,0.089145171,1.657653463,1.657653463,1.044119093,1.044119093,0.04048583,0.095684394,0.068085112,0.423118423,0.423118423,0.944801436,0.944801436,0.056408824,0.089901788,0.073155306,None,None,1,None,None,1,0.573991031,0.563157895,0.568574463,1.019236411,1.019236411,1.010833137,1.010833137,0.682795699,0.543406851,0.613101275,1.256509183,1.256509183,1.139388848,1.139388848,0.638025594,0.543456033,0.590740813,None,None,1,None,None,1,0.160992908,0.164603817,0.162798363,0.978063027,0.978063027,0.996389091,0.996389091,0.071342926,0.21015032,0.140746623,0.339485211,0.339485211,0.861192606,0.861192606,0.096899225,0.210899275,0.15389925,None,None,1,None,None,1,0.418502203,0.699929726,0.559215964,0.597920316,0.597920316,0.718572477,0.718572477,0.495798319,0.689093484,0.592445902,0.719493553,0.719493553,0.806704835,0.806704835,0.495,0.7144,0.6047,None,None,1,None,None,1,0.108199493,0.177790086,0.142994789,0.608580013,0.608580013,0.930409407,0.930409407,0.08198838,0.218202374,0.150095377,0.375744672,0.375744672,0.863786005,0.863786005,0.09361588,0.227282446,0.160449163,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.2,s_as_input=True,1,0.802088513,0.415900919,0.930084746,0.672992832,0.41224608,0.978817757,0.978817757,0.996684838,0.814893617,0.8,0.807446809,1.018617021,1.018617021,1.014893617,1.014893617,0.8924894,0.757885384,0.825187392,1.177604713,1.177604713,1.134604016,1.134604016,0.867452135,0.757565624,0.81250888,None,None,1,None,None,1,0.399103139,0.41754386,0.408323499,0.955835249,0.955835249,0.981559279,0.981559279,0.295774648,0.43575419,0.365764419,0.678764897,0.678764897,0.860020458,0.860020458,0.335205993,0.437785678,0.386495835,None,None,1,None,None,1,0.893007582,0.936999214,0.915003398,0.953050513,0.953050513,0.956008368,0.956008368,0.964370546,0.908143322,0.936256934,1.061914482,1.061914482,1.056227224,1.056227224,0.947740113,0.914506481,0.931123297,None,None,1,None,None,1,0.106992418,0.063000786,0.084996602,1.698271171,1.698271171,1.043991632,1.043991632,0.035629454,0.091856678,0.063743066,0.387880932,0.387880932,0.943772776,0.943772776,0.052259887,0.085493519,0.068876703,None,None,1,None,None,1,0.600896861,0.58245614,0.591676501,1.031660273,1.031660273,1.018440721,1.018440721,0.704225352,0.56424581,0.634235581,1.248082555,1.248082555,1.139979542,1.139979542,0.664794007,0.562214322,0.613504165,None,None,1,None,None,1,0.153191489,0.156506651,0.15484907,0.978817757,0.978817757,0.996684838,0.996684838,0.06359782,0.201243892,0.132420856,0.316023602,0.316023602,0.862353928,0.862353928,0.089347079,0.201471326,0.145409202,None,None,1,None,None,1,0.412037037,0.703621582,0.557829309,0.585594655,0.585594655,0.708415455,0.708415455,0.5,0.688741722,0.594370861,0.725961538,0.725961538,0.811258278,0.811258278,0.491758242,0.715352697,0.603555469,None,None,1,None,None,1,0.112227806,0.182117389,0.147172597,0.616238825,0.616238825,0.930110417,0.930110417,0.080853816,0.224694105,0.15277396,0.359839509,0.359839509,0.856159712,0.856159712,0.095687332,0.23178392,0.163735626,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.2,s_as_input=True,2,0.802187966,0.443867359,0.920948093,0.682407726,0.420073709,1.007239651,1.007239651,1.001228521,0.805673759,0.801619433,0.803646596,1.005057669,1.005057669,1.004054326,1.004054326,0.882242991,0.764645727,0.823444359,1.153793135,1.153793135,1.117597264,1.117597264,0.858855858,0.764705882,0.81178087,None,None,1,None,None,1,0.426008969,0.445614035,0.435811502,0.956004378,0.956004378,0.980394934,0.980394934,0.301886792,0.468574109,0.385230451,0.644266908,0.644266908,0.833312684,0.833312684,0.349637681,0.470527934,0.410082808,None,None,1,None,None,1,0.877000842,0.929143755,0.903072299,0.943880684,0.943880684,0.947857088,0.947857088,0.958083832,0.8985784,0.928331116,1.066221748,1.066221748,1.059505432,1.059505432,0.940307157,0.904657401,0.922482279,None,None,1,None,None,1,0.122999158,0.070856245,0.096927701,1.735897201,1.735897201,1.052142912,1.052142912,0.041916168,0.1014216,0.071668884,0.413286398,0.413286398,0.940494568,0.940494568,0.059692843,0.095342599,0.077517721,None,None,1,None,None,1,0.573991031,0.554385965,0.564188498,1.035363569,1.035363569,1.019605066,1.019605066,0.698113208,0.531425891,0.614769549,1.313660511,1.313660511,1.166687316,1.166687316,0.650362319,0.529472066,0.589917192,None,None,1,None,None,1,0.170921986,0.169693464,0.170307725,1.007239651,1.007239651,1.001228521,1.001228521,0.071962617,0.21577794,0.143870278,0.333503123,0.333503123,0.856184677,0.856184677,0.099675244,0.216292135,0.157983689,None,None,1,None,None,1,0.394190871,0.69256987,0.543380371,0.569171268,0.569171268,0.701621001,0.701621001,0.484848485,0.676371022,0.580609754,0.71683805,0.71683805,0.808477463,0.808477463,0.483709273,0.701298701,0.592503987,None,None,1,None,None,1,0.109495295,0.176093619,0.142794457,0.621801605,0.621801605,0.933401676,0.933401676,0.086941927,0.211065574,0.14900375,0.411919032,0.411919032,0.875876353,0.875876353,0.099611543,0.217794645,0.158703094,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.2,s_as_input=False,0,0.807757335,0.425489413,0.934454449,0.679971931,0.429884906,0.609231853,0.609231853,0.935858878,0.862411348,0.798843262,0.830627305,1.079575166,1.079575166,1.063568086,1.063568086,0.893884892,0.764994791,0.829439841,1.16848494,1.16848494,1.128890101,1.128890101,0.878391473,0.758562511,0.818476992,None,None,1,None,None,1,0.381165919,0.429824561,0.40549524,0.88679418,0.88679418,0.951341358,0.951341358,0.298387097,0.447677147,0.373032122,0.666522959,0.666522959,0.85070995,0.85070995,0.330895795,0.45194274,0.391419268,None,None,1,None,None,1,0.952822241,0.931029065,0.941925653,1.023407621,1.023407621,1.021793176,1.021793176,0.968623482,0.912380122,0.940501802,1.061644657,1.061644657,1.05624336,1.05624336,0.962021782,0.909594561,0.935808171,None,None,1,None,None,1,0.047177759,0.068970935,0.058074347,0.684023773,0.684023773,0.978206824,0.978206824,0.031376518,0.087619878,0.059498198,0.358098173,0.358098173,0.94375664,0.94375664,0.037978218,0.090405439,0.064191829,None,None,1,None,None,1,0.618834081,0.570175439,0.59450476,1.085339772,1.085339772,1.048658642,1.048658642,0.701612903,0.552322853,0.626967878,1.2702949,1.2702949,1.14929005,1.14929005,0.669104205,0.54805726,0.608580732,None,None,1,None,None,1,0.1,0.164141122,0.132070561,0.609231853,0.609231853,0.935858878,0.935858878,0.061151079,0.201815746,0.131483413,0.303004499,0.303004499,0.859335333,0.859335333,0.076792636,0.209718239,0.143255437,None,None,1,None,None,1,0.602836879,0.690627202,0.646732041,0.872883196,0.872883196,0.912209677,0.912209677,0.544117647,0.703539823,0.623828735,0.773399926,0.773399926,0.840577824,0.840577824,0.570977918,0.711182623,0.64108027,None,None,1,None,None,1,0.108747045,0.179905895,0.14432647,0.604466267,0.604466267,0.92884115,0.92884115,0.083333333,0.219466716,0.151400025,0.379708298,0.379708298,0.863866617,0.863866617,0.096037785,0.228864219,0.162451002,None,None,1,None,None,1
