algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
UGP_dem_par_in_True_tar_0.5,s_as_input=True,0,0.710989557,0.79145026,0.684322034,0.737886147,0.415061361,0.656597426,0.656597426,0.832241221,0.710449927,0.711075256,0.710762592,0.999120587,0.999120587,0.999374671,0.999374671,0.734743944,0.699587872,0.717165908,1.050252546,1.050252546,1.035156072,1.035156072,0.730931677,0.697678275,0.714304976,None,None,1,None,None,1,0.69955157,0.800438596,0.749995083,0.873960317,0.873960317,0.899112973,0.899112973,0.74393531,0.799718574,0.771826942,0.930246382,0.930246382,0.944216736,0.944216736,0.73880597,0.805795628,0.772300799,None,None,1,None,None,1,0.712554113,0.679224637,0.695889375,1.049069887,1.049069887,1.033329476,1.033329476,0.733564014,0.653796654,0.693680334,1.122006376,1.122006376,1.07976736,1.07976736,0.729721983,0.645335959,0.687528971,None,None,1,None,None,1,0.287445887,0.320775363,0.304110625,0.896097145,0.896097145,0.966670524,0.966670524,0.266435986,0.346203346,0.306319666,0.769593908,0.769593908,0.92023264,0.92023264,0.270278017,0.354664041,0.312471029,None,None,1,None,None,1,0.30044843,0.199561404,0.250004917,1.505543784,1.505543784,1.100887027,1.100887027,0.25606469,0.200281426,0.228173058,1.278524401,1.278524401,1.055783264,1.055783264,0.26119403,0.194204372,0.227699201,None,None,1,None,None,1,0.35413643,0.446813415,0.400474922,0.792582357,0.792582357,0.907323015,0.907323015,0.320760503,0.488519282,0.404639892,0.656597426,0.656597426,0.832241221,0.832241221,0.332670807,0.501824212,0.41724751,None,None,1,None,None,1,0.319672131,0.470724787,0.395198459,0.679106221,0.679106221,0.848947344,0.848947344,0.263862333,0.513708948,0.388785641,0.51364169,0.51364169,0.750153384,0.750153384,0.295743092,0.523793787,0.40976844,None,None,1,None,None,1,0.075280899,0.094791667,0.085036283,0.79417212,0.79417212,0.980489232,0.980489232,0.042889391,0.122877698,0.082883544,0.349041293,0.349041293,0.920011693,0.920011693,0.052122115,0.127163782,0.089642948,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.5,s_as_input=True,1,0.713475883,0.796644027,0.685911017,0.741277522,0.420967378,0.693198076,0.693198076,0.852063129,0.730192719,0.710769586,0.720481153,1.027326905,1.027326905,1.019423133,1.019423133,0.729837473,0.705622608,0.717730041,1.03431702,1.03431702,1.024214865,1.024214865,0.731280788,0.701417848,0.716349318,None,None,1,None,None,1,0.793721973,0.796929825,0.795325899,0.995974738,0.995974738,0.996792149,0.996792149,0.781671159,0.799249531,0.790460345,0.978006403,0.978006403,0.982421628,0.982421628,0.785454545,0.799795187,0.792624866,None,None,1,None,None,1,0.718166384,0.679949796,0.69905809,1.056205014,1.056205014,1.038216588,1.038216588,0.723183391,0.662805663,0.692994527,1.091094165,1.091094165,1.060377728,1.060377728,0.722792023,0.653884216,0.688338119,None,None,1,None,None,1,0.281833616,0.320050204,0.30094191,0.880591897,0.880591897,0.961783412,0.961783412,0.276816609,0.337194337,0.307005473,0.82094086,0.82094086,0.939622272,0.939622272,0.277207977,0.346115784,0.311661881,None,None,1,None,None,1,0.206278027,0.203070175,0.204674101,1.015796763,1.015796763,1.003207851,1.003207851,0.218328841,0.200750469,0.209539655,1.087563292,1.087563292,1.017578372,1.017578372,0.214545455,0.200204813,0.207375134,None,None,1,None,None,1,0.36331192,0.445689854,0.404500887,0.81516758,0.81516758,0.917622066,0.917622066,0.334253297,0.482190168,0.408221732,0.693198076,0.693198076,0.852063129,0.852063129,0.346059113,0.493911593,0.419985353,None,None,1,None,None,1,0.347740668,0.471091522,0.409416095,0.73815947,0.73815947,0.876649146,0.876649146,0.266055046,0.52014652,0.393100783,0.511500194,0.511500194,0.745908526,0.745908526,0.30747331,0.527524485,0.417498897,None,None,1,None,None,1,0.051569507,0.096518657,0.074044082,0.534295732,0.534295732,0.955050849,0.955050849,0.037309995,0.121660034,0.079485015,0.306674214,0.306674214,0.915649961,0.915649961,0.044444444,0.128872775,0.08665861,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.5,s_as_input=True,2,0.709298856,0.806632042,0.677039195,0.741835618,0.42098245,0.686599477,0.686599477,0.845329415,0.727338129,0.706405078,0.716871604,1.029633212,1.029633212,1.020933052,1.020933052,0.72401104,0.702237268,0.713124154,1.031006289,1.031006289,1.021773771,1.021773771,0.725236436,0.698691403,0.71196392,None,None,1,None,None,1,0.771551724,0.810215764,0.790883744,0.952279329,0.952279329,0.96133596,0.96133596,0.776280323,0.811913696,0.79409701,0.956111872,0.956111872,0.964366627,0.964366627,0.774368231,0.815802976,0.795085603,None,None,1,None,None,1,0.718480138,0.669533938,0.694007038,1.073104883,1.073104883,1.0489462,1.0489462,0.717301038,0.652080652,0.684690845,1.100018895,1.100018895,1.065220386,1.065220386,0.717378753,0.642857143,0.680117948,None,None,1,None,None,1,0.281519862,0.330466062,0.305992962,0.851887362,0.851887362,0.9510538,0.9510538,0.282698962,0.347919348,0.315309155,0.812541653,0.812541653,0.934779614,0.934779614,0.282621247,0.357142857,0.319882052,None,None,1,None,None,1,0.228448276,0.189784236,0.209116256,1.203726298,1.203726298,1.03866404,1.03866404,0.223719677,0.188086304,0.20590299,1.189452245,1.189452245,1.035633373,1.035633373,0.225631769,0.184197024,0.204914397,None,None,1,None,None,1,0.363309353,0.456203116,0.409756234,0.796376306,0.796376306,0.907106237,0.907106237,0.338853113,0.493523697,0.416188405,0.686599477,0.686599477,0.845329415,0.845329415,0.350423096,0.505217823,0.42782046,None,None,1,None,None,1,0.354455446,0.465469264,0.409962355,0.761501291,0.761501291,0.888986182,0.888986182,0.260633484,0.516254101,0.388443792,0.504855039,0.504855039,0.744379383,0.744379383,0.3046875,0.521311475,0.412999488,None,None,1,None,None,1,0.059887006,0.091468591,0.075677798,0.654727542,0.654727542,0.968418415,0.968418415,0.038497217,0.116535891,0.077516554,0.330346444,0.330346444,0.921961326,0.921961326,0.04789272,0.120187479,0.0840401,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.5,s_as_input=False,0,0.735653904,0.800239712,0.714247881,0.757243797,0.451681599,0.542784792,0.542784792,0.777852899,0.750362845,0.733317967,0.741840406,1.023243502,1.023243502,1.017044878,1.017044878,0.794234897,0.707536061,0.750885479,1.122536279,1.122536279,1.086698836,1.086698836,0.784347826,0.703150912,0.743749369,None,None,1,None,None,1,0.748878924,0.805263158,0.777071041,0.929980363,0.929980363,0.943615766,0.943615766,0.754716981,0.808161351,0.781439166,0.933869184,0.933869184,0.94655563,0.94655563,0.75,0.813929842,0.781964921,None,None,1,None,None,1,0.750649351,0.707675473,0.729162412,1.060725402,1.060725402,1.042973878,1.042973878,0.799307958,0.661518662,0.73041331,1.208292381,1.208292381,1.137789297,1.137789297,0.789624534,0.649520059,0.719572297,None,None,1,None,None,1,0.249350649,0.292324527,0.270837588,0.852992569,0.852992569,0.957026122,0.957026122,0.200692042,0.338481338,0.26958669,0.592919073,0.592919073,0.862210703,0.862210703,0.210375466,0.350479941,0.280427703,None,None,1,None,None,1,0.251121076,0.194736842,0.222928959,1.289540662,1.289540662,1.056384234,1.056384234,0.245283019,0.191838649,0.218560834,1.278590211,1.278590211,1.05344437,1.05344437,0.25,0.186070158,0.218035079,None,None,1,None,None,1,0.330188679,0.427106143,0.378647411,0.773083424,0.773083424,0.903082537,0.903082537,0.263722784,0.485869885,0.374796335,0.542784792,0.542784792,0.777852899,0.777852899,0.282236025,0.501658375,0.3919472,None,None,1,None,None,1,0.367032967,0.495412844,0.431222906,0.740862841,0.740862841,0.871620123,0.871620123,0.325581395,0.521963042,0.423772218,0.623763312,0.623763312,0.803618354,0.803618354,0.353873239,0.529256198,0.441564719,None,None,1,None,None,1,0.060671723,0.089318045,0.074994884,0.679277327,0.679277327,0.971353678,0.971353678,0.037900875,0.117091326,0.0774961,0.323686443,0.323686443,0.920809549,0.920809549,0.046382831,0.121797005,0.084089918,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.5,s_as_input=False,1,0.729786176,0.801837795,0.70590572,0.753871757,0.444749842,0.554702452,0.554702452,0.781152706,0.75945753,0.724982667,0.742220099,1.047552673,1.047552673,1.034474863,1.034474863,0.781662067,0.704886665,0.743274366,1.108918789,1.108918789,1.076775402,1.076775402,0.774384236,0.699582986,0.736983611,None,None,1,None,None,1,0.780269058,0.803947368,0.792108213,0.970547437,0.970547437,0.97632169,0.97632169,0.738544474,0.812851782,0.775698128,0.908584431,0.908584431,0.925692692,0.925692692,0.767272727,0.811571941,0.789422334,None,None,1,None,None,1,0.755517827,0.696736743,0.726127285,1.084366275,1.084366275,1.058781084,1.058781084,0.787197232,0.655512656,0.721354944,1.200887924,1.200887924,1.131684576,1.131684576,0.775498575,0.645472538,0.710485557,None,None,1,None,None,1,0.244482173,0.303263257,0.273872715,0.806171429,0.806171429,0.941218916,0.941218916,0.212802768,0.344487344,0.278645056,0.61773755,0.61773755,0.868315424,0.868315424,0.224501425,0.354527462,0.289514443,None,None,1,None,None,1,0.219730942,0.196052632,0.207891787,1.120775273,1.120775273,1.02367831,1.02367831,0.261455526,0.187148218,0.224301872,1.397050578,1.397050578,1.074307308,1.074307308,0.232727273,0.188428059,0.210577666,None,None,1,None,None,1,0.329764454,0.435174486,0.38246947,0.757775248,0.757775248,0.894589968,0.894589968,0.272615762,0.491463056,0.382039409,0.554702452,0.554702452,0.781152706,0.781152706,0.298029557,0.503419516,0.400724536,None,None,1,None,None,1,0.376623377,0.486723314,0.431673345,0.773793582,0.773793582,0.889900063,0.889900063,0.308211474,0.51901767,0.413614572,0.593836186,0.593836186,0.789193804,0.789193804,0.348760331,0.52518224,0.436971285,None,None,1,None,None,1,0.052183174,0.091448445,0.071815809,0.570629424,0.570629424,0.960734728,0.960734728,0.040893761,0.115484805,0.078189283,0.354105119,0.354105119,0.925408956,0.925408956,0.044912281,0.123614377,0.084263329,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.5,s_as_input=False,2,0.729090005,0.79864163,0.706038136,0.752339883,0.442196096,0.565748164,0.565748164,0.787923522,0.748201439,0.726024235,0.737112837,1.030546092,1.030546092,1.022177203,1.022177203,0.781662067,0.703856344,0.742759205,1.11054205,1.11054205,1.077805723,1.077805723,0.772274764,0.700347855,0.736311309,None,None,1,None,None,1,0.737068966,0.804931748,0.771000357,0.915691259,0.915691259,0.932137217,0.932137217,0.754716981,0.806285178,0.78050108,0.936042236,0.936042236,0.948431803,0.948431803,0.75631769,0.81067214,0.783494915,None,None,1,None,None,1,0.750431779,0.697998123,0.724214951,1.075120053,1.075120053,1.052433656,1.052433656,0.785121107,0.657014157,0.721067632,1.194983546,1.194983546,1.12810695,1.12810695,0.77482679,0.647749511,0.71128815,None,None,1,None,None,1,0.249568221,0.302001877,0.275785049,0.826379702,0.826379702,0.947566344,0.947566344,0.214878893,0.342985843,0.278932368,0.626494933,0.626494933,0.87189305,0.87189305,0.22517321,0.352250489,0.28871185,None,None,1,None,None,1,0.262931034,0.195068252,0.228999643,1.347892504,1.347892504,1.067862783,1.067862783,0.245283019,0.193714822,0.21949892,1.266206771,1.266206771,1.051568197,1.051568197,0.24368231,0.18932786,0.216505085,None,None,1,None,None,1,0.330935252,0.433814195,0.382374723,0.762850215,0.762850215,0.897121057,0.897121057,0.276295615,0.488372093,0.382333854,0.565748164,0.565748164,0.787923522,0.787923522,0.298407168,0.500248468,0.399327818,None,None,1,None,None,1,0.37173913,0.486299548,0.429019339,0.764424175,0.764424175,0.885439583,0.885439583,0.310765816,0.518083183,0.414424499,0.599837683,0.599837683,0.792682633,0.792682633,0.349457882,0.523178808,0.436318345,None,None,1,None,None,1,0.065591398,0.090297595,0.077944496,0.726391417,0.726391417,0.975293803,0.975293803,0.038559322,0.11881473,0.078687026,0.32453318,0.32453318,0.919744592,0.919744592,0.047889322,0.122306927,0.085098125,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.4,s_as_input=True,0,0.753555445,0.68717539,0.775556144,0.731365767,0.422484828,0.716607768,0.716607768,0.89400947,0.753265602,0.753601475,0.753433539,0.99955431,0.99955431,0.999664127,0.999664127,0.785648574,0.73815131,0.761899942,1.064346244,1.064346244,1.047497264,1.047497264,0.77689441,0.737976783,0.757435596,None,None,1,None,None,1,0.627802691,0.692982456,0.660392573,0.905943123,0.905943123,0.934820234,0.934820234,0.735849057,0.678705441,0.707277249,1.084195016,1.084195016,1.057143616,1.057143616,0.690298507,0.686324352,0.68831143,None,None,1,None,None,1,0.777489177,0.775207128,0.776348153,1.002943793,1.002943793,1.002282049,1.002282049,0.792041522,0.765336765,0.778689144,1.034892819,1.034892819,1.026704757,1.026704757,0.790197764,0.762983017,0.776590391,None,None,1,None,None,1,0.222510823,0.224792872,0.223651847,0.989848214,0.989848214,0.997717951,0.997717951,0.207958478,0.234663235,0.221310856,0.886199655,0.886199655,0.973295243,0.973295243,0.209802236,0.237016983,0.223409609,None,None,1,None,None,1,0.372197309,0.307017544,0.339607427,1.212299808,1.212299808,1.065179766,1.065179766,0.264150943,0.321294559,0.292722751,0.82214571,0.82214571,0.942856384,0.942856384,0.309701493,0.313675648,0.31168857,None,None,1,None,None,1,0.288098694,0.347816065,0.31795738,0.82830761,0.82830761,0.940282628,0.940282628,0.268015946,0.374006476,0.321011211,0.716607768,0.716607768,0.89400947,0.89400947,0.27378882,0.38358209,0.328685455,None,None,1,None,None,1,0.352644836,0.523525514,0.438085175,0.673596276,0.673596276,0.829119323,0.829119323,0.312356979,0.569460842,0.440908911,0.548513535,0.548513535,0.742896137,0.742896137,0.335753176,0.583657588,0.459705382,None,None,1,None,None,1,0.084607543,0.123696766,0.104152155,0.683991554,0.683991554,0.960910777,0.960910777,0.041055718,0.161062779,0.101059249,0.254905067,0.254905067,0.879992939,0.879992939,0.056790968,0.165994081,0.111392525,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.4,s_as_input=True,1,0.755743411,0.691170595,0.777145127,0.734157861,0.427644188,0.771137703,0.771137703,0.916088316,0.758743754,0.755257684,0.757000719,1.004615736,1.004615736,1.00348607,1.00348607,0.771542472,0.748160141,0.759851306,1.031253109,1.031253109,1.02338233,1.02338233,0.771428571,0.745120934,0.758274753,None,None,1,None,None,1,0.6367713,0.696491228,0.666631264,0.914256023,0.914256023,0.940280072,0.940280072,0.738544474,0.682926829,0.710735652,1.081440123,1.081440123,1.055617645,1.055617645,0.709090909,0.686123912,0.697607411,None,None,1,None,None,1,0.781833616,0.776278632,0.779056124,1.007155916,1.007155916,1.005554984,1.005554984,0.775778547,0.777992278,0.776885412,0.997154559,0.997154559,0.997786269,0.997786269,0.781196581,0.773626917,0.777411749,None,None,1,None,None,1,0.218166384,0.223721368,0.220943876,0.975170077,0.975170077,0.994445016,0.994445016,0.224221453,0.222007722,0.223114588,1.009971416,1.009971416,1.002213731,1.002213731,0.218803419,0.226373083,0.222588251,None,None,1,None,None,1,0.3632287,0.303508772,0.333368736,1.196765079,1.196765079,1.059719928,1.059719928,0.261455526,0.317073171,0.289264348,0.824590504,0.824590504,0.944382355,0.944382355,0.290909091,0.313876088,0.302392589,None,None,1,None,None,1,0.284796574,0.348278253,0.316537413,0.817727124,0.817727124,0.936518321,0.936518321,0.282735357,0.366647042,0.324691199,0.771137703,0.771137703,0.916088316,0.916088316,0.285221675,0.376146789,0.330684232,None,None,1,None,None,1,0.355889724,0.526874585,0.441382155,0.675473318,0.675473318,0.829015139,0.829015139,0.297180043,0.584504215,0.440842129,0.508430967,0.508430967,0.712675828,0.712675828,0.336787565,0.594235033,0.465511299,None,None,1,None,None,1,0.080838323,0.122695035,0.101766679,0.658855699,0.658855699,0.958143288,0.958143288,0.041470714,0.157099698,0.099285206,0.263977045,0.263977045,0.884371016,0.884371016,0.05513439,0.163903743,0.109519067,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.4,s_as_input=True,2,0.757831924,0.689172992,0.780587924,0.734880458,0.42992325,0.754323636,0.754323636,0.910212774,0.769784173,0.755914599,0.762849386,1.01834807,1.01834807,1.013869574,1.013869574,0.778595523,0.747865764,0.763230643,1.041089939,1.041089939,1.030729759,1.030729759,0.777750124,0.74457512,0.761162622,None,None,1,None,None,1,0.629310345,0.695288419,0.662299382,0.905106899,0.905106899,0.934021926,0.934021926,0.738544474,0.680581614,0.709563044,1.085166657,1.085166657,1.057962861,1.057962861,0.702166065,0.685479733,0.693822899,None,None,1,None,None,1,0.797927461,0.777447607,0.787687534,1.026342423,1.026342423,1.020479854,1.020479854,0.783737024,0.778635779,0.781186401,1.006551517,1.006551517,1.005101246,1.005101246,0.789838337,0.772749511,0.781293924,None,None,1,None,None,1,0.202072539,0.222552393,0.212312466,0.907977381,0.907977381,0.979520146,0.979520146,0.216262976,0.221364221,0.218813599,0.97695542,0.97695542,0.994898754,0.994898754,0.210161663,0.227250489,0.218706076,None,None,1,None,None,1,0.370689655,0.304711581,0.337700618,1.216526311,1.216526311,1.065978074,1.065978074,0.261455526,0.319418386,0.290436956,0.818536242,0.818536242,0.942037139,0.942037139,0.297833935,0.314520267,0.306177101,None,None,1,None,None,1,0.273381295,0.346451241,0.309916268,0.789090247,0.789090247,0.926930054,0.926930054,0.275682306,0.365469532,0.320575919,0.754323636,0.754323636,0.910212774,0.910212774,0.277999004,0.375186351,0.326592678,None,None,1,None,None,1,0.384210526,0.525982678,0.455096602,0.730462318,0.730462318,0.858227848,0.858227848,0.304783092,0.584373741,0.444578417,0.521555078,0.521555078,0.720409351,0.720409351,0.348254252,0.589845475,0.469049864,None,None,1,None,None,1,0.085148515,0.122196716,0.103672615,0.696815086,0.696815086,0.962951799,0.962951799,0.041066892,0.157967989,0.099517441,0.259969711,0.259969711,0.883098904,0.883098904,0.056876939,0.162513256,0.109695097,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.4,s_as_input=False,0,0.77652909,0.693168198,0.804157839,0.748663019,0.461126288,0.559083977,0.559083977,0.835548837,0.800435414,0.772732511,0.786583962,1.035850572,1.035850572,1.027702902,1.027702902,0.835939896,0.748012953,0.791976424,1.117547354,1.117547354,1.087926943,1.087926943,0.822360248,0.745936982,0.784148615,None,None,1,None,None,1,0.6367713,0.698684211,0.667727755,0.911386419,0.911386419,0.93808709,0.93808709,0.69541779,0.692776735,0.694097263,1.003812273,1.003812273,1.002641054,1.002641054,0.679104478,0.697000508,0.688052493,None,None,1,None,None,1,0.832034632,0.79912459,0.815579611,1.041182618,1.041182618,1.032910042,1.032910042,0.853979239,0.773273273,0.813626256,1.104369268,1.104369268,1.080705965,1.080705965,0.844368014,0.769628353,0.806998184,None,None,1,None,None,1,0.167965368,0.20087541,0.184420389,0.836166894,0.836166894,0.967089958,0.967089958,0.146020761,0.226726727,0.186373744,0.644038589,0.644038589,0.919294035,0.919294035,0.155631986,0.230371647,0.193001816,None,None,1,None,None,1,0.3632287,0.301315789,0.332272245,1.20547516,1.20547516,1.06191291,1.06191291,0.30458221,0.307223265,0.305902737,0.991403469,0.991403469,0.997358946,0.997358946,0.320895522,0.302999492,0.311947507,None,None,1,None,None,1,0.24383164,0.331681457,0.287756548,0.735137992,0.735137992,0.912150183,0.912150183,0.208524992,0.372976155,0.290750574,0.559083977,0.559083977,0.835548837,0.835548837,0.225341615,0.382587065,0.30396434,None,None,1,None,None,1,0.422619048,0.553509382,0.488064215,0.76352644,0.76352644,0.869109666,0.869109666,0.379411765,0.582872928,0.481142346,0.650933928,0.650933928,0.796538837,0.796538837,0.401323043,0.594278283,0.497800663,None,None,1,None,None,1,0.077735125,0.118468702,0.098101913,0.656165922,0.656165922,0.959266423,0.959266423,0.04378148,0.153755869,0.098768674,0.284746725,0.284746725,0.890025612,0.890025612,0.055163566,0.160085952,0.107624759,None,None,1,None,None,1
