algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
UGP_dem_par_in_True_tar_0.5,s_as_input=True,0,0.614973262,0.625400213,0.60625,0.615825107,0.230731919,0.970409994,0.970409994,0.985142796,0.604591837,0.617417417,0.611004627,0.979227051,0.979227051,0.987174419,0.987174419,0.605477424,0.633144476,0.61931095,0.956302151,0.956302151,0.972332948,0.972332948,0.617021277,0.609403255,0.613212266,None,None,1,None,None,1,0.630434783,0.624530663,0.627482723,1.00945369,1.00945369,1.005904119,1.005904119,0.663109756,0.537366548,0.600238152,1.23399895,1.23399895,1.125743208,1.125743208,0.667605634,0.49339207,0.580498852,None,None,1,None,None,1,0.590551181,0.610854503,0.600702842,0.966762425,0.966762425,0.979696678,0.979696678,0.551079137,0.696470588,0.623774862,0.791245382,0.791245382,0.854608548,0.854608548,0.571788413,0.690184049,0.630986231,None,None,1,None,None,1,0.409448819,0.389145497,0.399297158,1.052174116,1.052174116,1.020303322,1.020303322,0.448920863,0.303529412,0.376225138,1.479002844,1.479002844,1.145391452,1.145391452,0.428211587,0.309815951,0.369013769,None,None,1,None,None,1,0.369565217,0.375469337,0.372517277,0.984275362,0.984275362,0.994095881,0.994095881,0.336890244,0.462633452,0.399761848,0.72820122,0.72820122,0.874256792,0.874256792,0.332394366,0.50660793,0.419501148,None,None,1,None,None,1,0.487244898,0.502102102,0.4946735,0.970409994,0.970409994,0.985142796,0.985142796,0.55292376,0.396600567,0.474762163,1.394157767,1.394157767,1.156323194,1.156323194,0.541223404,0.38517179,0.463197597,None,None,1,None,None,1,0.455497382,0.596889952,0.526193667,0.763117859,0.763117859,0.85860743,0.85860743,0.582329317,0.539285714,0.560807516,1.079815953,1.079815953,1.043043603,1.043043603,0.582309582,0.525821596,0.554065589,None,None,1,None,None,1,0.253731343,0.361881785,0.307806564,0.701144279,0.701144279,0.891849558,0.891849558,0.36589404,0.305164319,0.335529179,1.199006623,1.199006623,1.06072972,1.06072972,0.342028986,0.338235294,0.34013214,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.5,s_as_input=True,1,0.62275158,0.631803629,0.615178571,0.6234911,0.246006383,1.000305013,1.000305013,1.000151682,0.584183673,0.631831832,0.608007753,0.924587278,0.924587278,0.952351842,0.952351842,0.623741007,0.620689655,0.622215331,1.004916067,1.004916067,1.003051352,1.003051352,0.622739018,0.622789784,0.622764401,None,None,1,None,None,1,0.615942029,0.634543179,0.625242604,0.970685762,0.970685762,0.98139885,0.98139885,0.681073025,0.507518797,0.594295911,1.341966109,1.341966109,1.173554228,1.173554228,0.668975069,0.506976744,0.587975907,None,None,1,None,None,1,0.566929134,0.629330254,0.598129694,0.900845193,0.900845193,0.93759888,0.93759888,0.570236439,0.695760599,0.632998519,0.819587141,0.819587141,0.874475841,0.874475841,0.582324455,0.707482993,0.644903724,None,None,1,None,None,1,0.433070866,0.370669746,0.401870306,1.168346947,1.168346947,1.06240112,1.06240112,0.429763561,0.304239401,0.367001481,1.412583506,1.412583506,1.125524159,1.125524159,0.417675545,0.292517007,0.355096276,None,None,1,None,None,1,0.384057971,0.365456821,0.374757396,1.050898352,1.050898352,1.01860115,1.01860115,0.318926975,0.492481203,0.405704089,0.647592178,0.647592178,0.826445772,0.826445772,0.331024931,0.493023256,0.412024093,None,None,1,None,None,1,0.49744898,0.497297297,0.497373138,1.000305013,1.000305013,1.000151682,1.000151682,0.551079137,0.385307346,0.468193242,1.430232623,1.430232623,1.16577179,1.16577179,0.534883721,0.383104126,0.458993923,None,None,1,None,None,1,0.435897436,0.612318841,0.524108138,0.711879836,0.711879836,0.823578595,0.823578595,0.596605744,0.525291829,0.560948786,1.135760565,1.135760565,1.071313915,1.071313915,0.583333333,0.558974359,0.571153846,None,None,1,None,None,1,0.269035533,0.348864994,0.308950264,0.771173771,0.771173771,0.920170539,0.920170539,0.342948718,0.319512195,0.331230457,1.073350949,1.073350949,1.023436523,1.023436523,0.331944444,0.337579618,0.334762031,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.5,s_as_input=True,2,0.630043753,0.637139808,0.624107143,0.630623475,0.260224615,1.038496083,1.038496083,1.01891279,0.566326531,0.645045045,0.605685788,0.877964314,0.877964314,0.921281486,0.921281486,0.61641791,0.655509066,0.635963488,0.940365195,0.940365195,0.960908845,0.960908845,0.618,0.662477558,0.640238779,None,None,1,None,None,1,0.608695652,0.642052566,0.625374109,0.948046445,0.948046445,0.966643086,0.966643086,0.678353659,0.540925267,0.609639463,1.254061698,1.254061698,1.137428392,1.137428392,0.66854725,0.539473684,0.604010467,None,None,1,None,None,1,0.543307087,0.647806005,0.595556546,0.838687945,0.838687945,0.895501082,0.895501082,0.557017544,0.729357798,0.643187671,0.763709588,0.763709588,0.827659746,0.827659746,0.572692794,0.747720365,0.660206579,None,None,1,None,None,1,0.456692913,0.352193995,0.404443454,1.296708403,1.296708403,1.104498918,1.104498918,0.442982456,0.270642202,0.356812329,1.636782635,1.636782635,1.172340254,1.172340254,0.427307206,0.252279635,0.339793421,None,None,1,None,None,1,0.391304348,0.357947434,0.374625891,1.093189419,1.093189419,1.033356914,1.033356914,0.321646341,0.459074733,0.390360537,0.70064048,0.70064048,0.862571608,0.862571608,0.33145275,0.460526316,0.395989533,None,None,1,None,None,1,0.510204082,0.491291291,0.500747686,1.038496083,1.038496083,1.01891279,1.01891279,0.558208955,0.376569038,0.467388996,1.482354892,1.482354892,1.181639918,1.181639918,0.541333333,0.36983842,0.455585877,None,None,1,None,None,1,0.42,0.627139364,0.523569682,0.669707602,0.669707602,0.792860636,0.792860636,0.594919786,0.562962963,0.578941375,1.05676541,1.05676541,1.031956823,1.031956823,0.583743842,0.597087379,0.590415611,None,None,1,None,None,1,0.28125,0.337662338,0.309456169,0.832932692,0.832932692,0.943587662,0.943587662,0.356418919,0.288590604,0.322504761,1.235032998,1.235032998,1.067828315,1.067828315,0.341569767,0.299145299,0.320357533,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.5,s_as_input=False,0,0.631988333,0.651013874,0.616071429,0.633542651,0.266042886,0.824131892,0.824131892,0.907999326,0.645408163,0.628828829,0.637118496,1.026365417,1.026365417,1.016579334,1.016579334,0.623242043,0.648725212,0.635983628,0.960718084,0.960718084,0.97451683,0.97451683,0.629654255,0.638336347,0.633995301,None,None,1,None,None,1,0.608695652,0.658322904,0.633509278,0.924615639,0.924615639,0.950372749,0.950372749,0.68902439,0.56227758,0.625650985,1.225416795,1.225416795,1.12674681,1.12674681,0.68028169,0.559471366,0.619876528,None,None,1,None,None,1,0.665354331,0.601616628,0.633485479,1.105944051,1.105944051,1.063737703,1.063737703,0.561151079,0.705882353,0.633516716,0.794964029,0.794964029,0.855268726,0.855268726,0.584382872,0.693251534,0.638817203,None,None,1,None,None,1,0.334645669,0.398383372,0.366514521,0.840009129,0.840009129,0.936262297,0.936262297,0.438848921,0.294117647,0.366483284,1.492086331,1.492086331,1.144731274,1.144731274,0.415617128,0.306748466,0.361182797,None,None,1,None,None,1,0.391304348,0.341677096,0.366490722,1.145246058,1.145246058,1.049627251,1.049627251,0.31097561,0.43772242,0.374349015,0.710440214,0.710440214,0.87325319,0.87325319,0.31971831,0.440528634,0.380123472,None,None,1,None,None,1,0.431122449,0.523123123,0.477122786,0.824131892,0.824131892,0.907999326,0.907999326,0.560325685,0.400849858,0.480587772,1.397844288,1.397844288,1.159475826,1.159475826,0.540558511,0.410488246,0.475523378,None,None,1,None,None,1,0.49704142,0.603903559,0.55047249,0.823047675,0.823047675,0.893137861,0.893137861,0.597093791,0.558303887,0.577698839,1.06947812,1.06947812,1.038789904,1.038789904,0.594095941,0.559471366,0.576783653,None,None,1,None,None,1,0.242152466,0.343828715,0.292990591,0.704282265,0.704282265,0.898323751,0.898323751,0.343434343,0.290780142,0.317107243,1.181079084,1.181079084,1.052654202,1.052654202,0.328509407,0.306748466,0.317628936,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.5,s_as_input=False,1,0.628099174,0.636072572,0.621428571,0.628750572,0.256488858,0.819683136,0.819683136,0.907404854,0.630102041,0.627627628,0.628864834,1.003942486,1.003942486,1.002474413,1.002474413,0.628776978,0.626686657,0.627731818,1.003335513,1.003335513,1.002090322,1.002090322,0.630490956,0.620825147,0.625658052,None,None,1,None,None,1,0.572463768,0.647058824,0.609761296,0.884716733,0.884716733,0.925404945,0.925404945,0.684053651,0.515037594,0.599545623,1.328162564,1.328162564,1.169016057,1.169016057,0.667590028,0.530232558,0.598911293,None,None,1,None,None,1,0.661417323,0.609699769,0.635558546,1.084824624,1.084824624,1.051717554,1.051717554,0.577190542,0.70074813,0.638969336,0.823677607,0.823677607,0.876442413,0.876442413,0.598062954,0.68707483,0.642568892,None,None,1,None,None,1,0.338582677,0.390300231,0.364441454,0.867492895,0.867492895,0.948282446,0.948282446,0.422809458,0.29925187,0.361030664,1.412888271,1.412888271,1.123557587,1.123557587,0.401937046,0.31292517,0.357431108,None,None,1,None,None,1,0.427536232,0.352941176,0.390238704,1.211352657,1.211352657,1.074595055,1.074595055,0.315946349,0.484962406,0.400454377,0.651486269,0.651486269,0.830983943,0.830983943,0.332409972,0.469767442,0.401088707,None,None,1,None,None,1,0.420918367,0.513513514,0.46721594,0.819683136,0.819683136,0.907404854,0.907404854,0.548920863,0.385307346,0.467114105,1.42463119,1.42463119,1.163613517,1.163613517,0.525839793,0.404715128,0.46527746,None,None,1,None,None,1,0.478787879,0.604678363,0.541733121,0.791805873,0.791805873,0.874109516,0.874109516,0.601572739,0.53307393,0.567323335,1.128497766,1.128497766,1.068498809,1.068498809,0.592137592,0.553398058,0.572767825,None,None,1,None,None,1,0.259911894,0.348148148,0.304030021,0.746555441,0.746555441,0.911763746,0.911763746,0.338118022,0.314634146,0.326376084,1.074638676,1.074638676,1.023483876,1.023483876,0.326975477,0.333333333,0.330154405,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.5,s_as_input=False,2,0.644141954,0.663820704,0.627678571,0.645749638,0.290358553,0.890035875,0.890035875,0.943267758,0.617346939,0.65045045,0.633898695,0.94910679,0.94910679,0.966896488,0.966896488,0.63880597,0.654114365,0.646460168,0.97659676,0.97659676,0.984691605,0.984691605,0.644,0.644524237,0.644262118,None,None,1,None,None,1,0.608695652,0.673341677,0.641018665,0.903992242,0.903992242,0.935353975,0.935353975,0.705792683,0.565836299,0.635814491,1.247344301,1.247344301,1.139956384,1.139956384,0.698166432,0.557017544,0.627591988,None,None,1,None,None,1,0.622047244,0.629330254,0.625688749,0.988427364,0.988427364,0.99271699,0.99271699,0.574561404,0.711009174,0.642785289,0.808092813,0.808092813,0.863552229,0.863552229,0.595448799,0.705167173,0.650307986,None,None,1,None,None,1,0.377952756,0.370669746,0.374311251,1.019648245,1.019648245,1.00728301,1.00728301,0.425438596,0.288990826,0.357214711,1.472152604,1.472152604,1.136447771,1.136447771,0.404551201,0.294832827,0.349692014,None,None,1,None,None,1,0.391304348,0.326658323,0.358981335,1.197901049,1.197901049,1.064646025,1.064646025,0.294207317,0.434163701,0.364185509,0.677641443,0.677641443,0.860043616,0.860043616,0.301833568,0.442982456,0.372408012,None,None,1,None,None,1,0.459183673,0.515915916,0.487549795,0.890035875,0.890035875,0.943267758,0.943267758,0.562686567,0.39748954,0.480088053,1.415600943,1.415600943,1.165197027,1.165197027,0.543333333,0.402154399,0.472743866,None,None,1,None,None,1,0.466666667,0.626309662,0.546488165,0.745105328,0.745105328,0.840357004,0.840357004,0.614058355,0.557894737,0.585976546,1.100670637,1.100670637,1.056163619,1.056163619,0.607361963,0.566964286,0.587163124,None,None,1,None,None,1,0.254716981,0.32382134,0.289269161,0.786597267,0.786597267,0.930895641,0.930895641,0.329351536,0.282407407,0.305879472,1.166228389,1.166228389,1.046944128,1.046944128,0.312408759,0.303303303,0.307856031,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.4,s_as_input=True,0,0.611084103,0.356456777,0.824107143,0.59028196,0.205487427,0.961316397,0.961316397,0.98993994,0.663265306,0.598798799,0.631032052,1.107659714,1.107659714,1.064466507,1.064466507,0.601036269,0.630311615,0.615673942,0.953554171,0.953554171,0.970724655,0.970724655,0.609707447,0.61482821,0.612267828,None,None,1,None,None,1,0.376811594,0.352941176,0.364876385,1.06763285,1.06763285,1.023870418,1.023870418,0.391768293,0.274021352,0.332894822,1.429699873,1.429699873,1.11774694,1.11774694,0.394366197,0.237885463,0.31612583,None,None,1,None,None,1,0.818897638,0.825635104,0.822266371,0.991839656,0.991839656,0.993262534,0.993262534,0.798561151,0.865882353,0.832221752,0.922251329,0.922251329,0.932678798,0.932678798,0.802267003,0.877300613,0.839783808,None,None,1,None,None,1,0.181102362,0.174364896,0.177733629,1.038640038,1.038640038,1.006737466,1.006737466,0.201438849,0.134117647,0.167778248,1.50195633,1.50195633,1.067321202,1.067321202,0.197732997,0.122699387,0.160216192,None,None,1,None,None,1,0.623188406,0.647058824,0.635123615,0.963109354,0.963109354,0.976129582,0.976129582,0.608231707,0.725978648,0.667105178,0.837809362,0.837809362,0.88225306,0.88225306,0.605633803,0.762114537,0.68387417,None,None,1,None,None,1,0.25,0.26006006,0.25503003,0.961316397,0.961316397,0.98993994,0.98993994,0.293856403,0.1898017,0.241829051,1.54822851,1.54822851,1.104054703,1.104054703,0.290558511,0.169981917,0.230270214,None,None,1,None,None,1,0.530612245,0.651270208,0.590941226,0.814734404,0.814734404,0.879342037,0.879342037,0.647355164,0.574626866,0.610991015,1.126566129,1.126566129,1.072728298,1.072728298,0.640732265,0.574468085,0.607600175,None,None,1,None,None,1,0.292517007,0.419642857,0.356079932,0.697061803,0.697061803,0.87287415,0.87287415,0.418238994,0.356643357,0.387441175,1.172709335,1.172709335,1.061595637,1.061595637,0.402999063,0.376906318,0.38995269,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.4,s_as_input=True,1,0.615945552,0.319103522,0.864285714,0.591694618,0.220745372,0.754116268,0.754116268,0.943439358,0.637755102,0.610810811,0.624282956,1.044112335,1.044112335,1.026944291,1.026944291,0.60647482,0.635682159,0.62107849,0.95405355,0.95405355,0.970792661,0.970792661,0.611757106,0.628683694,0.6202204,None,None,1,None,None,1,0.231884058,0.33416771,0.283025884,0.693915215,0.693915215,0.897716348,0.897716348,0.356184799,0.22556391,0.290874354,1.579085941,1.579085941,1.130620889,1.130620889,0.343490305,0.237209302,0.290349804,None,None,1,None,None,1,0.858267717,0.866050808,0.862159262,0.991013123,0.991013123,0.992216908,0.992216908,0.840055633,0.907730673,0.873893153,0.925445903,0.925445903,0.93232496,0.93232496,0.846246973,0.914965986,0.88060648,None,None,1,None,None,1,0.141732283,0.133949192,0.137840738,1.058104806,1.058104806,1.007783092,1.007783092,0.159944367,0.092269327,0.126106847,1.733451115,1.733451115,1.06767504,1.06767504,0.153753027,0.085034014,0.11939352,None,None,1,None,None,1,0.768115942,0.66583229,0.716974116,1.15361774,1.15361774,1.102283652,1.102283652,0.643815201,0.77443609,0.709125646,0.831334192,0.831334192,0.869379111,0.869379111,0.656509695,0.762790698,0.709650196,None,None,1,None,None,1,0.173469388,0.23003003,0.201749709,0.754116268,0.754116268,0.943439358,0.943439358,0.254676259,0.145427286,0.200051773,1.751227472,1.751227472,1.109248973,1.109248973,0.242248062,0.149312377,0.19578022,None,None,1,None,None,1,0.470588235,0.697127937,0.583858086,0.675038555,0.675038555,0.773460298,0.773460298,0.675141243,0.618556701,0.646848972,1.091478343,1.091478343,1.056584542,1.056584542,0.661333333,0.671052632,0.666192982,None,None,1,None,None,1,0.327160494,0.414976599,0.371068546,0.788382995,0.788382995,0.912183895,0.912183895,0.416988417,0.361403509,0.389195963,1.153802901,1.153802901,1.055584908,1.055584908,0.404092072,0.378752887,0.391422479,None,None,1,None,None,1
UGP_dem_par_in_True_tar_0.4,s_as_input=True,2,0.631502188,0.358591249,0.859821429,0.609206339,0.25480903,0.835056717,0.835056717,0.959185206,0.655612245,0.625825826,0.640719035,1.047595382,1.047595382,1.029786419,1.029786419,0.617910448,0.656903766,0.637407107,0.940640745,0.940640745,0.961006682,0.961006682,0.626666667,0.644524237,0.635595452,None,None,1,None,None,1,0.304347826,0.36795995,0.336153888,0.827122153,0.827122153,0.936387876,0.936387876,0.399390244,0.263345196,0.33136772,1.516603494,1.516603494,1.136045048,1.136045048,0.393511989,0.25,0.321755994,None,None,1,None,None,1,0.846456693,0.863741339,0.855099016,0.979988631,0.979988631,0.982715353,0.982715353,0.82748538,0.910550459,0.869017919,0.908774876,0.908774876,0.916934921,0.916934921,0.835651075,0.917933131,0.876792103,None,None,1,None,None,1,0.153543307,0.136258661,0.144900984,1.126851728,1.126851728,1.017284647,1.017284647,0.17251462,0.089449541,0.130982081,1.928624981,1.928624981,1.083065079,1.083065079,0.164348925,0.082066869,0.123207897,None,None,1,None,None,1,0.695652174,0.63204005,0.663846112,1.100645717,1.100645717,1.063612124,1.063612124,0.600609756,0.736654804,0.66863228,0.81532049,0.81532049,0.863954952,0.863954952,0.606488011,0.75,0.678244006,None,None,1,None,None,1,0.206632653,0.247447447,0.22704005,0.835056717,0.835056717,0.959185206,0.959185206,0.28358209,0.157601116,0.220591603,1.799366002,1.799366002,1.125980974,1.125980974,0.272666667,0.150807899,0.211737283,None,None,1,None,None,1,0.518518519,0.713592233,0.616055376,0.726631393,0.726631393,0.804926286,0.804926286,0.689473684,0.654867257,0.67217047,1.05284495,1.05284495,1.034606428,1.034606428,0.682151589,0.678571429,0.680361509,None,None,1,None,None,1,0.308681672,0.403032721,0.355857197,0.765897297,0.765897297,0.905648951,0.905648951,0.410416667,0.342715232,0.376565949,1.197544283,1.197544283,1.067701435,1.067701435,0.394133822,0.361522199,0.37782801,None,None,1,None,None,1
UGP_dem_par_in_False_tar_0.4,s_as_input=False,0,0.617890131,0.36072572,0.833035714,0.596880717,0.221328384,0.675091229,0.675091229,0.911601397,0.663265306,0.607207207,0.635236257,1.092321201,1.092321201,1.056058099,1.056058099,0.5980755,0.655807365,0.626941433,0.911968256,0.911968256,0.942268134,0.942268134,0.607712766,0.64556962,0.626641193,None,None,1,None,None,1,0.282608696,0.374217772,0.328413234,0.755198488,0.755198488,0.908390923,0.908390923,0.393292683,0.284697509,0.338995096,1.381440549,1.381440549,1.108595174,1.108595174,0.384507042,0.286343612,0.335425327,None,None,1,None,None,1,0.87007874,0.822170901,0.84612482,1.058269928,1.058269928,1.047907839,1.047907839,0.791366906,0.901176471,0.846271689,0.878148656,0.878148656,0.890190436,0.890190436,0.807304786,0.895705521,0.851505154,None,None,1,None,None,1,0.12992126,0.177829099,0.15387518,0.730596175,0.730596175,0.952092161,0.952092161,0.208633094,0.098823529,0.153728311,2.111168208,2.111168208,1.109809564,1.109809564,0.192695214,0.104294479,0.148494846,None,None,1,None,None,1,0.717391304,0.625782228,0.671586766,1.146391304,1.146391304,1.091609077,1.091609077,0.606707317,0.715302491,0.661004904,0.848182866,0.848182866,0.891404826,0.891404826,0.615492958,0.713656388,0.664574673,None,None,1,None,None,1,0.183673469,0.272072072,0.227872771,0.675091229,0.675091229,0.911601397,0.911601397,0.298297557,0.172804533,0.235551045,1.726213734,1.726213734,1.125493025,1.125493025,0.283244681,0.179023508,0.231134094,None,None,1,None,None,1,0.541666667,0.66004415,0.600855408,0.820652174,0.820652174,0.881622517,0.881622517,0.640198511,0.655737705,0.647968108,0.97630273,0.97630273,0.984460806,0.984460806,0.64084507,0.656565657,0.648705363,None,None,1,None,None,1,0.309375,0.412541254,0.360958127,0.749925,0.749925,0.896833746,0.896833746,0.419831224,0.344178082,0.382004653,1.219808132,1.219808132,1.075653141,1.075653141,0.405380334,0.356828194,0.381104264,None,None,1,None,None,1
