algorithm,TNR0set,TNR1set,TPRset,TNR0num,TNR1num,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
"FairGPopp*, 0-TNR=0.7, 1-TNR=0.7, TPR=0.6","FairGPopp*, 0-TNR=0.7","FairGPopp*, 1-TNR=0.7","FairGPopp*, TPR=0.6",0.7,0.7,s_as_input=True,0,0.666504618,0.60832444,0.715178571,0.661751506,0.325225681,1.340776123,1.340776123,1.120245289,0.658602151,0.668249258,0.663425704,0.985563609,0.985563609,0.990352892,0.990352892,0.664701548,0.67,0.667350774,0.992091862,0.992091862,0.994701548,0.994701548,0.663372859,0.675324675,0.669348767,None,None,1,None,None,1,0.537878788,0.619875776,0.578877282,0.867720289,0.867720289,0.918003011,0.918003011,0.641025641,0.52919708,0.585111361,1.211317418,1.211317418,1.111828561,1.111828561,0.628808864,0.539534884,0.584171874,None,None,1,None,None,1,0.725,0.7125,0.71875,1.01754386,1.01754386,1.0125,1.0125,0.687319885,0.76056338,0.723941633,0.903698367,0.903698367,0.926756504,0.926756504,0.694723618,0.765432099,0.730077858,None,None,1,None,None,1,0.275,0.2875,0.28125,0.956521739,0.956521739,0.9875,0.9875,0.312680115,0.23943662,0.276058367,1.305899305,1.305899305,1.073243496,1.073243496,0.305276382,0.234567901,0.269922142,None,None,1,None,None,1,0.462121212,0.380124224,0.421122718,1.215711032,1.215711032,1.081996989,1.081996989,0.358974359,0.47080292,0.414888639,0.762472669,0.762472669,0.888171439,0.888171439,0.371191136,0.460465116,0.415828126,None,None,1,None,None,1,0.36827957,0.446290801,0.407285186,0.825200898,0.825200898,0.921988769,0.921988769,0.473102432,0.352857143,0.412979787,1.340776123,1.340776123,1.120245289,1.120245289,0.459156785,0.356215213,0.407685999,None,None,1,None,None,1,0.518248175,0.66356383,0.590906002,0.78100727,0.78100727,0.854684345,0.854684345,0.661993769,0.587044534,0.624519152,1.127672145,1.127672145,1.074949235,1.074949235,0.651362984,0.604166667,0.627764825,None,None,1,None,None,1,0.259574468,0.327974277,0.293774372,0.791447643,0.791447643,0.931600192,0.931600192,0.332867133,0.284768212,0.308817672,1.168905513,1.168905513,1.048098921,1.048098921,0.326431181,0.285302594,0.305866888,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.7, 1-TNR=0.7, TPR=0.6","FairGPopp*, 0-TNR=0.7","FairGPopp*, 1-TNR=0.7","FairGPopp*, TPR=0.6",0.7,0.7,s_as_input=True,1,0.653378707,0.573105656,0.720535714,0.646820685,0.296983931,1.14501686,1.14501686,1.054692073,0.685279188,0.645820806,0.665549997,1.061098035,1.061098035,1.039458382,1.039458382,0.654384672,0.651428571,0.652906622,1.004537874,1.004537874,1.002956101,1.002956101,0.658294779,0.639705882,0.64900033,None,None,1,None,None,1,0.536231884,0.579474343,0.557853113,0.925376405,0.925376405,0.956757541,0.956757541,0.588235294,0.53649635,0.562365822,1.096438575,1.096438575,1.051738944,1.051738944,0.587743733,0.525114155,0.556428944,None,None,1,None,None,1,0.765625,0.707175926,0.736400463,1.082651391,1.082651391,1.058449074,1.058449074,0.717579251,0.725352113,0.721465682,0.989284016,0.989284016,0.992227138,0.992227138,0.722012579,0.716923077,0.719467828,None,None,1,None,None,1,0.234375,0.292824074,0.263599537,0.800395257,0.800395257,0.941550926,0.941550926,0.282420749,0.274647887,0.278534318,1.02830119,1.02830119,1.007772862,1.007772862,0.277987421,0.283076923,0.280532172,None,None,1,None,None,1,0.463768116,0.420525657,0.442146887,1.102829538,1.102829538,1.043242459,1.043242459,0.411764706,0.46350365,0.437634178,0.888374247,0.888374247,0.948261056,0.948261056,0.412256267,0.474885845,0.443571056,None,None,1,None,None,1,0.340101523,0.430547204,0.385324363,0.789928537,0.789928537,0.909554319,0.909554319,0.43183493,0.377142857,0.404488894,1.14501686,1.14501686,1.054692073,1.054692073,0.424983477,0.380514706,0.402749091,None,None,1,None,None,1,0.552238806,0.646648045,0.599443425,0.854002128,0.854002128,0.905590761,0.905590761,0.66552901,0.556818182,0.611173596,1.195235773,1.195235773,1.108710828,1.108710828,0.6562986,0.555555556,0.605927078,None,None,1,None,None,1,0.246153846,0.354804646,0.300479246,0.693772894,0.693772894,0.8913492,0.8913492,0.354085603,0.291284404,0.322685003,1.215600968,1.215600968,1.062801199,1.062801199,0.340229885,0.308605341,0.324417613,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.7, 1-TNR=0.7, TPR=0.6","FairGPopp*, 0-TNR=0.7","FairGPopp*, 1-TNR=0.7","FairGPopp*, TPR=0.6",0.7,0.7,s_as_input=True,2,0.654837141,0.575240128,0.721428571,0.64833435,0.299993677,1.08628415,1.08628415,1.033774081,0.658666667,0.653983353,0.65632501,1.007161212,1.007161212,1.004683314,1.004683314,0.655121592,0.654285714,0.654703653,1.001277542,1.001277542,1.000835877,1.000835877,0.656291391,0.650822669,0.65355703,None,None,1,None,None,1,0.514285714,0.585947302,0.550116508,0.877699602,0.877699602,0.928338412,0.928338412,0.582202112,0.558394161,0.570298136,1.042636461,1.042636461,1.023807951,1.023807951,0.582402235,0.552036199,0.567219217,None,None,1,None,None,1,0.744680851,0.715254237,0.729967544,1.041141474,1.041141474,1.029426614,1.029426614,0.724783862,0.715962441,0.720373151,1.012321066,1.012321066,1.00882142,1.00882142,0.722921914,0.717791411,0.720356663,None,None,1,None,None,1,0.255319149,0.284745763,0.270032456,0.896656535,0.896656535,0.970573386,0.970573386,0.275216138,0.284037559,0.279626849,0.968942768,0.968942768,0.99117858,0.99117858,0.277078086,0.282208589,0.279643337,None,None,1,None,None,1,0.485714286,0.414052698,0.449883492,1.173073593,1.173073593,1.071661588,1.071661588,0.417797888,0.441605839,0.429701864,0.94608778,0.94608778,0.976192049,0.976192049,0.417597765,0.447963801,0.432780783,None,None,1,None,None,1,0.352,0.427467301,0.38973365,0.823454798,0.823454798,0.924532699,0.924532699,0.425202653,0.391428571,0.408315612,1.08628415,1.08628415,1.033774081,1.033774081,0.421854305,0.391224863,0.406539584,None,None,1,None,None,1,0.545454545,0.649513213,0.597483879,0.839789761,0.839789761,0.895941333,0.895941333,0.66897747,0.558394161,0.613685815,1.198038083,1.198038083,1.110583309,1.110583309,0.654631083,0.570093458,0.612362271,None,None,1,None,None,1,0.279835391,0.342679128,0.311257259,0.81661055,0.81661055,0.937156263,0.937156263,0.355128205,0.284037559,0.319582882,1.250286078,1.250286078,1.071090646,1.071090646,0.342497136,0.297297297,0.319897217,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.7, 1-TNR=0.7, TPR=0.6","FairGPopp*, 0-TNR=0.7","FairGPopp*, 1-TNR=0.7","FairGPopp*, TPR=0.6",0.7,0.7,s_as_input=True,3,0.653378707,0.596584845,0.700892857,0.648738851,0.298864691,1.052742394,1.052742394,1.022151805,0.679245283,0.647686833,0.663466058,1.04872486,1.04872486,1.03155845,1.03155845,0.660280029,0.64,0.650140015,1.031687546,1.031687546,1.020280029,1.020280029,0.659773182,0.636200717,0.647986949,None,None,1,None,None,1,0.576923077,0.599752169,0.588337623,0.961935791,0.961935791,0.977170908,0.977170908,0.604826546,0.576642336,0.590734441,1.048876415,1.048876415,1.02818421,1.02818421,0.606442577,0.565022422,0.585732499,None,None,1,None,None,1,0.734439834,0.691695108,0.713067471,1.061797063,1.061797063,1.042744726,1.042744726,0.713256484,0.680751174,0.697003829,1.04774918,1.04774918,1.03250531,1.03250531,0.708280255,0.68358209,0.695931172,None,None,1,None,None,1,0.265560166,0.308304892,0.286932529,0.861355667,0.861355667,0.957255274,0.957255274,0.286743516,0.319248826,0.302996171,0.898181895,0.898181895,0.96749469,0.96749469,0.291719745,0.31641791,0.304068828,None,None,1,None,None,1,0.423076923,0.400247831,0.411662377,1.05703739,1.05703739,1.022829092,1.022829092,0.395173454,0.423357664,0.409265559,0.933426952,0.933426952,0.97181579,0.97181579,0.393557423,0.434977578,0.414267501,None,None,1,None,None,1,0.374663073,0.447805457,0.411234265,0.836664822,0.836664822,0.926857616,0.926857616,0.442151805,0.42,0.431075903,1.052742394,1.052742394,1.022151805,1.022151805,0.441627752,0.415770609,0.428699181,None,None,1,None,None,1,0.539568345,0.641059603,0.590313974,0.841682026,0.841682026,0.898508743,0.898508743,0.668333333,0.537414966,0.60287415,1.243607595,1.243607595,1.130918367,1.130918367,0.65407855,0.543103448,0.598590999,None,None,1,None,None,1,0.237068966,0.346938776,0.292003871,0.68331643,0.68331643,0.89013019,0.89013019,0.346103038,0.285714286,0.315908662,1.211360634,1.211360634,1.060388753,1.060388753,0.33572282,0.297546012,0.316634416,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.7, 1-TNR=0.7, TPR=0.6","FairGPopp*, 0-TNR=0.7","FairGPopp*, 1-TNR=0.7","FairGPopp*, TPR=0.6",0.7,0.7,s_as_input=True,4,0.656781721,0.595517609,0.708035714,0.651776662,0.305336243,1.193975475,1.193975475,1.073987788,0.64640884,0.65899705,0.652702945,0.980897926,0.980897926,0.98741179,0.98741179,0.654384672,0.661428571,0.657906622,0.989350476,0.989350476,0.992956101,0.992956101,0.651856764,0.670309654,0.661083209,None,None,1,None,None,1,0.515625,0.60815822,0.56189161,0.847846799,0.847846799,0.90746678,0.90746678,0.612368024,0.554744526,0.583556275,1.103873938,1.103873938,1.057623499,1.057623499,0.604715673,0.564814815,0.584765244,None,None,1,None,None,1,0.717948718,0.705417607,0.711683163,1.017764103,1.017764103,1.012531111,1.012531111,0.694524496,0.730046948,0.712285722,0.951342235,0.951342235,0.964477547,0.964477547,0.695044473,0.738738739,0.716891606,None,None,1,None,None,1,0.282051282,0.294582393,0.288316837,0.95746144,0.95746144,0.987468889,0.987468889,0.305475504,0.269953052,0.287714278,1.13158752,1.13158752,1.035522453,1.035522453,0.304955527,0.261261261,0.283108394,None,None,1,None,None,1,0.484375,0.39184178,0.43810839,1.236149448,1.236149448,1.09253322,1.09253322,0.387631976,0.445255474,0.416443725,0.87058329,0.87058329,0.942376501,0.942376501,0.395284327,0.435185185,0.415234756,None,None,1,None,None,1,0.364640884,0.444247788,0.404444336,0.820805177,0.820805177,0.920393096,0.920393096,0.45541636,0.381428571,0.418422466,1.193975475,1.193975475,1.073987788,1.073987788,0.448275862,0.380692168,0.414484015,None,None,1,None,None,1,0.5,0.653386454,0.576693227,0.765243902,0.765243902,0.846613546,0.846613546,0.656957929,0.56928839,0.613123159,1.153998467,1.153998467,1.087669539,1.087669539,0.644970414,0.583732057,0.614351236,None,None,1,None,None,1,0.269565217,0.336518047,0.303041632,0.801042381,0.801042381,0.933047171,0.933047171,0.347767253,0.281755196,0.314761225,1.234288693,1.234288693,1.066012057,1.066012057,0.342548077,0.276470588,0.309509333,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.7, 1-TNR=0.7, TPR=0.6","FairGPopp*, 0-TNR=0.7","FairGPopp*, 1-TNR=0.7","FairGPopp*, TPR=0.6",0.7,0.7,s_as_input=True,5,0.631502188,0.553895411,0.696428571,0.625161991,0.252787896,1.270889296,1.270889296,1.095972208,0.667506297,0.622891566,0.645198932,1.071625197,1.071625197,1.044614731,1.044614731,0.633014001,0.628571429,0.630792715,1.00706773,1.00706773,1.004442573,1.004442573,0.630678078,0.633828996,0.632253537,None,None,1,None,None,1,0.537878788,0.556521739,0.547200264,0.966500947,0.966500947,0.981357049,0.981357049,0.585218703,0.47810219,0.531660446,1.224045226,1.224045226,1.107116513,1.107116513,0.575172414,0.481132075,0.528152245,None,None,1,None,None,1,0.732075472,0.685380117,0.708727794,1.068130594,1.068130594,1.046695355,1.046695355,0.678674352,0.725352113,0.702013232,0.935648135,0.935648135,0.953322239,0.953322239,0.681360202,0.733128834,0.707244518,None,None,1,None,None,1,0.267924528,0.314619883,0.291272206,0.851581679,0.851581679,0.953304645,0.953304645,0.321325648,0.274647887,0.297986768,1.169954925,1.169954925,1.046677761,1.046677761,0.318639798,0.266871166,0.292755482,None,None,1,None,None,1,0.462121212,0.443478261,0.452799736,1.042038027,1.042038027,1.018642951,1.018642951,0.414781297,0.52189781,0.468339554,0.794755772,0.794755772,0.892883487,0.892883487,0.424827586,0.518867925,0.471847755,None,None,1,None,None,1,0.35768262,0.431927711,0.394805165,0.828107599,0.828107599,0.925754909,0.925754909,0.450257922,0.354285714,0.402271818,1.270889296,1.270889296,1.095972208,1.095972208,0.441079658,0.351301115,0.396190386,None,None,1,None,None,1,0.5,0.624825662,0.562412831,0.800223214,0.800223214,0.875174338,0.875174338,0.63502455,0.528225806,0.581625178,1.202183881,1.202183881,1.106798743,1.106798743,0.62238806,0.53968254,0.5810353,None,None,1,None,None,1,0.239215686,0.378579003,0.308897345,0.631877849,0.631877849,0.860636683,0.860636683,0.368632708,0.316371681,0.342502195,1.165188699,1.165188699,1.052261026,1.052261026,0.362779741,0.315186246,0.338982994,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.7, 1-TNR=0.7, TPR=0.6","FairGPopp*, 0-TNR=0.7","FairGPopp*, 1-TNR=0.7","FairGPopp*, TPR=0.6",0.7,0.7,s_as_input=True,6,0.644141954,0.591248666,0.688392857,0.639820762,0.280629735,1.165769682,1.165769682,1.065597431,0.648148148,0.643240024,0.645694086,1.007630316,1.007630316,1.004908124,1.004908124,0.651436993,0.63,0.640718497,1.034026974,1.034026974,1.021436993,1.021436993,0.650165017,0.627306273,0.638735645,None,None,1,None,None,1,0.522058824,0.602996255,0.562527539,0.865774571,0.865774571,0.919062569,0.919062569,0.615384615,0.532846715,0.574115665,1.154899895,1.154899895,1.0825379,1.0825379,0.611878453,0.521126761,0.566502607,None,None,1,None,None,1,0.719008264,0.679954442,0.699481353,1.05743594,1.05743594,1.039053823,1.039053823,0.685878963,0.692488263,0.689183613,0.990455722,0.990455722,0.9933907,0.9933907,0.685208597,0.696048632,0.690628614,None,None,1,None,None,1,0.280991736,0.320045558,0.300518647,0.877974177,0.877974177,0.960946177,0.960946177,0.314121037,0.307511737,0.310816387,1.021492839,1.021492839,1.0066093,1.0066093,0.314791403,0.303951368,0.309371386,None,None,1,None,None,1,0.477941176,0.397003745,0.437472461,1.203870699,1.203870699,1.080937431,1.080937431,0.384615385,0.467153285,0.425884335,0.823317308,0.823317308,0.9174621,0.9174621,0.388121547,0.478873239,0.433497393,None,None,1,None,None,1,0.367724868,0.455032758,0.411378813,0.808128342,0.808128342,0.91269211,0.91269211,0.461311717,0.395714286,0.428513001,1.165769682,1.165769682,1.065597431,1.065597431,0.456765677,0.389298893,0.423032285,None,None,1,None,None,1,0.510791367,0.632198953,0.57149516,0.807959843,0.807959843,0.878592414,0.878592414,0.651757188,0.527075812,0.5894165,1.236553022,1.236553022,1.124681376,1.124681376,0.64017341,0.526066351,0.583119881,None,None,1,None,None,1,0.271966527,0.347540984,0.309753755,0.782545196,0.782545196,0.924425544,0.924425544,0.348837209,0.302600473,0.325718841,1.152797965,1.152797965,1.046236736,1.046236736,0.341433779,0.3081571,0.324795439,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.7, 1-TNR=0.7, TPR=0.6","FairGPopp*, 0-TNR=0.7","FairGPopp*, 1-TNR=0.7","FairGPopp*, TPR=0.6",0.7,0.7,s_as_input=True,7,0.64171123,0.574172892,0.698214286,0.636193589,0.274339577,1.021160122,1.021160122,1.008887251,0.671957672,0.634901727,0.6534297,1.058364851,1.058364851,1.037055945,1.037055945,0.655858511,0.614285714,0.635072113,1.067676647,1.067676647,1.041572797,1.041572797,0.64996704,0.618518519,0.634242779,None,None,1,None,None,1,0.525179856,0.582706767,0.553943312,0.901276398,0.901276398,0.942473089,0.942473089,0.586726998,0.54379562,0.565261309,1.078947635,1.078947635,1.042931378,1.042931378,0.577777778,0.562211982,0.56999488,None,None,1,None,None,1,0.757322176,0.682179342,0.719750759,1.110151143,1.110151143,1.075142834,1.075142834,0.721902017,0.659624413,0.690763215,1.094413734,1.094413734,1.062277604,1.062277604,0.715181932,0.656346749,0.685764341,None,None,1,None,None,1,0.242677824,0.317820658,0.280249241,0.76356844,0.76356844,0.924857166,0.924857166,0.278097983,0.340375587,0.309236785,0.817032694,0.817032694,0.937722396,0.937722396,0.284818068,0.343653251,0.314235659,None,None,1,None,None,1,0.474820144,0.417293233,0.446056688,1.137857282,1.137857282,1.057526911,1.057526911,0.413273002,0.45620438,0.434738691,0.905894419,0.905894419,0.957068622,0.957068622,0.422222222,0.437788018,0.43000512,None,None,1,None,None,1,0.346560847,0.443716498,0.395138672,0.781041156,0.781041156,0.902844349,0.902844349,0.428887251,0.42,0.424443626,1.021160122,1.021160122,1.008887251,1.008887251,0.423862887,0.431481481,0.427672184,None,None,1,None,None,1,0.557251908,0.624161074,0.590706491,0.892801445,0.892801445,0.933090835,0.933090835,0.66838488,0.506802721,0.5875938,1.318826541,1.318826541,1.161582159,1.161582159,0.646967341,0.52360515,0.585286245,None,None,1,None,None,1,0.267206478,0.356531049,0.311868763,0.749462013,0.749462013,0.910675428,0.910675428,0.353548387,0.307881773,0.33071508,1.148325161,1.148325161,1.045666614,1.045666614,0.347826087,0.309446254,0.328636171,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.7, 1-TNR=0.7, TPR=0.6","FairGPopp*, 0-TNR=0.7","FairGPopp*, 1-TNR=0.7","FairGPopp*, TPR=0.6",0.7,0.7,s_as_input=True,8,0.639280506,0.558164354,0.707142857,0.632653606,0.268280698,1.212435955,1.212435955,1.077083904,0.700507614,0.624774504,0.662641059,1.121216711,1.121216711,1.07573311,1.07573311,0.638909359,0.64,0.639454679,0.998295873,0.998295873,0.998909359,0.998909359,0.644970414,0.623134328,0.634052371,None,None,1,None,None,1,0.523809524,0.56350185,0.543655687,0.929561321,0.929561321,0.960307674,0.960307674,0.580693816,0.503649635,0.542171726,1.15297178,1.15297178,1.077044181,1.077044181,0.572625698,0.511312217,0.541968958,None,None,1,None,None,1,0.78358209,0.683098592,0.733340341,1.147099554,1.147099554,1.100483498,1.100483498,0.694524496,0.727699531,0.711112013,0.954411081,0.954411081,0.966824965,0.966824965,0.70931677,0.701587302,0.705452036,None,None,1,None,None,1,0.21641791,0.316901408,0.266659659,0.68291874,0.68291874,0.899516502,0.899516502,0.305475504,0.272300469,0.288887987,1.121832456,1.121832456,1.033175035,1.033175035,0.29068323,0.298412698,0.294547964,None,None,1,None,None,1,0.476190476,0.43649815,0.456344313,1.090933549,1.090933549,1.039692326,1.039692326,0.419306184,0.496350365,0.457828274,0.844778635,0.844778635,0.922955819,0.922955819,0.427374302,0.488687783,0.458031042,None,None,1,None,None,1,0.314720812,0.437161756,0.375941284,0.719918447,0.719918447,0.877559056,0.877559056,0.439941046,0.362857143,0.401399095,1.212435955,1.212435955,1.077083904,1.077083904,0.423405654,0.38619403,0.404799842,None,None,1,None,None,1,0.532258065,0.628610729,0.580434397,0.846721254,0.846721254,0.903647335,0.903647335,0.644891122,0.543307087,0.594099104,1.186973515,1.186973515,1.101584036,1.101584036,0.636645963,0.54589372,0.591269841,None,None,1,None,None,1,0.222222222,0.378205128,0.300213675,0.587570621,0.587570621,0.844017094,0.844017094,0.365789474,0.304932735,0.335361105,1.199574303,1.199574303,1.060856738,1.060856738,0.348916762,0.328267477,0.338592119,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.7, 1-TNR=0.7, TPR=0.6","FairGPopp*, 0-TNR=0.7","FairGPopp*, 1-TNR=0.7","FairGPopp*, TPR=0.6",0.7,0.7,s_as_input=True,9,0.655323286,0.586979723,0.7125,0.649739861,0.301806654,1.073611245,1.073611245,1.029759975,0.681704261,0.648974668,0.665339464,1.050432773,1.050432773,1.032729592,1.032729592,0.661016949,0.644285714,0.652651332,1.025968657,1.025968657,1.016731235,1.016731235,0.660938533,0.639705882,0.650322208,None,None,1,None,None,1,0.539568345,0.595238095,0.56740322,0.90647482,0.90647482,0.94433025,0.94433025,0.597285068,0.562043796,0.579664432,1.062702004,1.062702004,1.035241272,1.035241272,0.593880389,0.564220183,0.579050286,None,None,1,None,None,1,0.757692308,0.698837209,0.728264758,1.08421861,1.08421861,1.058855098,1.058855098,0.721902017,0.697183099,0.709542558,1.035455419,1.035455419,1.024718919,1.024718919,0.721662469,0.690184049,0.705923259,None,None,1,None,None,1,0.242307692,0.301162791,0.271735242,0.804573805,0.804573805,0.941144902,0.941144902,0.278097983,0.302816901,0.290457442,0.918370082,0.918370082,0.975281081,0.975281081,0.278337531,0.309815951,0.294076741,None,None,1,None,None,1,0.460431655,0.404761905,0.43259678,1.137537029,1.137537029,1.05566975,1.05566975,0.402714932,0.437956204,0.420335568,0.919532428,0.919532428,0.964758728,0.964758728,0.406119611,0.435779817,0.420949714,None,None,1,None,None,1,0.345864662,0.442702051,0.394283356,0.781258323,0.781258323,0.903162611,0.903162611,0.434045689,0.404285714,0.419165702,1.073611245,1.073611245,1.029759975,1.029759975,0.428288169,0.411764706,0.420026438,None,None,1,None,None,1,0.543478261,0.647138965,0.595308613,0.839816934,0.839816934,0.896339296,0.896339296,0.672325976,0.544169611,0.608247794,1.235508125,1.235508125,1.128156365,1.128156365,0.658950617,0.549107143,0.60402888,None,None,1,None,None,1,0.245210728,0.3495671,0.297388914,0.701469699,0.701469699,0.895643628,0.895643628,0.34765625,0.287769784,0.317713017,1.208105469,1.208105469,1.059886466,1.059886466,0.337572254,0.296875,0.317223627,None,None,1,None,None,1
