algorithm,TNR0set,TNR1set,TPRset,TNR0num,TNR1num,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
"FairGPopp*, 0-TNR=0.1, 1-TNR=0.1, TPR=0.6","FairGPopp*, 0-TNR=0.1","FairGPopp*, 1-TNR=0.1","FairGPopp*, TPR=0.6",0.1,0.1,s_as_input=True,0,0.354885756,0.645677695,0.111607143,0.378642419,-0.290775374,1.159009547,1.159009547,1.120045045,0.298469388,0.368168168,0.333318778,0.810687652,0.810687652,0.93030122,0.93030122,0.373056995,0.320113314,0.346585155,1.165390435,1.165390435,1.05294368,1.05294368,0.361702128,0.336347197,0.349024662,None,None,1,None,None,1,0.746376812,0.628285357,0.687331084,1.187958312,1.187958312,1.118091455,1.118091455,0.612804878,0.722419929,0.667612403,0.848266851,0.848266851,0.890384949,0.890384949,0.61971831,0.726872247,0.673295278,None,None,1,None,None,1,0.05511811,0.12817552,0.091646815,0.430020572,0.430020572,0.926942591,0.926942591,0.14676259,0.054117647,0.100440118,2.711917423,2.711917423,1.092644943,1.092644943,0.130982368,0.064417178,0.097699773,None,None,1,None,None,1,0.94488189,0.87182448,0.908353185,1.0837983,1.0837983,1.073057409,1.073057409,0.85323741,0.945882353,0.899559882,0.902054476,0.902054476,0.907355057,0.907355057,0.869017632,0.935582822,0.902300227,None,None,1,None,None,1,0.253623188,0.371714643,0.312668916,0.682306153,0.682306153,0.881908545,0.881908545,0.387195122,0.277580071,0.332387597,1.394895247,1.394895247,1.109615051,1.109615051,0.38028169,0.273127753,0.326704722,None,None,1,None,None,1,0.875,0.754954955,0.814977477,1.159009547,1.159009547,1.120045045,1.120045045,0.736491488,0.85694051,0.796715999,0.859442959,0.859442959,0.879550978,0.879550978,0.751329787,0.849909584,0.800619686,None,None,1,None,None,1,0.300291545,0.399363564,0.349827555,0.751925244,0.751925244,0.900927981,0.900927981,0.404020101,0.33553719,0.369778645,1.204099314,1.204099314,1.06848291,1.06848291,0.389380531,0.35106383,0.37022218,None,None,1,None,None,1,0.714285714,0.727941176,0.721113445,0.981240981,0.981240981,0.986344538,0.986344538,0.713483146,0.772277228,0.742880187,0.923869202,0.923869202,0.941205918,0.941205918,0.721925134,0.746987952,0.734456543,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.1, 1-TNR=0.1, TPR=0.6","FairGPopp*, 0-TNR=0.1","FairGPopp*, 1-TNR=0.1","FairGPopp*, TPR=0.6",0.1,0.1,s_as_input=True,1,0.356830335,0.68303095,0.083928571,0.383479761,-0.295790549,1.141926496,1.141926496,1.111921615,0.303571429,0.369369369,0.336470399,0.821864111,0.821864111,0.934202059,0.934202059,0.364748201,0.340329835,0.352539018,1.071749121,1.071749121,1.024418366,1.024418366,0.355943152,0.359528487,0.35773582,None,None,1,None,None,1,0.789855072,0.664580726,0.727217899,1.188501324,1.188501324,1.125274347,1.125274347,0.64828614,0.770676692,0.709481416,0.841190796,0.841190796,0.877609448,0.877609448,0.659279778,0.762790698,0.711035238,None,None,1,None,None,1,0.039370079,0.096997691,0.068183885,0.405886764,0.405886764,0.942372388,0.942372388,0.100139082,0.054862843,0.077500962,1.825262359,1.825262359,1.045276239,1.045276239,0.090799031,0.06462585,0.077712441,None,None,1,None,None,1,0.960629921,0.903002309,0.931816115,1.06381779,1.06381779,1.057627612,1.057627612,0.899860918,0.945137157,0.922499038,0.952095589,0.952095589,0.954723761,0.954723761,0.909200969,0.93537415,0.922287559,None,None,1,None,None,1,0.210144928,0.335419274,0.272782101,0.626514168,0.626514168,0.874725653,0.874725653,0.35171386,0.229323308,0.290518584,1.533703061,1.533703061,1.122390552,1.122390552,0.340720222,0.237209302,0.288964762,None,None,1,None,None,1,0.900510204,0.788588589,0.844549396,1.141926496,1.141926496,1.111921615,1.111921615,0.778417266,0.875562219,0.826989743,0.889048487,0.889048487,0.902855047,0.902855047,0.792635659,0.862475442,0.82755555,None,None,1,None,None,1,0.30878187,0.404417365,0.356599617,0.763522778,0.763522778,0.904364505,0.904364505,0.402033272,0.351027397,0.376530334,1.14530454,1.14530454,1.051005874,1.051005874,0.38793806,0.37357631,0.380757185,None,None,1,None,None,1,0.743589744,0.761363636,0.75247669,0.976655186,0.976655186,0.982226107,0.982226107,0.766233766,0.734939759,0.750586763,1.04258037,1.04258037,1.031294007,1.031294007,0.76635514,0.728571429,0.747463284,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.1, 1-TNR=0.1, TPR=0.6","FairGPopp*, 0-TNR=0.1","FairGPopp*, 1-TNR=0.1","FairGPopp*, TPR=0.6",0.1,0.1,s_as_input=True,2,0.354885756,0.692636073,0.072321429,0.382478751,-0.305088472,1.115074489,1.115074489,1.09240516,0.318877551,0.363363363,0.341120457,0.877572103,0.877572103,0.955514188,0.955514188,0.367164179,0.331938633,0.349551406,1.106120657,1.106120657,1.035225546,1.035225546,0.358666667,0.34470377,0.351685218,None,None,1,None,None,1,0.804347826,0.673341677,0.738844752,1.194561177,1.194561177,1.131006149,1.131006149,0.653963415,0.782918149,0.718440782,0.835289634,0.835289634,0.871045265,0.871045265,0.665726375,0.776315789,0.721021082,None,None,1,None,None,1,0.05511811,0.077367206,0.066242658,0.712422141,0.712422141,0.977750905,0.977750905,0.092105263,0.041284404,0.066694833,2.230994152,2.230994152,1.050820859,1.050820859,0.083438685,0.045592705,0.064515695,None,None,1,None,None,1,0.94488189,0.922632794,0.933757342,1.024114789,1.024114789,1.022249095,1.022249095,0.907894737,0.958715596,0.933305167,0.946990682,0.946990682,0.949179141,0.949179141,0.916561315,0.954407295,0.935484305,None,None,1,None,None,1,0.195652174,0.326658323,0.261155248,0.598950525,0.598950525,0.868993851,0.868993851,0.346036585,0.217081851,0.281559218,1.594037385,1.594037385,1.128954735,1.128954735,0.334273625,0.223684211,0.278978918,None,None,1,None,None,1,0.895408163,0.803003003,0.849205583,1.115074489,1.115074489,1.09240516,1.09240516,0.78358209,0.889818689,0.836700389,0.880608712,0.880608712,0.893763401,0.893763401,0.798,0.881508079,0.839754039,None,None,1,None,None,1,0.316239316,0.402393418,0.359316367,0.785895847,0.785895847,0.913845898,0.913845898,0.408571429,0.344827586,0.376699507,1.184857143,1.184857143,1.063743842,1.063743842,0.394319131,0.360488798,0.377403965,None,None,1,None,None,1,0.658536585,0.795731707,0.727134146,0.827586207,0.827586207,0.862804878,0.862804878,0.782758621,0.772151899,0.77745526,1.013736574,1.013736574,1.010606722,1.010606722,0.782178218,0.772727273,0.777452745,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.1, 1-TNR=0.1, TPR=0.6","FairGPopp*, 0-TNR=0.1","FairGPopp*, 1-TNR=0.1","FairGPopp*, TPR=0.6",0.1,0.1,s_as_input=True,3,0.351482742,0.656350053,0.096428571,0.376389312,-0.302786718,1.168381342,1.168381342,1.129041797,0.303571429,0.362762763,0.333167096,0.836831835,0.836831835,0.940808666,0.940808666,0.353241078,0.347953216,0.350597147,1.015197048,1.015197048,1.005287862,1.005287862,0.344850065,0.370936902,0.357893484,None,None,1,None,None,1,0.782608696,0.634543179,0.708575937,1.233341909,1.233341909,1.148065517,1.148065517,0.601796407,0.791821561,0.696808984,0.760015181,0.760015181,0.809974846,0.809974846,0.614742698,0.793577982,0.70416034,None,None,1,None,None,1,0.043307087,0.112009238,0.077658162,0.386638526,0.386638526,0.931297849,0.931297849,0.117730496,0.060240964,0.08898573,1.954326241,1.954326241,1.057489533,1.057489533,0.106748466,0.068852459,0.087800463,None,None,1,None,None,1,0.956692913,0.887990762,0.922341838,1.077368092,1.077368092,1.068702151,1.068702151,0.882269504,0.939759036,0.91101427,0.938825241,0.938825241,0.942510467,0.942510467,0.893251534,0.931147541,0.912199537,None,None,1,None,None,1,0.217391304,0.365456821,0.291424063,0.594848124,0.594848124,0.851934483,0.851934483,0.398203593,0.208178439,0.303191016,1.912799401,1.912799401,1.190025154,1.190025154,0.385257302,0.206422018,0.29583966,None,None,1,None,None,1,0.895408163,0.766366366,0.830887265,1.168381342,1.168381342,1.129041797,1.129041797,0.74581209,0.881578947,0.813695519,0.845995804,0.845995804,0.864233143,0.864233143,0.762711864,0.873804971,0.818258418,None,None,1,None,None,1,0.307692308,0.397335423,0.352513865,0.774389319,0.774389319,0.910356884,0.910356884,0.392578125,0.353233831,0.372905978,1.111383143,1.111383143,1.039344294,1.039344294,0.377777778,0.378555799,0.378166788,None,None,1,None,None,1,0.731707317,0.750642674,0.741174995,0.974774474,0.974774474,0.981064644,0.981064644,0.76217765,0.691358025,0.726767838,1.10243553,1.10243553,1.070819626,1.070819626,0.760989011,0.681818182,0.721403596,None,None,1,None,None,1
"FairGPopp*, 0-TNR=0.1, 1-TNR=0.1, TPR=0.6","FairGPopp*, 0-TNR=0.1","FairGPopp*, 1-TNR=0.1","FairGPopp*, TPR=0.6",0.1,0.1,s_as_input=True,4,0.359747205,0.659551761,0.108928571,0.384240166,-0.280948504,1.178541179,1.178541179,1.135648404,0.303571429,0.372972973,0.338272201,0.813923395,0.813923395,0.930598456,0.930598456,0.353113553,0.37283237,0.362972962,0.94711077,0.94711077,0.980281183,0.980281183,0.347968545,0.393596987,0.370782766,None,None,1,None,None,1,0.782608696,0.638297872,0.710453284,1.226086957,1.226086957,1.144310823,1.144310823,0.590214067,0.819787986,0.705001027,0.719959401,0.719959401,0.770426081,0.770426081,0.609001406,0.818584071,0.713792739,None,None,1,None,None,1,0.043307087,0.12817552,0.085741303,0.337873306,0.337873306,0.915131567,0.915131567,0.135021097,0.063569682,0.09929539,2.123985719,2.123985719,1.071451415,1.071451415,0.120245399,0.078688525,0.099466962,None,None,1,None,None,1,0.956692913,0.87182448,0.914258697,1.097345779,1.097345779,1.084868433,1.084868433,0.864978903,0.936430318,0.90070461,0.923698097,0.923698097,0.928548585,0.928548585,0.879754601,0.921311475,0.900533038,None,None,1,None,None,1,0.217391304,0.361702128,0.289546716,0.601023018,0.601023018,0.855689177,0.855689177,0.409785933,0.180212014,0.294998973,2.273910176,2.273910176,1.229573919,1.229573919,0.390998594,0.181415929,0.286207261,None,None,1,None,None,1,0.895408163,0.75975976,0.827583962,1.178541179,1.178541179,1.135648404,1.135648404,0.733333333,0.888728324,0.811030829,0.825149051,0.825149051,0.84460501,0.84460501,0.753604194,0.877589454,0.815596824,None,None,1,None,None,1,0.307692308,0.403162055,0.355427182,0.763197587,0.763197587,0.904530252,0.904530252,0.385614386,0.377235772,0.381425079,1.022210548,1.022210548,1.008378613,1.008378613,0.376521739,0.396995708,0.386758724,None,None,1,None,None,1,0.731707317,0.7225,0.727103659,1.012743691,1.012743691,1.009207317,1.009207317,0.736263736,0.662337662,0.699300699,1.111613876,1.111613876,1.073926074,1.073926074,0.739361702,0.630769231,0.685065466,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.1, 1-TNR=0.1, TPR=0.6","FairGPopp, 0-TNR=0.1","FairGPopp, 1-TNR=0.1","FairGPopp, TPR=0.6",0.1,0.1,s_as_input=False,0,0.355858046,0.644610459,0.114285714,0.379448087,-0.287949285,1.128386525,1.128386525,1.097234479,0.298469388,0.369369369,0.333919379,0.808051269,0.808051269,0.929100018,0.929100018,0.37157661,0.325779037,0.348677823,1.140578637,1.140578637,1.045797573,1.045797573,0.361702128,0.339963834,0.350832981,None,None,1,None,None,1,0.717391304,0.63204005,0.674715677,1.135040895,1.135040895,1.085351254,1.085351254,0.609756098,0.725978648,0.667867373,0.839909134,0.839909134,0.88377745,0.88377745,0.616901408,0.731277533,0.674089471,None,None,1,None,None,1,0.070866142,0.127020785,0.098943463,0.557909807,0.557909807,0.943845357,0.943845357,0.14676259,0.061176471,0.10396953,2.399003874,2.399003874,1.085586119,1.085586119,0.133501259,0.067484663,0.100492961,None,None,1,None,None,1,0.929133858,0.872979215,0.901056537,1.064325293,1.064325293,1.056154643,1.056154643,0.85323741,0.938823529,0.89603047,0.90883684,0.90883684,0.914413881,0.914413881,0.866498741,0.932515337,0.899507039,None,None,1,None,None,1,0.282608696,0.36795995,0.325284323,0.768041999,0.768041999,0.914648746,0.914648746,0.390243902,0.274021352,0.332132627,1.424136839,1.424136839,1.11622255,1.11622255,0.383098592,0.268722467,0.325910529,None,None,1,None,None,1,0.854591837,0.757357357,0.805974597,1.128386525,1.128386525,1.097234479,1.097234479,0.735011103,0.854107649,0.794559376,0.860560263,0.860560263,0.880903454,0.880903454,0.748670213,0.849909584,0.799289898,None,None,1,None,None,1,0.295522388,0.400475813,0.3479991,0.737928181,0.737928181,0.895046575,0.895046575,0.402819738,0.338308458,0.370564098,1.190687755,1.190687755,1.06451128,1.06451128,0.388987567,0.353191489,0.371089528,None,None,1,None,None,1,0.684210526,0.727722772,0.705966649,0.940207662,0.940207662,0.956487754,0.956487754,0.715083799,0.747572816,0.731328307,0.956540666,0.956540666,0.967510983,0.967510983,0.71957672,0.734939759,0.727258239,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.1, 1-TNR=0.1, TPR=0.6","FairGPopp, 0-TNR=0.1","FairGPopp, 1-TNR=0.1","FairGPopp, TPR=0.6",0.1,0.1,s_as_input=False,1,0.35926106,0.693703308,0.079464286,0.386583797,-0.29228473,1.124982724,1.124982724,1.099760985,0.301020408,0.372972973,0.336996691,0.807083703,0.807083703,0.928047435,0.928047435,0.369064748,0.338830585,0.353947666,1.089230916,1.089230916,1.030234163,1.030234163,0.360465116,0.355599214,0.358032165,None,None,1,None,None,1,0.782608696,0.678347935,0.730478315,1.153698059,1.153698059,1.104260761,1.104260761,0.660208644,0.778195489,0.719202066,0.848384054,0.848384054,0.882013155,0.882013155,0.671745152,0.76744186,0.719593506,None,None,1,None,None,1,0.039370079,0.091224018,0.065297049,0.4315758,0.4315758,0.94814606,0.94814606,0.097357441,0.047381546,0.072369494,2.05475441,2.05475441,1.049975895,1.049975895,0.088377724,0.054421769,0.071399746,None,None,1,None,None,1,0.960629921,0.908775982,0.934702951,1.0570591,1.0570591,1.05185394,1.05185394,0.902642559,0.952618454,0.927630506,0.947538393,0.947538393,0.950024105,0.950024105,0.911622276,0.945578231,0.928600254,None,None,1,None,None,1,0.217391304,0.321652065,0.269521685,0.675858569,0.675858569,0.895739239,0.895739239,0.339791356,0.221804511,0.280797934,1.531940691,1.531940691,1.117986845,1.117986845,0.328254848,0.23255814,0.280406494,None,None,1,None,None,1,0.897959184,0.798198198,0.848078691,1.124982724,1.124982724,1.099760985,1.099760985,0.785611511,0.883058471,0.834334991,0.889648349,0.889648349,0.90255304,0.90255304,0.799741602,0.870333988,0.835037795,None,None,1,None,None,1,0.306818182,0.407825433,0.357321807,0.752327239,0.752327239,0.898992749,0.898992749,0.405677656,0.351443124,0.37856039,1.154319513,1.154319513,1.054234532,1.054234532,0.391760905,0.372460497,0.382110701,None,None,1,None,None,1,0.75,0.764880952,0.757440476,0.980544747,0.980544747,0.985119048,0.985119048,0.765100671,0.756410256,0.760755464,1.011489023,1.011489023,1.008690415,1.008690415,0.764516129,0.757575758,0.761045943,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.1, 1-TNR=0.1, TPR=0.6","FairGPopp, 0-TNR=0.1","FairGPopp, 1-TNR=0.1","FairGPopp, TPR=0.6",0.1,0.1,s_as_input=False,2,0.353913466,0.680896478,0.080357143,0.38062681,-0.303628669,1.115718998,1.115718998,1.091810688,0.308673469,0.364564565,0.336619017,0.846690818,0.846690818,0.944108905,0.944108905,0.362686567,0.337517434,0.350102,1.074571358,1.074571358,1.025169133,1.025169133,0.353333333,0.355475763,0.354404548,None,None,1,None,None,1,0.775362319,0.664580726,0.719971522,1.16669396,1.16669396,1.110781593,1.110781593,0.637195122,0.782918149,0.710056636,0.813871951,0.813871951,0.854276972,0.854276972,0.647390691,0.785087719,0.716239205,None,None,1,None,None,1,0.05511811,0.087759815,0.071438963,0.628056361,0.628056361,0.967358295,0.967358295,0.099415205,0.050458716,0.07493696,1.970228602,1.970228602,1.048956489,1.048956489,0.089759798,0.05775076,0.073755279,None,None,1,None,None,1,0.94488189,0.912240185,0.928561037,1.03578192,1.03578192,1.032641705,1.032641705,0.900584795,0.949541284,0.92506304,0.948441958,0.948441958,0.951043511,0.951043511,0.910240202,0.94224924,0.926244721,None,None,1,None,None,1,0.224637681,0.335419274,0.280028478,0.669722042,0.669722042,0.889218407,0.889218407,0.362804878,0.217081851,0.289943364,1.671281487,1.671281487,1.145723028,1.145723028,0.352609309,0.214912281,0.283760795,None,None,1,None,None,1,0.885204082,0.793393393,0.839298738,1.115718998,1.115718998,1.091810688,1.091810688,0.771641791,0.884239888,0.82794084,0.872661142,0.872661142,0.887401903,0.887401903,0.786,0.877917415,0.831958707,None,None,1,None,None,1,0.308357349,0.401968206,0.355162777,0.767118753,0.767118753,0.906389143,0.906389143,0.404255319,0.347003155,0.375629237,1.164990329,1.164990329,1.057252165,1.057252165,0.389312977,0.36605317,0.377683073,None,None,1,None,None,1,0.688888889,0.779069767,0.733979328,0.884245439,0.884245439,0.909819121,0.909819121,0.777777778,0.734939759,0.756358768,1.058287796,1.058287796,1.042838019,1.042838019,0.778816199,0.720588235,0.749702217,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.1, 1-TNR=0.1, TPR=0.6","FairGPopp, 0-TNR=0.1","FairGPopp, 1-TNR=0.1","FairGPopp, TPR=0.6",0.1,0.1,s_as_input=False,3,0.347593583,0.654215582,0.091071429,0.372643505,-0.313038764,1.16473015,1.16473015,1.126639394,0.298469388,0.359159159,0.328814273,0.831022626,0.831022626,0.939310229,0.939310229,0.349599417,0.343567251,0.346583334,1.017557453,1.017557453,1.006032166,1.006032166,0.341590613,0.365200765,0.353395689,None,None,1,None,None,1,0.775362319,0.633291615,0.704326967,1.224336942,1.224336942,1.142070704,1.142070704,0.598802395,0.791821561,0.695311978,0.756234011,0.756234011,0.806980834,0.806980834,0.611961057,0.793577982,0.702769519,None,None,1,None,None,1,0.039370079,0.106235566,0.072802822,0.370592263,0.370592263,0.933134513,0.933134513,0.113475177,0.053012048,0.083243613,2.140554481,2.140554481,1.060463129,1.060463129,0.103067485,0.059016393,0.081041939,None,None,1,None,None,1,0.960629921,0.893764434,0.927197178,1.074813323,1.074813323,1.066865487,1.066865487,0.886524823,0.946987952,0.916756387,0.936152166,0.936152166,0.939536871,0.939536871,0.896932515,0.940983607,0.918958061,None,None,1,None,None,1,0.224637681,0.366708385,0.295673033,0.612578523,0.612578523,0.857929296,0.857929296,0.401197605,0.208178439,0.304688022,1.927181352,1.927181352,1.193019166,1.193019166,0.388038943,0.206422018,0.297230481,None,None,1,None,None,1,0.895408163,0.768768769,0.832088466,1.16473015,1.16473015,1.126639394,1.126639394,0.746540422,0.885964912,0.816252667,0.842629784,0.842629784,0.86057551,0.86057551,0.763363755,0.879541109,0.821452432,None,None,1,None,None,1,0.304843305,0.3953125,0.350077902,0.771145119,0.771145119,0.909530805,0.909530805,0.390243902,0.351485149,0.370864525,1.110271384,1.110271384,1.038758754,1.038758754,0.375747225,0.376086957,0.375917091,None,None,1,None,None,1,0.756097561,0.761038961,0.758568261,0.993507034,0.993507034,0.9950586,0.9950586,0.770114943,0.717948718,0.74403183,1.072660099,1.072660099,1.052166225,1.052166225,0.768595041,0.714285714,0.741440378,None,None,1,None,None,1
"FairGPopp, 0-TNR=0.1, 1-TNR=0.1, TPR=0.6","FairGPopp, 0-TNR=0.1","FairGPopp, 1-TNR=0.1","FairGPopp, TPR=0.6",0.1,0.1,s_as_input=False,4,0.35926106,0.658484525,0.108928571,0.383706548,-0.282011401,1.18377042,1.18377042,1.139400625,0.306122449,0.371771772,0.33894711,0.823414988,0.823414988,0.934350677,0.934350677,0.354578755,0.36849711,0.361537932,0.962229405,0.962229405,0.986081645,0.986081645,0.349934469,0.38606403,0.36799925,None,None,1,None,None,1,0.789855072,0.635794743,0.712824908,1.242311423,1.242311423,1.154060329,1.154060329,0.593272171,0.809187279,0.701229725,0.733170413,0.733170413,0.784084892,0.784084892,0.611814346,0.805309735,0.70856204,None,None,1,None,None,1,0.043307087,0.12817552,0.085741303,0.337873306,0.337873306,0.915131567,0.915131567,0.135021097,0.063569682,0.09929539,2.123985719,2.123985719,1.071451415,1.071451415,0.121472393,0.075409836,0.098441114,None,None,1,None,None,1,0.956692913,0.87182448,0.914258697,1.097345779,1.097345779,1.084868433,1.084868433,0.864978903,0.936430318,0.90070461,0.923698097,0.923698097,0.928548585,0.928548585,0.878527607,0.924590164,0.901558886,None,None,1,None,None,1,0.210144928,0.364205257,0.287175092,0.576995866,0.576995866,0.845939671,0.845939671,0.406727829,0.190812721,0.298770275,2.131555103,2.131555103,1.215915108,1.215915108,0.388185654,0.194690265,0.29143796,None,None,1,None,None,1,0.897959184,0.758558559,0.828258871,1.18377042,1.18377042,1.139400625,1.139400625,0.734798535,0.884393064,0.809595799,0.830850631,0.830850631,0.850405471,0.850405471,0.754259502,0.873822976,0.814041239,None,None,1,None,None,1,0.309659091,0.402216944,0.355938017,0.769880771,0.769880771,0.907442147,0.907442147,0.386839482,0.374183007,0.380511244,1.033824291,1.033824291,1.012656475,1.012656475,0.377932233,0.392241379,0.385086806,None,None,1,None,None,1,0.725,0.723880597,0.724440299,1.001546392,1.001546392,1.001119403,1.001119403,0.73480663,0.675,0.704903315,1.088602415,1.088602415,1.05980663,1.05980663,0.736,0.656716418,0.696358209,None,None,1,None,None,1
