algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race-sex,1-accuracy-race-sex,race-sex-accuracy,0-accuracy-race-sex_over_1-1-accuracy-race-sex,1-accuracy-race-sex_over_1-1-accuracy-race-sex,race-sex-accuracyRatio,diff:1-1-accuracy-race-sexto0-accuracy-race-sex,diff:1-1-accuracy-race-sexto1-accuracy-race-sex,race-sex-accuracyDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race-sex,1-TPR-race-sex,race-sex-TPR,0-TPR-race-sex_over_1-1-TPR-race-sex,1-TPR-race-sex_over_1-1-TPR-race-sex,race-sex-TPRRatio,diff:1-1-TPR-race-sexto0-TPR-race-sex,diff:1-1-TPR-race-sexto1-TPR-race-sex,race-sex-TPRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race-sex,1-TNR-race-sex,race-sex-TNR,0-TNR-race-sex_over_1-1-TNR-race-sex,1-TNR-race-sex_over_1-1-TNR-race-sex,race-sex-TNRRatio,diff:1-1-TNR-race-sexto0-TNR-race-sex,diff:1-1-TNR-race-sexto1-TNR-race-sex,race-sex-TNRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race-sex,1-FPR-race-sex,race-sex-FPR,0-FPR-race-sex_over_1-1-FPR-race-sex,1-FPR-race-sex_over_1-1-FPR-race-sex,race-sex-FPRRatio,diff:1-1-FPR-race-sexto0-FPR-race-sex,diff:1-1-FPR-race-sexto1-FPR-race-sex,race-sex-FPRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race-sex,1-FNR-race-sex,race-sex-FNR,0-FNR-race-sex_over_1-1-FNR-race-sex,1-FNR-race-sex_over_1-1-FNR-race-sex,race-sex-FNRRatio,diff:1-1-FNR-race-sexto0-FNR-race-sex,diff:1-1-FNR-race-sexto1-FNR-race-sex,race-sex-FNRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race-sex,1-PR-race-sex,race-sex-PR,0-PR-race-sex_over_1-1-PR-race-sex,1-PR-race-sex_over_1-1-PR-race-sex,race-sex-PRRatio,diff:1-1-PR-race-sexto0-PR-race-sex,diff:1-1-PR-race-sexto1-PR-race-sex,race-sex-PRDiff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race-sex,1-calibration+-race-sex,race-sex-calibration+,0-calibration+-race-sex_over_1-1-calibration+-race-sex,1-calibration+-race-sex_over_1-1-calibration+-race-sex,race-sex-calibration+Ratio,diff:1-1-calibration+-race-sexto0-calibration+-race-sex,diff:1-1-calibration+-race-sexto1-calibration+-race-sex,race-sex-calibration+Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race-sex,1-calibration--race-sex,race-sex-calibration-,0-calibration--race-sex_over_1-1-calibration--race-sex,1-calibration--race-sex_over_1-1-calibration--race-sex,race-sex-calibration-Ratio,diff:1-1-calibration--race-sexto0-calibration--race-sex,diff:1-1-calibration--race-sexto1-calibration--race-sex,race-sex-calibration-Diff
GP,s_as_input=False,0,0.815116857,0.504994007,0.917902542,0.711448275,0.468616421,0.288278483,0.288278483,0.826626566,0.845670391,0.810042909,0.82785665,1.043982216,1.043982216,1.035627483,1.035627483,0.886537872,0.780836032,0.833686952,1.135370085,1.135370085,1.10570184,1.10570184,0.870091381,0.778055278,0.824073329,None,None,1,None,None,1,0.465811966,0.509034817,0.487423391,0.915088615,0.915088615,0.956777149,0.956777149,0.309973046,0.538930582,0.424451814,0.575163215,0.575163215,0.771042464,0.771042464,0.372262774,0.542199488,0.457231131,None,None,1,None,None,1,0.919866444,0.917532263,0.918699354,1.002543977,1.002543977,1.002334181,1.002334181,0.960553633,0.891462891,0.926008262,1.077502656,1.077502656,1.069090742,1.069090742,0.948014853,0.891878549,0.919946701,None,None,1,None,None,1,0.080133556,0.082467737,0.081300646,0.971695829,0.971695829,0.997665819,0.997665819,0.039446367,0.108537109,0.073991738,0.363436684,0.363436684,0.930909258,0.930909258,0.051985147,0.108121451,0.080053299,None,None,1,None,None,1,0.534188034,0.490965183,0.512576609,1.08803649,1.08803649,1.043222851,1.043222851,0.690026954,0.461069418,0.575548186,1.496579315,1.496579315,1.228957536,1.228957536,0.627737226,0.457800512,0.542768869,None,None,1,None,None,1,0.143156425,0.194711817,0.168934121,0.735222066,0.735222066,0.948444607,0.948444607,0.070223858,0.243597292,0.156910575,0.288278483,0.288278483,0.826626566,0.826626566,0.095332181,0.249417249,0.172374715,None,None,1,None,None,1,0.531707317,0.68790947,0.609808393,0.772932109,0.772932109,0.843797847,0.843797847,0.502183406,0.694259819,0.598221612,0.723336412,0.723336412,0.807923587,0.807923587,0.528497409,0.707610147,0.618053778,None,None,1,None,None,1,0.101874491,0.160426267,0.131150379,0.635023755,0.635023755,0.941448223,0.941448223,0.084432718,0.191282351,0.137857534,0.441403597,0.441403597,0.893150367,0.893150367,0.093912094,0.198535936,0.146224015,None,None,1,None,None,1
GP,s_as_input=False,1,0.812928891,0.49980024,0.916710805,0.708255522,0.461918262,0.283243051,0.283243051,0.825399948,0.847701149,0.807341568,0.827521359,1.049990715,1.049990715,1.040359582,1.040359582,0.898804048,0.771710333,0.83525719,1.16469096,1.16469096,1.127093715,1.127093715,0.877358491,0.769868923,0.823613707,None,None,1,None,None,1,0.434210526,0.506373626,0.470292076,0.857490406,0.857490406,0.9278369,0.9278369,0.358490566,0.524390244,0.441440405,0.683633172,0.683633172,0.834100322,0.834100322,0.390681004,0.531105398,0.460893201,None,None,1,None,None,1,0.928694158,0.914527239,0.921610698,1.015490976,1.015490976,1.01416692,1.01416692,0.96816609,0.884813385,0.926489737,1.094203712,1.094203712,1.083352705,1.083352705,0.955619597,0.883635473,0.919627535,None,None,1,None,None,1,0.071305842,0.085472761,0.078389302,0.834252231,0.834252231,0.98583308,0.98583308,0.03183391,0.115186615,0.073510263,0.276368135,0.276368135,0.916647295,0.916647295,0.044380403,0.116364527,0.080372465,None,None,1,None,None,1,0.565789474,0.493626374,0.529707924,1.146189717,1.146189717,1.0721631,1.0721631,0.641509434,0.475609756,0.558559595,1.348814707,1.348814707,1.165899678,1.165899678,0.609318996,0.468894602,0.539106799,None,None,1,None,None,1,0.130747126,0.196006003,0.163376564,0.667056747,0.667056747,0.934741124,0.934741124,0.06899724,0.243597292,0.156297266,0.283243051,0.283243051,0.825399948,0.825399948,0.092353525,0.2502074,0.171280463,None,None,1,None,None,1,0.543956044,0.67844523,0.611200637,0.801768544,0.801768544,0.865510814,0.865510814,0.591111111,0.675528701,0.633319906,0.875034784,0.875034784,0.91558241,0.91558241,0.586021505,0.685013263,0.635517384,None,None,1,None,None,1,0.10661157,0.161234745,0.133923158,0.661219579,0.661219579,0.945376825,0.945376825,0.078392622,0.197314653,0.137853637,0.397297519,0.397297519,0.881077969,0.881077969,0.092997812,0.201814561,0.147406186,None,None,1,None,None,1
GP,s_as_input=False,2,0.81621084,0.500599281,0.920815678,0.710707479,0.470170447,0.305928234,0.305928234,0.835114538,0.848769899,0.811022714,0.829896306,1.046542697,1.046542697,1.037747185,1.037747185,0.896964121,0.777450692,0.837207407,1.153724771,1.153724771,1.11951343,1.11951343,0.879191321,0.773628938,0.82641013,None,None,1,None,None,1,0.356481481,0.514210756,0.435346119,0.69325948,0.69325948,0.842270725,0.842270725,0.366576819,0.523921201,0.44524901,0.699679301,0.699679301,0.842655619,0.842655619,0.36996337,0.5370465,0.453504935,None,None,1,None,None,1,0.939965695,0.917319136,0.928642415,1.024687765,1.024687765,1.022646559,1.022646559,0.965051903,0.893393393,0.929222648,1.080209357,1.080209357,1.07165851,1.07165851,0.958404558,0.888174171,0.923289365,None,None,1,None,None,1,0.060034305,0.082680864,0.071357585,0.726096731,0.726096731,0.977353441,0.977353441,0.034948097,0.106606607,0.070777352,0.327822993,0.327822993,0.92834149,0.92834149,0.041595442,0.111825829,0.076710635,None,None,1,None,None,1,0.643518519,0.485789244,0.564653881,1.324686635,1.324686635,1.157729275,1.157729275,0.633423181,0.476078799,0.55475099,1.33050071,1.33050071,1.157344381,1.157344381,0.63003663,0.4629535,0.546495065,None,None,1,None,None,1,0.106367583,0.196471809,0.151419696,0.541388527,0.541388527,0.909895774,0.909895774,0.072677093,0.237562555,0.155119824,0.305928234,0.305928234,0.835114538,0.835114538,0.085798817,0.250541757,0.168170287,None,None,1,None,None,1,0.523809524,0.690140845,0.606975184,0.75898931,0.75898931,0.833668679,0.833668679,0.573839662,0.692069393,0.632954528,0.82916492,0.82916492,0.88177027,0.88177027,0.58045977,0.69926813,0.63986395,None,None,1,None,None,1,0.112550607,0.15942029,0.135985449,0.705999264,0.705999264,0.953130317,0.953130317,0.07771164,0.195945946,0.136828793,0.396597336,0.396597336,0.881765694,0.881765694,0.092772384,0.201512456,0.14714242,None,None,1,None,None,1
GP,s_as_input=False,3,0.809547489,0.478625649,0.919226695,0.698926172,0.447956793,0.294623636,0.294623636,0.835543691,0.845080251,0.803641846,0.824361049,1.051563274,1.051563274,1.041438405,1.041438405,0.887457835,0.772151899,0.829804867,1.149330639,1.149330639,1.115305936,1.115305936,0.868641975,0.769691923,0.819166949,None,None,1,None,None,1,0.400900901,0.486190267,0.443545584,0.824576154,0.824576154,0.914710633,0.914710633,0.307277628,0.508442777,0.407860202,0.604350464,0.604350464,0.798834851,0.798834851,0.341911765,0.516590097,0.429250931,None,None,1,None,None,1,0.926507019,0.917836303,0.922171661,1.009446908,1.009446908,1.008670716,1.008670716,0.961937716,0.892749893,0.927343805,1.077499672,1.077499672,1.069187824,1.069187824,0.950370793,0.892239249,0.921305021,None,None,1,None,None,1,0.073492981,0.082163697,0.077828339,0.894470235,0.894470235,0.991329284,0.991329284,0.038062284,0.107250107,0.072656195,0.354892734,0.354892734,0.930812176,0.930812176,0.049629207,0.107760751,0.078694979,None,None,1,None,None,1,0.599099099,0.513809733,0.556454416,1.165994066,1.165994066,1.085289367,1.085289367,0.692722372,0.491557223,0.592139798,1.409240551,1.409240551,1.201165149,1.201165149,0.658088235,0.483409903,0.570749069,None,None,1,None,None,1,0.124214934,0.189051264,0.156633099,0.657043655,0.657043655,0.935163669,0.935163669,0.068690586,0.233146894,0.15091874,0.294623636,0.294623636,0.835543691,0.835543691,0.088888889,0.24113239,0.165010639,None,None,1,None,None,1,0.5,0.680368098,0.590184049,0.734896303,0.734896303,0.819631902,0.819631902,0.508928571,0.684343434,0.596636003,0.743674222,0.743674222,0.824585137,0.824585137,0.516666667,0.698895028,0.607780847,None,None,1,None,None,1,0.105976096,0.167620137,0.136798116,0.632239642,0.632239642,0.938355958,0.938355958,0.084622983,0.201151631,0.142887307,0.420692502,0.420692502,0.883471352,0.883471352,0.09701897,0.207812157,0.152415564,None,None,1,None,None,1
GP,s_as_input=False,4,0.811536549,0.491410308,0.917637712,0.70452401,0.4562773,0.263594452,0.263594452,0.821805899,0.847796143,0.805416715,0.826606429,1.052618014,1.052618014,1.042379428,1.042379428,0.897884085,0.770091257,0.833987671,1.165945044,1.165945044,1.127792828,1.127792828,0.874539651,0.768639251,0.821589451,None,None,1,None,None,1,0.376623377,0.503080986,0.439852181,0.748633694,0.748633694,0.873542391,0.873542391,0.331536388,0.519230769,0.425383579,0.638514525,0.638514525,0.812305619,0.812305619,0.352415027,0.531378601,0.441896814,None,None,1,None,None,1,0.936936937,0.913915653,0.925426295,1.025189725,1.025189725,1.023021284,1.023021284,0.970588235,0.884813385,0.92770081,1.096941176,1.096941176,1.08577485,1.08577485,0.957598179,0.882862803,0.920230491,None,None,1,None,None,1,0.063063063,0.086084347,0.074573705,0.73257294,0.73257294,0.976978716,0.976978716,0.029411765,0.115186615,0.07229919,0.255340125,0.255340125,0.91422515,0.91422515,0.042401821,0.117137197,0.079769509,None,None,1,None,None,1,0.623376623,0.496919014,0.560147819,1.254483338,1.254483338,1.126457609,1.126457609,0.668463612,0.480769231,0.574616421,1.390404313,1.390404313,1.187694381,1.187694381,0.647584973,0.468621399,0.558103186,None,None,1,None,None,1,0.112947658,0.196210624,0.154579141,0.575644968,0.575644968,0.916737034,0.916737034,0.063784115,0.241978216,0.152881166,0.263594452,0.263594452,0.821805899,0.821805899,0.084949669,0.251755266,0.168352467,None,None,1,None,None,1,0.530487805,0.677132701,0.603810253,0.783432559,0.783432559,0.853355103,0.853355103,0.591346154,0.673357664,0.632351909,0.878205128,0.878205128,0.91798849,0.91798849,0.569364162,0.685922975,0.627643568,None,None,1,None,None,1,0.111801242,0.163268257,0.13753475,0.68477023,0.68477023,0.948532985,0.948532985,0.081231575,0.199029126,0.140130351,0.408139135,0.408139135,0.882202449,0.882202449,0.097129058,0.203529937,0.150329498,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,0,0.792839383,0.464642429,0.901615466,0.683128948,0.404049714,0.838576356,0.838576356,0.967710519,0.81075419,0.789864316,0.800309253,1.02644742,1.02644742,1.020889874,1.020889874,0.85157927,0.764645275,0.808112273,1.113691927,1.113691927,1.086933995,1.086933995,0.838725611,0.761904762,0.800315187,None,None,1,None,None,1,0.418803419,0.469369766,0.444086593,0.892267566,0.892267566,0.949433652,0.949433652,0.58490566,0.443714822,0.514310241,1.318201763,1.318201763,1.141190839,1.141190839,0.523722628,0.448081841,0.485902235,None,None,1,None,None,1,0.887312187,0.904312244,0.895812216,0.98120112,0.98120112,0.982999943,0.982999943,0.885813149,0.911411411,0.89861228,0.971913603,0.971913603,0.974401737,0.974401737,0.888031991,0.913354727,0.900693359,None,None,1,None,None,1,0.112687813,0.095687756,0.104187784,1.177661783,1.177661783,1.017000057,1.017000057,0.114186851,0.088588589,0.10138772,1.288956659,1.288956659,1.025598263,1.025598263,0.111968009,0.086645273,0.099306641,None,None,1,None,None,1,0.581196581,0.530630234,0.555913407,1.095294886,1.095294886,1.050566348,1.050566348,0.41509434,0.556285178,0.485689759,0.746189825,0.746189825,0.858809161,0.858809161,0.476277372,0.551918159,0.514097765,None,None,1,None,None,1,0.162709497,0.194016004,0.17836275,0.838639566,0.838639566,0.968693493,0.968693493,0.167739957,0.200029438,0.183884697,0.838576356,0.838576356,0.967710519,0.967710519,0.167695727,0.204295704,0.185995716,None,None,1,None,None,1,0.420600858,0.636580992,0.528590925,0.660718532,0.660718532,0.784019866,0.784019866,0.396709324,0.696100074,0.546404699,0.569902717,0.569902717,0.70060925,0.70060925,0.422680412,0.71393643,0.568308421,None,None,1,None,None,1,0.113427857,0.17323741,0.143332633,0.654753823,0.654753823,0.940190446,0.940190446,0.056742815,0.218215271,0.137479043,0.260031366,0.260031366,0.838527544,0.838527544,0.077448071,0.225779452,0.151613761,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,1,0.791546494,0.459448662,0.901615466,0.680532064,0.399366982,0.837993799,0.837993799,0.9678086,0.806752874,0.789103082,0.797927978,1.022366902,1.022366902,1.017649791,1.017649791,0.846059491,0.765381219,0.805720355,1.105409266,1.105409266,1.080678272,1.080678272,0.831678252,0.764725402,0.798201827,None,None,1,None,None,1,0.394736842,0.465934066,0.430335454,0.847194638,0.847194638,0.928802776,0.928802776,0.555256065,0.442776735,0.4990164,1.254031705,1.254031705,1.112479329,1.112479329,0.494623656,0.449357326,0.471990491,None,None,1,None,None,1,0.887457045,0.904195366,0.895826205,0.981488158,0.981488158,0.983261678,0.983261678,0.883391003,0.912912913,0.898151958,0.967661856,0.967661856,0.970478091,0.970478091,0.885878963,0.914992651,0.900435807,None,None,1,None,None,1,0.112542955,0.095804634,0.104173795,1.17471307,1.17471307,1.016738322,1.016738322,0.116608997,0.087087087,0.101848042,1.33899296,1.33899296,1.029521909,1.029521909,0.114121037,0.085007349,0.099564193,None,None,1,None,None,1,0.605263158,0.534065934,0.569664546,1.133311674,1.133311674,1.071197224,1.071197224,0.444743935,0.557223265,0.5009836,0.798143157,0.798143157,0.887520671,0.887520671,0.505376344,0.550642674,0.528009509,None,None,1,None,None,1,0.158764368,0.193004733,0.17588455,0.822593133,0.822593133,0.965759635,0.965759635,0.166513339,0.198704739,0.182609039,0.837993799,0.837993799,0.9678086,0.9678086,0.166832175,0.202588352,0.184710264,None,None,1,None,None,1,0.407239819,0.633971292,0.520605555,0.642363186,0.642363186,0.773268527,0.773268527,0.379373849,0.699259259,0.539316554,0.542536754,0.542536754,0.68011459,0.68011459,0.410714286,0.715806716,0.563260501,None,None,1,None,None,1,0.117847993,0.173794879,0.145821436,0.678086683,0.678086683,0.944053114,0.944053114,0.060706402,0.218221896,0.139464149,0.278186575,0.278186575,0.842484506,0.842484506,0.084028605,0.222846442,0.153437524,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,2,0.788861263,0.453056332,0.900158898,0.676607615,0.391082664,0.830277465,0.830277465,0.966275328,0.805354559,0.786233137,0.795793848,1.024320294,1.024320294,1.019121421,1.019121421,0.847592763,0.76067118,0.804131972,1.114269588,1.114269588,1.086921583,1.086921583,0.832593688,0.759293216,0.795943452,None,None,1,None,None,1,0.384259259,0.459554001,0.42190663,0.836156923,0.836156923,0.924705258,0.924705258,0.555256065,0.435272045,0.495264055,1.275652942,1.275652942,1.11998402,1.11998402,0.490842491,0.442514052,0.466678271,None,None,1,None,None,1,0.883361921,0.903225806,0.893293864,0.978007841,0.978007841,0.980136115,0.980136115,0.885121107,0.909480909,0.897301008,0.973215708,0.973215708,0.975640198,0.975640198,0.885754986,0.912666997,0.899210991,None,None,1,None,None,1,0.116638079,0.096774194,0.106706136,1.205260149,1.205260149,1.019863885,1.019863885,0.114878893,0.090519091,0.102698992,1.269112317,1.269112317,1.024359802,1.024359802,0.114245014,0.087333003,0.100789009,None,None,1,None,None,1,0.615740741,0.540445999,0.57809337,1.139319639,1.139319639,1.075294742,1.075294742,0.444743935,0.564727955,0.504735945,0.787536603,0.787536603,0.88001598,0.88001598,0.509157509,0.557485948,0.533321729,None,None,1,None,None,1,0.158465991,0.192436297,0.175451144,0.823472464,0.823472464,0.966029695,0.966029695,0.164980067,0.198704739,0.181842403,0.830277465,0.830277465,0.966275328,0.966275328,0.164940828,0.203200533,0.184070681,None,None,1,None,None,1,0.378995434,0.629718394,0.504356914,0.601849076,0.601849076,0.74927704,0.74927704,0.382899628,0.687407407,0.535153518,0.557019933,0.557019933,0.695492221,0.695492221,0.400597907,0.710418376,0.555508142,None,None,1,None,None,1,0.114359415,0.176470588,0.145415002,0.648036687,0.648036687,0.937888827,0.937888827,0.060594932,0.221160911,0.140877922,0.273985723,0.273985723,0.839434021,0.839434021,0.082078536,0.228242678,0.155160607,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,3,0.792640477,0.442668797,0.908633475,0.675651136,0.396402503,0.925402191,0.925402191,0.986329957,0.819260293,0.788216191,0.803738242,1.039385263,1.039385263,1.031044102,1.031044102,0.854645814,0.762879011,0.808762413,1.120290114,1.120290114,1.091766803,1.091766803,0.844938272,0.757368859,0.801153565,None,None,1,None,None,1,0.432432432,0.443665059,0.438048746,0.974682192,0.974682192,0.988767373,0.988767373,0.606469003,0.414165103,0.510317053,1.464317003,1.464317003,1.1923039,1.1923039,0.540441176,0.415518121,0.477979649,None,None,1,None,None,1,0.89017341,0.912158965,0.901166188,0.975897233,0.975897233,0.978014445,0.978014445,0.88650519,0.922350922,0.904428056,0.961136557,0.961136557,0.964154268,0.964154268,0.892184826,0.922886802,0.907535814,None,None,1,None,None,1,0.10982659,0.087841035,0.098833812,1.25028798,1.25028798,1.021985555,1.021985555,0.11349481,0.077649078,0.095571944,1.461637577,1.461637577,1.035845732,1.035845732,0.107815174,0.077113198,0.092464186,None,None,1,None,None,1,0.567567568,0.556334941,0.561951254,1.020190403,1.020190403,1.011232627,1.011232627,0.393530997,0.585834897,0.489682947,0.671743864,0.671743864,0.8076961,0.8076961,0.459558824,0.584481879,0.522020351,None,None,1,None,None,1,0.159804606,0.18197634,0.170890473,0.878161447,0.878161447,0.977828266,0.977828266,0.169579883,0.183249926,0.176414905,0.925402191,0.925402191,0.986329957,0.986329957,0.165925926,0.187510408,0.176718167,None,None,1,None,None,1,0.419213974,0.644996813,0.532105394,0.649947357,0.649947357,0.774217161,0.774217161,0.406871609,0.709236948,0.558054279,0.573675146,0.573675146,0.697634662,0.697634662,0.4375,0.722912966,0.580206483,None,None,1,None,None,1,0.104651163,0.179923437,0.1422873,0.581642751,0.581642751,0.924727726,0.924727726,0.053914328,0.225085601,0.139499964,0.239528107,0.239528107,0.828828727,0.828828727,0.074008289,0.234679238,0.154343763,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,4,0.792541024,0.457850579,0.90346928,0.680659929,0.401121518,0.851521441,0.851521441,0.97091184,0.814049587,0.788910845,0.801480216,1.031865124,1.031865124,1.025138742,1.025138742,0.851272616,0.764350898,0.807811757,1.113719652,1.113719652,1.086921718,1.086921718,0.839675915,0.760448011,0.800061963,None,None,1,None,None,1,0.402597403,0.46346831,0.433032856,0.868662202,0.868662202,0.939129093,0.939129093,0.579514825,0.436679174,0.508097,1.327095173,1.327095173,1.14283565,1.14283565,0.508050089,0.443415638,0.475732864,None,None,1,None,None,1,0.891891892,0.905702101,0.898796996,0.98475193,0.98475193,0.986189791,0.986189791,0.88615917,0.914199914,0.900179542,0.969327557,0.969327557,0.971959255,0.971959255,0.892430279,0.91307578,0.902753029,None,None,1,None,None,1,0.108108108,0.094297899,0.101203004,1.146452986,1.146452986,1.013810209,1.013810209,0.11384083,0.085800086,0.099820458,1.326814879,1.326814879,1.028040745,1.028040745,0.107569721,0.08692422,0.097246971,None,None,1,None,None,1,0.597402597,0.53653169,0.566967144,1.113452585,1.113452585,1.060870907,1.060870907,0.420485175,0.563320826,0.491903,0.746439961,0.746439961,0.85716435,0.85716435,0.491949911,0.556584362,0.524267136,None,None,1,None,None,1,0.154958678,0.19179356,0.173376119,0.807945154,0.807945154,0.963165117,0.963165117,0.166819994,0.195908154,0.181364074,0.851521441,0.851521441,0.97091184,0.97091184,0.162533759,0.202774992,0.182654375,None,None,1,None,None,1,0.413333333,0.638181818,0.525757576,0.647673314,0.647673314,0.775151515,0.775151515,0.395220588,0.69947408,0.547347334,0.565025352,0.565025352,0.695746509,0.695746509,0.429003021,0.71063479,0.569818905,None,None,1,None,None,1,0.112469438,0.175320006,0.143894722,0.641509434,0.641509434,0.937149432,0.937149432,0.057416268,0.219842577,0.138629423,0.261169918,0.261169918,0.837573691,0.837573691,0.080621519,0.226881946,0.153751732,None,None,1,None,None,1
