algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
GP,s_as_input=False,0,0.647544968,0.540021345,0.7375,0.638760672,0.283506203,0.684276976,0.684276976,0.869349451,0.676020408,0.640840841,0.658430625,1.054895951,1.054895951,1.035179567,1.035179567,0.648391813,0.64586357,0.647127692,1.003914515,1.003914515,1.002528242,1.002528242,0.650586701,0.638623327,0.644605014,None,None,1,None,None,1,0.442028986,0.556946183,0.499487584,0.793665527,0.793665527,0.885082803,0.885082803,0.588673621,0.417293233,0.502983427,1.410695345,1.410695345,1.171380388,1.171380388,0.570839065,0.433333333,0.502086199,None,None,1,None,None,1,0.803149606,0.718244804,0.760697205,1.11821151,1.11821151,1.084904803,1.084904803,0.705882353,0.789598109,0.747740231,0.893976752,0.893976752,0.916284244,0.916284244,0.722428748,0.776357827,0.749393288,None,None,1,None,None,1,0.196850394,0.281755196,0.239302795,0.698657545,0.698657545,0.915095197,0.915095197,0.294117647,0.210401891,0.252259769,1.397884997,1.397884997,1.083715756,1.083715756,0.277571252,0.223642173,0.250606712,None,None,1,None,None,1,0.557971014,0.443053817,0.500512416,1.259375256,1.259375256,1.114917197,1.114917197,0.411326379,0.582706767,0.497016573,0.70588914,0.70588914,0.828619612,0.828619612,0.429160935,0.566666667,0.497913801,None,None,1,None,None,1,0.283163265,0.413813814,0.34848854,0.684276976,0.684276976,0.869349451,0.869349451,0.438596491,0.290275762,0.364436127,1.510964912,1.510964912,1.148320729,1.148320729,0.416558018,0.307839388,0.362198703,None,None,1,None,None,1,0.54954955,0.64586357,0.59770656,0.850875595,0.850875595,0.903685979,0.903685979,0.658333333,0.555,0.606666667,1.186186186,1.186186186,1.103333333,1.103333333,0.649452269,0.565217391,0.60733483,None,None,1,None,None,1,0.274021352,0.362704918,0.318363135,0.755493898,0.755493898,0.911316434,0.911316434,0.359375,0.316973415,0.338174208,1.133770161,1.133770161,1.042401585,1.042401585,0.348603352,0.328729282,0.338666317,None,None,1,None,None,1
GP,s_as_input=False,1,0.648031113,0.511205977,0.7625,0.636852988,0.28360771,0.759433125,0.759433125,0.908685727,0.660714286,0.645045045,0.652879665,1.0242917,1.0242917,1.015669241,1.015669241,0.644460536,0.655325444,0.64989299,0.983420592,0.983420592,0.989135092,0.989135092,0.644805195,0.657640232,0.651222713,None,None,1,None,None,1,0.427536232,0.525657071,0.476596652,0.813336784,0.813336784,0.901879161,0.901879161,0.549048316,0.409448819,0.479248568,1.340944926,1.340944926,1.139599497,1.139599497,0.534599729,0.425,0.479799864,None,None,1,None,None,1,0.787401575,0.755196305,0.77129894,1.042644899,1.042644899,1.03220527,1.03220527,0.73782235,0.803317536,0.770569943,0.91846912,0.91846912,0.934504814,0.934504814,0.745952677,0.804416404,0.775184541,None,None,1,None,None,1,0.212598425,0.244803695,0.22870106,0.86844451,0.86844451,0.96779473,0.96779473,0.26217765,0.196682464,0.229430057,1.33299962,1.33299962,1.065495186,1.065495186,0.254047323,0.195583596,0.224815459,None,None,1,None,None,1,0.572463768,0.474342929,0.523403348,1.206856334,1.206856334,1.098120839,1.098120839,0.450951684,0.590551181,0.520751432,0.763611518,0.763611518,0.860400503,0.860400503,0.465400271,0.575,0.520200136,None,None,1,None,None,1,0.288265306,0.37957958,0.333922443,0.759433125,0.759433125,0.908685727,0.908685727,0.404055033,0.276627219,0.340341126,1.460648139,1.460648139,1.127427814,1.127427814,0.388311688,0.284332689,0.336322188,None,None,1,None,None,1,0.522123894,0.664556962,0.593340428,0.785672145,0.785672145,0.857566932,0.857566932,0.672043011,0.556149733,0.614096372,1.208385029,1.208385029,1.115893278,1.115893278,0.658862876,0.578231293,0.618547084,None,None,1,None,None,1,0.283154122,0.366892546,0.325023334,0.771763081,0.771763081,0.916261576,0.916261576,0.374240583,0.306748466,0.340494525,1.220024301,1.220024301,1.067492117,1.067492117,0.364118896,0.310810811,0.337464853,None,None,1,None,None,1
GP,s_as_input=False,2,0.64073894,0.493062967,0.764285714,0.628674341,0.268190516,0.742272637,0.742272637,0.904339033,0.653061224,0.637837838,0.645449531,1.023867174,1.023867174,1.015223387,1.015223387,0.645940015,0.630434783,0.638187399,1.024594506,1.024594506,1.015505232,1.015505232,0.647952444,0.620626151,0.634289297,None,None,1,None,None,1,0.398550725,0.509386733,0.453968729,0.782412848,0.782412848,0.889163991,0.889163991,0.549317147,0.35971223,0.454514689,1.527101669,1.527101669,1.189604917,1.189604917,0.535764376,0.357142857,0.446453617,None,None,1,None,None,1,0.791338583,0.756351039,0.773844811,1.04625834,1.04625834,1.034987543,1.034987543,0.735875706,0.813106796,0.774491251,0.905017286,0.905017286,0.92276891,0.92276891,0.747815231,0.805642633,0.776728932,None,None,1,None,None,1,0.208661417,0.243648961,0.226155189,0.856401836,0.856401836,0.965012457,0.965012457,0.264124294,0.186893204,0.225508749,1.413236481,1.413236481,1.07723109,1.07723109,0.252184769,0.194357367,0.223271068,None,None,1,None,None,1,0.601449275,0.490613267,0.546031271,1.225913191,1.225913191,1.110836009,1.110836009,0.450682853,0.64028777,0.545485311,0.703875467,0.703875467,0.810395083,0.810395083,0.464235624,0.642857143,0.553546383,None,None,1,None,None,1,0.275510204,0.371171171,0.323340688,0.742272637,0.742272637,0.904339033,0.904339033,0.401609364,0.256521739,0.329065551,1.565595824,1.565595824,1.145087624,1.145087624,0.385733157,0.261510129,0.323621643,None,None,1,None,None,1,0.509259259,0.658576052,0.583917656,0.773273273,0.773273273,0.850683207,0.850683207,0.659380692,0.564971751,0.612176222,1.167103825,1.167103825,1.094408941,1.094408941,0.654109589,0.563380282,0.608744935,None,None,1,None,None,1,0.292253521,0.374403056,0.333328289,0.780585297,0.780585297,0.917850465,0.917850465,0.363080685,0.346978558,0.355029621,1.046406692,1.046406692,1.016102127,1.016102127,0.355913978,0.359102244,0.357508111,None,None,1,None,None,1
GP,s_as_input=False,3,0.629557608,0.493062967,0.74375,0.618406483,0.245097852,0.700201543,0.700201543,0.884221977,0.668367347,0.62042042,0.644393884,1.077281348,1.077281348,1.047946927,1.047946927,0.627379209,0.633863965,0.630621587,0.989769483,0.989769483,0.993515244,0.993515244,0.635830619,0.611111111,0.623470865,None,None,1,None,None,1,0.413043478,0.506883605,0.459963541,0.814868492,0.814868492,0.906159874,0.906159874,0.548148148,0.351145038,0.449646593,1.561030596,1.561030596,1.19700311,1.19700311,0.534340659,0.349282297,0.441811478,None,None,1,None,None,1,0.807086614,0.72517321,0.766129912,1.112957019,1.112957019,1.081913404,1.081913404,0.704775687,0.806526807,0.755651247,0.873840375,0.873840375,0.898248881,0.898248881,0.727385378,0.785942492,0.756663935,None,None,1,None,None,1,0.192913386,0.27482679,0.233870088,0.701945345,0.701945345,0.918086596,0.918086596,0.295224313,0.193473193,0.244348753,1.525918435,1.525918435,1.101751119,1.101751119,0.272614622,0.214057508,0.243336065,None,None,1,None,None,1,0.586956522,0.493116395,0.540036459,1.190300154,1.190300154,1.093840126,1.093840126,0.451851852,0.648854962,0.550353407,0.696383442,0.696383442,0.80299689,0.80299689,0.465659341,0.650717703,0.558188522,None,None,1,None,None,1,0.270408163,0.386186186,0.328297175,0.700201543,0.700201543,0.884221977,0.884221977,0.420204978,0.253256151,0.336730564,1.65920937,1.65920937,1.166948828,1.166948828,0.396742671,0.268199234,0.332470952,None,None,1,None,None,1,0.537735849,0.629860031,0.58379794,0.853738644,0.853738644,0.907875818,0.907875818,0.644599303,0.525714286,0.585156794,1.226139979,1.226139979,1.118885017,1.118885017,0.638752053,0.521428571,0.580090312,None,None,1,None,None,1,0.283216783,0.385518591,0.334367687,0.734638458,0.734638458,0.897698192,0.897698192,0.38510101,0.329457364,0.357279187,1.168894831,1.168894831,1.055643646,1.055643646,0.366090713,0.356020942,0.361055828,None,None,1,None,None,1
GP,s_as_input=False,4,0.64073894,0.498399146,0.759821429,0.629110287,0.268274463,0.584270416,0.584270416,0.838452228,0.670918367,0.633633634,0.652276,1.058842731,1.058842731,1.037284734,1.037284734,0.634146341,0.653409091,0.643777716,0.970519618,0.970519618,0.980737251,0.980737251,0.640316206,0.641929499,0.641122852,None,None,1,None,None,1,0.355072464,0.523153942,0.439113203,0.678715068,0.678715068,0.831918521,0.831918521,0.547945205,0.382142857,0.465044031,1.433875304,1.433875304,1.165802348,1.165802348,0.528671329,0.400900901,0.464786115,None,None,1,None,None,1,0.842519685,0.73556582,0.789042752,1.145403528,1.145403528,1.106953865,1.106953865,0.715517241,0.83254717,0.774032206,0.859431474,0.859431474,0.882970072,0.882970072,0.739726027,0.810725552,0.77522579,None,None,1,None,None,1,0.157480315,0.26443418,0.210957248,0.595536912,0.595536912,0.893046135,0.893046135,0.284482759,0.16745283,0.225967794,1.698882953,1.698882953,1.117029928,1.117029928,0.260273973,0.189274448,0.22477421,None,None,1,None,None,1,0.644927536,0.476846058,0.560886797,1.352485831,1.352485831,1.168081479,1.168081479,0.452054795,0.617857143,0.534955969,0.731649378,0.731649378,0.834197652,0.834197652,0.471328671,0.599099099,0.535213885,None,None,1,None,None,1,0.227040816,0.388588589,0.307814702,0.584270416,0.584270416,0.838452228,0.838452228,0.412416851,0.252840909,0.33262888,1.631131817,1.631131817,1.159575942,1.159575942,0.386693017,0.276437848,0.331565432,None,None,1,None,None,1,0.550561798,0.646058733,0.598310265,0.852185366,0.852185366,0.904503065,0.904503065,0.64516129,0.601123596,0.623142443,1.073258969,1.073258969,1.044037695,1.044037695,0.6439523,0.597315436,0.620633868,None,None,1,None,None,1,0.293729373,0.374263261,0.333996317,0.784820214,0.784820214,0.919466112,0.919466112,0.373584906,0.328897338,0.351241122,1.135870869,1.135870869,1.044687567,1.044687567,0.361976369,0.341025641,0.351501005,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,0,0.64073894,0.437566702,0.810714286,0.624140494,0.269216162,0.775199814,0.775199814,0.928982043,0.673469388,0.633033033,0.65325121,1.063877164,1.063877164,1.040436355,1.040436355,0.639619883,0.642960813,0.641290348,0.994803836,0.994803836,0.99665907,0.99665907,0.642112125,0.636711281,0.639411703,None,None,1,None,None,1,0.384057971,0.446808511,0.415433241,0.859558316,0.859558316,0.93724946,0.93724946,0.482861401,0.323308271,0.403084836,1.493501542,1.493501542,1.15955313,1.15955313,0.473177442,0.314285714,0.393731578,None,None,1,None,None,1,0.830708661,0.804849885,0.817779273,1.032128696,1.032128696,1.025858777,1.025858777,0.790530846,0.843971631,0.817251239,0.936679406,0.936679406,0.946559215,0.946559215,0.794299876,0.853035144,0.82366751,None,None,1,None,None,1,0.169291339,0.195150115,0.182220727,0.867492895,0.867492895,0.974141223,0.974141223,0.209469154,0.156028369,0.182748761,1.342506848,1.342506848,1.053440785,1.053440785,0.205700124,0.146964856,0.17633249,None,None,1,None,None,1,0.615942029,0.553191489,0.584566759,1.113433668,1.113433668,1.06275054,1.06275054,0.517138599,0.676691729,0.596915164,0.76421593,0.76421593,0.84044687,0.84044687,0.526822558,0.685714286,0.606268422,None,None,1,None,None,1,0.244897959,0.315915916,0.280406938,0.775199814,0.775199814,0.928982043,0.928982043,0.343567251,0.220609579,0.282088415,1.557354186,1.557354186,1.122957672,1.122957672,0.332464146,0.21414914,0.273306643,None,None,1,None,None,1,0.552083333,0.678707224,0.615395279,0.813433707,0.813433707,0.873376109,0.873376109,0.689361702,0.565789474,0.627575588,1.218406729,1.218406729,1.123572228,1.123572228,0.674509804,0.589285714,0.631897759,None,None,1,None,None,1,0.287162162,0.388059701,0.337610932,0.739994802,0.739994802,0.899102461,0.899102461,0.386414254,0.335195531,0.360804892,1.152802524,1.152802524,1.051218723,1.051218723,0.374023438,0.350364964,0.362194201,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,1,0.635391347,0.399146211,0.833035714,0.616090963,0.259633058,1.059497296,1.059497296,1.016044616,0.607142857,0.642042042,0.62459245,0.945643459,0.945643459,0.965100815,0.965100815,0.625633599,0.655325444,0.640479521,0.954691451,0.954691451,0.970308155,0.970308155,0.623376623,0.671179884,0.647278254,None,None,1,None,None,1,0.347826087,0.408010013,0.37791805,0.852493998,0.852493998,0.939816074,0.939816074,0.433382138,0.307086614,0.370234376,1.411270038,1.411270038,1.126295523,1.126295523,0.423337856,0.31,0.366668928,None,None,1,None,None,1,0.748031496,0.857967667,0.802999582,0.871864436,0.871864436,0.890063829,0.890063829,0.813753582,0.86492891,0.839341246,0.940832908,0.940832908,0.948824672,0.948824672,0.806973848,0.899053628,0.853013738,None,None,1,None,None,1,0.251968504,0.142032333,0.197000418,1.77402215,1.77402215,1.109936171,1.109936171,0.186246418,0.13507109,0.160658754,1.378876992,1.378876992,1.051175328,1.051175328,0.193026152,0.100946372,0.146986262,None,None,1,None,None,1,0.652173913,0.591989987,0.62208195,1.101663756,1.101663756,1.060183926,1.060183926,0.566617862,0.692913386,0.629765624,0.817732597,0.817732597,0.873704477,0.873704477,0.576662144,0.69,0.633331072,None,None,1,None,None,1,0.285714286,0.26966967,0.277691978,1.059497296,1.059497296,1.016044616,1.016044616,0.308472122,0.199704142,0.254088132,1.544645587,1.544645587,1.10876798,1.10876798,0.303246753,0.181818182,0.242532468,None,None,1,None,None,1,0.428571429,0.726057906,0.577314668,0.590271691,0.590271691,0.702513522,0.702513522,0.694835681,0.577777778,0.636306729,1.202600217,1.202600217,1.117057903,1.117057903,0.668094218,0.659574468,0.663834343,None,None,1,None,None,1,0.321428571,0.388980263,0.355204417,0.826336454,0.826336454,0.932448308,0.932448308,0.405235602,0.325323475,0.365279539,1.245638981,1.245638981,1.079912127,1.079912127,0.396085741,0.326241135,0.361163438,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,2,0.627613029,0.408751334,0.810714286,0.60973281,0.241053329,1.084264402,1.084264402,1.023988785,0.660714286,0.61981982,0.640267053,1.06597799,1.06597799,1.040894466,1.040894466,0.628383321,0.626086957,0.627235139,1.003667805,1.003667805,1.002296365,1.002296365,0.63011889,0.620626151,0.625372521,None,None,1,None,None,1,0.456521739,0.400500626,0.428511182,1.139877717,1.139877717,1.056021113,1.056021113,0.453717754,0.302158273,0.377938014,1.50158971,1.50158971,1.151559481,1.151559481,0.451612903,0.272321429,0.361967166,None,None,1,None,None,1,0.771653543,0.822170901,0.796912222,0.938556136,0.938556136,0.949482643,0.949482643,0.790960452,0.844660194,0.817810323,0.936424443,0.936424443,0.946300258,0.946300258,0.789013733,0.865203762,0.827108747,None,None,1,None,None,1,0.228346457,0.177829099,0.203087778,1.284078127,1.284078127,1.050517357,1.050517357,0.209039548,0.155339806,0.182189677,1.34569209,1.34569209,1.053699742,1.053699742,0.210986267,0.134796238,0.172891253,None,None,1,None,None,1,0.543478261,0.599499374,0.571488818,0.906553508,0.906553508,0.943978887,0.943978887,0.546282246,0.697841727,0.622061986,0.782816826,0.782816826,0.848440519,0.848440519,0.548387097,0.727678571,0.638032834,None,None,1,None,None,1,0.308673469,0.284684685,0.296679077,1.084264402,1.084264402,1.023988785,1.023988785,0.326993416,0.214492754,0.270743085,1.524496332,1.524496332,1.112500663,1.112500663,0.324306473,0.191528545,0.257917509,None,None,1,None,None,1,0.520661157,0.675105485,0.597883321,0.771229339,0.771229339,0.845555672,0.845555672,0.668903803,0.567567568,0.618235685,1.178544796,1.178544796,1.101336236,1.101336236,0.655804481,0.586538462,0.621171471,None,None,1,None,None,1,0.276752768,0.402183039,0.339467903,0.688126401,0.688126401,0.874569728,0.874569728,0.391304348,0.357933579,0.374618964,1.093231735,1.093231735,1.033370768,1.033370768,0.382209189,0.371298405,0.376753797,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,3,0.611084103,0.368196371,0.814285714,0.591241043,0.204980505,0.881021077,0.881021077,0.967271864,0.670918367,0.596996997,0.633957682,1.123822014,1.123822014,1.07392137,1.07392137,0.604685212,0.623733719,0.614209466,0.969460514,0.969460514,0.980951493,0.980951493,0.61237785,0.607279693,0.609828772,None,None,1,None,None,1,0.376811594,0.366708385,0.37175999,1.027551071,1.027551071,1.010103209,1.010103209,0.413333333,0.251908397,0.332620865,1.640808081,1.640808081,1.161424936,1.161424936,0.406593407,0.234449761,0.320521584,None,None,1,None,None,1,0.830708661,0.809468822,0.820088742,1.026239231,1.026239231,1.021239839,1.021239839,0.791606368,0.850815851,0.821211109,0.93040858,0.93040858,0.940790517,0.940790517,0.798017348,0.856230032,0.82712369,None,None,1,None,None,1,0.169291339,0.190531178,0.179911258,0.888523026,0.888523026,0.978760161,0.978760161,0.208393632,0.149184149,0.178788891,1.396888567,1.396888567,1.059209483,1.059209483,0.201982652,0.143769968,0.17287631,None,None,1,None,None,1,0.623188406,0.633291615,0.62824001,0.984046514,0.984046514,0.989896791,0.989896791,0.586666667,0.748091603,0.667379135,0.784217687,0.784217687,0.838575064,0.838575064,0.593406593,0.765550239,0.679478416,None,None,1,None,None,1,0.242346939,0.275075075,0.258711007,0.881021077,0.881021077,0.967271864,0.967271864,0.30966325,0.18813314,0.248898195,1.645979277,1.645979277,1.12153011,1.12153011,0.299022801,0.180076628,0.239549715,None,None,1,None,None,1,0.547368421,0.639737991,0.593553206,0.855613436,0.855613436,0.90763043,0.90763043,0.659574468,0.507692308,0.583633388,1.299161831,1.299161831,1.15188216,1.15188216,0.644880174,0.521276596,0.583078385,None,None,1,None,None,1,0.28956229,0.41922121,0.35439175,0.69071479,0.69071479,0.87034108,0.87034108,0.419936373,0.349376114,0.384656244,1.201960742,1.201960742,1.070560259,1.070560259,0.401486989,0.373831776,0.387659382,None,None,1,None,None,1
FairGPdemo*,s_as_input=True,4,0.636363636,0.407684098,0.827678571,0.617681335,0.261191094,0.767506181,0.767506181,0.931997303,0.698979592,0.621621622,0.660300607,1.12444543,1.12444543,1.07735797,1.07735797,0.634146341,0.640625,0.637385671,0.989886972,0.989886972,0.993521341,0.993521341,0.640974967,0.623376623,0.632175795,None,None,1,None,None,1,0.391304348,0.410513141,0.400908745,0.953207847,0.953207847,0.980791206,0.980791206,0.447488584,0.314285714,0.380887149,1.423827314,1.423827314,1.13320287,1.13320287,0.440559441,0.301801802,0.371180621,None,None,1,None,None,1,0.866141732,0.816397229,0.84126948,1.06093174,1.06093174,1.049744504,1.049744504,0.810344828,0.856132075,0.833238452,0.946518476,0.946518476,0.954212752,0.954212752,0.819427148,0.848580442,0.834003795,None,None,1,None,None,1,0.133858268,0.183602771,0.15873052,0.729064527,0.729064527,0.950255496,0.950255496,0.189655172,0.143867925,0.166761548,1.318258903,1.318258903,1.045787248,1.045787248,0.180572852,0.151419558,0.165996205,None,None,1,None,None,1,0.608695652,0.589486859,0.599091255,1.032585618,1.032585618,1.019208794,1.019208794,0.552511416,0.685714286,0.619112851,0.805745814,0.805745814,0.86679713,0.86679713,0.559440559,0.698198198,0.628819379,None,None,1,None,None,1,0.224489796,0.292492492,0.258491144,0.767506181,0.767506181,0.931997303,0.931997303,0.314855876,0.211647727,0.263251802,1.487641185,1.487641185,1.103208149,1.103208149,0.303030303,0.213358071,0.258194187,None,None,1,None,None,1,0.613636364,0.673511294,0.643573829,0.911100333,0.911100333,0.94012507,0.94012507,0.690140845,0.590604027,0.640372436,1.168533931,1.168533931,1.099536818,1.099536818,0.684782609,0.582608696,0.633695652,None,None,1,None,None,1,0.276315789,0.399830221,0.338073005,0.691082803,0.691082803,0.876485569,0.876485569,0.391585761,0.345945946,0.368765853,1.131927589,1.131927589,1.045639815,1.045639815,0.378071834,0.365566038,0.371818936,None,None,1,None,None,1
