algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff
FairGP_input_True_fair_True,s_as_input=True;fair=True,0,0.975,0.9444444444444444,1.0,0.9722222222222222,0.9504639091054837,0.5128205128205128,0.5128205128205128,0.7466666666666666,1.0,0.96,0.98,1.0416666666666667,1.0416666666666667,1.04,1.04,1.0,0.9285714285714286,0.9642857142857143,1.0769230769230769,1.0769230769230769,1.0714285714285714,1.0714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0714285714285714,0.0357142857142857,0.0,1.0,0.9285714285714286,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08333333333333333,0.041666666666666664,0.0,1.0,0.9166666666666666,0.9166666666666666
FairGP_input_True_fair_True,s_as_input=True;fair=True,1,0.975,1.0,0.9545454545454546,0.9772727272727273,0.950950166988625,0.49523809523809526,0.49523809523809526,0.7087912087912088,0.9285714285714286,1.0,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.09090909090909094,0.0,0.04545454545454547,0.0,1.0,1.0909090909090908,1.0909090909090908,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.875,0.75,0.75,0.75,0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FairGP_input_True_fair_True,s_as_input=True;fair=True,2,0.925,0.875,0.9583333333333334,0.9166666666666667,0.8432740427115679,0.7916666666666666,0.7916666666666666,0.9122807017543859,0.9523809523809523,0.8947368421052632,0.9235588972431077,1.0644257703081232,1.0644257703081232,1.0576441102756893,1.0576441102756893,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.9333333333333333,1.0,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.06666666666666665,0.0,0.033333333333333326,0.0,1.0,1.0666666666666667,1.0666666666666667,0.0,0.19999999999999996,0.09999999999999998,0.0,1.0,0.8,0.8,0.8571428571428571,1.0,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.18181818181818182,0.09090909090909091,0.0,1.0,0.8181818181818181,0.8181818181818181
FairGP_input_True_fair_True,s_as_input=True;fair=True,3,0.975,1.0,0.9444444444444444,0.9722222222222222,0.9504639091054837,0.5894736842105263,0.5894736842105263,0.706766917293233,0.9473684210526315,1.0,0.9736842105263157,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9583333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08333333333333337,0.0,0.041666666666666685,0.0,1.0,1.0833333333333335,1.0833333333333335,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.875,0.875,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FairGP_input_True_fair_True,s_as_input=True;fair=True,4,0.975,1.0,0.9565217391304348,0.9782608695652174,0.9504639091054837,0.5526315789473685,0.5526315789473685,0.7443609022556391,0.9473684210526315,1.0,0.9736842105263157,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.0714285714285714,0.0,0.0357142857142857,0.0,1.0,1.0714285714285714,1.0714285714285714,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.9166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FairGP_input_True_fair_True,s_as_input=True;fair=True,5,1.0,1.0,1.0,1.0,1.0,0.2932330827067669,0.2932330827067669,0.4835164835164836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FairGP_input_True_fair_True,s_as_input=True;fair=True,6,0.875,0.782608695652174,1.0,0.8913043478260869,0.777652289268123,0.641025641025641,0.641025641025641,0.8133333333333332,0.9333333333333333,0.84,0.8866666666666667,1.1111111111111112,1.1111111111111112,1.0933333333333333,1.0933333333333333,0.8333333333333334,0.7647058823529411,0.7990196078431373,1.0897435897435899,1.0897435897435899,1.0686274509803924,1.0686274509803924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666663,0.23529411764705888,0.20098039215686275,0.708333333333333,0.708333333333333,0.9313725490196078,0.9313725490196078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.3333333333333333,0.21666666666666667,0.30000000000000004,0.30000000000000004,0.7666666666666667,0.7666666666666667
FairGP_input_True_fair_True,s_as_input=True;fair=True,7,0.975,1.0,0.9545454545454546,0.9772727272727273,0.950950166988625,0.35714285714285715,0.35714285714285715,0.55,0.95,1.0,0.975,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,0.96875,0.9375,0.9375,0.9375,0.9375,0.0625,0.0,0.03125,0.0,1.0,1.0625,1.0625,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.8,0.8,0.8,0.8,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FairGP_input_True_fair_True,s_as_input=True;fair=True,8,1.0,1.0,1.0,1.0,1.0,0.6028708133971291,0.6028708133971291,0.7919799498746867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FairGP_input_True_fair_True,s_as_input=True;fair=True,9,0.925,0.8571428571428571,1.0,0.9285714285714286,0.8603834844182797,0.5757575757575757,0.5757575757575757,0.7543859649122806,0.9047619047619048,0.9473684210526315,0.9260651629072681,0.9550264550264551,0.9550264550264551,0.9573934837092732,0.9573934837092732,0.7777777777777778,0.9166666666666666,0.8472222222222222,0.8484848484848485,0.8484848484848485,0.8611111111111112,0.8611111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.08333333333333337,0.1527777777777778,2.666666666666665,2.666666666666665,1.1388888888888888,1.1388888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.125,0.13392857142857142,1.1428571428571428,1.1428571428571428,1.0178571428571428,1.0178571428571428
